Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,19.821,19.517,19.451,19.553,20.136,19.786,19.525,19.902,19.869,20.567,18.857,19.601,20.220,20.910,19.635,19.134,19.473,20.135,20.569,20.495,20.624,20.102,20.052,20.033,19.250,19.431,20.364,20.410,20.095,20.508
TMAX,MAMJJASO,24.457,23.653,23.691,23.515,24.157,24.150,23.305,24.453,23.829,24.726,23.155,23.710,24.718,25.355,23.544,22.837,23.027,24.355,24.920,24.673,25.505,23.836,24.442,23.981,23.265,23.571,24.424,24.346,23.692,23.955
TMAX,AMJJAS,26.004,26.026,25.914,25.377,26.980,26.643,26.476,27.064,25.881,26.328,25.018,25.538,26.711,27.535,25.871,25.839,25.430,26.938,27.177,27.204,26.925,25.699,26.924,25.768,25.458,25.776,26.724,26.282,25.924,26.392
TMAX,ONDJFM,10.847,13.459,13.447,12.654,13.486,13.778,12.326,13.291,13.151,14.257,13.687,12.564,13.555,14.772,13.907,11.876,13.973,13.331,13.200,13.370,15.561,13.824,13.127,13.739,13.974,12.900,14.319,13.753,13.845,14.719
TMAX,NDJF,7.971,11.125,11.283,11.012,11.044,12.408,11.161,11.930,10.540,11.993,11.166,10.345,11.050,11.963,12.082,10.311,13.120,12.296,10.722,10.835,13.421,10.948,11.108,11.617,11.609,10.894,12.700,11.368,12.111,13.131
TMIN,year,9.345,9.336,9.099,9.568,9.609,9.462,9.546,9.494,9.199,9.682,9.036,9.066,9.279,10.484,9.576,9.721,9.282,9.711,9.932,9.156,9.843,9.826,9.949,9.770,9.809,9.789,10.296,10.385,10.515,10.836
TMIN,MAMJJASO,12.765,12.412,12.196,12.127,12.353,12.818,12.075,12.825,12.474,12.701,12.502,12.542,12.569,13.727,12.325,12.261,11.731,12.841,13.252,12.298,13.381,12.866,13.054,12.990,13.118,13.480,13.527,13.514,13.307,13.482
TMIN,AMJJAS,13.948,14.017,14.095,13.374,14.252,14.438,14.221,14.847,14.109,14.208,13.765,14.045,14.163,15.280,14.243,14.261,13.596,15.041,15.064,14.216,14.700,14.553,15.112,14.447,14.992,15.081,15.247,15.145,15.196,15.327
TMIN,ONDJFM,2.256,4.692,4.337,5.162,5.234,5.535,3.706,5.373,3.674,4.223,5.314,3.386,3.996,6.093,5.342,4.649,5.047,4.724,4.434,3.977,6.129,4.018,4.603,5.009,5.126,4.554,5.201,5.060,5.631,6.239
TMIN,NDJF,0.406,2.932,2.528,4.222,3.507,4.693,2.787,4.367,1.426,2.747,3.513,1.352,1.890,4.604,3.669,3.909,4.335,4.326,2.677,2.440,4.479,1.875,3.701,3.273,3.407,2.800,3.375,3.046,4.652,5.152
TAVG,year,14.578,14.345,14.175,14.521,14.904,14.681,14.427,14.700,14.456,15.028,13.859,14.324,14.677,15.692,14.622,14.452,14.376,15.288,15.558,15.128,15.610,15.225,15.321,15.177,14.769,14.768,15.631,15.572,15.461,15.898
TAVG,MAMJJASO,18.633,17.978,17.883,17.825,18.360,18.604,17.583,18.675,18.099,18.626,17.743,18.101,18.586,19.603,18.009,17.627,17.424,19.189,19.604,19.056,20.053,18.824,19.322,18.954,18.570,18.870,19.441,19.256,18.766,19.066
TAVG,AMJJAS,20.068,20.005,19.954,19.418,20.757,20.684,20.278,21.027,19.983,20.233,19.361,19.787,20.448,21.562,20.155,20.169,19.591,21.756,21.802,21.485,21.598,20.763,21.760,20.736,20.679,20.873,21.570,21.172,20.881,21.328
TAVG,ONDJFM,6.445,8.998,8.664,8.802,9.239,9.639,7.927,9.162,8.347,9.114,9.333,7.953,8.629,10.280,9.485,8.261,9.388,9.012,8.745,8.591,10.656,8.860,8.777,9.319,9.498,8.662,9.770,9.314,9.690,10.460
TAVG,NDJF,4.156,6.959,6.668,7.498,7.142,8.473,6.890,7.987,5.956,7.224,7.245,5.849,6.373,8.201,7.711,7.100,8.546,8.283,6.568,6.493,8.702,6.280,7.268,7.303,7.388,6.706,7.986,7.064,8.317,9.053
RH,year,67.565,69.024,68.028,69.152,66.386,66.788,67.537,65.912,64.958,64.117,68.614,63.760,63.442,66.002,66.720,68.786,66.360,66.362,67.433,63.143,63.211,68.401,65.952,66.464,65.865,65.877,62.812,66.387,68.690,68.430
RH,MAMJJASO,63.833,66.522,64.561,64.818,61.970,62.508,62.886,60.531,61.881,59.321,66.103,61.279,58.704,60.695,61.792,63.719,61.086,61.727,63.286,57.666,57.491,64.222,60.087,63.078,63.452,63.114,58.778,63.559,65.473,66.639
RH,AMJJAS,61.309,64.453,63.269,62.417,58.704,58.941,59.200,58.342,59.808,57.781,63.999,59.571,56.515,57.240,60.173,60.002,59.455,59.657,60.742,54.085,56.167,62.447,57.792,60.375,61.738,61.014,56.444,61.980,64.100,64.795
RH,ONDJFM,74.541,72.716,72.862,76.905,74.011,75.373,72.994,76.189,70.111,68.267,75.611,68.640,68.740,74.475,74.272,74.806,73.962,74.146,73.646,72.216,73.223,69.930,75.066,73.544,72.132,69.973,69.867,70.137,71.740,72.580
RH,NDJF,75.318,73.554,74.125,79.055,74.824,77.546,73.928,78.138,71.867,71.617,77.163,69.607,69.453,78.629,75.672,77.418,76.917,78.115,74.889,74.797,76.213,73.093,78.681,75.771,72.784,71.199,70.773,72.317,72.871,74.350
RHmin,year,50.107,51.532,50.273,52.157,49.554,50.067,50.740,49.128,47.504,46.966,51.422,47.015,46.526,49.270,50.197,52.878,49.817,50.299,50.577,46.346,47.589,51.745,50.494,50.250,50.910,50.383,48.100,50.309,52.708,52.546
RHmin,MAMJJASO,45.921,48.451,46.477,47.177,44.972,46.022,45.701,43.816,44.753,42.139,48.748,44.629,41.661,44.077,45.135,47.611,44.596,46.112,46.951,42.069,42.404,48.418,45.200,47.562,48.709,48.546,44.719,47.785,49.627,50.697
RHmin,AMJJAS,43.934,46.109,45.253,44.787,41.500,42.309,41.940,41.713,42.930,41.119,46.559,43.137,39.958,41.168,43.689,43.655,42.913,44.803,45.022,39.414,41.835,47.445,43.486,45.642,47.332,46.468,42.623,46.790,48.459,48.938
RHmin,ONDJFM,56.882,55.803,54.717,61.118,57.513,58.992,55.942,59.416,52.509,50.380,58.382,51.928,51.196,57.354,56.990,60.400,56.224,57.491,56.355,54.141,54.845,52.104,58.026,56.554,55.336,54.270,53.289,53.795,55.793,56.302
RHmin,NDJF,59.228,57.207,55.916,63.744,59.006,61.060,56.921,61.432,54.152,53.626,60.644,52.718,52.235,62.674,58.072,63.738,58.438,61.463,58.004,57.190,57.336,55.029,62.290,58.300,56.417,55.149,53.349,55.532,57.708,58.069
PREC,year,524.509,537.526,486.342,406.815,416.201,455.698,504.253,424.950,316.543,385.208,449.268,330.587,361.807,470.760,445.213,455.559,366.745,387.984,448.167,256.517,376.683,4574511.382,491.798,404.839,371.914,295.424,349.380,284.612,488.239,385.083
PREC,MAMJJASO,191.582,274.260,251.090,183.464,167.439,210.356,259.203,145.731,208.287,160.147,253.354,208.190,151.066,190.440,186.496,215.225,181.062,162.895,189.666,109.618,150.628,4574278.259,244.871,192.486,143.128,171.174,214.457,146.937,227.082,244.175
PREC,AMJJAS,109.659,159.486,169.245,118.909,64.384,129.811,114.273,66.217,127.633,117.002,171.091,148.464,102.343,104.410,128.189,105.230,90.903,104.335,86.442,56.690,133.546,4574167.144,140.957,131.133,83.771,98.129,115.983,115.021,113.438,103.209
PREC,ONDJFM,169.883,395.255,329.277,401.673,289.923,364.957,326.291,339.001,259.580,164.141,373.556,195.853,225.743,315.773,375.295,329.998,271.414,274.457,374.481,255.037,220.265,238.570,417.489,308.488,282.073,280.861,143.471,209.258,319.426,288.409
