Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.689,15.945,16.013,14.404,14.242,14.801,13.926,15.587,16.552,16.343,15.304,16.261,15.159,16.538,15.669,13.812,15.899,15.557,16.423,16.656,15.717,16.207,16.969,15.759,16.050,16.757,16.646,16.356,16.221,14.580
TMAX,MAMJJASO,19.547,20.630,20.635,18.370,19.236,19.382,18.434,19.556,20.845,20.483,19.930,20.646,19.613,20.679,20.409,18.626,20.484,19.778,21.153,20.721,20.245,20.444,22.007,20.288,20.887,21.497,20.941,20.337,21.072,19.964
TMAX,AMJJAS,21.583,23.005,23.077,20.158,21.521,21.441,20.824,22.007,22.477,21.983,21.835,23.561,22.025,22.966,22.381,20.880,22.761,22.054,23.521,22.932,21.969,22.757,25.076,22.392,22.895,24.062,23.204,22.750,23.993,22.273
TMAX,ONDJFM,7.076,7.608,9.400,8.250,7.391,7.344,7.507,9.114,10.200,11.150,9.126,9.005,8.616,8.644,9.941,7.008,8.525,9.862,8.436,9.343,9.981,10.332,8.614,8.875,8.839,8.162,12.141,9.539,8.306,8.008
TMAX,NDJF,4.002,4.964,7.355,6.022,4.511,4.486,5.345,7.442,7.643,8.606,5.759,6.784,6.982,6.216,8.615,3.641,5.471,8.052,5.948,7.147,8.048,7.204,5.858,7.413,6.216,5.229,9.916,7.877,5.789,5.541
TMIN,year,6.549,6.976,7.120,6.486,5.752,6.165,6.035,7.406,7.327,7.357,6.330,7.380,6.609,7.857,7.010,5.578,6.829,7.309,7.648,8.070,7.268,7.682,6.895,6.956,6.833,7.477,7.522,7.227,6.856,5.718
TMIN,MAMJJASO,10.132,10.131,10.407,9.138,9.486,9.448,9.202,9.981,10.203,9.932,9.449,10.160,9.638,10.495,10.319,8.925,9.767,10.411,10.754,10.776,10.536,10.600,10.131,9.866,9.872,10.585,10.061,9.786,9.984,9.360
TMIN,AMJJAS,11.460,11.681,12.039,10.589,11.117,10.939,11.199,11.513,11.384,11.099,10.845,12.141,11.443,12.261,11.782,10.577,11.353,11.995,12.460,12.085,11.659,12.447,12.402,11.387,11.408,12.365,11.795,11.400,11.785,11.113
TMIN,ONDJFM,0.660,1.012,3.231,1.503,0.990,0.824,0.771,3.369,3.602,3.468,2.346,2.299,1.996,2.554,3.049,0.681,1.949,2.933,2.353,3.055,3.600,3.223,1.660,2.040,2.236,1.399,4.760,2.756,1.818,1.541
TMIN,NDJF,-1.705,-0.940,1.757,0.144,-1.398,-1.183,-0.499,2.469,2.038,1.746,0.282,1.061,1.203,0.831,2.722,-1.688,-0.110,1.982,0.476,1.628,2.124,1.141,0.011,1.438,0.743,-0.328,3.707,1.861,0.140,0.070
TAVG,year,10.452,11.253,11.391,10.219,9.772,10.299,9.779,11.309,11.702,11.620,10.680,11.666,10.680,12.024,11.167,9.508,11.137,11.213,11.841,12.137,11.340,11.765,11.796,11.251,11.360,12.066,12.031,11.731,11.529,10.195
TAVG,MAMJJASO,14.588,15.139,15.300,13.479,14.037,14.150,13.522,14.545,15.287,14.947,14.535,15.229,14.368,15.367,15.141,13.533,14.822,14.848,15.702,15.471,15.197,15.305,15.928,14.929,15.246,15.967,15.433,14.997,15.493,14.643
TAVG,AMJJAS,16.273,17.154,17.365,15.135,16.027,15.963,15.704,16.549,16.771,16.359,16.276,17.747,16.518,17.478,16.925,15.552,16.831,16.773,17.804,17.258,16.678,17.402,18.682,16.768,17.077,18.166,17.478,17.043,17.858,16.728
TAVG,ONDJFM,3.788,4.147,6.158,4.686,4.025,3.945,4.005,6.068,6.688,6.966,5.530,5.434,5.102,5.413,6.301,3.655,5.016,6.143,5.237,6.010,6.585,6.590,4.981,5.299,5.464,4.704,8.357,6.046,5.041,4.824
TAVG,NDJF,1.155,1.953,4.475,2.975,1.478,1.662,2.381,4.828,4.714,4.895,2.951,3.807,3.981,3.423,5.624,0.918,2.592,4.844,3.143,4.302,4.945,4.106,2.850,4.327,3.466,2.481,6.790,4.797,3.001,2.916
RH,year,77.772,74.934,74.702,77.194,76.531,76.240,78.372,76.350,74.658,74.101,74.110,74.394,76.139,75.645,76.367,76.822,75.078,76.644,76.146,76.973,78.111,77.589,72.244,76.601,76.576,75.699,76.172,75.723,76.696,77.702
RH,MAMJJASO,74.559,70.915,70.988,73.949,73.812,73.283,75.116,72.572,70.346,69.815,70.446,69.538,72.331,71.618,72.769,73.460,70.877,73.771,71.853,73.606,74.669,74.254,66.674,72.458,72.225,71.364,72.108,72.060,72.292,72.987
RH,AMJJAS,72.649,68.202,68.723,72.973,71.620,71.245,74.345,69.472,68.376,68.206,68.161,66.392,70.694,69.702,70.597,71.482,68.718,72.370,69.392,70.953,72.018,73.019,63.629,70.664,70.264,68.513,70.172,69.508,69.270,71.391
RH,ONDJFM,81.705,82.084,81.933,80.001,81.959,81.327,81.726,83.390,82.390,79.127,80.397,81.659,81.022,82.533,81.324,82.351,82.435,79.726,83.374,83.028,83.461,82.042,82.150,81.523,82.936,84.120,81.204,81.406,84.776,83.417
RH,NDJF,83.375,83.987,82.465,82.848,82.492,82.322,83.778,84.808,84.818,80.844,82.394,84.004,83.404,83.980,83.892,83.864,83.587,82.205,84.838,84.518,84.032,83.970,85.082,83.473,85.414,86.275,83.546,82.683,86.368,85.942
RHmin,year,61.120,57.577,57.677,60.907,59.301,58.973,61.787,60.063,56.881,57.064,57.050,57.656,59.169,58.781,59.340,60.198,57.557,60.030,58.968,59.710,61.042,60.475,54.470,59.503,58.992,58.360,59.001,58.421,59.092,60.985
RHmin,MAMJJASO,56.413,52.122,52.861,56.157,55.046,54.568,56.675,54.855,51.610,51.266,51.958,51.438,53.882,53.201,54.294,55.126,51.504,56.118,52.962,54.937,56.373,55.787,47.783,53.676,52.717,52.605,53.173,53.451,53.092,54.379
RHmin,AMJJAS,53.984,49.185,50.317,55.316,52.588,52.433,55.670,51.257,49.843,49.975,50.009,48.146,52.040,51.530,52.383,53.217,49.349,54.093,50.581,51.790,53.810,54.402,44.985,51.720,51.009,49.686,51.367,50.692,49.384,52.835
RHmin,ONDJFM,66.735,66.434,67.289,64.361,66.633,66.148,66.034,69.269,66.888,61.941,64.920,65.873,65.561,67.846,65.361,67.121,66.745,64.003,68.614,67.818,67.799,65.768,66.246,65.641,67.599,68.234,64.851,65.886,69.364,68.730
RHmin,NDJF,69.465,69.454,69.010,68.374,68.176,68.758,69.627,72.027,70.748,64.603,69.169,69.798,69.227,70.539,69.745,70.569,69.869,67.740,71.093,70.768,69.292,69.380,70.568,68.880,71.709,72.475,68.836,68.421,72.333,72.784
PREC,year,982.169,688.396,783.989,801.276,703.725,869.305,843.073,847.315,671.190,773.872,620.632,781.136,854.311,880.955,853.740,654.227,690.771,899.731,820.009,789.917,900.078,1013.097,577.625,778.416,755.073,724.957,935.133,747.201,781.630,842.548
PREC,MAMJJASO,661.170,451.579,513.426,538.422,473.412,579.198,587.478,513.528,458.915,456.504,386.245,530.371,533.260,597.354,555.708,466.421,466.671,685.303,473.120,550.271,601.341,650.089,384.353,494.302,497.129,534.863,602.351,532.208,504.383,551.134
PREC,AMJJAS,428.118,316.836,405.144,458.379,408.552,407.707,474.394,321.862,343.463,376.610,319.754,344.520,445.049,434.768,438.944,364.173,354.571,441.068,380.310,390.417,445.930,467.128,281.189,404.702,412.074,389.619,521.517,368.533,349.022,464.050
PREC,ONDJFM,232.247,469.859,435.618,352.323,294.532,360.455,438.385,494.866,347.072,376.707,328.425,374.688,395.439,508.223,491.085,208.548,358.678,350.809,514.598,465.171,389.911,453.774,441.801,367.770,356.856,329.692,401.231,388.107,340.620,410.769
PREC,NDJF,128.423,292.954,282.257,288.061,186.348,269.373,280.606,303.712,243.249,283.857,242.807,242.656,293.112,331.544,345.315,159.373,229.499,215.786,288.527,323.056,221.699,346.871,290.731,258.113,260.516,201.465,286.738,275.751,187.254,279.629
SRAD,year,3733.245,4147.636,3965.516,3699.487,3890.940,3914.523,3666.909,3825.880,4091.843,4113.130,4061.668,4059.852,3951.161,4054.056,3995.454,3835.353,4140.236,3764.850,4079.624,3948.926,3906.389,3891.850,4503.118,4010.500,4125.098,4182.551,4109.747,4031.135,4117.729,3932.618
SRAD,MAMJJASO,3351.542,3743.880,3563.727,3320.364,3501.345,3496.916,3332.741,3465.411,3680.674,3720.525,3652.307,3693.419,3589.357,3675.722,3617.386,3449.392,3756.597,3351.874,3708.532,3541.258,3510.161,3503.046,4047.997,3637.790,3734.322,3774.508,3747.989,3611.285,3748.117,3601.065
SRAD,AMJJAS,2926.683,3250.241,3108.022,2799.258,3047.991,3033.306,2818.736,3055.713,3160.322,3163.517,3146.766,3253.594,3080.663,3178.476,3098.194,2958.954,3255.884,2908.440,3204.615,3119.507,3062.505,3005.245,3479.301,3117.304,3172.756,3277.753,3192.291,3137.928,3308.224,3071.656
SRAD,ONDJFM,463.811,901.636,805.123,923.334,837.329,865.577,892.114,774.416,859.133,976.852,909.981,857.781,883.570,807.131,915.131,899.058,859.367,916.416,821.865,840.594,819.172,938.141,959.720,914.660,897.539,934.944,950.338,902.046,816.516,852.215
SRAD,NDJF,225.591,399.739,380.143,399.358,404.276,388.581,376.261,340.802,372.559,442.138,397.721,366.247,377.406,359.512,377.698,388.978,382.698,407.771,380.085,383.232,409.654,404.673,416.925,400.745,381.424,397.089,387.130,413.893,369.529,354.142
WIND,year,3.263,3.057,3.374,3.132,3.087,3.239,3.028,3.318,3.024,3.374,3.088,3.186,3.282,3.337,3.221,3.031,3.132,3.458,3.371,3.321,3.205,3.273,3.118,3.255,3.128,3.145,3.384,3.297,3.143,3.193
WIND,MAMJJASO,3.007,2.886,3.124,2.880,2.948,2.886,2.946,2.994,2.909,3.056,2.890,3.022,2.946,3.129,2.959,2.863,2.982,3.340,3.019,3.037,3.081,2.968,2.950,3.090,2.860,3.006,3.038,3.101,3.021,3.055
WIND,AMJJAS,2.735,2.762,2.888,2.803,3.021,2.722,2.795,2.822,2.706,2.840,2.854,2.833,2.878,2.823,2.805,2.785,2.834,3.022,2.908,2.796,2.999,2.752,2.879,2.997,2.761,2.874,3.028,2.865,2.891,2.900
WIND,ONDJFM,3.807,3.493,3.869,3.636,3.130,3.491,3.491,3.716,3.524,3.744,3.366,3.459,3.664,3.880,4.008,3.057,3.343,3.670,3.836,4.054,3.437,3.780,3.344,3.605,3.563,3.180,3.937,3.699,3.295,3.518
WIND,NDJF,3.721,3.418,4.128,3.761,3.112,3.764,3.563,3.761,3.603,3.788,3.468,3.449,3.872,3.838,4.094,3.197,3.427,3.667,3.806,4.140,3.461,4.045,3.300,3.708,3.707,3.176,4.161,3.811,3.264,3.536
VPD,year,0.379,0.465,0.488,0.370,0.394,0.411,0.346,0.417,0.475,0.475,0.455,0.501,0.414,0.478,0.446,0.378,0.452,0.418,0.461,0.433,0.412,0.410,0.581,0.426,0.434,0.497,0.440,0.452,0.442,0.413
VPD,MAMJJASO,0.504,0.623,0.654,0.484,0.523,0.545,0.461,0.550,0.633,0.626,0.606,0.677,0.551,0.640,0.598,0.506,0.602,0.545,0.622,0.567,0.553,0.540,0.798,0.572,0.587,0.672,0.583,0.595,0.597,0.568
VPD,AMJJAS,0.583,0.742,0.775,0.554,0.612,0.638,0.530,0.659,0.726,0.711,0.710,0.822,0.644,0.758,0.705,0.598,0.704,0.636,0.739,0.674,0.652,0.628,0.969,0.664,0.684,0.806,0.682,0.710,0.722,0.665
VPD,ONDJFM,0.173,0.174,0.189,0.197,0.170,0.181,0.172,0.178,0.198,0.252,0.206,0.190,0.188,0.177,0.200,0.161,0.182,0.221,0.170,0.179,0.182,0.209,0.180,0.186,0.179,0.162,0.236,0.194,0.151,0.171
VPD,NDJF,0.116,0.126,0.160,0.139,0.131,0.132,0.130,0.141,0.137,0.193,0.139,0.139,0.146,0.131,0.160,0.111,0.139,0.170,0.128,0.140,0.154,0.148,0.117,0.150,0.121,0.106,0.178,0.162,0.111,0.122
FWI_FD,year,2.047,3.706,4.207,2.245,2.481,2.635,1.618,3.022,3.680,3.606,3.847,3.691,2.458,2.994,2.850,2.498,3.368,2.455,3.222,2.528,2.306,2.247,4.897,2.517,2.595,3.422,2.592,2.890,2.979,2.465
FWI_FD,MAMJJASO,2.946,5.184,5.874,3.021,3.501,3.677,2.295,4.318,5.218,5.117,5.519,5.376,3.503,4.292,4.114,3.562,4.794,3.411,4.671,3.571,3.301,3.193,7.076,3.610,3.706,4.920,3.723,4.078,4.332,3.585
FWI_FD,AMJJAS,3.724,6.399,7.056,3.556,3.711,4.254,2.536,5.330,6.221,5.801,6.516,6.712,4.215,5.198,4.954,4.374,5.656,4.292,5.713,4.460,4.073,3.953,8.912,4.315,4.243,5.970,4.449,5.210,5.503,4.359
FWI_FD,ONDJFM,0.346,0.440,0.976,1.452,0.757,1.278,0.928,0.694,1.012,1.360,1.174,0.971,0.835,0.460,0.837,0.853,0.588,1.219,0.339,0.676,0.579,0.733,0.634,0.718,0.650,0.819,1.096,0.675,0.407,0.468
FWI_FD,NDJF,0.205,0.255,0.701,0.780,0.663,0.433,0.445,0.297,0.536,0.712,0.327,0.355,0.297,0.260,0.339,0.348,0.307,0.706,0.214,0.261,0.437,0.379,0.220,0.463,0.272,0.276,0.449,0.425,0.261,0.191
FWI_3+,year,14.598,42.937,54.400,17.116,20.119,25.050,9.304,32.931,43.733,39.360,46.578,45.921,22.391,31.980,30.462,21.803,38.971,25.083,36.326,25.095,23.414,17.967,61.597,22.680,22.188,41.179,25.310,29.794,31.452,23.973
FWI_3+,MAMJJASO,14.514,41.646,53.860,16.679,19.714,24.869,9.276,32.809,43.721,39.105,46.473,45.917,22.382,31.925,30.462,21.707,38.951,25.045,36.314,24.919,23.381,17.924,61.591,22.659,22.175,41.162,25.295,29.782,31.446,23.904
FWI_3+,AMJJAS,14.155,39.806,50.825,16.220,16.127,24.052,7.649,30.763,41.425,36.346,43.518,44.669,21.953,30.888,30.209,21.692,36.326,25.000,35.123,24.412,23.264,17.783,61.364,21.893,21.520,39.604,25.205,29.745,30.740,23.750
FWI_3+,ONDJFM,0.083,0.380,3.133,3.626,0.832,4.005,0.978,1.658,2.231,2.853,2.411,3.073,1.270,0.402,1.108,0.237,0.115,2.686,0.033,1.203,0.681,0.195,0.203,0.249,0.730,0.642,1.634,0.061,0.037,0.722
FWI_3+,NDJF,0.007,0.078,1.295,0.540,0.434,0.408,0.179,0.032,0.122,0.255,0.009,0.104,0.011,0.001,0.055,0.001,0.096,0.056,0.002,0.012,0.176,0.074,0.001,0.023,0.004,0.013,0.021,0.019,0.004,0.008
FWI_4+,year,0.354,9.976,13.374,1.372,1.225,2.193,0.212,4.461,6.673,8.314,9.064,10.373,2.620,7.674,7.079,1.007,3.892,3.400,7.248,2.918,1.591,0.771,18.502,3.106,0.999,8.669,2.491,4.648,2.823,4.345
FWI_4+,MAMJJASO,0.349,9.845,13.370,1.353,1.206,2.184,0.212,4.460,6.672,8.293,9.058,10.372,2.620,7.673,7.079,1.007,3.891,3.399,7.246,2.918,1.591,0.771,18.502,3.106,0.999,8.669,2.491,4.646,2.823,4.344
FWI_4+,AMJJAS,0.336,9.303,13.089,1.332,0.951,2.174,0.172,4.308,6.527,8.258,8.634,10.332,2.618,7.653,7.078,1.006,3.674,3.398,7.189,2.916,1.590,0.770,18.500,3.102,0.996,8.606,2.491,4.646,2.782,4.342
FWI_4+,ONDJFM,0.002,0.016,0.674,0.285,0.038,0.275,0.018,0.041,0.154,0.168,0.033,0.429,0.041,0.001,0.021,0.001,0.001,0.219,0.001,0.059,0.003,0.002,0.002,0.002,0.003,0.003,0.064,0.002,0.001,0.041
FWI_4+,NDJF,0.000,0.005,0.131,0.004,0.019,0.019,0.009,0.001,0.001,0.022,0.000,0.007,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.000,0.000
FWI_5+,year,0.018,0.738,1.435,0.060,0.063,0.061,0.007,0.140,0.179,0.780,0.213,0.911,0.032,0.545,0.293,0.005,0.092,0.150,0.388,0.064,0.022,0.001,2.814,0.042,0.007,0.460,0.045,0.134,0.089,0.081
FWI_5+,MAMJJASO,0.017,0.726,1.434,0.057,0.062,0.059,0.007,0.140,0.179,0.779,0.211,0.911,0.032,0.545,0.293,0.005,0.092,0.150,0.387,0.064,0.022,0.001,2.814,0.042,0.007,0.460,0.045,0.134,0.089,0.081
FWI_5+,AMJJAS,0.015,0.687,1.424,0.056,0.054,0.059,0.005,0.134,0.175,0.776,0.209,0.910,0.032,0.545,0.293,0.005,0.076,0.149,0.387,0.064,0.022,0.001,2.814,0.042,0.007,0.459,0.045,0.134,0.086,0.081
FWI_5+,ONDJFM,0.000,0.003,0.050,0.010,0.004,0.010,0.002,0.002,0.006,0.005,0.003,0.003,0.001,0.000,0.000,0.000,0.000,0.017,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003
FWI_5+,NDJF,0.000,0.001,0.012,0.000,0.003,0.001,0.002,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,year,0.003,0.046,0.095,0.009,0.008,0.010,0.001,0.007,0.005,0.035,0.005,0.032,0.003,0.014,0.002,0.001,0.003,0.003,0.001,0.000,0.000,0.000,0.158,0.002,0.000,0.004,0.000,0.000,0.004,0.002
FWI_6,MAMJJASO,0.003,0.044,0.095,0.009,0.008,0.010,0.001,0.007,0.005,0.035,0.005,0.032,0.003,0.014,0.002,0.001,0.003,0.003,0.001,0.000,0.000,0.000,0.158,0.002,0.000,0.004,0.000,0.000,0.004,0.002
FWI_6,AMJJAS,0.002,0.039,0.094,0.009,0.007,0.010,0.000,0.007,0.005,0.035,0.005,0.032,0.003,0.014,0.002,0.001,0.000,0.003,0.001,0.000,0.000,0.000,0.158,0.002,0.000,0.004,0.000,0.000,0.004,0.002
FWI_6,ONDJFM,0.000,0.001,0.007,0.001,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
