Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.834,13.321,13.611,13.613,12.239,11.933,12.870,13.105,13.979,13.929,13.320,13.078,12.870,13.120,14.415,12.990,14.146,13.721,13.819,13.555,13.585,13.680,14.196,13.767,13.856,14.233,14.341,13.376,13.302,12.500
TMAX,MAMJJASO,15.083,15.723,15.847,16.151,14.620,14.054,15.123,15.082,16.400,16.362,15.890,15.166,14.791,14.941,17.271,15.515,16.533,15.731,16.181,16.014,16.068,15.687,16.738,15.910,16.283,16.772,16.448,15.524,15.960,15.897
TMAX,AMJJAS,16.496,17.139,17.268,17.816,15.719,14.883,16.717,16.235,17.761,17.603,17.243,16.685,16.202,15.859,18.852,16.960,17.691,16.759,17.424,17.365,17.319,16.823,18.097,17.382,17.365,18.307,17.564,16.940,16.984,17.259
TMAX,ONDJFM,9.180,8.959,9.366,9.614,8.984,8.579,9.450,9.429,10.623,10.224,9.390,9.830,9.601,9.160,10.411,9.502,9.735,10.895,10.417,10.199,8.985,10.948,10.153,10.210,10.197,9.844,10.796,10.935,9.432,8.832
TMAX,NDJF,8.301,8.204,8.231,8.974,7.701,7.039,8.452,8.611,9.952,8.848,7.772,8.982,9.174,8.216,9.761,8.208,8.049,9.850,9.398,8.950,7.913,9.642,8.784,9.307,9.334,8.726,9.652,10.021,8.180,7.010
TMIN,year,6.148,6.088,6.656,5.768,5.528,5.133,5.892,6.357,6.561,6.595,6.453,6.200,6.081,6.447,6.823,6.014,7.284,7.119,7.150,6.573,6.416,6.875,6.910,6.932,7.231,7.232,7.228,6.477,6.537,5.510
TMIN,MAMJJASO,7.879,7.873,8.174,7.571,7.679,6.799,7.472,7.937,8.178,8.461,8.411,7.757,7.406,7.754,8.750,7.806,9.002,8.642,8.979,8.222,8.286,8.095,8.657,8.409,9.025,9.061,8.666,8.136,8.669,8.285
TMIN,AMJJAS,9.089,8.975,9.057,8.688,8.620,7.590,8.857,8.758,8.932,8.989,9.358,8.866,8.661,8.456,9.643,8.551,9.853,9.401,10.028,9.140,9.051,9.084,9.972,9.701,9.750,10.074,9.521,9.404,9.477,9.543
TMIN,ONDJFM,3.286,2.731,3.418,3.641,2.407,2.413,2.995,3.468,4.381,4.417,3.279,4.234,3.544,3.114,4.411,3.843,3.888,5.252,4.393,4.244,3.099,4.924,4.079,3.769,4.718,4.147,4.595,4.761,3.393,2.336
TMIN,NDJF,2.680,2.451,2.384,3.198,1.434,1.122,2.253,3.018,3.971,3.063,1.601,3.539,3.336,2.623,4.165,2.639,2.537,4.394,3.732,3.328,2.343,3.886,3.675,3.339,4.412,3.169,3.793,4.181,2.603,0.802
TAVG,year,9.450,9.669,10.105,9.648,8.868,8.498,9.341,9.697,10.233,10.203,9.852,9.584,9.428,9.771,10.567,9.456,10.692,10.380,10.449,10.019,9.948,10.242,10.548,10.353,10.559,10.692,10.735,9.874,9.859,8.934
TAVG,MAMJJASO,11.421,11.754,11.967,11.813,11.112,10.365,11.247,11.463,12.242,12.343,12.106,11.393,11.028,11.325,12.954,11.611,12.732,12.132,12.530,12.051,12.096,11.813,12.664,12.126,12.632,12.854,12.494,11.768,12.244,12.017
