Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.182,12.678,13.430,12.517,10.918,12.119,10.753,12.706,14.028,13.612,13.123,13.453,12.028,12.699,13.143,12.111,12.842,12.291,13.966,14.076,13.200,13.668,12.862,12.753,12.948,13.878,13.676,13.757,12.754,12.324
TMAX,MAMJJASO,17.360,17.462,18.529,17.742,17.049,17.528,15.914,18.035,18.676,17.877,17.688,18.102,16.935,18.046,18.650,17.750,17.781,17.491,19.454,18.555,18.730,19.439,17.910,17.886,17.985,19.182,19.033,18.246,17.838,18.884
TMAX,AMJJAS,20.122,20.044,21.568,20.534,19.700,20.204,18.567,21.182,21.391,20.031,20.305,21.402,19.773,21.263,21.321,20.672,20.902,20.288,22.590,20.967,21.666,23.234,21.050,20.611,21.136,22.500,21.442,20.822,21.235,22.324
TMAX,ONDJFM,2.303,4.237,5.893,4.613,2.317,3.746,2.797,4.840,6.142,6.805,5.562,6.722,4.797,3.136,5.462,2.712,5.539,4.972,3.801,5.715,6.536,5.826,2.556,4.605,4.571,3.976,7.475,6.037,5.449,2.894
TMAX,NDJF,0.943,1.070,4.240,2.385,-1.351,0.278,0.257,2.760,3.796,4.466,3.270,4.705,3.588,0.419,3.507,-0.888,3.152,3.303,0.476,3.703,4.312,2.860,-0.045,2.681,2.965,1.190,4.559,4.133,3.206,0.175
TMIN,year,5.029,4.950,5.843,5.293,3.656,4.622,3.233,5.214,6.328,6.205,5.788,5.730,4.578,4.917,5.287,4.002,5.044,4.994,5.752,6.377,5.486,5.192,5.259,5.251,4.815,5.508,5.730,6.211,5.238,4.866
TMIN,MAMJJASO,8.856,8.319,9.543,9.045,8.867,8.658,7.350,9.282,9.576,8.904,8.946,8.755,8.055,8.738,9.453,8.026,8.436,8.891,9.487,9.070,9.675,9.079,8.654,8.897,7.928,8.791,9.359,8.909,8.487,9.674
TMIN,AMJJAS,10.923,10.067,11.566,10.938,10.507,10.472,9.722,11.695,11.192,10.385,10.727,10.983,10.007,10.850,11.084,10.052,10.553,11.179,11.428,10.589,11.808,11.491,11.007,10.712,10.486,10.948,10.992,10.340,10.616,12.462
TMIN,ONDJFM,-3.037,-1.192,0.813,-0.536,-2.635,-1.545,-2.948,-0.240,0.304,1.290,0.708,1.470,-0.224,-1.945,0.444,-3.367,0.046,-0.148,-1.737,0.844,1.497,-0.013,-2.870,-0.148,-0.606,-1.597,1.662,1.624,0.794,-1.793
TMIN,NDJF,-3.544,-3.822,-0.297,-2.183,-6.210,-4.636,-4.822,-1.622,-1.557,-0.459,-0.897,0.172,-0.863,-4.231,-1.028,-6.151,-1.794,-1.046,-4.344,-0.664,0.363,-2.355,-4.841,-1.363,-1.458,-2.927,-0.316,0.526,-0.937,-3.611
TAVG,year,8.452,8.697,9.511,8.752,7.155,8.250,6.804,8.799,10.028,9.743,9.307,9.479,8.148,8.681,9.036,7.903,8.838,8.454,9.789,10.067,9.200,9.379,8.955,8.897,8.963,9.848,9.771,10.058,9.071,8.615
TAVG,MAMJJASO,12.857,12.698,13.836,13.198,12.725,12.893,11.329,13.447,13.933,13.193,13.097,13.279,12.288,13.216,13.801,12.631,12.959,12.948,14.361,13.579,13.993,14.163,13.112,13.207,13.054,14.160,14.255,13.676,13.225,14.275
TAVG,AMJJAS,15.260,14.870,16.360,15.526,14.840,15.160,13.863,16.234,16.121,15.037,15.324,16.085,14.693,15.927,15.953,15.116,15.610,15.500,16.955,15.553,16.506,17.347,15.883,15.495,15.967,16.943,16.325,15.740,16.019,17.419
TAVG,ONDJFM,-0.379,1.458,3.303,1.986,-0.203,1.066,-0.124,2.164,3.060,3.906,3.040,3.966,2.197,0.486,2.768,-0.336,2.688,2.299,0.878,3.232,3.929,2.821,-0.241,2.203,1.982,1.213,4.596,3.866,3.167,0.586
TAVG,NDJF,-1.240,-1.331,1.979,0.095,-3.780,-2.113,-2.226,0.503,1.055,1.913,1.191,2.419,1.340,-1.964,1.148,-3.421,0.703,1.079,-2.013,1.553,2.311,0.261,-2.399,0.702,0.792,-0.772,2.211,2.380,1.227,-1.635
RH,year,79.197,77.609,77.417,78.226,78.893,78.658,78.199,78.203,79.182,79.237,80.171,77.218,76.818,77.048,77.270,75.939,76.162,77.951,75.509,77.612,78.386,74.338,78.060,78.989,77.654,76.118,78.660,77.620,78.968,80.610
RH,MAMJJASO,75.597,73.588,74.308,75.567,76.767,75.857,74.677,75.491,75.948,75.164,77.259,72.666,73.977,73.067,73.837,71.731,71.980,74.559,70.507,73.248,75.064,69.035,73.405,74.473,73.537,70.814,74.328,73.085,74.367,76.793
RH,AMJJAS,74.119,71.396,71.955,73.856,74.544,74.239,74.466,73.029,73.514,74.017,75.555,69.894,71.612,70.896,71.497,69.725,69.067,74.059,67.774,71.635,73.644,65.495,72.028,71.251,71.791,67.053,71.763,69.392,70.958,74.786
RH,ONDJFM,80.990,85.228,83.902,81.282,83.156,83.551,82.396,83.768,83.399,84.128,84.900,85.003,84.284,82.019,83.112,80.859,83.107,83.657,82.799,82.790,82.911,84.576,81.817,86.731,84.923,83.730,85.224,86.493,86.656,87.142
RH,NDJF,84.324,87.264,84.867,82.419,83.087,84.491,84.750,84.747,84.809,86.827,86.598,86.688,85.396,82.994,85.196,83.293,84.788,85.836,85.553,84.657,86.179,86.394,84.761,87.991,87.112,86.100,87.170,87.377,88.242,88.058
RHmin,year,63.802,61.701,61.811,63.006,63.137,62.889,61.768,62.326,62.908,63.569,64.206,61.821,61.361,61.355,60.956,59.758,60.610,62.418,59.832,61.983,62.195,58.668,62.597,63.445,61.959,60.945,63.159,63.219,64.346,65.304
RHmin,MAMJJASO,58.331,56.004,56.918,58.327,59.984,58.235,56.987,58.181,57.994,57.546,59.249,55.510,56.707,55.690,56.101,53.657,54.697,57.516,53.098,55.244,57.309,51.560,55.840,57.142,55.339,53.506,56.835,56.645,57.394,59.200
RHmin,AMJJAS,56.215,53.092,53.618,55.629,56.499,55.771,56.679,55.343,54.523,55.900,56.740,52.154,53.746,52.626,52.841,50.929,51.217,56.580,49.464,52.800,55.003,47.223,53.801,53.379,53.634,49.265,53.747,52.244,52.885,57.041
RHmin,ONDJFM,68.175,71.350,71.235,68.700,70.456,70.356,68.307,70.709,68.508,70.104,72.316,71.465,71.195,69.162,70.062,66.462,69.350,70.746,68.864,70.692,70.649,69.981,68.563,74.304,72.080,70.545,71.460,75.377,74.950,75.036
RHmin,NDJF,72.929,74.314,73.259,70.891,70.488,71.969,71.753,73.040,70.823,73.512,75.473,74.627,73.614,70.912,72.976,70.094,72.127,74.328,72.393,73.481,75.624,72.788,72.434,77.143,75.599,75.744,74.755,77.886,77.483,77.893
PREC,year,802.625,538.636,694.071,609.142,683.879,723.682,642.574,670.535,662.421,809.730,664.262,644.304,702.993,685.215,692.035,584.489,749.148,817.015,670.179,644.640,786.217,597.581,619.136,687.531,603.441,542.653,741.430,713.769,592.502,422.161
PREC,MAMJJASO,531.836,366.545,432.085,432.933,496.210,484.038,421.251,457.220,466.807,525.897,427.697,389.420,472.382,459.241,482.231,347.677,521.625,586.127,381.895,433.130,525.659,342.516,432.950,484.042,427.027,364.765,479.773,483.396,391.898,274.453
PREC,AMJJAS,344.378,283.894,295.321,326.368,393.586,392.779,382.638,366.376,312.734,393.151,343.679,278.460,361.823,316.283,371.247,260.951,349.281,441.515,256.961,321.061,413.210,220.245,349.848,323.624,352.350,247.865,361.596,302.128,260.296,218.202
PREC,ONDJFM,158.817,394.788,351.035,332.505,265.605,325.009,291.206,274.525,322.202,427.989,336.105,370.102,371.196,323.890,402.784,211.623,347.241,459.937,382.131,387.409,304.391,429.430,248.442,339.920,332.386,218.823,387.803,391.747,352.370,277.752
PREC,NDJF,88.857,238.839,231.668,246.327,143.722,219.353,221.874,200.581,230.353,268.103,226.644,275.084,267.726,173.729,275.451,152.772,249.764,278.771,248.224,220.405,223.626,309.648,154.718,211.990,199.876,140.684,274.220,225.947,207.268,162.865
SRAD,year,3397.015,3700.934,3537.905,3458.686,3380.028,3632.051,3450.399,3618.023,3610.267,3581.010,3534.457,3615.828,3549.337,3720.937,3735.939,3722.110,3722.451,3428.881,3805.349,3678.645,3634.467,3993.935,3683.456,3590.846,3833.616,3928.817,3704.215,3629.299,3781.152,3705.623
SRAD,MAMJJASO,3188.338,3485.070,3300.702,3249.623,3141.782,3389.037,3213.322,3397.073,3391.205,3388.446,3330.223,3401.572,3317.445,3476.584,3496.489,3474.809,3509.689,3203.662,3597.717,3482.720,3392.304,3775.295,3476.200,3359.179,3597.651,3694.361,3466.373,3410.790,3573.060,3483.171
