Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.155,15.895,16.215,14.755,15.178,15.312,15.101,16.000,16.916,16.768,15.717,16.274,15.771,17.024,15.931,14.951,16.688,16.186,15.953,16.792,16.102,16.675,17.477,16.023,15.917,16.843,16.827,16.253,16.547,15.098
TMAX,MAMJJASO,19.905,20.015,20.780,18.623,20.257,20.062,19.501,20.176,20.918,21.100,20.430,20.451,19.903,21.192,20.240,19.235,20.931,20.531,20.847,21.067,20.757,20.599,22.741,20.488,21.144,21.501,21.131,20.150,21.511,19.992
TMAX,AMJJAS,21.954,22.678,23.070,20.673,22.647,22.050,22.033,22.670,22.377,22.735,22.621,23.309,22.544,23.023,21.998,21.520,22.858,22.916,23.046,23.468,22.022,22.430,25.802,22.632,23.059,23.744,23.589,22.474,24.392,22.460
TMAX,ONDJFM,6.668,8.626,9.258,8.285,8.286,7.984,8.220,9.646,10.803,11.884,9.135,8.858,9.335,9.514,10.147,9.238,9.936,10.464,8.414,9.142,10.380,10.766,9.723,9.036,8.908,8.341,12.172,9.644,8.217,8.624
TMAX,NDJF,3.675,6.839,7.171,6.178,6.090,4.803,6.060,8.089,8.001,9.538,5.691,6.658,8.218,7.050,8.766,6.144,7.373,8.656,5.768,6.509,8.300,7.231,6.616,7.804,5.834,5.241,10.113,8.040,5.613,6.262
TMIN,year,6.057,6.834,6.684,5.650,5.583,6.112,6.344,6.958,6.999,6.952,6.353,7.205,6.785,8.009,6.781,6.177,7.034,6.721,7.091,7.506,7.051,7.518,7.289,6.932,6.631,7.469,7.257,7.088,7.254,6.396
TMIN,MAMJJASO,9.845,9.892,10.146,8.307,9.286,9.653,9.561,10.150,10.023,10.211,9.878,10.478,9.992,11.015,10.092,9.267,10.080,10.219,10.889,10.681,10.686,10.375,11.128,10.309,10.621,11.065,10.440,10.243,10.915,10.117
TMIN,AMJJAS,11.460,11.894,12.046,10.009,11.107,11.350,11.483,11.870,11.539,11.601,11.486,12.560,12.085,12.690,11.683,11.147,11.730,12.084,12.859,12.440,11.750,12.081,13.701,11.935,12.439,13.002,12.478,12.164,13.192,12.184
TMIN,ONDJFM,-1.029,0.984,1.772,0.574,0.798,0.375,0.686,2.476,2.587,2.461,1.644,1.109,1.802,2.290,2.340,1.652,2.058,2.134,1.010,1.513,2.974,2.268,1.934,1.140,1.440,0.719,3.409,1.593,1.078,1.231
TMIN,NDJF,-3.340,-0.370,0.287,-0.678,-0.815,-1.639,-0.691,1.108,0.638,0.944,-0.900,-0.530,0.915,0.457,1.682,-0.289,0.368,0.911,-1.040,-0.327,1.233,-0.159,0.253,0.340,-0.764,-1.346,2.022,0.304,-0.747,-0.249
TAVG,year,10.233,10.961,11.044,9.847,10.019,10.317,10.331,11.080,11.443,11.357,10.653,11.380,10.858,12.134,10.981,10.211,11.456,11.087,11.163,11.792,11.174,11.693,11.989,11.108,10.898,11.775,11.661,11.312,11.597,10.460
TAVG,MAMJJASO,14.461,14.502,15.019,13.043,14.304,14.388,14.054,14.719,14.961,15.127,14.730,15.079,14.488,15.657,14.716,13.834,15.045,15.008,15.435,15.472,15.251,15.052,16.502,14.997,15.440,15.879,15.370,14.832,15.856,14.665
TAVG,AMJJAS,16.294,16.867,17.163,14.939,16.423,16.266,16.270,16.802,16.521,16.673,16.647,17.554,16.860,17.453,16.411,15.941,16.877,17.139,17.549,17.579,16.449,16.859,19.391,16.908,17.369,17.971,17.657,16.961,18.444,16.966
TAVG,ONDJFM,2.522,4.440,5.149,4.071,4.281,3.875,4.105,5.699,6.237,6.531,5.034,4.609,5.204,5.573,5.918,5.084,5.651,5.869,4.429,4.995,6.352,6.056,5.468,4.676,4.810,4.196,7.363,5.220,4.397,4.678
TAVG,NDJF,-0.070,2.912,3.464,2.487,2.450,1.419,2.435,4.246,3.918,4.645,2.133,2.743,4.222,3.496,4.997,2.689,3.607,4.383,2.161,2.857,4.504,3.177,3.210,3.711,2.237,1.731,5.669,3.782,2.258,2.864
