Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,7.182,8.259,8.333,8.401,7.063,7.684,7.235,8.363,9.271,9.433,8.895,8.833,8.073,8.396,8.351,8.135,9.008,8.062,8.906,9.339,8.483,9.256,9.585,9.367,9.467,9.994,9.431,9.340,9.115,7.672
TMAX,MAMJJASO,11.595,12.142,12.189,12.227,11.876,12.010,11.305,12.382,12.769,13.166,12.610,12.195,11.736,12.487,12.355,12.493,12.982,11.855,12.953,12.890,12.510,14.008,13.546,13.391,13.178,13.704,13.658,12.965,13.386,12.979
TMAX,AMJJAS,14.285,14.394,14.572,14.780,13.931,14.069,13.405,15.205,15.012,15.271,14.851,14.967,14.083,15.122,14.486,14.739,15.725,14.232,15.368,14.924,14.974,17.226,16.121,15.833,15.305,16.857,15.487,15.579,16.225,15.452
TMAX,ONDJFM,-1.039,0.685,2.455,1.274,1.236,0.709,0.794,1.901,3.065,3.322,2.779,3.757,2.257,0.737,2.668,1.567,2.118,2.168,1.564,3.033,2.669,2.986,1.295,2.708,3.170,2.895,3.819,3.399,2.515,0.999
TMAX,NDJF,-1.605,-1.647,1.055,-0.268,-0.732,-2.394,-1.027,0.206,1.572,1.739,0.874,2.601,1.534,-1.206,1.553,-0.705,0.062,0.913,-0.227,1.570,1.092,1.022,-0.683,1.264,1.891,1.514,1.969,2.024,0.815,-0.996
TMIN,year,0.456,1.749,1.873,2.150,0.544,1.160,0.888,1.865,2.769,3.019,2.384,2.259,1.479,1.694,1.758,1.322,2.294,1.895,2.402,3.085,1.939,2.464,2.581,2.625,2.730,3.156,2.599,2.410,2.351,0.603
TMIN,MAMJJASO,4.452,5.086,5.398,5.282,4.996,5.075,4.539,5.243,5.515,5.884,5.457,4.935,4.386,5.124,5.193,4.968,5.409,5.100,5.824,5.915,5.313,6.374,5.909,6.049,5.612,5.916,6.074,5.195,5.770,5.240
TMIN,AMJJAS,6.656,6.597,7.286,7.392,6.606,6.522,6.203,7.554,7.084,7.458,7.123,7.075,6.252,7.108,6.694,6.626,7.456,7.153,7.616,7.443,7.460,8.917,7.968,7.898,7.529,8.549,7.592,7.162,7.986,7.196
TMIN,ONDJFM,-7.433,-4.717,-2.944,-4.208,-3.994,-5.028,-4.805,-3.079,-2.244,-1.680,-2.519,-1.392,-3.233,-4.709,-2.376,-4.124,-3.352,-2.968,-3.492,-2.387,-2.499,-2.451,-4.221,-2.937,-2.449,-2.772,-1.664,-2.037,-2.936,-4.635
TMIN,NDJF,-7.901,-7.222,-4.498,-5.700,-5.978,-8.261,-6.639,-4.588,-3.657,-3.026,-4.257,-2.515,-3.660,-6.618,-3.456,-6.220,-5.393,-3.900,-5.183,-3.728,-3.605,-4.229,-6.145,-4.190,-3.396,-3.525,-3.182,-2.989,-4.571,-6.306
