Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,17.444,18.125,18.570,17.068,16.604,17.799,16.890,17.687,18.332,18.460,17.404,18.818,18.205,19.207,17.996,17.011,17.703,18.166,18.458,19.760,18.214,19.026,19.088,17.873,18.064,18.849,19.602,19.496,19.131,17.903
TMAX,MAMJJASO,23.186,23.788,24.235,22.018,22.463,23.766,22.254,22.972,23.600,23.496,22.848,24.376,23.763,24.530,23.494,22.329,22.705,23.356,24.372,25.119,24.000,24.369,24.831,23.269,23.711,24.546,25.214,24.208,24.875,23.214
TMAX,AMJJAS,25.537,26.479,27.208,24.347,25.060,26.563,25.425,25.954,25.786,25.368,25.427,27.794,26.704,27.663,25.962,25.198,25.533,26.364,27.283,27.759,26.198,27.413,28.562,25.789,26.490,27.411,28.187,26.854,28.531,26.098
TMAX,ONDJFM,8.254,8.776,10.674,9.180,8.400,9.079,8.059,10.145,9.982,11.733,10.081,9.637,9.145,10.876,10.056,8.473,10.005,10.919,9.045,9.334,12.415,10.679,9.208,9.395,9.774,9.193,13.046,10.229,10.701,9.900
TMAX,NDJF,5.035,5.277,7.948,6.538,4.788,5.977,5.549,8.015,6.459,8.468,6.661,7.155,6.955,7.821,8.187,4.996,7.112,9.416,5.616,6.598,9.478,6.698,6.520,7.467,6.948,5.990,10.150,7.770,8.142,7.288
TMIN,year,7.324,7.487,7.564,7.152,6.432,6.694,6.693,7.307,7.860,7.535,7.122,7.770,7.179,8.519,7.717,7.126,7.177,7.894,8.347,8.696,8.006,8.422,7.433,7.768,7.342,7.947,8.550,8.915,8.441,8.098
TMIN,MAMJJASO,11.909,11.732,11.943,10.852,11.084,11.035,10.849,11.168,11.894,10.913,11.476,11.642,11.310,12.290,11.797,11.334,10.613,12.322,12.685,12.354,12.786,12.500,11.603,11.811,11.629,12.078,12.302,12.426,12.499,12.350
TMIN,AMJJAS,13.580,13.758,14.227,12.731,13.266,13.493,13.442,13.601,13.913,12.719,13.482,14.053,13.265,14.650,13.852,13.731,13.265,14.733,14.979,14.109,14.432,15.008,14.428,13.741,14.254,14.546,14.483,14.516,14.777,15.269
TMIN,ONDJFM,-0.986,0.338,2.707,0.160,-0.050,0.381,-1.162,2.606,1.034,1.850,1.401,0.995,0.562,2.727,1.954,-0.100,1.231,1.784,1.117,1.320,3.850,1.450,0.361,1.021,1.226,0.094,4.015,1.782,2.560,1.825
TMIN,NDJF,-3.671,-2.476,0.765,-1.792,-3.248,-1.606,-2.570,1.332,-1.152,-0.304,-0.965,-0.648,-1.184,0.395,0.668,-2.325,-0.714,1.384,-1.785,-0.833,1.788,-1.596,-1.652,-0.363,-0.589,-2.206,2.691,0.097,0.630,0.038
TAVG,year,12.148,12.481,12.829,11.835,11.168,11.967,11.560,12.214,12.772,12.706,11.953,13.112,12.442,13.632,12.578,11.719,12.118,12.742,13.064,13.935,12.751,13.407,12.962,12.500,12.311,13.012,13.759,13.875,13.498,12.664
TAVG,MAMJJASO,17.241,17.396,17.820,16.130,16.320,17.080,16.272,16.736,17.345,16.883,16.793,17.825,17.253,18.179,17.299,16.438,16.248,17.572,18.103,18.403,18.012,18.070,17.933,17.148,17.221,17.886,18.390,17.951,18.312,17.350
TAVG,AMJJAS,19.279,19.827,20.510,18.263,18.772,19.816,19.196,19.523,19.495,18.837,19.169,20.828,19.785,20.998,19.671,19.150,19.088,20.322,20.729,20.682,20.016,20.879,21.294,19.392,20.024,20.633,21.078,20.390,21.307,20.311
TAVG,ONDJFM,3.412,4.300,6.440,4.356,3.919,4.399,3.142,6.126,5.173,6.424,5.385,5.008,4.577,6.541,5.731,3.785,5.271,5.990,4.784,5.048,7.713,5.676,4.465,4.914,5.149,4.163,8.149,5.653,6.317,5.606
TAVG,NDJF,0.518,1.268,4.224,2.155,0.562,2.022,1.306,4.510,2.491,3.833,2.638,3.101,2.701,3.926,4.276,1.104,3.014,5.142,1.697,2.719,5.299,2.308,2.210,3.304,2.895,1.559,6.223,3.723,4.174,3.512
RH,year,70.757,71.163,68.694,72.330,73.280,69.901,70.591,70.704,72.239,70.383,71.966,67.983,69.123,70.543,71.950,73.038,71.910,72.115,73.387,69.001,72.118,70.943,66.470,72.173,71.870,71.207,68.460,71.145,71.573,75.013
RH,MAMJJASO,67.659,67.268,64.156,68.339,70.388,65.172,66.321,66.213,68.417,65.233,68.541,62.444,64.723,66.227,68.415,70.179,67.261,68.746,69.060,63.334,68.944,67.231,61.163,68.768,67.690,66.732,62.618,67.812,66.243,71.819
RH,AMJJAS,65.396,65.338,61.936,67.249,68.709,63.128,65.236,64.712,67.452,64.391,66.895,59.075,61.591,63.857,66.452,68.599,66.586,67.369,67.437,60.355,66.009,65.550,58.391,66.669,66.471,65.262,59.541,65.640,62.151,72.121
RH,ONDJFM,74.388,76.510,77.294,75.975,77.449,78.123,75.831,77.940,76.185,75.017,77.409,76.672,76.268,77.715,77.065,78.005,77.241,75.584,79.782,79.138,77.543,76.037,75.351,76.705,77.495,78.278,76.160,77.187,79.361,79.441
RH,NDJF,74.756,78.878,79.203,78.966,78.058,80.146,79.022,81.899,80.160,77.853,80.185,79.692,77.594,79.898,78.234,80.125,79.904,79.384,81.978,80.808,80.091,78.328,77.183,78.033,80.011,80.116,80.796,79.024,80.444,82.527
RHmin,year,52.426,51.766,49.739,53.761,53.690,50.380,52.096,52.004,52.726,51.282,52.718,49.630,50.053,51.738,53.126,54.039,52.530,52.982,54.213,50.133,52.948,51.937,47.432,53.243,52.007,51.361,49.779,51.914,52.599,55.720
RHmin,MAMJJASO,48.688,47.173,45.126,49.224,49.974,45.001,47.442,46.875,48.370,45.350,48.893,43.654,45.215,46.748,48.667,50.618,46.765,50.046,48.783,44.029,49.736,47.787,42.052,48.973,47.253,46.149,43.254,48.050,46.467,51.971
RHmin,AMJJAS,46.400,45.373,43.169,48.240,48.556,43.647,46.301,45.624,47.814,45.124,47.328,40.514,42.238,44.611,47.282,49.467,46.762,48.578,47.099,41.321,47.436,46.129,39.489,46.877,46.816,45.144,40.627,46.302,41.978,52.842
RHmin,ONDJFM,55.118,58.260,59.820,56.484,58.639,58.844,56.384,61.069,57.252,54.856,58.527,57.980,57.637,59.737,59.207,58.738,58.010,56.490,61.348,60.724,58.540,56.425,56.767,58.264,58.658,57.772,57.224,58.657,60.685,61.292
RHmin,NDJF,56.015,61.244,62.730,59.842,59.564,62.392,60.481,65.613,62.502,58.491,62.334,61.757,59.455,62.581,61.369,62.620,61.751,61.444,63.725,63.102,61.786,59.437,59.089,60.056,62.057,60.749,63.303,61.513,62.664,65.018
PREC,year,769.119,655.098,668.815,740.950,839.114,653.877,758.317,747.201,688.241,710.251,720.958,727.130,654.159,806.876,837.614,761.940,755.364,817.453,779.292,790.319,861.545,793.771,564.770,793.488,889.588,725.002,822.105,774.573,841.381,1117.837
PREC,MAMJJASO,511.156,415.108,456.368,550.328,580.242,407.504,478.738,464.837,537.432,482.322,488.108,509.384,436.040,611.500,597.874,627.058,541.644,655.773,533.407,517.374,636.413,608.250,410.918,541.528,546.427,537.176,536.118,562.126,541.738,839.351
PREC,AMJJAS,390.174,362.862,342.468,464.251,495.649,343.120,395.606,369.908,464.462,399.395,405.518,328.124,323.443,450.026,507.696,547.986,471.912,503.778,443.982,367.186,534.614,465.656,316.438,426.509,502.233,433.164,410.283,434.724,348.683,781.789
PREC,ONDJFM,146.239,332.817,408.683,250.602,275.503,354.711,333.717,392.815,278.402,226.593,267.816,415.501,366.657,353.805,403.180,225.007,212.599,298.074,351.451,439.399,363.567,268.114,290.910,357.640,346.860,368.602,368.266,327.580,411.729,404.513
PREC,NDJF,83.727,253.583,306.248,167.205,175.645,299.034,233.450,291.622,220.917,172.045,191.247,265.345,220.692,227.620,219.270,185.196,137.919,218.673,205.088,255.921,255.833,209.674,173.460,219.036,262.927,283.471,265.066,192.784,260.033,283.144
SRAD,year,4402.708,4677.736,4494.360,4156.296,4164.038,4551.383,4330.819,4458.356,4337.172,4542.426,4279.638,4654.759,4515.362,4559.903,4363.948,4288.974,4554.319,4385.810,4431.065,4656.836,4338.797,4461.573,4888.288,4442.124,4586.967,4606.595,4743.167,4540.778,4581.483,4257.626
SRAD,MAMJJASO,3886.679,4155.300,3979.315,3673.729,3681.472,4036.544,3859.673,3968.588,3811.724,4036.153,3766.849,4134.567,4033.690,4065.254,3897.850,3773.619,4061.964,3824.237,3956.035,4150.333,3815.414,3984.684,4318.598,3949.565,4068.319,4088.065,4269.191,3997.378,4127.417,3783.621
SRAD,AMJJAS,3346.193,3522.111,3425.069,3089.558,3138.341,3428.894,3286.330,3378.386,3195.867,3385.024,3244.694,3588.957,3489.915,3494.798,3330.493,3198.673,3400.691,3248.342,3377.759,3584.699,3306.229,3401.366,3689.422,3402.976,3382.430,3469.639,3672.785,3414.118,3647.954,3136.793
SRAD,ONDJFM,627.609,1129.888,1020.776,1099.771,1036.303,1064.485,1119.162,993.103,1146.535,1224.716,1033.429,1114.166,1031.140,1010.176,1036.038,1079.018,1149.006,1184.994,1049.842,1033.557,1025.341,1146.695,1118.508,1054.467,1136.926,1147.599,1122.284,1105.911,1006.601,1035.045
SRAD,NDJF,318.726,512.889,478.460,502.542,519.260,481.729,506.366,440.756,505.586,577.181,489.926,521.097,511.669,457.058,496.488,475.096,524.772,524.913,498.772,504.959,501.398,510.750,524.871,522.715,502.148,537.715,462.207,529.634,490.198,456.296
WIND,year,2.735,2.500,2.747,2.560,2.542,2.465,2.611,2.474,2.304,2.491,2.333,2.427,2.425,2.437,2.500,2.346,2.386,2.431,2.284,2.355,2.428,2.276,2.181,2.231,2.122,2.039,2.223,2.190,2.109,2.142
WIND,MAMJJASO,2.558,2.404,2.613,2.508,2.447,2.392,2.608,2.321,2.253,2.422,2.319,2.395,2.371,2.428,2.378,2.327,2.434,2.455,2.158,2.315,2.367,2.248,2.182,2.141,2.080,2.057,2.130,2.083,2.120,2.125
WIND,AMJJAS,2.459,2.336,2.488,2.420,2.498,2.440,2.575,2.236,2.210,2.336,2.325,2.303,2.303,2.323,2.386,2.336,2.447,2.337,2.065,2.218,2.401,2.132,2.133,2.119,2.065,1.991,2.137,2.023,2.018,2.077
WIND,ONDJFM,2.895,2.886,2.983,2.825,2.581,2.521,2.554,2.737,2.405,2.672,2.385,2.586,2.504,2.595,2.690,2.284,2.328,2.558,2.441,2.541,2.442,2.458,2.232,2.363,2.310,2.007,2.338,2.288,2.291,2.123
WIND,NDJF,2.956,2.903,3.039,2.871,2.588,2.686,2.578,2.691,2.501,2.668,2.391,2.560,2.483,2.493,2.676,2.442,2.302,2.505,2.373,2.522,2.421,2.509,2.188,2.354,2.341,1.967,2.385,2.302,2.293,2.027
VPD,year,0.592,0.598,0.699,0.541,0.523,0.633,0.594,0.611,0.577,0.636,0.570,0.759,0.674,0.701,0.603,0.542,0.576,0.607,0.584,0.751,0.610,0.652,0.782,0.576,0.587,0.652,0.754,0.645,0.670,0.535
VPD,MAMJJASO,0.794,0.807,0.953,0.723,0.707,0.869,0.807,0.830,0.771,0.860,0.771,1.043,0.918,0.953,0.814,0.721,0.777,0.813,0.798,1.025,0.824,0.873,1.073,0.771,0.798,0.892,1.034,0.849,0.925,0.715
VPD,AMJJAS,0.928,0.949,1.135,0.834,0.822,1.021,0.942,0.975,0.880,0.978,0.899,1.273,1.098,1.151,0.959,0.851,0.905,0.967,0.936,1.206,0.977,1.038,1.304,0.904,0.934,1.044,1.243,1.009,1.132,0.828
VPD,ONDJFM,0.240,0.242,0.257,0.246,0.228,0.230,0.237,0.254,0.270,0.307,0.250,0.246,0.237,0.261,0.240,0.219,0.255,0.278,0.214,0.220,0.302,0.279,0.249,0.236,0.240,0.222,0.319,0.246,0.237,0.229
VPD,NDJF,0.178,0.161,0.190,0.168,0.160,0.154,0.159,0.165,0.161,0.211,0.155,0.170,0.183,0.175,0.202,0.141,0.182,0.211,0.137,0.161,0.200,0.183,0.186,0.188,0.166,0.152,0.201,0.189,0.185,0.148
FWI_FD,year,3.678,4.247,5.661,3.609,3.203,4.923,4.048,4.296,3.660,5.022,3.861,6.226,4.827,4.554,3.749,3.025,4.056,3.705,3.738,5.861,3.837,4.055,6.256,3.481,3.613,4.407,5.283,3.689,4.476,2.231
FWI_FD,MAMJJASO,5.183,5.796,7.798,4.837,4.634,6.939,5.748,6.016,5.009,7.121,5.482,9.059,6.940,6.503,5.319,4.093,5.646,5.098,5.311,8.453,5.322,5.782,9.010,4.953,4.867,6.213,7.657,4.899,6.560,3.123
FWI_FD,AMJJAS,6.387,6.820,9.212,5.605,4.759,7.721,6.447,6.716,5.410,7.950,6.311,11.303,8.590,8.049,5.830,4.840,6.206,6.150,6.129,9.699,6.241,7.097,11.044,5.937,5.423,6.315,9.507,5.889,8.099,3.405
FWI_FD,ONDJFM,0.620,1.126,1.674,2.161,1.197,1.701,2.085,1.640,2.156,2.572,1.588,1.288,0.966,1.120,0.864,1.683,1.511,2.360,0.636,1.068,2.129,1.822,1.201,0.853,1.052,1.613,2.839,0.985,1.172,1.067
FWI_FD,NDJF,0.397,0.602,1.087,1.374,0.977,0.267,0.859,0.610,0.885,1.330,0.434,0.517,0.360,0.541,0.587,0.466,0.895,1.342,0.275,0.554,0.735,0.785,0.497,0.549,0.425,1.063,0.909,0.629,0.833,0.227
FWI_3+,year,37.211,46.630,69.310,35.786,34.737,65.182,46.267,47.048,36.316,54.449,40.743,73.314,57.795,51.843,40.215,28.561,45.042,38.325,43.918,79.515,40.625,49.288,81.231,37.187,34.992,58.335,63.286,37.008,61.090,18.239
FWI_3+,MAMJJASO,36.986,45.373,68.803,35.015,34.642,65.119,46.076,46.493,35.914,54.175,40.474,73.305,57.764,51.779,40.139,28.020,42.985,37.906,43.644,79.488,39.985,49.175,81.214,37.179,33.923,57.750,63.210,36.617,61.085,18.122
FWI_3+,AMJJAS,36.701,43.513,64.371,34.254,24.893,53.514,39.857,38.534,30.705,47.965,36.869,70.820,56.061,50.523,34.527,27.411,38.807,36.771,40.892,66.798,39.556,48.256,78.221,35.987,31.657,40.744,62.206,36.252,57.054,17.721
FWI_3+,ONDJFM,0.053,0.650,3.757,4.408,1.234,9.840,11.667,6.410,8.766,7.893,4.292,3.897,2.255,1.925,1.004,5.687,1.461,7.474,0.523,2.504,12.728,1.892,2.885,0.507,1.289,3.070,18.033,0.647,0.739,4.213
FWI_3+,NDJF,0.020,0.210,1.252,0.564,0.716,0.092,0.064,0.191,0.609,0.620,0.012,0.267,0.006,0.024,0.067,0.075,0.540,2.474,0.004,0.272,0.036,0.662,0.084,0.019,0.005,1.069,0.656,0.016,0.381,0.006
FWI_4+,year,6.236,2.966,19.337,5.738,2.105,9.357,8.592,9.840,3.766,17.314,6.981,31.095,16.570,21.579,9.709,2.863,4.877,7.887,2.974,21.857,7.044,9.037,26.642,6.978,3.920,9.832,19.578,4.186,7.857,1.114
FWI_4+,MAMJJASO,6.236,2.903,19.334,5.723,2.101,9.357,8.592,9.839,3.766,17.311,6.961,31.095,16.568,21.566,9.709,2.855,4.687,7.887,2.972,21.857,6.984,9.028,26.642,6.978,3.910,9.832,19.578,4.181,7.856,1.105
FWI_4+,AMJJAS,6.236,2.852,19.081,5.723,1.022,7.413,7.815,9.774,3.565,16.888,6.680,30.936,16.452,21.531,9.691,2.852,4.677,7.887,2.933,20.874,6.984,9.000,26.590,6.963,3.891,8.230,19.578,4.177,7.768,1.095
FWI_4+,ONDJFM,0.000,0.000,0.128,0.245,0.013,1.083,1.944,0.777,0.066,0.205,0.437,0.289,0.156,0.118,0.048,0.018,0.011,0.200,0.003,0.038,0.984,0.078,0.070,0.001,0.018,0.025,1.602,0.000,0.009,0.094
FWI_4+,NDJF,0.000,0.000,0.063,0.006,0.013,0.004,0.000,0.000,0.002,0.003,0.000,0.020,0.000,0.002,0.013,0.000,0.008,0.190,0.002,0.000,0.000,0.066,0.003,0.001,0.000,0.010,0.000,0.000,0.004,0.001
FWI_5+,year,0.602,0.051,2.270,0.267,0.019,0.326,0.542,1.730,0.226,3.601,0.498,8.427,2.272,3.907,0.340,0.114,0.054,0.747,0.123,2.730,0.538,0.862,3.466,0.841,0.152,1.236,4.046,0.114,0.124,0.015
FWI_5+,MAMJJASO,0.602,0.047,2.270,0.265,0.018,0.326,0.542,1.730,0.226,3.601,0.498,8.427,2.272,3.904,0.340,0.114,0.049,0.747,0.123,2.730,0.538,0.861,3.466,0.841,0.150,1.236,4.046,0.114,0.124,0.010
FWI_5+,AMJJAS,0.602,0.036,2.269,0.265,0.003,0.326,0.531,1.729,0.226,3.597,0.498,8.427,2.266,3.904,0.340,0.114,0.049,0.747,0.123,2.720,0.538,0.861,3.466,0.841,0.148,1.148,4.046,0.114,0.124,0.009
FWI_5+,ONDJFM,0.000,0.000,0.015,0.002,0.000,0.015,0.000,0.011,0.001,0.000,0.004,0.000,0.000,0.006,0.003,0.000,0.000,0.005,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.004,0.088,0.000,0.000,0.000
FWI_5+,NDJF,0.000,0.000,0.004,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000
FWI_6,year,0.017,0.003,0.192,0.001,0.000,0.000,0.039,0.250,0.003,0.303,0.008,1.850,0.200,0.129,0.003,0.002,0.000,0.012,0.001,0.084,0.054,0.020,0.140,0.005,0.000,0.028,0.193,0.003,0.006,0.002
FWI_6,MAMJJASO,0.017,0.003,0.192,0.000,0.000,0.000,0.039,0.250,0.003,0.303,0.008,1.850,0.200,0.129,0.003,0.002,0.000,0.012,0.001,0.084,0.054,0.020,0.140,0.005,0.000,0.028,0.193,0.003,0.006,0.000
FWI_6,AMJJAS,0.017,0.002,0.192,0.000,0.000,0.000,0.039,0.250,0.003,0.303,0.008,1.850,0.198,0.129,0.003,0.002,0.000,0.012,0.001,0.082,0.054,0.020,0.140,0.005,0.000,0.019,0.193,0.003,0.006,0.000
FWI_6,ONDJFM,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000
FWI_6,NDJF,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DFM10H,year,19.376,17.997,17.118,18.367,20.670,17.433,19.611,18.270,18.043,17.291,18.122,17.214,17.529,17.647,18.824,18.701,18.031,18.238,18.714,17.608,18.885,18.340,16.749,18.602,18.853,18.347,17.262,17.386,18.419,20.235
DFM10H,MAMJJASO,16.764,15.482,15.331,17.246,17.844,15.118,16.736,16.344,16.852,15.656,16.331,15.343,15.928,16.909,17.046,17.617,16.149,17.643,16.451,15.367,17.684,16.910,14.502,16.973,16.381,16.393,15.158,16.605,16.170,18.367
DFM10H,AMJJAS,16.367,15.571,15.010,17.621,17.856,14.982,16.337,16.001,17.385,16.207,16.341,13.961,15.170,16.442,17.176,17.748,16.636,17.361,16.485,14.318,17.430,16.631,14.131,16.809,16.729,16.379,14.650,16.377,14.770,19.491
DFM10H,ONDJFM,22.426,22.132,20.004,18.721,22.653,20.543,22.635,20.446,19.031,17.610,18.901,21.423,20.183,19.086,20.605,19.541,19.480,18.253,20.743,22.751,19.032,20.020,20.340,20.218,20.661,21.612,18.288,19.157,20.966,20.837
DFM10H,NDJF,24.461,25.398,21.596,20.386,24.696,22.999,25.033,21.689,21.562,19.360,21.089,22.893,20.697,19.670,21.134,21.778,21.613,19.592,22.092,23.997,19.746,22.753,22.230,21.080,22.506,24.070,20.235,19.917,22.090,22.620
DFM10H_u10,year,82.108,94.749,108.130,75.147,68.848,107.010,81.232,93.254,80.454,105.935,78.509,117.245,97.312,88.738,80.541,62.721,93.299,73.666,78.105,110.811,77.801,97.594,128.373,77.401,93.925,98.645,117.662,88.400,103.013,62.614
DFM10H_u10,MAMJJASO,76.683,88.632,103.333,70.433,66.790,103.517,78.470,89.303,78.485,98.953,72.220,113.628,90.581,83.035,77.394,59.336,89.243,65.691,77.402,108.874,73.342,89.959,121.090,74.743,89.531,95.906,116.045,80.945,101.827,60.479
DFM10H_u10,AMJJAS,69.054,76.527,89.962,60.099,54.750,84.636,64.816,73.864,61.776,74.038,60.213,100.665,84.447,73.664,64.714,52.713,69.723,55.415,66.903,96.028,69.467,73.902,103.733,64.943,70.785,78.094,98.271,72.278,97.046,45.349
DFM10H_u10,ONDJFM,9.186,15.920,13.685,19.890,8.562,17.703,21.429,13.408,25.938,28.681,22.168,20.533,13.927,11.793,11.426,17.257,15.886,29.290,8.480,7.062,15.852,23.555,22.758,13.181,16.078,17.497,28.626,17.860,6.629,12.899
DFM10H_u10,NDJF,3.083,4.283,4.963,5.167,4.454,2.928,4.377,0.530,3.775,8.479,5.117,4.049,5.561,4.796,4.724,4.087,1.994,10.204,0.924,1.745,2.888,7.234,7.674,4.579,1.846,4.495,2.244,6.890,1.389,2.190
DFM10H_u8,year,22.799,24.226,43.024,22.489,11.757,40.115,25.167,30.111,19.484,41.326,17.179,54.299,46.085,34.580,27.865,19.220,19.817,21.714,15.671,56.795,27.973,35.155,65.843,18.596,25.613,32.699,54.975,23.058,39.223,9.217
DFM10H_u8,MAMJJASO,21.218,23.250,42.915,21.886,11.664,39.809,24.966,29.643,19.312,40.449,16.551,54.090,45.593,33.685,27.740,19.116,19.758,21.131,15.668,56.711,27.799,33.948,64.681,18.009,24.749,32.563,54.786,22.478,39.177,9.146
DFM10H_u8,AMJJAS,20.210,21.857,39.577,20.703,9.320,32.546,20.761,27.392,16.502,31.635,14.377,52.196,44.851,32.492,25.265,18.484,16.742,18.011,14.065,53.526,27.648,26.842,56.710,17.108,22.224,28.408,49.482,21.199,38.497,8.053
DFM10H_u8,ONDJFM,1.814,2.245,3.490,2.026,1.468,1.957,7.616,4.080,4.876,6.144,4.942,3.667,1.411,1.370,1.260,2.992,2.477,4.501,1.541,0.164,3.365,8.126,9.291,1.017,2.237,2.327,7.515,3.498,0.093,1.349
DFM10H_u8,NDJF,0.814,0.940,0.806,0.110,0.634,0.341,0.226,0.000,0.469,1.047,0.524,0.204,0.334,0.781,0.390,0.213,0.031,0.621,0.003,0.060,0.116,1.233,1.090,0.703,0.230,0.696,0.260,0.592,0.003,0.074
