Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,20.596,21.135,21.122,19.817,21.042,20.825,20.901,21.325,21.376,21.571,20.618,21.469,21.353,22.299,20.964,20.565,21.959,21.739,21.723,22.342,22.178,21.875,22.649,21.763,21.407,22.521,22.683,22.273,22.460,21.242
TMAX,MAMJJASO,24.986,25.191,25.421,23.429,25.537,25.234,25.040,25.513,25.046,25.720,24.887,25.291,25.512,26.417,24.959,24.453,26.007,25.921,26.219,26.495,26.694,25.674,27.513,25.844,26.053,26.808,26.854,26.319,27.027,25.627
TMAX,AMJJAS,26.878,27.866,27.599,25.476,27.965,27.292,27.703,27.608,26.625,27.414,27.038,27.677,27.982,28.355,26.782,26.881,27.891,28.310,28.414,28.844,28.220,27.424,30.431,27.935,28.315,29.099,29.332,28.383,29.605,28.111
TMAX,ONDJFM,12.442,14.262,14.636,13.820,13.993,14.244,14.236,15.100,16.111,16.098,14.636,14.442,15.002,15.348,15.450,14.658,15.771,15.703,14.586,15.320,16.036,16.345,15.379,14.760,15.350,14.363,17.399,15.676,15.371,14.987
TMAX,NDJF,10.215,12.323,12.813,11.858,12.141,11.836,12.358,13.333,13.467,13.960,11.736,12.637,13.605,12.690,14.073,12.256,13.794,13.902,12.286,12.910,13.891,13.249,12.964,13.243,12.840,12.132,15.525,13.833,12.868,12.878
TMIN,year,10.845,11.733,11.246,10.618,11.158,11.366,11.381,11.700,11.376,11.629,10.864,11.898,11.581,12.561,11.218,11.214,11.775,11.505,11.810,12.371,12.054,12.380,12.492,12.046,11.478,12.230,12.158,12.313,12.395,11.743
TMIN,MAMJJASO,14.619,14.876,14.741,13.423,14.552,14.928,14.528,15.199,14.436,14.990,14.448,15.055,14.938,15.683,14.284,14.150,14.666,14.940,15.613,15.682,15.582,15.318,16.207,15.231,15.239,15.562,15.363,15.484,15.897,15.113
TMIN,AMJJAS,16.068,16.970,16.642,14.971,16.416,16.692,16.577,16.954,16.124,16.286,16.010,16.874,16.867,17.499,16.080,16.043,16.365,17.009,17.553,17.461,16.674,17.014,18.599,16.730,17.167,17.336,17.262,17.215,18.095,17.120
TMIN,ONDJFM,3.320,5.832,6.503,5.543,6.040,6.202,5.613,7.117,6.758,6.648,6.488,5.704,6.464,7.218,6.845,6.369,7.025,6.796,5.576,6.318,8.184,6.888,7.047,6.630,6.775,6.115,8.283,6.625,6.844,6.645
TMIN,NDJF,1.285,4.225,4.990,4.090,4.433,4.538,4.415,5.691,4.423,5.361,3.838,4.036,5.186,5.323,5.960,4.925,5.794,5.731,3.608,4.375,6.386,4.459,5.668,5.470,4.772,4.285,6.848,5.169,5.084,5.262
TAVG,year,15.685,16.380,15.925,15.068,15.913,15.957,16.068,16.425,16.241,16.497,15.592,16.379,16.104,17.111,15.764,15.579,16.525,16.361,16.520,17.104,16.794,16.920,17.346,16.574,16.160,16.999,17.132,16.821,16.928,15.997
TAVG,MAMJJASO,19.760,19.980,19.802,18.256,19.865,19.935,19.707,20.263,19.594,20.272,19.522,19.912,19.866,20.708,19.267,18.967,20.024,20.214,20.703,20.878,20.802,20.298,21.585,20.177,20.339,20.787,20.851,20.425,20.942,19.845
TAVG,AMJJAS,21.435,22.345,21.843,20.021,22.018,21.844,22.025,22.189,21.242,21.761,21.367,22.008,22.049,22.593,21.098,21.116,21.863,22.460,22.808,22.971,22.149,22.028,24.234,21.977,22.434,22.826,23.068,22.343,23.366,22.109
