Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,25.760,24.749,24.855,24.154,25.067,24.352,25.272,24.645,25.868,25.504,25.043,25.085,23.852,25.197,26.371,24.784,26.105,25.774,25.098,25.255,25.206,25.295,25.623,25.602,26.019,26.033,25.522,25.211,26.347,25.668
TMAX,MAMJJASO,28.425,28.153,27.981,27.416,28.642,27.745,28.748,27.787,29.324,29.222,28.847,28.425,26.793,28.379,29.996,28.391,29.693,28.906,28.491,28.594,28.789,28.386,29.574,29.158,30.220,29.998,28.884,28.353,30.356,29.817
TMAX,AMJJAS,29.911,29.860,28.870,29.179,30.116,29.232,30.959,28.893,30.506,30.992,31.254,30.314,28.585,29.431,31.148,29.953,30.111,29.898,30.297,29.824,30.563,29.754,31.598,31.301,32.071,32.104,30.368,29.950,31.282,32.175
TMAX,ONDJFM,19.437,21.510,19.461,19.877,19.327,19.799,20.291,19.559,20.917,21.216,18.698,19.807,19.680,19.365,21.236,20.412,21.839,21.590,20.637,20.493,19.921,20.383,20.185,19.632,19.910,19.350,20.475,21.333,20.396,20.139
TMAX,NDJF,18.431,20.112,17.277,18.359,17.561,17.338,18.115,18.078,18.854,18.753,16.873,17.939,18.549,17.401,19.405,18.055,18.595,19.018,18.879,18.465,18.137,18.258,17.979,18.268,17.787,17.142,18.608,19.715,17.549,17.729
TMIN,year,13.810,13.502,13.683,13.064,13.326,12.898,14.291,13.589,14.694,14.179,13.499,13.347,13.014,13.727,14.769,13.931,15.040,13.979,13.422,13.609,13.875,14.020,14.283,13.585,13.394,14.520,13.190,13.278,13.983,14.069
TMIN,MAMJJASO,16.134,15.530,15.790,15.043,15.427,15.129,16.596,15.577,16.669,16.647,16.080,15.608,15.190,15.811,16.702,16.059,17.138,16.299,16.307,15.757,16.493,15.908,16.846,16.065,16.610,17.359,15.642,15.545,16.272,16.518
TMIN,AMJJAS,17.014,16.866,16.683,16.402,16.687,16.009,17.930,16.615,17.550,17.671,17.354,16.929,16.379,16.300,17.655,17.215,17.827,17.452,17.361,16.980,16.907,16.496,17.971,17.329,17.688,18.253,16.943,16.841,16.948,17.909
TMIN,ONDJFM,8.083,11.024,9.685,10.253,10.141,9.917,10.089,10.735,10.448,12.348,9.927,9.209,10.045,10.054,11.283,11.908,11.162,12.394,9.097,9.679,11.498,10.166,11.305,10.471,8.716,9.749,11.149,9.952,9.219,11.061
TMIN,NDJF,6.285,10.339,8.262,9.619,9.566,8.832,8.367,10.166,8.950,11.324,8.078,7.915,9.148,8.765,10.077,10.845,9.871,11.216,7.484,7.882,10.364,8.099,9.638,9.650,6.530,7.567,9.869,8.865,7.557,9.629
TAVG,year,19.636,19.009,19.148,18.517,19.097,18.546,19.671,19.002,20.198,19.773,19.175,19.108,18.291,19.325,20.473,19.259,20.488,19.768,19.143,19.304,19.418,19.542,19.827,19.499,19.583,20.172,19.231,19.099,20.046,19.756
TAVG,MAMJJASO,22.103,21.709,21.757,21.126,21.921,21.345,22.573,21.534,22.905,22.858,22.360,21.902,20.837,21.971,23.253,22.110,23.342,22.483,22.316,22.046,22.542,22.023,23.087,22.490,23.276,23.555,22.112,21.814,23.226,23.069
TAVG,AMJJAS,23.288,23.211,22.595,22.694,23.263,22.524,24.327,22.607,23.930,24.250,24.193,23.480,22.320,22.738,24.299,23.466,23.871,23.547,23.757,23.257,23.656,23.018,24.657,24.167,24.750,25.058,23.478,23.257,24.018,24.933
TAVG,ONDJFM,13.583,16.182,14.487,15.009,14.656,14.791,15.120,15.054,15.591,16.738,14.233,14.426,14.778,14.572,16.114,16.095,16.414,16.942,14.714,14.951,15.583,15.139,15.614,14.948,14.245,14.455,15.732,15.524,14.675,15.447
TAVG,NDJF,12.186,15.153,12.659,13.943,13.511,13.010,13.106,14.062,13.836,14.992,12.406,12.813,13.778,12.935,14.592,14.369,14.138,15.047,13.027,13.006,14.133,13.051,13.692,13.848,12.108,12.280,14.156,14.192,12.392,13.489
RH,year,69.495,71.225,71.473,68.824,66.961,68.325,68.594,68.416,67.714,67.071,67.768,66.483,70.846,69.961,66.697,69.729,70.516,69.652,69.900,71.143,70.849,71.447,69.954,68.971,65.134,69.795,68.674,70.086,66.646,68.740
RH,MAMJJASO,67.272,65.239,67.563,63.822,61.181,62.309,63.264,63.351,62.317,60.625,61.955,61.053,65.858,64.165,60.208,64.377,64.293,65.315,66.234,66.117,66.925,65.931,63.860,63.059,60.032,64.152,63.171,65.152,59.692,62.724
