Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,8.837,9.833,9.969,9.808,7.933,9.127,8.363,9.755,10.972,10.888,10.074,10.367,9.635,9.884,9.757,9.461,10.459,9.318,10.230,10.911,9.872,10.695,10.827,10.467,10.881,11.222,10.844,10.754,10.239,8.828
TMAX,MAMJJASO,13.783,14.264,14.302,14.212,13.636,14.085,13.035,14.293,14.923,15.041,14.159,14.074,13.742,14.638,14.315,14.222,14.840,13.462,14.851,14.847,14.284,15.859,15.367,14.927,15.084,15.435,15.535,14.650,14.965,14.655
TMAX,AMJJAS,16.877,16.785,16.991,17.034,15.967,16.408,15.409,17.421,17.423,17.271,16.658,17.051,16.280,17.515,16.576,16.685,17.724,15.962,17.585,17.124,17.040,19.358,18.077,17.589,17.665,18.900,17.651,17.370,18.156,17.474
TMAX,ONDJFM,-0.537,1.277,3.402,2.065,0.878,1.170,0.983,2.561,4.098,4.222,3.251,4.710,3.130,1.311,3.606,2.025,3.251,2.885,2.006,3.884,3.443,3.821,1.830,3.159,3.582,3.192,4.548,4.307,2.957,1.287
TMAX,NDJF,-1.197,-1.452,1.970,0.210,-1.727,-2.350,-1.344,0.798,2.416,2.248,1.171,3.365,2.188,-0.965,2.194,-0.758,1.041,1.473,-0.156,2.153,1.862,1.629,-0.438,1.404,2.212,1.618,2.405,2.941,1.007,-0.876
TMIN,year,0.246,1.605,1.854,2.021,-0.354,0.945,0.417,1.770,2.907,3.115,2.352,2.520,1.727,1.413,1.802,1.161,2.218,1.922,2.213,3.233,1.930,2.265,2.270,2.258,2.510,2.818,2.678,2.717,2.246,0.520
TMIN,MAMJJASO,4.558,5.419,5.799,5.478,5.058,5.362,4.662,5.416,5.889,6.196,5.701,5.291,4.825,5.265,5.674,5.155,5.527,5.277,5.961,6.113,5.502,6.296,6.110,5.983,5.511,5.805,6.396,5.497,5.829,5.596
TMIN,AMJJAS,7.141,7.029,7.902,7.812,6.856,6.938,6.650,7.882,7.603,7.895,7.501,7.539,6.833,7.447,7.205,7.021,7.652,7.487,7.901,7.822,7.910,9.017,8.241,8.010,7.917,8.730,8.114,7.508,8.233,7.947
TMIN,ONDJFM,-9.229,-5.635,-3.404,-5.061,-5.608,-6.176,-6.313,-3.150,-2.654,-2.103,-3.084,-1.428,-3.454,-5.388,-2.514,-5.117,-3.572,-3.391,-4.098,-2.884,-2.523,-2.897,-5.012,-3.815,-3.414,-3.786,-2.017,-1.831,-3.445,-5.223
TMIN,NDJF,-9.167,-8.755,-4.969,-6.609,-8.505,-9.832,-8.449,-4.685,-4.239,-3.588,-4.994,-2.704,-3.893,-7.367,-3.826,-7.563,-5.765,-4.169,-6.127,-4.220,-3.405,-4.683,-7.339,-5.155,-4.190,-4.408,-3.712,-2.549,-5.221,-6.776
TAVG,year,4.572,5.751,5.923,5.933,3.785,5.021,4.359,5.784,6.956,6.987,6.182,6.459,5.645,5.653,5.737,5.284,6.364,5.556,6.208,7.015,5.865,6.484,6.512,6.324,6.655,6.999,6.721,6.757,6.205,4.631
TAVG,MAMJJASO,9.141,9.808,9.999,9.814,9.285,9.640,8.758,9.826,10.368,10.547,9.834,9.657,9.197,9.926,9.886,9.600,10.175,9.244,10.348,10.362,9.830,11.024,10.640,10.352,10.199,10.558,10.854,10.042,10.329,10.000
TAVG,AMJJAS,11.965,11.872,12.361,12.365,11.358,11.573,10.920,12.628,12.486,12.512,11.982,12.272,11.449,12.459,11.757,11.764,12.701,11.592,12.680,12.306,12.401,14.135,13.075,12.706,12.704,13.765,12.803,12.407,13.128,12.568
TAVG,ONDJFM,-4.726,-2.098,0.105,-1.376,-2.310,-2.422,-2.631,-0.242,0.800,1.116,0.089,1.690,-0.096,-2.001,0.591,-1.517,-0.106,-0.252,-1.001,0.543,0.475,0.509,-1.564,-0.317,0.104,-0.300,1.265,1.276,-0.210,-1.936
TAVG,NDJF,-5.026,-4.951,-1.342,-3.058,-5.030,-5.927,-4.817,-1.869,-0.749,-0.559,-1.850,0.437,-0.754,-4.103,-0.707,-4.084,-2.245,-1.293,-3.051,-0.952,-0.755,-1.428,-3.796,-1.784,-0.905,-1.338,-0.558,0.301,-2.044,-3.731
RH,year,81.709,82.200,82.207,82.111,81.836,80.103,80.199,80.496,79.995,79.150,80.477,79.081,80.859,78.096,79.765,80.540,78.464,82.591,81.603,82.014,81.261,80.455,80.191,81.309,80.987,80.870,81.112,81.787,81.799,82.160
RH,MAMJJASO,79.056,79.130,79.795,79.046,79.276,77.339,77.535,77.685,76.726,75.135,77.903,75.508,77.830,73.666,76.170,76.918,73.631,79.688,78.234,78.374,78.306,76.557,76.405,77.948,77.040,77.089,77.017,78.057,77.730,78.830
RH,AMJJAS,77.450,77.175,78.383,77.689,77.738,75.188,75.963,75.913,74.193,73.499,75.171,73.126,76.401,71.185,74.013,74.818,71.381,78.308,75.468,77.048,76.117,74.387,74.694,75.402,75.263,74.716,74.842,75.369,75.035,77.190
RH,ONDJFM,83.983,87.001,86.785,85.855,86.742,85.870,83.880,86.001,85.071,84.438,85.598,85.390,84.611,85.824,85.198,85.617,85.241,86.671,88.413,85.187,88.025,86.894,85.457,86.901,86.649,86.421,87.976,87.962,88.352,88.187
RH,NDJF,86.383,87.670,87.855,87.628,87.873,86.855,84.351,87.502,85.689,87.017,86.060,85.935,86.500,87.685,87.172,87.332,87.320,89.028,89.043,87.655,89.516,87.871,87.552,88.547,88.191,88.459,89.409,89.606,89.407,90.044
RHmin,year,62.759,64.037,64.110,64.958,63.056,62.237,62.586,63.282,62.917,62.649,63.539,62.675,63.508,60.523,62.415,62.489,61.491,65.837,64.131,65.112,63.855,62.674,61.875,63.383,62.912,63.117,63.496,64.586,64.405,63.494
RHmin,MAMJJASO,59.940,60.749,61.841,60.944,61.104,59.419,60.025,59.665,58.748,57.580,60.308,58.408,59.387,55.877,58.597,58.517,55.918,62.118,60.171,60.266,60.310,57.787,57.876,59.680,57.660,58.135,58.662,59.662,59.287,59.822
RHmin,AMJJAS,58.014,57.727,59.805,59.185,59.135,56.485,58.215,57.437,55.659,55.625,57.056,55.673,57.548,53.032,55.707,56.042,53.220,60.770,56.802,58.165,58.180,55.066,55.850,56.796,56.335,55.805,56.549,56.584,56.059,57.914
RHmin,ONDJFM,63.240,69.393,69.884,68.332,70.139,67.523,66.066,71.553,68.560,69.035,69.631,70.107,68.519,68.984,69.990,67.797,68.526,70.871,72.580,68.664,72.943,70.213,68.589,69.382,69.383,69.100,71.496,72.460,71.890,71.520
RHmin,NDJF,66.333,68.954,70.488,70.166,70.116,67.897,66.604,73.179,69.398,72.114,70.348,70.742,71.121,70.949,71.841,69.687,70.159,74.306,73.275,71.353,75.434,71.762,70.078,71.680,71.763,72.731,73.553,75.330,73.035,74.297
PREC,year,747.644,632.745,703.648,704.516,777.981,705.560,761.560,727.933,647.274,747.166,660.570,732.133,756.753,629.754,688.960,626.893,640.525,855.936,751.453,917.343,785.736,643.779,653.398,720.500,718.634,781.507,722.350,772.353,726.956,706.100
PREC,MAMJJASO,529.742,437.158,525.965,510.091,579.452,496.246,571.736,498.821,442.936,489.325,478.980,514.371,530.122,430.257,514.132,450.936,434.028,656.967,499.899,628.586,597.612,438.865,467.940,537.999,500.236,535.830,476.845,517.182,510.443,528.644
PREC,AMJJAS,362.919,339.478,394.642,359.641,479.929,389.739,469.541,401.811,336.739,391.442,383.738,413.824,428.615,313.264,395.708,363.991,344.265,509.589,398.525,480.004,492.595,335.741,393.120,434.641,429.506,380.857,411.015,380.501,424.825,440.042
PREC,ONDJFM,141.636,349.986,313.877,303.390,333.187,308.373,306.904,372.915,301.633,342.125,278.047,273.100,321.413,353.389,347.665,159.849,348.570,323.967,348.863,322.038,431.093,349.935,220.801,287.380,295.791,260.581,448.272,349.684,314.337,312.742
