Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,9.285,10.264,10.437,10.232,8.321,9.537,8.768,10.206,11.430,11.319,10.490,10.795,10.062,10.314,10.177,9.853,10.901,9.749,10.662,11.360,10.294,11.106,11.227,10.890,11.315,11.639,11.267,11.185,10.641,9.205
TMAX,MAMJJASO,14.289,14.798,14.824,14.702,14.100,14.526,13.493,14.792,15.451,15.539,14.644,14.574,14.235,15.156,14.832,14.706,15.372,13.948,15.350,15.342,14.792,16.348,15.834,15.419,15.579,15.934,16.033,15.151,15.433,15.148
TMAX,AMJJAS,17.385,17.360,17.518,17.536,16.438,16.869,15.895,17.939,17.968,17.770,17.162,17.573,16.783,18.054,17.111,17.188,18.267,16.450,18.125,17.629,17.552,19.858,18.555,18.104,18.191,19.409,18.181,17.879,18.648,17.986
TMAX,ONDJFM,-0.041,1.568,3.747,2.438,1.214,1.472,1.365,2.968,4.445,4.616,3.574,5.016,3.487,1.633,3.938,2.283,3.599,3.248,2.343,4.237,3.804,4.175,2.124,3.499,3.906,3.495,4.939,4.616,3.265,1.572
TMAX,NDJF,-0.787,-1.238,2.279,0.526,-1.443,-2.110,-0.993,1.202,2.727,2.560,1.427,3.627,2.492,-0.705,2.475,-0.611,1.306,1.784,0.142,2.447,2.174,1.907,-0.209,1.702,2.480,1.865,2.759,3.194,1.250,-0.667
TMIN,year,0.539,1.834,2.154,2.297,-0.122,1.199,0.648,2.091,3.175,3.361,2.613,2.801,1.996,1.640,2.067,1.343,2.480,2.214,2.455,3.494,2.156,2.476,2.464,2.467,2.718,3.028,2.889,2.967,2.461,0.734
TMIN,MAMJJASO,4.837,5.683,6.074,5.718,5.299,5.584,4.900,5.692,6.151,6.418,5.966,5.578,5.073,5.505,5.973,5.363,5.788,5.528,6.199,6.341,5.747,6.498,6.301,6.189,5.683,6.025,6.582,5.730,6.029,5.847
TMIN,AMJJAS,7.392,7.283,8.137,8.038,7.073,7.139,6.893,8.132,7.834,8.095,7.726,7.789,7.062,7.676,7.492,7.227,7.902,7.722,8.128,8.031,8.144,9.177,8.430,8.207,8.105,8.930,8.315,7.704,8.414,8.205
TMIN,ONDJFM,-8.815,-5.423,-3.097,-4.749,-5.280,-5.927,-6.050,-2.702,-2.358,-1.793,-2.812,-1.172,-3.139,-5.127,-2.255,-4.953,-3.327,-3.060,-3.785,-2.676,-2.206,-2.667,-4.785,-3.580,-3.212,-3.603,-1.699,-1.579,-3.223,-4.998
TMIN,NDJF,-8.796,-8.601,-4.672,-6.277,-8.205,-9.612,-8.165,-4.189,-3.954,-3.304,-4.754,-2.483,-3.589,-7.130,-3.573,-7.451,-5.562,-3.808,-5.807,-4.027,-3.082,-4.476,-7.147,-4.889,-3.981,-4.205,-3.383,-2.311,-5.023,-6.562
TAVG,year,4.953,6.087,6.315,6.292,4.099,5.356,4.678,6.175,7.321,7.330,6.528,6.820,5.998,5.992,6.087,5.578,6.726,5.924,6.556,7.381,6.197,6.801,6.811,6.645,6.983,7.324,7.045,7.107,6.520,4.929
TAVG,MAMJJASO,9.548,10.222,10.416,10.198,9.651,9.980,9.108,10.226,10.771,10.920,10.221,10.064,9.578,10.324,10.311,9.959,10.587,9.622,10.734,10.739,10.222,11.380,10.974,10.713,10.545,10.934,11.207,10.426,10.674,10.379
TAVG,AMJJAS,12.364,12.306,12.767,12.754,11.718,11.921,11.289,13.031,12.894,12.882,12.362,12.683,11.834,12.872,12.191,12.140,13.123,11.970,13.090,12.683,12.795,14.486,13.424,13.083,13.083,14.145,13.191,12.783,13.484,12.969
TAVG,ONDJFM,-4.266,-1.853,0.421,-1.041,-1.983,-2.165,-2.314,0.182,1.105,1.455,0.382,1.963,0.225,-1.714,0.878,-1.315,0.185,0.088,-0.683,0.823,0.812,0.794,-1.318,-0.041,0.359,-0.065,1.613,1.553,0.051,-1.690
TAVG,NDJF,-4.625,-4.773,-1.054,-2.746,-4.748,-5.715,-4.502,-1.426,-0.462,-0.270,-1.607,0.672,-0.463,-3.857,-0.445,-3.965,-2.014,-0.963,-2.744,-0.706,-0.443,-1.190,-3.598,-1.505,-0.670,-1.118,-0.216,0.542,-1.830,-3.523
RH,year,81.717,82.173,82.157,82.087,81.946,79.982,80.176,80.432,79.907,79.177,80.452,79.137,80.906,77.958,79.664,80.584,78.305,82.614,81.545,81.866,81.161,80.509,80.246,81.332,80.989,80.985,81.138,81.896,81.862,82.110
RH,MAMJJASO,78.953,79.000,79.690,78.864,79.313,77.152,77.532,77.545,76.594,75.066,77.834,75.528,77.839,73.454,75.980,76.901,73.321,79.650,78.106,78.135,78.171,76.519,76.380,77.885,76.968,77.175,76.911,78.070,77.730,78.687
RH,AMJJAS,77.317,76.981,78.252,77.443,77.771,74.989,75.932,75.686,74.000,73.468,75.074,73.147,76.444,70.973,73.812,74.796,71.153,78.287,75.253,76.848,75.939,74.316,74.765,75.327,75.139,74.759,74.680,75.394,75.028,77.085
RH,ONDJFM,84.010,87.208,86.896,85.862,86.989,86.025,83.653,86.241,85.052,84.505,85.663,85.435,84.593,85.894,85.200,85.636,85.178,86.691,88.631,84.943,88.159,86.881,85.629,86.989,86.719,86.628,88.185,88.166,88.519,88.245
RH,NDJF,86.576,87.912,87.957,87.761,88.168,87.025,84.198,87.753,85.568,87.270,86.145,85.973,86.567,87.824,87.275,87.384,87.414,89.204,89.263,87.557,89.692,87.870,87.882,88.748,88.296,88.650,89.635,89.912,89.669,90.227
RHmin,year,62.568,63.691,63.839,64.761,62.892,61.910,62.300,63.083,62.556,62.410,63.308,62.530,63.334,60.150,62.126,62.206,61.130,65.676,63.826,64.749,63.496,62.435,61.596,63.072,62.574,62.929,63.212,64.439,64.192,63.208
RHmin,MAMJJASO,59.552,60.258,61.428,60.471,60.811,58.949,59.691,59.268,58.267,57.140,59.958,58.155,59.050,55.369,58.182,58.109,55.302,61.744,59.731,59.718,59.851,57.350,57.430,59.220,57.127,57.849,58.123,59.317,58.909,59.344
RHmin,AMJJAS,57.572,57.126,59.335,58.653,58.813,55.981,57.829,56.926,55.109,55.222,56.604,55.366,57.239,52.526,55.276,55.636,52.691,60.415,56.255,57.621,57.690,54.555,55.517,56.313,55.785,55.467,55.990,56.207,55.639,57.506
RHmin,ONDJFM,63.186,69.383,69.875,68.206,70.338,67.480,65.663,71.892,68.380,68.908,69.590,70.027,68.406,68.950,69.845,67.598,68.272,70.845,72.729,68.194,73.028,69.947,68.587,69.236,69.188,69.024,71.539,72.528,71.866,71.453
RHmin,NDJF,66.481,68.984,70.504,70.282,70.379,67.936,66.365,73.614,69.198,72.243,70.386,70.672,71.158,71.055,71.869,69.612,70.102,74.589,73.543,71.072,75.637,71.613,70.256,71.797,71.707,72.775,73.700,75.562,73.157,74.473
PREC,year,749.748,630.819,690.044,715.043,783.094,718.183,768.733,733.664,632.176,750.037,660.676,736.577,755.518,632.973,684.860,627.899,634.120,850.657,753.271,934.914,782.108,643.982,644.595,708.597,708.114,783.366,707.179,771.421,737.051,709.362
PREC,MAMJJASO,531.556,435.287,521.934,517.125,580.972,504.281,584.073,503.460,440.088,494.764,484.525,524.127,530.431,431.048,515.011,450.302,430.054,659.087,499.784,640.309,599.585,441.586,466.640,532.920,498.518,544.322,463.398,518.001,516.795,529.504
PREC,AMJJAS,360.388,339.452,393.509,362.647,487.409,399.035,478.858,403.717,334.316,400.343,390.148,423.311,431.164,312.594,400.999,364.081,346.759,512.054,397.198,486.689,490.758,336.882,397.739,428.711,428.302,380.267,402.069,381.605,429.538,445.451
PREC,ONDJFM,137.095,355.835,312.498,294.359,341.208,306.358,306.598,381.878,288.532,333.734,275.471,260.550,312.359,364.059,347.077,148.803,337.297,321.600,352.617,311.786,453.036,342.390,216.231,280.842,285.106,256.768,447.727,346.417,310.053,319.418
PREC,NDJF,71.979,203.506,213.140,191.511,164.697,204.172,213.819,272.451,176.289,251.704,167.794,170.577,233.845,228.432,225.020,81.277,231.651,237.746,195.256,222.493,297.033,221.545,139.947,189.862,198.112,176.134,282.718,265.917,195.732,226.888
SRAD,year,2727.649,3058.474,2674.861,2744.199,2920.349,3017.556,2871.607,3104.345,3160.803,3087.799,3033.038,3160.853,3082.989,3241.376,3094.037,3115.984,3286.077,2793.130,3136.460,2973.947,3054.113,3292.020,3247.932,3152.414,3221.039,3265.617,3157.725,3233.458,3203.096,3091.745
SRAD,MAMJJASO,2591.008,2925.856,2530.481,2623.801,2778.400,2861.812,2708.636,2973.836,3013.742,2961.956,2882.252,3017.507,2939.393,3087.090,2952.227,2971.620,3153.744,2659.387,3004.296,2846.100,2894.610,3158.390,3099.213,2993.271,3073.528,3120.394,3020.399,3097.233,3080.352,2961.814
SRAD,AMJJAS,2320.155,2648.257,2273.738,2328.457,2506.509,2589.226,2394.657,2679.746,2722.040,2630.012,2599.771,2726.287,2606.394,2767.313,2658.548,2628.840,2808.968,2340.509,2712.609,2529.454,2572.808,2830.692,2736.342,2667.984,2689.706,2794.825,2659.325,2775.780,2761.460,2632.199
SRAD,ONDJFM,276.426,407.994,396.419,435.009,377.228,434.579,485.235,393.834,446.182,467.383,440.591,428.142,484.267,461.043,439.209,503.859,472.553,455.507,415.200,481.186,447.694,470.315,486.683,484.482,519.810,512.530,463.632,471.999,443.682,456.676
SRAD,NDJF,91.380,134.828,138.232,132.123,136.849,155.547,160.852,114.423,157.917,129.786,154.247,143.775,151.163,144.372,135.607,154.791,136.101,127.998,132.035,141.774,133.858,148.065,149.021,141.926,160.173,144.724,134.773,138.867,136.162,119.051
WIND,year,2.431,2.552,2.700,2.494,2.475,2.642,2.571,2.576,2.642,2.679,2.538,2.646,2.660,2.495,2.501,2.178,2.274,2.070,2.042,2.105,1.980,1.908,1.986,1.980,2.015,1.937,2.081,2.027,1.906,1.828
WIND,MAMJJASO,2.343,2.575,2.623,2.461,2.547,2.636,2.650,2.536,2.514,2.616,2.499,2.586,2.550,2.557,2.495,2.188,2.363,2.095,2.011,2.124,1.948,1.922,2.052,2.010,1.984,1.877,2.135,1.964,1.992,1.968
WIND,AMJJAS,2.290,2.537,2.489,2.410,2.517,2.547,2.569,2.530,2.458,2.438,2.527,2.536,2.478,2.449,2.406,2.153,2.293,2.025,2.014,2.016,2.017,1.875,2.006,2.022,2.025,1.903,2.184,1.868,2.016,1.905
WIND,ONDJFM,2.635,2.518,2.775,2.794,2.414,2.538,2.706,2.631,2.917,2.897,2.513,2.775,2.835,2.618,2.705,2.233,2.397,2.095,1.905,2.361,1.830,2.130,1.866,1.887,2.042,1.884,2.065,2.166,1.915,1.718
WIND,NDJF,2.660,2.437,2.853,2.742,2.306,2.403,2.684,2.517,3.022,2.775,2.518,2.820,2.901,2.446,2.652,2.184,2.296,1.998,1.801,2.376,1.763,2.202,1.683,1.828,2.191,1.877,2.135,2.194,1.779,1.615
VPD,year,0.216,0.232,0.231,0.229,0.210,0.250,0.226,0.251,0.275,0.278,0.244,0.289,0.231,0.297,0.262,0.240,0.291,0.207,0.251,0.234,0.241,0.281,0.266,0.245,0.253,0.277,0.260,0.252,0.250,0.225
VPD,MAMJJASO,0.292,0.314,0.306,0.309,0.288,0.336,0.302,0.337,0.365,0.374,0.321,0.386,0.307,0.409,0.355,0.328,0.400,0.277,0.342,0.315,0.322,0.390,0.362,0.331,0.344,0.379,0.358,0.342,0.347,0.314
