Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,18.189,19.074,18.987,18.090,18.178,18.239,18.026,18.856,20.128,19.780,18.596,18.858,18.481,19.629,19.468,18.344,20.019,19.053,19.395,19.527,19.167,19.602,20.606,19.198,19.385,20.032,19.440,19.067,19.858,18.449
TMAX,MAMJJASO,21.986,22.778,22.863,21.490,22.545,22.244,22.233,22.357,23.942,23.796,22.819,22.442,22.140,23.230,23.265,22.322,24.008,22.799,23.634,23.108,23.344,23.014,25.312,23.238,24.050,24.369,23.147,22.566,24.142,23.044
TMAX,AMJJAS,23.646,25.147,24.928,23.394,24.526,23.952,24.433,24.237,25.494,25.420,24.780,24.904,24.269,24.899,24.904,24.260,25.675,24.785,25.618,25.192,24.630,24.615,27.897,25.226,25.840,26.439,25.231,24.663,26.279,25.226
TMAX,ONDJFM,11.351,12.945,12.689,12.600,12.183,11.935,12.079,13.160,14.237,15.194,12.737,12.434,13.062,12.941,14.192,13.348,13.412,14.438,12.732,13.226,13.975,14.117,13.898,13.107,12.811,12.603,14.957,13.556,12.523,12.882
TMAX,NDJF,8.993,11.495,10.917,10.827,10.424,9.095,9.859,11.584,11.800,13.072,9.719,10.497,11.860,10.992,12.811,10.737,10.793,12.534,10.583,11.028,12.226,11.136,11.248,11.800,10.184,9.667,13.089,12.133,10.135,10.549
TMIN,year,9.572,10.068,9.770,9.030,8.639,9.145,9.448,10.057,9.903,10.071,9.340,9.880,9.550,10.801,10.152,9.183,10.167,9.786,10.406,10.510,10.157,10.454,10.411,9.973,9.875,10.650,10.219,9.920,10.074,9.253
TMIN,MAMJJASO,12.463,12.394,12.574,11.118,11.640,11.872,12.348,12.538,12.540,12.535,12.291,12.450,12.102,13.063,12.654,11.544,12.646,12.619,13.333,12.864,13.138,12.504,13.419,12.650,13.038,13.714,12.700,12.330,12.853,12.237
TMIN,AMJJAS,13.478,13.985,14.209,12.438,13.177,13.047,13.830,13.791,13.698,13.703,13.511,14.023,13.676,14.351,13.863,12.910,13.947,13.953,14.872,14.323,13.842,13.713,15.344,13.984,14.261,15.011,14.356,13.767,14.512,13.768
TMIN,ONDJFM,4.156,5.822,5.859,4.982,4.877,4.436,5.054,6.502,6.121,6.525,5.657,5.004,5.800,6.235,6.883,5.964,5.815,6.378,5.690,5.776,7.265,6.347,6.270,5.666,5.660,5.500,7.343,5.747,5.100,5.581
TMIN,NDJF,2.136,4.844,4.685,4.067,3.526,2.918,3.515,5.256,4.382,5.444,3.477,3.496,5.150,4.819,6.402,4.460,4.336,5.236,4.107,4.446,5.935,4.311,4.999,4.988,3.972,3.313,6.092,4.612,3.754,4.352
TAVG,year,13.703,14.392,14.178,13.416,13.239,13.537,13.566,14.261,14.810,14.753,13.750,14.116,13.721,14.926,14.527,13.506,14.755,14.078,14.576,14.683,14.337,14.697,15.216,14.274,14.309,14.992,14.427,14.121,14.640,13.564
TAVG,MAMJJASO,17.061,17.411,17.538,16.173,16.928,16.900,17.113,17.257,18.103,18.020,17.353,17.209,16.830,17.842,17.674,16.678,18.000,17.419,18.128,17.648,17.906,17.428,19.087,17.641,18.240,18.712,17.501,17.079,18.164,17.337
TAVG,AMJJAS,18.417,19.418,19.416,17.827,18.725,18.364,18.958,18.840,19.505,19.464,18.982,19.244,18.697,19.357,19.149,18.382,19.536,19.097,19.919,19.445,18.960,18.857,21.401,19.345,19.802,20.435,19.400,18.881,20.100,19.250
TAVG,ONDJFM,7.543,9.172,9.066,8.561,8.332,7.993,8.390,9.649,9.891,10.557,8.960,8.419,9.137,9.301,10.230,9.303,9.260,9.978,8.878,9.137,10.288,9.833,9.741,9.016,8.872,8.646,10.764,9.192,8.436,8.891
