Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,18.688,19.169,19.231,17.924,19.114,18.874,18.988,19.409,19.480,19.661,18.751,19.538,19.440,20.321,19.074,18.657,20.023,19.794,19.804,20.396,20.239,19.943,20.732,19.806,19.470,20.518,20.792,20.337,20.517,19.357
TMAX,MAMJJASO,22.914,23.092,23.331,21.384,23.405,23.161,22.928,23.399,22.974,23.635,22.830,23.209,23.417,24.324,22.858,22.383,23.875,23.824,24.075,24.365,24.557,23.618,25.405,23.721,23.946,24.710,24.761,24.196,24.877,23.570
TMAX,AMJJAS,24.723,25.697,25.454,23.391,25.775,25.170,25.523,25.444,24.500,25.279,24.872,25.500,25.800,26.199,24.667,24.742,25.672,26.150,26.204,26.639,26.050,25.303,28.200,25.761,26.148,26.960,27.172,26.212,27.379,25.998
TMAX,ONDJFM,10.635,12.633,12.902,12.137,12.303,12.612,12.456,13.444,14.442,14.459,12.937,12.823,13.321,13.756,13.654,12.953,14.114,14.068,12.872,13.636,14.394,14.634,13.635,13.119,13.599,12.707,15.570,14.003,13.675,13.334
TMAX,NDJF,8.393,10.814,11.164,10.307,10.567,10.300,10.737,11.794,11.930,12.478,10.156,11.092,11.985,11.194,12.382,10.727,12.241,12.378,10.680,11.367,12.365,11.711,11.299,11.661,11.192,10.555,13.851,12.271,11.318,11.387
TMIN,year,9.460,10.238,9.873,9.215,9.743,9.920,9.933,10.275,9.994,10.227,9.498,10.451,10.137,11.057,9.822,9.788,10.337,10.082,10.359,10.885,10.628,10.918,11.014,10.578,10.020,10.740,10.772,10.851,10.932,10.323
TMIN,MAMJJASO,13.031,13.241,13.143,11.863,12.934,13.324,12.863,13.545,12.857,13.390,12.876,13.428,13.290,14.045,12.670,12.555,13.030,13.320,13.925,14.005,13.934,13.702,14.520,13.572,13.575,13.921,13.752,13.817,14.224,13.524
TMIN,AMJJAS,14.369,15.248,14.932,13.346,14.707,14.998,14.850,15.224,14.440,14.628,14.306,15.133,15.119,15.769,14.400,14.354,14.602,15.312,15.761,15.686,14.945,15.296,16.748,15.011,15.408,15.631,15.537,15.455,16.297,15.428
TMIN,ONDJFM,2.195,4.748,5.294,4.445,4.889,5.070,4.424,5.931,5.680,5.576,5.321,4.669,5.308,6.100,5.581,5.212,5.899,5.672,4.435,5.194,7.001,5.787,5.821,5.514,5.544,4.993,7.046,5.550,5.672,5.512
TMIN,NDJF,0.134,3.244,3.868,3.102,3.389,3.478,3.373,4.634,3.502,4.407,2.772,3.095,4.115,4.298,4.791,3.894,4.748,4.698,2.578,3.379,5.289,3.561,4.471,4.407,3.666,3.256,5.756,4.201,4.028,4.242
