Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,24.232,23.288,23.347,22.730,23.602,23.007,23.843,23.165,24.392,24.045,23.693,23.635,22.430,23.738,24.862,23.418,24.527,24.313,23.712,23.845,23.831,23.865,24.265,24.167,24.570,24.578,23.994,23.704,24.872,24.240
TMAX,MAMJJASO,27.043,26.796,26.520,26.016,27.223,26.512,27.386,26.369,27.929,27.861,27.536,27.056,25.465,27.056,28.515,27.040,28.149,27.609,27.180,27.261,27.501,27.121,28.254,27.840,28.821,28.663,27.394,26.947,28.900,28.418
TMAX,AMJJAS,28.610,28.575,27.503,27.798,28.782,28.107,29.626,27.549,29.241,29.775,29.968,28.969,27.283,28.262,29.798,28.698,28.732,28.782,29.050,28.618,29.359,28.594,30.363,30.029,30.792,30.829,28.953,28.592,30.029,30.853
TMAX,ONDJFM,17.793,19.772,17.880,18.311,17.808,18.288,18.618,18.035,19.188,19.536,17.188,18.218,18.111,17.860,19.522,18.809,20.086,19.895,18.975,18.826,18.429,18.775,18.573,18.093,18.274,17.866,18.807,19.565,18.770,18.554
TMAX,NDJF,16.659,18.358,15.680,16.757,16.031,15.889,16.470,16.517,17.089,17.179,15.398,16.322,16.866,15.945,17.670,16.537,16.996,17.403,17.192,16.806,16.639,16.620,16.410,16.692,16.122,15.650,16.950,17.893,16.035,16.271
TMIN,year,12.680,12.408,12.507,11.932,12.206,11.830,13.090,12.411,13.431,12.944,12.370,12.179,11.878,12.477,13.450,12.724,13.657,12.747,12.263,12.450,12.641,12.772,13.114,12.500,12.270,13.237,12.083,12.161,12.804,12.914
TMIN,MAMJJASO,15.084,14.540,14.671,13.971,14.419,14.179,15.452,14.488,15.493,15.502,14.987,14.527,14.117,14.660,15.441,14.892,15.797,15.163,15.127,14.675,15.291,14.735,15.710,15.031,15.502,16.175,14.556,14.434,15.168,15.446
TMIN,AMJJAS,16.022,15.866,15.593,15.272,15.641,15.119,16.777,15.543,16.443,16.624,16.297,15.819,15.319,15.245,16.437,16.071,16.536,16.335,16.215,15.882,15.830,15.423,16.873,16.302,16.656,17.137,15.814,15.687,15.942,16.857
TMIN,ONDJFM,7.090,9.844,8.474,9.036,8.953,8.702,8.820,9.521,9.092,10.894,8.580,8.009,8.795,8.830,9.859,10.465,9.837,10.925,7.868,8.455,10.155,8.856,9.910,9.292,7.551,8.520,9.761,8.806,8.112,9.713
TMIN,NDJF,5.247,9.097,6.971,8.277,8.221,7.508,7.049,8.866,7.537,9.869,6.771,6.642,7.825,7.480,8.640,9.393,8.545,9.708,6.215,6.658,9.023,6.820,8.299,8.396,5.395,6.362,8.421,7.665,6.443,8.294
TAVG,year,18.362,17.764,17.855,17.287,17.831,17.369,18.388,17.714,18.857,18.449,17.975,17.826,17.067,18.009,19.084,18.008,19.030,18.467,17.948,18.068,18.156,18.243,18.606,18.303,18.377,18.847,17.948,17.834,18.737,18.491
TAVG,MAMJJASO,20.925,20.555,20.503,19.929,20.728,20.279,21.345,20.319,21.638,21.627,21.181,20.690,19.682,20.758,21.892,20.887,21.909,21.303,21.133,20.876,21.323,20.828,21.887,21.347,22.074,22.325,20.847,20.583,21.948,21.851
TAVG,AMJJAS,22.172,22.087,21.410,21.461,22.085,21.525,23.103,21.437,22.769,23.136,23.033,22.263,21.175,21.642,23.025,22.292,22.564,22.470,22.607,22.147,22.526,21.903,23.511,23.041,23.629,23.883,22.229,22.020,22.898,23.759
TAVG,ONDJFM,12.409,14.762,13.142,13.688,13.352,13.476,13.690,13.725,14.105,15.185,12.854,13.098,13.431,13.265,14.603,14.616,14.890,15.386,13.365,13.593,14.222,13.759,14.179,13.661,13.006,13.170,14.252,14.132,13.346,14.027
TAVG,NDJF,10.946,13.702,11.283,12.535,12.114,11.666,11.676,12.664,12.323,13.498,11.057,11.463,12.332,11.620,13.077,12.922,12.721,13.522,11.663,11.656,12.762,11.676,12.308,12.506,10.898,11.021,12.652,12.753,11.142,12.136
RH,year,70.015,71.753,72.159,69.659,67.771,68.980,69.316,69.387,68.478,67.839,68.172,67.277,71.559,70.589,67.552,70.299,71.349,70.312,70.594,71.655,71.324,71.977,70.372,69.543,66.080,70.428,69.365,70.751,67.420,69.344
RH,MAMJJASO,67.318,65.554,68.013,64.381,61.758,62.677,63.702,64.119,62.752,61.186,62.138,61.601,66.325,64.578,60.964,64.689,65.079,65.724,66.619,66.325,67.021,66.160,64.064,63.410,60.571,64.475,63.792,65.560,60.320,63.110
RH,AMJJAS,64.664,63.492,67.166,62.153,60.542,58.847,59.572,62.425,60.569,58.569,57.687,58.958,63.578,60.740,58.537,61.777,64.211,64.414,63.549,64.886,62.140,62.726,59.730,59.452,57.112,59.435,62.101,63.322,58.003,59.603
RH,ONDJFM,74.016,78.695,77.234,77.370,78.467,76.068,77.921,78.369,75.822,76.929,79.172,75.266,76.758,81.585,78.553,78.512,77.067,78.776,75.860,77.856,82.095,78.500,81.634,81.432,75.526,79.373,80.731,76.151,76.497,79.609
RH,NDJF,73.217,81.610,80.638,80.610,82.534,80.871,79.872,80.808,78.831,82.439,81.110,78.094,79.442,84.255,81.653,82.059,82.644,82.798,77.573,80.319,83.969,79.535,83.824,84.289,77.146,80.891,84.278,79.279,81.046,82.625
RHmin,year,50.903,53.136,53.460,51.979,49.811,50.971,51.882,51.717,51.113,50.347,50.337,49.258,53.528,51.890,49.878,52.800,53.293,51.434,51.730,52.662,52.817,53.498,52.475,50.965,47.650,52.218,50.001,51.599,48.952,51.366
RHmin,MAMJJASO,48.651,46.751,49.193,46.569,43.749,45.110,46.506,46.444,44.975,44.068,44.642,44.016,48.867,46.260,42.947,46.694,46.732,47.284,48.616,47.490,48.797,47.650,46.308,45.177,42.869,46.744,44.979,46.859,41.959,44.908
RHmin,AMJJAS,46.097,44.872,48.556,44.455,42.582,41.750,42.479,45.321,43.166,41.242,40.130,41.454,46.211,42.830,40.999,44.157,46.255,46.573,45.488,46.560,43.533,44.304,42.135,41.208,39.532,41.621,43.586,44.962,40.034,41.226
RHmin,ONDJFM,53.976,59.217,58.694,59.391,60.870,57.851,58.547,61.223,56.629,60.291,61.564,56.058,58.571,62.595,59.530,61.981,57.963,61.368,54.997,57.576,64.677,58.762,63.569,63.144,55.909,60.652,62.225,55.879,56.518,61.606
RHmin,NDJF,52.109,62.476,62.084,62.859,65.456,62.961,60.191,64.428,59.510,66.461,62.619,58.678,60.873,65.275,62.568,66.369,64.543,66.047,56.187,59.168,66.944,59.353,66.017,65.922,56.807,61.469,65.427,58.871,60.991,64.816
PREC,year,704.123,602.216,769.835,822.527,876.922,685.492,915.063,768.976,1001.926,620.089,628.222,560.975,779.529,688.943,805.807,1046.495,1012.673,591.080,717.482,965.776,966.788,928.571,893.072,547.687,498.015,987.837,535.038,675.781,833.441,1037.825
PREC,MAMJJASO,369.179,244.274,325.512,444.897,243.022,266.457,447.149,437.397,357.598,355.952,304.852,338.408,593.557,280.979,194.739,343.505,392.478,367.390,528.206,429.291,575.222,426.674,427.990,363.065,316.397,569.782,281.587,387.195,232.063,420.753
PREC,AMJJAS,215.681,181.803,275.029,215.324,189.997,191.782,210.606,321.675,200.998,111.867,86.604,212.629,323.094,197.512,115.939,203.103,259.801,303.222,247.690,342.602,139.629,211.150,206.376,110.274,84.577,195.992,232.439,307.074,129.085,147.940
PREC,ONDJFM,140.740,525.102,331.193,639.390,790.441,588.470,483.322,644.539,364.909,802.875,703.411,296.282,326.552,616.352,451.806,962.458,506.177,774.697,285.908,360.530,1208.315,438.753,797.179,540.391,332.093,587.462,713.143,311.687,431.438,915.762
PREC,NDJF,47.476,441.515,283.711,465.246,646.288,549.212,395.704,447.278,212.688,646.608,353.560,185.485,204.219,374.626,349.375,821.311,455.880,599.577,177.237,141.166,856.486,181.988,622.020,324.134,85.165,273.646,449.439,257.579,370.370,706.540
SRAD,year,6000.665,6031.323,5768.612,5798.312,6023.531,6154.905,5888.456,5957.318,6015.688,6189.640,6141.260,5914.858,5754.642,6063.465,6132.331,6006.784,5837.326,6023.453,6037.522,5984.248,5998.586,5848.314,5935.444,6135.406,6285.446,6233.888,6335.634,6164.238,6314.735,6142.174
SRAD,MAMJJASO,4932.177,5059.266,4824.857,4861.090,5123.588,5194.810,4952.553,4950.493,5122.634,5170.826,5151.496,4888.105,4733.189,5070.586,5191.049,5095.611,4937.091,4972.743,4950.934,5014.903,4977.966,4914.718,4995.990,5110.425,5183.991,5178.423,5279.916,5130.477,5351.497,5238.199
SRAD,AMJJAS,4131.438,4138.287,3909.689,4045.922,4190.528,4307.490,4170.376,4019.801,4214.007,4316.084,4353.800,4073.945,3932.122,4169.126,4243.500,4208.913,3951.231,4039.158,4118.500,4082.040,4260.700,4093.930,4198.064,4294.755,4356.566,4418.028,4299.611,4212.785,4369.568,4367.493
SRAD,ONDJFM,1003.303,1948.454,1853.995,1758.613,1754.211,1840.949,1889.919,1777.020,1954.184,1788.364,1770.260,1896.179,1848.516,1816.728,1904.003,1751.565,1981.253,1846.456,1999.664,1961.559,1645.408,1880.014,1699.415,1756.916,1949.688,1848.515,1826.358,2054.919,2017.296,1757.709
SRAD,NDJF,597.887,1009.713,966.237,942.285,870.665,898.413,1004.497,930.443,1062.714,871.876,1007.187,1047.364,1044.587,942.091,1013.942,875.257,949.809,936.087,1097.348,1095.100,869.085,1057.925,910.355,935.952,1135.163,1067.525,965.837,1093.059,1033.376,891.158
WIND,year,2.391,2.343,2.319,2.438,2.357,2.413,2.327,2.413,2.200,2.227,2.283,2.285,2.258,2.347,2.440,2.283,1.976,1.948,2.074,2.003,2.601,2.600,2.601,2.523,2.533,2.458,2.435,2.396,2.505,2.544
WIND,MAMJJASO,2.331,2.370,2.420,2.457,2.375,2.342,2.404,2.367,2.250,2.252,2.318,2.385,2.396,2.340,2.379,2.281,2.029,2.051,2.115,2.056,2.676,2.632,2.637,2.603,2.613,2.598,2.532,2.531,2.508,2.520
WIND,AMJJAS,2.252,2.249,2.392,2.437,2.396,2.369,2.366,2.242,2.168,2.215,2.294,2.276,2.394,2.385,2.340,2.298,2.058,2.094,2.106,2.100,2.603,2.676,2.659,2.613,2.644,2.547,2.549,2.495,2.524,2.495
WIND,ONDJFM,2.693,2.484,2.340,2.418,2.398,2.438,2.277,2.568,2.169,2.237,2.305,2.279,2.105,2.396,2.530,2.292,1.940,1.910,1.939,1.825,2.441,2.451,2.590,2.506,2.407,2.422,2.416,2.201,2.371,2.606
WIND,NDJF,2.569,2.377,2.201,2.431,2.308,2.545,2.223,2.453,2.043,2.220,2.202,2.116,1.954,2.435,2.432,2.386,1.936,1.865,1.873,1.762,2.313,2.457,2.662,2.408,2.335,2.273,2.267,2.013,2.328,2.682
VPD,year,0.810,0.737,0.711,0.766,0.859,0.813,0.854,0.785,0.889,0.898,0.897,0.863,0.728,0.786,0.915,0.800,0.784,0.820,0.780,0.782,0.785,0.760,0.875,0.867,0.970,0.884,0.814,0.764,0.934,0.896
VPD,MAMJJASO,1.004,0.983,0.912,1.000,1.132,1.082,1.127,1.023,1.166,1.202,1.198,1.129,0.957,1.042,1.211,1.056,1.040,1.064,1.007,1.034,1.025,1.007,1.182,1.159,1.291,1.193,1.062,0.996,1.253,1.206
VPD,AMJJAS,1.162,1.126,0.997,1.146,1.251,1.268,1.352,1.141,1.315,1.386,1.440,1.302,1.121,1.209,1.357,1.222,1.114,1.191,1.176,1.163,1.231,1.167,1.416,1.375,1.507,1.441,1.197,1.141,1.401,1.434
VPD,ONDJFM,0.409,0.409,0.393,0.396,0.373,0.449,0.388,0.370,0.447,0.458,0.349,0.422,0.397,0.314,0.404,0.414,0.472,0.421,0.424,0.396,0.328,0.383,0.330,0.319,0.417,0.363,0.349,0.444,0.434,0.380
VPD,NDJF,0.385,0.331,0.282,0.297,0.260,0.288,0.303,0.298,0.328,0.290,0.268,0.321,0.319,0.230,0.292,0.288,0.284,0.283,0.339,0.298,0.251,0.303,0.245,0.243,0.322,0.271,0.244,0.343,0.279,0.263
FWI_FD,year,10.392,8.620,9.346,8.293,10.790,9.860,9.709,8.153,9.884,10.805,11.030,10.503,7.882,9.986,11.455,9.075,7.844,9.131,8.412,8.997,9.585,9.118,10.227,10.672,13.400,9.699,9.688,9.012,11.868,10.231
FWI_FD,MAMJJASO,12.652,12.509,13.167,11.862,15.531,14.120,14.097,11.613,14.127,15.693,15.895,14.732,11.045,14.434,16.484,13.046,11.431,12.276,11.678,12.890,13.148,13.138,14.964,15.153,18.516,14.173,12.778,12.609,17.105,15.007
FWI_FD,AMJJAS,15.433,14.997,14.292,14.281,16.996,17.620,18.173,12.908,16.469,19.347,20.332,17.082,13.788,17.681,19.005,16.153,12.529,14.307,14.750,14.921,17.215,16.880,19.293,18.682,22.415,18.345,14.854,15.048,19.894,18.949
FWI_FD,ONDJFM,3.649,4.505,3.266,3.361,1.855,4.528,2.266,1.812,3.406,3.126,1.348,3.691,2.865,1.589,2.884,2.524,3.892,2.304,3.654,2.837,1.488,2.552,1.037,1.210,4.633,2.018,1.670,4.448,3.749,2.251
FWI_FD,NDJF,4.107,3.938,1.772,1.127,0.372,1.144,1.320,0.764,1.704,0.855,0.567,1.881,1.812,0.846,1.232,0.724,1.273,0.437,3.325,1.751,0.412,2.669,0.649,0.683,3.577,0.773,0.722,3.490,1.595,0.855
FWI_3+,year,85.147,68.079,81.042,76.847,109.347,94.796,96.743,74.404,92.193,105.466,106.963,88.511,67.692,94.078,102.977,86.439,47.286,74.862,72.241,84.471,89.465,83.179,101.772,96.765,126.848,91.610,69.898,74.530,112.113,99.995
FWI_3+,MAMJJASO,84.324,68.078,81.042,76.847,109.318,94.795,96.743,74.404,92.193,105.466,106.963,88.510,67.692,94.078,102.578,86.438,47.286,74.858,72.241,84.471,89.464,83.173,101.772,96.765,126.835,91.610,68.448,74.493,112.110,99.994
FWI_3+,AMJJAS,84.274,68.074,72.763,75.393,90.259,94.718,96.742,65.591,83.821,103.424,106.371,86.317,67.617,93.537,96.694,85.807,46.113,74.753,72.237,81.443,89.463,83.173,101.769,91.958,118.690,91.545,68.032,72.740,106.545,99.582
FWI_3+,ONDJFM,0.001,0.874,0.012,8.272,1.454,19.088,0.077,0.001,8.815,8.371,2.041,1.609,1.178,0.075,2.286,4.537,1.230,0.576,0.107,0.029,3.003,0.007,0.000,0.004,5.216,7.749,0.066,1.865,2.509,4.848
FWI_3+,NDJF,0.000,0.823,0.000,0.000,0.000,0.029,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.399,0.001,0.000,0.004,0.000,0.000,0.007,0.000,0.000,0.013,0.000,0.000,1.450,0.037,0.003
FWI_4+,year,18.846,11.615,4.791,12.409,26.792,31.066,29.974,10.008,21.183,32.416,40.668,21.577,24.300,18.686,25.178,21.501,2.406,19.831,10.729,17.356,23.550,30.079,37.583,35.892,54.101,38.979,17.283,16.130,33.758,37.470
FWI_4+,MAMJJASO,18.841,11.615,4.791,12.409,26.792,31.066,29.974,10.008,21.183,32.416,40.668,21.577,24.300,18.686,25.178,21.501,2.406,19.831,10.729,17.356,23.550,30.077,37.583,35.892,54.101,38.979,17.282,16.130,33.758,37.470
FWI_4+,AMJJAS,18.841,11.615,4.789,12.401,26.086,31.066,29.974,9.598,20.740,32.411,40.668,21.576,24.299,18.686,25.173,21.501,2.405,19.830,10.729,17.354,23.550,30.077,37.581,35.414,52.541,38.979,17.281,16.126,33.682,37.470
FWI_4+,ONDJFM,0.000,0.005,0.000,0.002,0.007,0.706,0.000,0.000,0.410,0.443,0.005,0.000,0.001,0.000,0.002,0.003,0.001,0.000,0.001,0.000,0.002,0.002,0.000,0.002,0.478,1.559,0.000,0.002,0.003,0.076
FWI_4+,NDJF,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000
FWI_5+,year,0.320,0.038,0.000,0.009,0.072,0.970,0.689,0.134,0.533,1.277,2.096,0.054,0.977,0.028,0.175,0.583,0.000,0.190,0.328,0.107,1.073,1.137,3.145,3.052,5.613,2.185,0.261,0.052,0.491,1.726
FWI_5+,MAMJJASO,0.320,0.038,0.000,0.009,0.072,0.970,0.689,0.134,0.533,1.277,2.096,0.054,0.977,0.028,0.175,0.583,0.000,0.190,0.328,0.107,1.073,1.134,3.145,3.052,5.613,2.185,0.261,0.052,0.491,1.726
FWI_5+,AMJJAS,0.320,0.038,0.000,0.009,0.072,0.970,0.689,0.134,0.533,1.277,2.096,0.054,0.977,0.028,0.175,0.583,0.000,0.190,0.328,0.107,1.073,1.134,3.143,3.052,5.613,2.185,0.261,0.052,0.489,1.726
FWI_5+,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.002
FWI_5+,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,year,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.002,0.319,0.034,0.039,0.002,0.000,0.000,0.000,0.011
FWI_6,MAMJJASO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.002,0.319,0.034,0.039,0.002,0.000,0.000,0.000,0.011
FWI_6,AMJJAS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.002,0.318,0.034,0.039,0.002,0.000,0.000,0.000,0.011
FWI_6,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,NDJF,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
