Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,24.321,23.337,23.444,22.790,23.659,23.031,23.918,23.227,24.437,24.111,23.772,23.688,22.543,23.757,24.898,23.438,24.552,24.315,23.747,23.872,23.840,23.853,24.290,24.220,24.651,24.629,24.087,23.775,24.902,24.332
TMAX,MAMJJASO,27.023,26.727,26.491,25.973,27.153,26.403,27.337,26.302,27.852,27.798,27.501,26.974,25.456,26.929,28.446,26.966,28.044,27.465,27.080,27.175,27.368,26.980,28.163,27.745,28.772,28.578,27.368,26.889,28.820,28.416
TMAX,AMJJAS,28.530,28.427,27.417,27.685,28.631,27.924,29.499,27.412,29.093,29.617,29.853,28.823,27.195,28.056,29.646,28.531,28.542,28.541,28.869,28.457,29.140,28.350,30.180,29.860,30.647,30.666,28.860,28.471,29.847,30.780
TMAX,ONDJFM,18.053,20.029,18.143,18.556,18.066,18.518,18.876,18.290,19.491,19.761,17.482,18.495,18.397,18.111,19.766,19.049,20.314,20.107,19.218,19.100,18.610,19.023,18.793,18.334,18.608,18.130,19.058,19.851,19.033,18.802
TMAX,NDJF,16.974,18.658,16.000,17.044,16.340,16.173,16.795,16.805,17.494,17.427,15.725,16.666,17.226,16.229,17.961,16.791,17.247,17.673,17.489,17.133,16.861,16.933,16.653,16.954,16.550,15.963,17.253,18.247,16.337,16.523
TMIN,year,12.701,12.407,12.579,11.993,12.241,11.866,13.156,12.471,13.536,13.029,12.447,12.259,11.968,12.592,13.591,12.837,13.796,12.859,12.339,12.521,12.751,12.887,13.135,12.528,12.278,13.289,12.131,12.224,12.847,12.954
TMIN,MAMJJASO,15.051,14.481,14.712,13.999,14.388,14.141,15.463,14.494,15.539,15.509,15.025,14.553,14.169,14.740,15.523,14.958,15.879,15.216,15.169,14.687,15.329,14.823,15.689,15.008,15.466,16.188,14.575,14.474,15.165,15.426
TMIN,AMJJAS,15.947,15.788,15.618,15.284,15.598,15.059,16.758,15.520,16.449,16.569,16.281,15.823,15.335,15.280,16.495,16.104,16.603,16.356,16.224,15.880,15.827,15.473,16.814,16.257,16.568,17.108,15.812,15.717,15.896,16.792
TMIN,ONDJFM,7.214,9.940,8.562,9.162,9.068,8.833,8.954,9.664,9.258,11.115,8.774,8.176,8.948,9.005,10.064,10.703,10.012,11.168,8.007,8.596,10.356,9.058,10.055,9.396,7.637,8.625,9.905,8.935,8.191,9.850
TMIN,NDJF,5.349,9.233,7.076,8.413,8.383,7.705,7.232,9.023,7.732,10.097,6.975,6.815,7.990,7.667,8.846,9.658,8.748,10.002,6.358,6.823,9.253,7.066,8.427,8.517,5.487,6.467,8.574,7.809,6.527,8.434
