Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.926,16.421,17.212,15.324,15.646,16.062,15.649,16.434,16.981,17.041,15.838,17.287,16.494,17.729,16.185,15.085,16.620,16.759,16.551,17.677,16.682,17.394,17.661,16.242,15.941,16.920,17.555,17.241,16.868,15.709
TMAX,MAMJJASO,20.592,20.675,21.751,19.152,20.378,20.796,19.822,20.555,20.622,21.081,20.178,21.457,20.707,21.824,20.449,19.203,20.471,20.820,21.174,21.938,21.338,21.315,22.542,20.474,20.752,21.365,21.815,21.013,21.505,20.280
TMAX,AMJJAS,22.376,22.996,23.972,20.950,22.693,23.024,22.479,22.941,21.873,22.464,22.058,24.367,23.106,23.995,22.245,21.529,22.635,23.176,23.278,24.221,22.699,23.329,25.563,22.494,22.822,23.524,24.354,23.126,24.372,22.735
TMAX,ONDJFM,7.951,9.243,10.538,9.345,9.064,8.705,8.857,10.168,11.486,12.344,10.113,9.870,9.843,10.690,10.496,8.838,10.438,10.952,9.498,9.814,11.374,11.374,10.091,9.498,9.608,8.721,12.780,10.214,9.601,9.322
TMAX,NDJF,4.975,6.842,8.437,7.133,6.571,6.040,7.030,8.696,8.791,9.874,6.919,8.052,8.583,7.996,9.349,5.963,8.281,9.728,6.866,7.392,8.975,8.100,7.540,8.175,6.990,5.970,10.723,8.627,7.206,7.166
TMIN,year,7.189,7.677,7.729,6.845,6.785,7.002,7.148,7.754,7.942,7.604,7.150,8.274,7.698,8.766,7.727,6.967,7.832,8.049,8.166,8.645,7.993,8.745,8.055,7.772,7.453,8.065,8.556,8.533,8.388,7.635
TMIN,MAMJJASO,10.870,10.947,11.135,9.623,10.351,10.587,10.302,10.797,10.945,10.560,10.669,11.310,10.858,11.658,10.941,10.219,10.580,11.297,11.751,11.776,11.534,11.639,11.627,10.939,11.019,11.500,11.500,11.370,11.866,11.176
TMIN,AMJJAS,12.305,12.752,12.944,11.206,12.092,12.380,12.471,12.450,12.398,11.814,12.170,13.341,12.693,13.481,12.619,12.077,12.259,13.188,13.518,13.314,12.629,13.495,14.001,12.559,12.944,13.476,13.360,13.191,13.937,13.303
TMIN,ONDJFM,0.038,1.897,3.325,1.696,1.826,1.634,1.209,3.457,3.762,3.334,2.476,2.676,2.676,3.592,3.237,1.831,3.257,3.374,2.667,2.704,4.406,3.451,2.750,2.343,2.506,1.691,4.872,3.121,2.988,2.546
TMIN,NDJF,-2.313,0.092,1.834,0.260,-0.151,-0.200,0.199,2.289,1.862,1.635,0.071,1.388,1.667,1.648,2.711,0.007,1.546,2.658,0.631,0.876,2.572,1.205,1.133,1.561,0.784,-0.143,3.689,1.957,1.355,1.103
TAVG,year,11.479,11.960,12.370,11.003,11.138,11.456,11.331,12.017,12.352,12.219,11.409,12.692,11.991,13.162,11.880,10.952,12.129,12.312,12.288,13.088,12.267,12.988,12.778,11.934,11.638,12.447,12.973,12.829,12.593,11.636
TAVG,MAMJJASO,15.665,15.740,16.379,14.320,15.298,15.625,15.013,15.633,15.713,15.744,15.359,16.313,15.700,16.678,15.641,14.649,15.452,16.008,16.413,16.806,16.389,16.426,17.022,15.655,15.837,16.412,16.607,16.174,16.671,15.711
TAVG,AMJJAS,17.277,17.812,18.404,16.016,17.331,17.644,17.428,17.652,17.082,17.075,17.062,18.793,17.817,18.690,17.385,16.744,17.388,18.141,18.365,18.720,17.623,18.383,19.744,17.482,17.847,18.488,18.818,18.155,19.147,18.019
TAVG,ONDJFM,3.911,5.465,6.807,5.391,5.364,5.077,4.933,6.702,7.480,7.666,6.182,6.151,6.135,7.013,6.759,5.239,6.724,7.021,5.966,6.156,7.787,7.285,6.313,5.805,5.967,5.133,8.692,6.555,6.232,5.862
TAVG,NDJF,1.241,3.350,5.000,3.542,3.122,2.822,3.510,5.342,5.160,5.557,3.376,4.583,4.984,4.675,5.913,2.881,4.779,6.027,3.618,4.021,5.649,4.512,4.230,4.747,3.791,2.834,7.042,5.149,4.208,4.057
RH,year,74.002,75.346,71.960,75.203,74.164,73.833,75.347,74.459,73.844,71.958,74.330,71.687,74.466,74.805,76.839,77.460,75.490,75.169,77.039,76.274,77.143,77.586,73.882,77.176,77.275,76.385,76.251,77.976,78.461,78.831
RH,MAMJJASO,71.050,71.712,68.472,71.479,70.333,70.178,71.614,71.005,71.436,67.888,71.536,67.340,70.832,71.022,73.208,74.406,71.593,72.751,74.286,72.356,73.639,74.222,69.268,74.469,73.693,73.057,72.617,75.270,74.889,75.324
RH,AMJJAS,69.628,70.215,66.932,70.683,68.204,68.352,69.905,68.724,71.608,66.880,69.946,63.828,68.901,69.380,72.033,72.716,69.831,71.500,73.366,69.843,71.223,73.254,67.231,72.668,72.567,71.559,70.344,73.767,73.079,74.127
RH,ONDJFM,76.465,79.270,79.942,77.933,80.106,80.945,78.520,80.953,78.662,74.065,79.260,78.317,79.271,81.419,80.821,82.784,81.037,78.905,80.905,81.414,84.078,80.716,81.951,81.520,81.596,82.790,80.085,82.327,84.105,83.312
RH,NDJF,78.507,81.445,81.753,80.729,81.241,83.479,81.222,82.374,80.699,76.773,80.901,80.281,80.385,83.494,82.862,85.255,82.267,81.171,82.440,83.197,85.271,82.773,85.353,83.106,82.680,85.196,82.042,83.183,86.036,85.796
RHmin,year,57.623,58.621,54.920,59.031,57.566,57.097,59.069,58.214,56.844,55.161,57.829,55.766,58.028,58.115,60.444,61.438,58.728,58.540,60.600,59.135,60.325,60.778,56.449,60.575,60.715,59.332,59.253,60.870,61.801,62.769
RHmin,MAMJJASO,54.327,54.707,51.145,54.866,53.271,52.999,54.935,54.360,54.635,50.876,54.889,51.196,54.097,53.739,56.386,58.077,54.249,55.898,57.205,54.802,56.333,56.944,51.404,57.190,56.302,55.646,54.835,57.676,57.557,58.784
RHmin,AMJJAS,52.981,53.026,49.750,54.318,50.891,51.255,53.168,51.724,55.344,50.138,53.314,47.520,51.965,52.336,55.683,56.378,52.382,54.463,56.288,51.953,54.429,56.278,49.303,55.380,55.611,54.611,52.303,56.457,55.155,57.706
RHmin,ONDJFM,59.777,62.984,63.910,61.228,64.068,64.990,61.909,65.701,62.082,56.200,62.629,62.631,63.445,65.367,64.567,66.626,64.955,62.586,65.354,65.180,67.753,63.354,65.578,65.216,65.417,66.525,62.797,66.101,68.567,67.591
RHmin,NDJF,61.949,65.423,66.183,64.374,65.467,68.149,65.251,67.021,64.649,58.953,64.846,64.839,64.446,67.936,67.084,70.307,66.410,65.076,67.331,67.377,69.466,66.287,69.661,67.207,67.610,69.877,65.505,67.291,71.287,70.649
PREC,year,1201.163,1095.242,1050.172,1034.611,1249.386,1115.596,1292.093,1264.018,1172.778,1179.255,1180.483,1133.560,1201.266,1109.384,1248.953,1307.202,1237.681,1248.486,1287.530,1318.373,1180.072,1416.912,981.171,1172.512,1321.713,1203.237,1338.128,1199.751,1370.195,1211.215
PREC,MAMJJASO,875.029,799.289,743.317,801.627,942.623,765.413,920.625,905.893,972.962,881.635,862.293,827.376,949.094,834.197,924.050,1094.712,989.537,1054.146,936.067,988.296,889.675,1083.128,773.679,881.069,986.474,967.070,988.232,936.410,1087.464,985.112
PREC,AMJJAS,695.766,645.218,622.522,692.386,818.732,620.921,761.237,680.715,867.396,701.503,764.681,547.839,719.159,669.998,766.255,874.932,777.920,790.449,821.441,671.134,749.352,826.827,571.839,711.911,877.019,787.080,809.796,740.951,864.360,866.072
PREC,ONDJFM,215.774,495.946,471.761,409.514,345.337,483.849,522.365,552.771,424.893,354.849,383.410,519.150,549.736,499.631,547.684,299.340,503.371,442.596,526.422,550.632,555.700,427.345,491.737,543.677,425.903,441.262,454.601,444.354,555.800,367.095
PREC,NDJF,146.975,318.199,338.779,283.361,194.471,378.496,355.122,332.909,301.529,235.616,218.164,339.473,329.881,258.276,332.284,227.527,207.906,234.923,328.749,312.439,311.676,265.517,332.763,293.572,277.500,285.403,280.008,254.249,338.234,221.478
SRAD,year,4124.188,4431.779,4363.050,4085.249,4261.775,4219.787,4022.882,4301.044,4167.814,4406.145,4192.351,4452.600,4359.403,4443.590,4215.305,4241.403,4544.909,4377.474,4266.963,4514.827,4357.642,4412.523,4851.391,4359.810,4470.537,4595.931,4627.973,4374.481,4399.561,4173.043
SRAD,MAMJJASO,3597.601,3911.042,3825.139,3586.878,3770.680,3697.369,3559.713,3785.941,3593.505,3861.535,3638.009,3936.853,3846.264,3927.171,3729.727,3697.600,4011.454,3789.359,3755.257,3975.915,3819.233,3911.167,4271.753,3848.596,3927.805,4012.164,4100.433,3824.885,3903.892,3675.972
