Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,20.985,21.040,21.771,19.968,20.601,20.656,20.638,21.442,21.352,21.983,20.498,22.195,21.513,22.544,21.140,20.128,21.175,21.685,21.626,23.407,22.002,22.244,22.723,21.259,20.696,21.942,22.776,22.718,22.549,21.061
TMAX,MAMJJASO,26.216,25.977,27.044,24.564,25.951,25.907,25.652,26.237,25.742,26.574,25.408,27.031,26.734,27.340,25.765,24.893,25.708,26.600,26.849,28.296,27.291,26.803,28.399,26.080,25.801,26.923,27.645,27.243,27.855,25.863
TMAX,AMJJAS,28.076,28.721,29.518,26.751,28.751,28.657,28.799,28.924,27.431,28.327,27.724,29.871,29.478,29.918,27.913,27.617,28.243,29.263,29.234,30.973,28.989,28.972,31.865,28.396,28.315,29.419,30.807,29.551,30.899,28.741
TMAX,ONDJFM,11.668,13.289,14.468,12.769,12.375,12.809,12.385,14.377,14.424,16.030,14.016,13.624,13.914,14.643,14.470,12.732,14.189,14.763,13.332,14.014,16.607,14.961,13.930,13.708,13.715,12.911,17.012,13.969,14.511,13.973
TMAX,NDJF,8.430,10.366,12.061,10.133,9.329,10.399,10.257,12.392,11.311,13.354,10.645,11.510,11.915,11.365,13.058,9.712,11.739,13.419,10.064,11.082,14.161,11.191,11.054,11.985,10.809,10.210,14.965,11.961,11.570,11.573
TMIN,year,11.283,11.887,11.456,11.055,10.677,11.104,11.308,11.578,11.713,11.617,11.117,12.223,11.732,13.052,11.936,11.266,11.470,11.859,12.244,12.666,12.108,12.619,11.944,11.751,11.275,11.937,12.253,12.487,12.396,11.877
TMIN,MAMJJASO,15.366,15.596,15.317,14.211,14.586,14.858,14.903,15.055,15.108,14.815,14.931,15.667,15.612,16.568,15.285,14.746,14.408,15.620,16.298,16.043,16.005,15.860,15.924,15.199,15.098,15.486,15.524,15.692,15.958,15.403
TMIN,AMJJAS,16.758,17.558,17.580,15.750,16.638,17.118,17.266,17.097,17.015,16.385,16.817,17.738,17.563,18.810,17.266,16.768,16.479,17.873,18.343,17.824,17.311,17.865,18.535,16.888,17.288,17.512,17.551,17.703,18.174,17.763
TMIN,ONDJFM,3.370,5.603,6.722,5.178,5.052,5.537,4.494,7.176,5.993,6.308,6.222,5.617,6.010,7.335,6.739,5.513,6.654,6.568,5.610,5.900,8.692,6.265,5.986,5.868,5.919,5.723,8.187,6.112,6.778,6.486
TMIN,NDJF,1.031,3.272,4.958,3.628,2.550,4.131,3.463,5.876,3.763,4.832,4.006,4.243,4.458,5.041,5.872,3.896,5.078,5.978,3.158,3.954,6.923,3.685,4.379,4.782,3.977,3.906,6.904,4.660,5.197,5.094
