Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,17.741,18.975,18.857,17.780,17.546,18.163,17.624,18.750,19.982,19.477,18.415,19.075,18.593,19.808,19.633,17.751,19.506,18.667,19.680,19.333,19.101,19.596,20.406,19.095,19.732,20.291,19.843,19.195,19.762,18.450
TMAX,MAMJJASO,21.705,22.908,22.826,20.997,21.910,22.136,21.778,22.128,23.866,23.262,22.607,22.743,22.513,23.383,23.820,21.948,23.575,22.350,24.008,22.920,23.142,23.166,24.938,23.194,24.287,24.612,23.640,22.777,24.155,23.339
TMAX,AMJJAS,23.608,25.244,25.081,22.750,23.946,23.767,23.854,24.112,25.553,24.807,24.289,25.351,24.766,25.417,25.730,23.947,25.572,24.531,26.249,25.069,24.737,25.172,27.682,25.247,26.034,26.920,25.728,25.077,26.580,25.553
TMAX,ONDJFM,10.854,11.813,12.580,12.327,11.850,11.478,12.111,13.010,14.136,14.632,13.038,12.744,12.796,12.454,14.179,12.396,12.619,13.816,12.463,13.009,13.410,14.135,13.494,12.876,12.769,12.777,15.409,13.494,12.299,12.486
TMAX,NDJF,8.731,10.110,10.831,10.619,9.951,8.850,9.953,11.334,11.944,12.598,9.983,10.802,11.473,10.633,12.940,9.731,9.850,12.171,10.539,11.123,11.832,11.390,11.200,11.601,10.435,10.013,13.341,12.092,10.105,10.219
TMIN,year,10.730,11.215,11.136,10.640,9.920,10.208,10.432,11.601,11.408,11.187,10.440,11.478,10.917,11.876,11.654,10.077,11.293,11.382,11.971,12.174,11.693,12.129,11.346,11.288,11.695,12.182,11.883,11.466,11.345,10.552
TMIN,MAMJJASO,13.546,13.746,13.847,12.623,12.963,12.726,13.143,13.711,13.886,13.258,13.204,13.878,13.473,13.999,14.354,12.593,13.775,14.008,14.729,14.465,14.515,14.268,14.081,13.925,14.495,15.001,14.127,13.817,14.031,13.498
TMIN,AMJJAS,14.783,15.165,15.425,13.835,14.433,13.843,14.742,15.004,14.824,14.131,14.233,15.696,15.095,15.587,15.683,14.041,15.142,15.544,16.379,15.846,15.339,15.779,16.065,15.406,15.696,16.574,15.771,15.336,15.680,14.993
TMIN,ONDJFM,5.458,6.310,7.505,6.534,6.264,5.751,6.480,7.914,8.240,8.206,7.183,7.022,6.972,7.148,8.136,6.552,6.973,7.683,7.206,7.590,8.448,8.326,7.452,6.941,7.173,7.034,9.369,7.519,6.568,6.987
TMIN,NDJF,3.801,5.168,6.344,5.623,4.655,4.264,5.329,6.949,6.979,6.859,5.174,5.720,6.615,5.794,8.012,4.911,5.290,6.907,5.942,6.494,7.360,6.431,6.288,6.617,5.692,5.502,8.269,6.730,5.255,5.829
TAVG,year,14.216,15.080,15.002,14.193,13.712,14.169,14.008,15.142,15.673,15.330,14.399,15.247,14.686,15.811,15.619,13.881,15.340,14.968,15.802,15.701,15.362,15.853,15.866,15.371,15.752,16.227,15.927,15.319,15.557,14.536
TAVG,MAMJJASO,17.601,18.319,18.367,16.799,17.414,17.407,17.438,17.890,18.888,18.281,17.880,18.295,17.921,18.662,19.072,17.228,18.615,18.137,19.353,18.635,18.806,18.705,19.521,18.755,19.389,19.806,18.975,18.322,19.099,18.416
TAVG,AMJJAS,19.173,20.207,20.302,18.285,19.179,18.789,19.276,19.518,20.223,19.519,19.257,20.534,19.862,20.505,20.710,18.970,20.323,19.995,21.328,20.393,20.031,20.476,21.947,20.534,20.890,21.765,20.908,20.293,21.200,20.324
TAVG,ONDJFM,8.149,9.030,10.035,9.383,9.036,8.592,9.278,10.431,11.126,11.343,10.068,9.828,9.810,9.746,11.087,9.434,9.730,10.659,9.784,10.241,10.876,11.183,10.420,9.949,10.095,9.935,12.282,10.464,9.351,9.710
TAVG,NDJF,6.254,7.615,8.586,8.065,7.277,6.556,7.628,9.105,9.400,9.639,7.546,8.214,8.990,8.159,10.437,7.291,7.536,9.457,8.188,8.760,9.545,8.871,8.729,9.164,8.180,7.855,10.745,9.356,7.654,8.061
RH,year,82.284,79.733,79.740,82.080,81.411,80.973,81.831,81.449,77.805,76.632,78.690,80.424,79.446,79.908,79.728,78.882,79.040,81.652,80.302,82.136,81.310,80.834,76.422,80.358,80.108,79.303,80.180,79.979,78.725,78.945
RH,MAMJJASO,79.149,75.787,75.972,78.707,78.366,77.570,78.150,77.715,73.339,71.041,74.322,76.192,74.497,75.291,75.146,73.806,74.266,78.365,75.385,78.770,77.233,76.613,71.049,75.511,75.208,74.663,76.121,76.202,73.922,73.118
RH,AMJJAS,76.949,72.820,73.449,76.451,76.391,75.282,77.011,74.790,70.904,68.330,71.788,73.426,73.000,73.204,72.450,70.845,71.691,75.968,72.861,76.443,74.060,74.761,68.370,73.308,72.853,71.756,73.899,73.125,71.133,70.880
RH,ONDJFM,87.351,86.099,87.956,86.558,87.207,86.178,87.019,87.240,87.422,83.821,84.985,86.779,85.978,87.268,86.612,86.839,87.207,85.625,88.737,87.730,88.345,86.748,85.655,86.396,87.669,87.250,86.616,85.706,87.604,86.452
RH,NDJF,88.167,87.150,88.897,88.721,86.837,88.122,89.224,88.649,89.770,85.476,88.065,88.544,89.288,89.146,89.845,88.681,88.818,88.099,90.210,89.635,89.106,88.924,88.488,88.963,90.061,89.974,88.874,86.415,89.492,89.448
