Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,25.994,25.431,25.761,24.332,25.662,25.087,25.674,25.397,26.366,26.062,25.114,25.299,24.554,26.408,26.771,25.152,26.433,26.052,25.756,26.079,26.120,25.970,26.392,25.846,26.241,26.811,25.827,25.631,26.866,25.353
TMAX,MAMJJASO,29.970,29.897,30.141,28.502,30.419,29.646,30.392,29.652,30.698,30.632,29.827,29.504,28.608,30.815,31.183,29.572,31.008,30.259,30.603,30.453,31.041,29.962,31.475,30.269,31.547,31.903,30.028,29.873,31.799,30.292
TMAX,AMJJAS,31.830,32.499,31.859,31.016,32.735,31.934,33.170,31.435,32.500,33.068,32.800,32.235,31.235,32.831,33.085,31.849,32.306,32.104,33.208,32.672,33.110,32.058,34.329,32.796,34.128,34.343,32.411,32.181,33.786,33.047
TMAX,ONDJFM,17.955,19.973,18.334,18.450,17.999,18.473,18.734,18.569,19.780,20.398,17.504,18.019,18.446,18.478,20.029,19.338,20.228,20.220,18.937,19.014,19.118,19.339,19.126,18.480,18.541,18.309,19.745,19.875,18.411,18.856
TMAX,NDJF,15.884,18.080,15.902,16.482,15.987,15.482,16.216,16.499,17.098,18.025,15.110,16.087,16.994,16.283,18.105,16.773,17.124,17.249,16.754,16.550,16.717,16.628,16.452,17.105,15.723,15.386,17.550,18.015,15.528,16.235
TMIN,year,13.510,13.781,13.523,12.663,13.277,13.034,13.831,13.410,14.426,13.983,13.153,13.141,12.734,13.867,14.349,13.726,14.730,13.821,13.792,13.757,14.135,14.332,14.736,13.898,13.678,14.920,13.583,13.775,14.460,14.012
TMIN,MAMJJASO,16.774,16.680,16.632,15.387,16.440,16.286,17.048,16.409,17.238,17.393,16.506,16.368,15.842,16.933,17.171,16.470,17.688,17.008,17.654,16.926,17.828,17.073,18.294,17.224,17.748,18.602,16.906,16.943,17.789,17.316
TMIN,AMJJAS,18.161,18.644,18.286,17.291,18.332,17.809,18.901,18.105,18.839,19.117,18.300,18.297,17.675,18.343,18.765,18.237,19.142,18.879,19.408,18.799,18.895,18.465,20.222,18.942,19.557,20.179,18.850,18.800,19.481,19.394
TMIN,ONDJFM,6.321,9.463,7.955,8.667,8.195,8.375,8.336,9.067,8.478,10.504,8.286,7.345,8.198,8.386,9.371,10.170,9.485,10.365,7.779,8.206,9.969,8.834,9.846,9.194,7.793,8.591,9.946,8.510,8.244,9.580
TMIN,NDJF,4.333,8.412,6.275,7.709,7.313,6.790,6.346,8.041,6.485,9.553,6.030,5.832,6.901,6.896,8.013,8.843,8.345,8.786,6.066,6.091,8.337,6.332,8.200,7.958,5.431,6.250,8.434,7.041,6.445,7.982
TAVG,year,19.693,19.540,19.595,18.464,19.467,19.043,19.726,19.369,20.370,19.993,19.123,19.189,18.597,20.109,20.514,19.408,20.533,19.870,19.702,19.847,20.062,20.068,20.516,19.800,19.883,20.806,19.645,19.564,20.554,19.581
TAVG,MAMJJASO,23.303,23.197,23.324,21.884,23.405,22.919,23.669,22.976,23.935,23.982,23.141,22.886,22.175,23.839,24.127,22.981,24.298,23.565,24.056,23.633,24.372,23.440,24.832,23.677,24.575,25.189,23.414,23.271,24.678,23.686
TAVG,AMJJAS,24.915,25.479,25.009,24.089,25.503,24.811,25.985,24.719,25.630,26.062,25.515,25.221,24.404,25.556,25.868,24.996,25.670,25.424,26.230,25.687,25.919,25.176,27.231,25.795,26.773,27.192,25.580,25.360,26.525,26.096
TAVG,ONDJFM,12.120,14.674,13.087,13.562,13.112,13.461,13.542,13.793,14.113,15.439,12.902,12.666,13.301,13.392,14.651,14.761,14.812,15.233,13.305,13.502,14.497,14.017,14.436,13.753,13.097,13.393,14.789,14.069,13.199,14.143
TAVG,NDJF,10.076,13.227,11.043,12.121,11.692,11.189,11.299,12.283,11.778,13.778,10.576,10.965,11.936,11.563,13.014,12.810,12.696,12.950,11.354,11.201,12.466,11.390,12.281,12.452,10.510,10.755,12.933,12.401,10.881,12.045
RH,year,61.904,64.529,63.079,65.214,62.942,63.730,65.048,66.660,63.922,64.177,63.531,63.135,65.332,62.572,60.782,64.312,64.261,62.742,62.504,62.417,62.325,63.450,62.914,63.502,58.722,62.241,63.068,63.384,58.931,62.376
RH,MAMJJASO,57.420,57.283,56.115,59.075,55.782,57.022,57.373,61.120,57.141,57.116,56.651,56.717,59.022,55.165,52.848,57.036,56.444,56.601,56.466,55.658,55.431,56.587,55.086,56.748,51.427,54.439,57.076,56.738,50.581,54.854
RH,AMJJAS,54.764,54.179,54.027,55.996,53.775,52.183,52.792,59.871,54.602,53.856,50.957,52.799,55.372,50.128,49.892,53.620,55.350,54.618,52.238,52.899,50.037,52.023,49.897,52.827,46.801,49.654,54.363,53.632,47.125,51.452
RH,ONDJFM,68.192,71.330,73.469,73.353,74.697,72.708,75.598,76.256,72.588,73.953,76.941,72.446,73.910,75.649,74.008,74.842,72.153,73.970,70.194,72.438,75.360,73.135,75.295,76.828,70.661,74.034,74.248,70.891,72.835,72.678
RH,NDJF,70.028,75.098,77.117,77.632,79.185,77.538,78.179,80.440,75.835,79.423,78.751,75.006,76.501,78.629,77.238,79.216,79.174,79.450,72.722,75.493,78.249,75.121,78.464,79.046,74.047,76.976,78.564,74.037,77.142,76.902
RHmin,year,44.449,47.503,45.781,48.117,45.634,46.707,47.997,48.567,47.079,46.844,46.746,46.004,47.787,45.344,44.204,47.995,47.569,45.419,45.633,45.326,45.605,46.994,46.743,46.358,42.402,45.817,45.545,46.173,42.851,46.433
RHmin,MAMJJASO,40.793,40.530,39.557,42.116,38.888,40.713,40.925,43.328,40.498,40.807,40.608,40.709,42.572,38.960,36.881,40.694,40.096,40.242,40.700,39.534,39.736,40.868,39.688,40.636,36.413,38.930,40.633,40.524,35.413,39.253
RHmin,AMJJAS,38.599,37.886,38.296,39.475,37.284,36.709,36.913,42.585,38.715,37.854,35.442,37.186,39.173,34.971,34.693,37.921,39.541,39.082,36.892,37.435,34.909,37.043,35.161,37.119,32.577,34.738,38.500,38.113,32.856,36.282
RHmin,ONDJFM,48.840,53.186,54.607,55.878,56.666,54.945,56.205,58.443,52.745,56.494,58.980,53.547,55.244,56.832,54.870,58.044,54.246,56.366,51.076,53.226,58.129,54.057,57.869,58.644,51.987,56.056,56.225,51.106,54.694,55.836
RHmin,NDJF,49.964,57.078,58.051,60.325,61.468,60.211,58.589,62.876,55.627,62.450,60.182,55.710,57.008,59.648,57.558,63.016,61.700,61.997,53.171,55.380,61.059,55.366,61.475,60.293,54.650,58.624,60.066,53.675,58.902,60.170
PREC,year,465.928,517.698,456.569,577.753,495.397,490.788,620.863,521.082,641.076,436.868,462.859,496.150,481.759,463.851,500.338,763.787,715.207,427.500,507.102,595.685,556.996,618.274,613.520,470.406,380.031,553.682,474.276,600.627,582.620,741.671
PREC,MAMJJASO,251.153,258.825,214.401,304.162,172.603,265.696,296.445,321.398,279.307,273.679,270.601,369.841,367.769,231.576,160.537,271.989,294.145,267.718,352.371,319.965,323.494,351.344,319.958,309.280,228.991,322.343,313.054,397.152,225.493,338.886
PREC,AMJJAS,177.530,160.845,173.591,185.093,130.602,162.746,163.111,244.688,206.450,162.815,136.781,235.158,223.798,154.601,122.594,202.388,249.361,218.962,191.380,217.986,137.947,227.550,165.244,165.612,109.846,163.188,221.243,280.079,135.219,192.343
PREC,ONDJFM,97.826,327.853,284.889,377.631,430.165,343.834,329.817,431.898,234.478,409.107,373.606,221.559,243.278,325.380,297.847,515.091,438.694,433.784,225.578,254.443,606.421,260.006,459.140,403.575,224.771,358.153,379.745,222.989,371.822,560.237
PREC,NDJF,53.729,267.477,197.058,288.368,349.142,303.685,235.708,303.948,134.399,357.220,208.273,127.942,111.897,204.116,205.245,461.011,404.845,370.046,148.885,113.370,416.680,135.912,350.558,229.229,117.536,200.879,230.004,151.268,246.334,446.071
