Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,23.014,23.567,23.508,22.301,23.497,23.335,23.400,23.830,23.645,24.039,23.061,23.848,23.882,24.718,23.382,23.063,24.311,24.206,24.238,24.828,24.696,24.331,25.193,24.206,23.833,24.908,25.123,24.792,24.888,23.828
TMAX,MAMJJASO,27.456,27.737,27.903,25.950,28.010,27.778,27.650,28.121,27.460,28.221,27.421,27.846,28.174,28.981,27.375,26.951,28.386,28.501,28.789,29.074,29.252,28.239,30.128,28.357,28.478,29.276,29.390,28.922,29.469,28.187
TMAX,AMJJAS,29.401,30.480,30.266,28.090,30.552,29.998,30.409,30.348,29.312,30.061,29.635,30.283,30.741,31.091,29.398,29.500,30.439,31.049,31.140,31.579,30.925,30.144,33.164,30.547,30.896,31.701,32.002,31.122,32.173,30.745
TMAX,ONDJFM,14.578,16.535,16.853,16.153,16.288,16.620,16.433,17.486,18.009,18.064,17.030,16.571,17.217,17.747,17.601,16.905,17.955,17.859,16.893,17.532,18.498,18.442,17.667,17.140,17.623,16.689,19.457,17.917,17.727,17.356
TMAX,NDJF,12.398,14.549,15.029,14.280,14.459,14.393,14.614,15.702,15.330,16.115,14.257,14.693,15.685,15.157,16.177,14.722,16.148,16.142,14.643,15.191,16.420,15.439,15.423,15.577,15.153,14.583,17.616,16.073,15.366,15.358
TMIN,year,13.821,14.724,14.203,13.686,14.227,14.409,14.384,14.697,14.221,14.632,13.847,14.846,14.576,15.467,14.154,14.311,14.747,14.607,14.945,15.377,15.194,15.424,15.727,15.172,14.681,15.241,15.175,15.362,15.468,14.965
TMIN,MAMJJASO,17.528,17.897,17.696,16.468,17.573,17.919,17.548,18.196,17.327,17.971,17.380,18.035,17.953,18.653,17.171,17.203,17.627,18.054,18.703,18.713,18.688,18.425,19.457,18.359,18.362,18.601,18.400,18.542,18.910,18.220
TMIN,AMJJAS,19.029,20.032,19.697,18.071,19.508,19.763,19.633,20.031,19.169,19.379,18.972,19.897,19.934,20.600,19.086,19.136,19.417,20.227,20.744,20.609,19.891,20.244,21.911,19.925,20.365,20.448,20.374,20.383,21.184,20.264
TMIN,ONDJFM,6.234,8.799,9.347,8.590,9.084,9.252,8.568,10.002,9.451,9.361,9.531,8.630,9.362,10.120,9.648,9.355,9.898,9.726,8.641,9.326,11.125,9.876,10.025,9.802,9.878,9.288,11.024,9.580,9.896,9.790
TMIN,NDJF,4.421,7.253,7.845,7.244,7.575,7.736,7.432,8.610,7.173,8.218,7.056,7.016,8.052,8.361,8.735,8.087,8.801,8.722,6.791,7.520,9.421,7.571,8.795,8.586,7.968,7.591,9.622,8.160,8.324,8.539
TAVG,year,18.500,19.229,18.813,17.986,18.777,18.894,18.974,19.295,18.936,19.339,18.411,19.168,18.954,19.853,18.521,18.450,19.278,19.235,19.423,19.940,19.675,19.756,20.356,19.462,19.064,19.794,19.907,19.666,19.771,18.983
TAVG,MAMJJASO,22.590,22.915,22.746,21.190,22.724,22.869,22.700,23.213,22.416,23.155,22.383,22.820,22.817,23.572,22.034,21.841,22.808,23.167,23.618,23.790,23.680,23.222,24.630,23.086,23.172,23.626,23.669,23.302,23.754,22.751
TAVG,AMJJAS,24.311,25.350,24.932,23.031,24.984,24.910,25.108,25.259,24.283,24.791,24.287,24.969,25.088,25.608,24.027,24.077,24.771,25.552,25.851,26.028,25.163,25.100,27.359,24.942,25.363,25.755,25.967,25.325,26.264,25.059
TAVG,ONDJFM,10.472,12.757,13.103,12.383,12.652,12.884,12.540,13.746,13.735,13.617,13.272,12.405,13.040,13.675,13.358,12.907,13.575,13.515,12.526,13.150,14.621,13.855,13.761,13.393,13.597,12.825,14.993,13.392,13.453,13.170
TAVG,NDJF,8.480,10.982,11.420,10.774,10.983,11.015,11.051,12.129,11.245,12.060,10.615,10.614,11.581,11.497,12.171,11.207,12.112,12.121,10.467,11.049,12.708,11.276,12.069,12.016,11.465,10.934,13.377,11.758,11.516,11.599
RH,year,70.123,71.046,69.483,70.533,68.927,70.261,70.248,68.798,70.264,70.286,68.182,70.409,68.241,66.675,69.348,70.999,67.685,68.013,71.872,73.662,72.634,74.625,67.973,69.111,68.357,68.344,67.092,70.861,69.599,71.807
RH,MAMJJASO,70.224,68.455,67.776,68.497,65.338,68.488,67.919,68.012,69.222,68.482,67.437,68.973,66.766,63.100,66.675,67.907,63.412,66.281,70.763,70.586,70.700,71.454,63.820,66.566,66.368,63.954,62.740,66.685,64.580,67.425
RH,AMJJAS,67.558,67.376,66.513,66.878,63.389,66.818,67.381,67.502,68.490,66.905,64.965,67.252,65.151,61.055,66.383,66.280,63.890,66.260,69.604,67.980,67.133,70.767,61.116,63.520,63.919,60.793,59.917,64.284,62.852,64.935
RH,ONDJFM,71.700,73.434,74.406,71.982,76.112,74.761,70.634,73.767,70.245,72.516,74.615,70.404,71.437,72.969,71.453,74.725,72.995,72.089,72.557,73.346,82.986,75.248,76.410,75.492,72.830,76.403,76.352,73.945,76.481,78.460
RH,NDJF,67.935,73.695,74.671,73.225,76.053,76.434,73.409,74.875,68.198,74.594,72.519,69.995,71.155,73.533,73.836,76.545,76.726,76.565,71.845,73.562,82.992,75.350,78.188,77.088,71.493,76.989,78.212,75.251,79.044,81.366
RHmin,year,54.637,56.123,53.642,55.685,53.399,55.092,55.235,53.685,54.237,54.394,52.841,54.526,52.174,51.333,53.153,55.328,51.556,51.820,55.119,56.529,55.276,58.244,52.658,53.564,52.787,51.954,50.697,53.786,52.970,55.241
RHmin,MAMJJASO,54.145,52.937,51.394,53.168,49.330,52.688,52.182,52.425,52.795,52.383,51.650,52.827,50.273,47.417,50.003,51.810,47.067,49.936,53.687,53.407,52.595,54.697,47.944,50.490,50.160,47.501,46.460,49.530,47.793,50.448
RHmin,AMJJAS,51.630,51.443,50.204,51.266,47.270,51.095,50.905,51.697,52.496,50.672,49.080,50.860,48.435,45.937,49.989,49.922,47.380,49.705,52.701,50.858,49.572,54.268,45.351,47.444,47.905,44.622,43.799,47.507,46.276,48.118
RHmin,ONDJFM,55.954,58.943,59.757,57.602,61.523,60.243,56.319,59.581,54.809,56.176,59.909,55.176,56.128,57.729,55.855,59.474,56.944,56.221,56.161,56.814,66.362,57.666,61.230,60.806,57.744,60.927,59.138,56.961,59.989,61.606
RHmin,NDJF,53.326,59.679,60.237,59.238,61.797,62.522,59.391,60.715,53.455,58.765,58.292,54.864,55.876,59.136,58.275,62.336,60.586,60.509,55.917,57.424,66.746,58.731,64.314,62.521,57.467,61.929,61.087,58.415,63.076,65.110
PREC,year,844.809,864.775,720.592,996.509,760.061,824.438,889.689,730.298,712.276,768.193,835.351,898.194,796.777,802.178,823.460,1076.212,760.346,751.712,874.216,870.561,677.518,947.305,712.959,892.449,850.921,698.491,686.089,1061.305,1075.503,1268.848
