Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,16.640,17.067,17.738,16.627,15.477,16.319,15.195,16.905,18.025,17.793,17.337,17.732,16.376,17.270,17.308,16.195,17.028,16.593,17.947,18.062,17.399,18.178,17.137,16.955,17.435,18.041,17.931,18.074,17.180,16.844
TMAX,MAMJJASO,21.314,21.461,22.392,21.181,20.903,21.015,19.770,21.578,22.117,21.501,21.667,22.040,20.709,21.925,22.298,21.266,21.549,21.074,22.980,22.171,22.220,23.258,21.809,21.525,22.001,22.903,22.766,22.221,21.818,22.505
TMAX,AMJJAS,23.672,23.821,25.083,23.462,23.270,23.364,22.156,24.370,24.448,23.323,24.057,25.084,23.174,24.925,24.628,23.845,24.350,23.615,25.774,24.181,24.704,26.590,24.766,23.828,24.823,25.840,25.010,24.515,24.930,25.564
TMAX,ONDJFM,7.778,9.461,10.928,9.736,7.799,8.951,8.245,9.962,11.191,11.875,10.605,11.283,9.751,8.882,10.483,7.943,10.302,10.037,9.119,10.420,11.422,11.139,8.193,9.536,9.938,9.151,12.363,10.972,10.394,8.413
TMAX,NDJF,6.199,6.683,9.253,7.634,4.504,5.950,6.055,8.136,9.158,9.808,8.406,9.330,8.653,6.585,8.830,4.744,7.873,8.591,6.259,8.501,9.201,8.518,5.822,7.839,8.350,6.645,9.716,9.117,8.228,6.064
TMIN,year,9.858,9.822,10.392,9.994,8.681,9.338,8.196,10.027,10.948,10.847,10.255,10.445,9.535,9.946,10.140,8.726,9.963,10.084,10.423,10.807,10.414,10.383,10.029,10.028,9.880,10.308,10.706,10.974,10.145,9.498
TMIN,MAMJJASO,12.882,12.467,13.238,12.811,12.779,12.471,11.446,13.002,13.355,12.783,12.857,12.784,12.109,12.807,13.307,11.937,12.551,12.806,13.256,12.814,13.533,13.309,12.784,12.863,12.379,13.069,13.677,13.142,12.787,13.228
TMIN,AMJJAS,14.534,13.960,14.904,14.368,14.234,14.088,13.495,15.119,14.657,13.957,14.393,14.651,13.767,14.676,14.663,13.770,14.253,14.665,14.827,13.994,15.219,15.224,14.773,14.275,14.482,14.967,15.135,14.451,14.600,15.720
TMIN,ONDJFM,3.149,5.012,6.383,5.319,3.450,4.369,3.139,5.677,6.477,7.216,6.318,6.645,5.602,4.807,6.208,2.956,5.688,6.219,4.918,6.619,7.091,6.284,3.888,5.590,5.600,4.388,7.302,7.165,6.347,4.208
TMIN,NDJF,2.580,3.131,5.603,4.189,0.730,2.166,1.882,4.933,5.415,6.010,5.106,5.756,5.307,3.362,5.277,1.017,4.339,5.743,3.228,5.532,6.347,4.622,2.402,4.684,5.009,3.393,5.762,6.351,5.061,2.889
TAVG,year,12.999,13.203,13.841,13.056,11.826,12.599,11.466,13.190,14.240,14.048,13.519,13.876,12.713,13.356,13.438,12.284,13.283,13.065,14.047,14.218,13.654,14.093,13.362,13.273,13.475,14.047,14.112,14.360,13.509,13.032
TAVG,MAMJJASO,16.758,16.651,17.530,16.685,16.491,16.438,15.293,16.971,17.445,16.842,16.930,17.145,16.116,17.072,17.481,16.388,16.818,16.652,17.969,17.234,17.587,18.070,17.019,16.921,16.984,17.843,17.954,17.501,17.086,17.674
TAVG,AMJJAS,18.742,18.602,19.718,18.588,18.392,18.451,17.541,19.436,19.278,18.384,18.921,19.637,18.201,19.543,19.381,18.617,19.099,18.884,20.249,18.893,19.694,20.758,19.523,18.812,19.488,20.289,19.832,19.354,19.576,20.476
TAVG,ONDJFM,5.318,7.069,8.462,7.372,5.469,6.510,5.508,7.597,8.550,9.302,8.211,8.726,7.503,6.638,8.034,5.268,7.761,7.870,6.727,8.327,9.008,8.448,5.845,7.403,7.566,6.589,9.649,8.895,8.223,6.210
TAVG,NDJF,4.312,4.847,7.300,5.808,2.527,4.017,3.870,6.379,7.102,7.714,6.604,7.407,6.878,4.832,6.827,2.768,5.959,6.943,4.536,6.927,7.603,6.404,4.012,6.169,6.524,4.915,7.659,7.617,6.572,4.457
RH,year,83.198,81.214,80.968,82.260,83.074,82.451,82.851,82.724,82.658,82.109,82.692,80.790,80.494,80.099,81.722,80.139,80.854,82.568,80.641,81.260,83.035,78.845,81.353,82.913,81.988,81.119,82.421,82.297,83.328,84.503
RH,MAMJJASO,79.887,77.381,77.641,79.679,80.792,79.427,79.616,80.073,79.466,78.322,79.533,76.516,77.640,76.045,78.472,75.989,77.186,79.383,75.957,76.819,80.458,74.180,76.954,79.242,78.158,76.492,78.511,78.575,79.402,81.316
RH,AMJJAS,78.669,75.679,75.612,78.625,78.984,78.148,79.614,78.401,77.585,77.423,78.093,74.060,75.874,73.871,76.760,74.336,74.946,78.768,73.657,75.512,79.444,71.126,75.317,76.882,76.338,73.538,76.656,75.747,76.529,80.068
RH,ONDJFM,85.747,87.796,87.138,84.848,86.975,86.990,86.617,87.438,86.397,86.946,87.520,87.300,87.256,85.426,86.379,85.135,86.602,87.410,87.277,87.264,86.233,87.006,86.037,88.914,88.545,87.869,87.985,89.083,90.042,89.702
RH,NDJF,88.350,90.150,88.488,86.643,87.593,88.351,88.913,89.288,88.238,89.620,89.472,89.391,88.812,86.759,88.482,87.726,88.612,89.366,89.941,89.308,89.642,88.838,88.542,90.205,90.209,90.181,90.241,90.121,91.385,90.817
RHmin,year,67.825,65.513,65.300,67.305,67.379,66.851,66.738,67.047,66.911,66.674,66.743,65.630,65.535,64.656,65.906,64.592,65.864,67.797,65.432,65.954,67.302,63.397,66.177,67.549,65.948,65.235,66.802,67.136,68.206,68.266
RHmin,MAMJJASO,61.678,58.983,59.210,61.683,62.901,61.316,61.410,61.650,61.104,60.138,60.846,58.469,59.855,58.113,59.981,57.891,59.309,61.821,57.660,58.261,61.983,55.908,58.880,61.143,58.845,57.673,59.959,60.325,60.972,61.870
RHmin,AMJJAS,59.612,56.408,56.187,59.723,59.923,59.315,61.163,59.419,58.066,58.662,58.419,54.993,57.406,54.884,57.408,55.672,56.018,60.477,54.333,56.236,60.094,51.675,56.242,58.020,56.680,54.059,57.357,56.767,56.690,60.357
RHmin,ONDJFM,73.658,75.906,75.118,73.471,75.120,74.923,73.144,75.749,73.615,74.494,75.697,74.898,75.971,74.497,74.401,72.269,74.375,76.678,75.677,76.861,74.987,73.970,74.599,77.949,76.644,75.425,74.918,78.547,78.877,78.216
RHmin,NDJF,78.356,80.147,78.394,77.259,77.037,78.073,77.244,79.836,77.524,78.670,79.824,79.155,79.403,77.677,78.000,77.112,78.562,80.632,80.555,80.876,81.160,77.787,78.795,81.131,80.474,80.939,79.316,82.059,82.282,81.811
PREC,year,836.256,591.412,811.999,656.177,779.346,792.093,737.558,689.208,769.222,872.690,639.673,617.709,684.262,766.466,772.538,573.721,737.711,921.512,686.382,692.076,810.027,695.669,646.019,756.230,689.820,611.092,826.273,702.702,666.412,472.639
PREC,MAMJJASO,560.796,387.918,542.971,481.144,564.924,532.808,505.271,477.428,565.429,600.840,401.079,409.035,443.489,496.154,561.699,365.551,533.304,668.601,411.845,447.956,583.426,456.240,462.984,544.658,508.637,438.694,544.450,481.350,449.299,335.088
