Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.544,13.240,13.334,13.260,12.071,12.030,12.299,13.045,13.999,14.010,12.943,13.092,12.635,13.232,13.975,12.619,14.043,13.431,13.833,13.475,13.292,13.740,14.337,13.802,13.736,14.169,14.035,13.398,13.555,12.628
TMAX,MAMJJASO,15.362,16.031,15.918,16.058,14.963,14.727,15.004,15.365,16.689,16.691,15.911,15.675,15.053,15.605,17.040,15.644,16.778,15.666,16.564,16.047,16.040,16.157,17.252,16.285,16.542,17.090,16.489,15.805,16.626,16.333
TMAX,AMJJAS,16.913,17.655,17.465,17.827,16.319,15.875,16.745,16.746,18.045,17.887,17.237,17.474,16.549,16.922,18.592,17.225,18.113,16.958,17.994,17.405,17.345,17.551,18.893,17.867,17.792,18.910,17.693,17.388,17.930,17.876
TMAX,ONDJFM,8.045,7.985,8.853,8.595,8.319,7.600,8.414,8.799,10.203,10.197,8.716,9.178,8.879,8.164,9.866,8.390,9.144,10.382,9.485,9.786,8.559,10.493,9.581,9.543,9.699,8.926,10.721,10.088,8.819,8.436
TMAX,NDJF,6.755,6.787,7.633,7.668,6.889,5.660,7.333,7.757,9.222,8.581,6.640,8.030,8.099,6.914,9.151,6.775,7.020,9.331,8.340,8.387,7.380,8.893,8.084,8.618,8.650,7.528,9.392,9.092,7.226,6.445
TMIN,year,5.214,5.645,5.986,5.516,4.934,4.784,5.172,5.930,6.083,6.324,5.648,5.806,5.521,6.106,6.047,5.320,6.409,6.409,6.455,6.238,5.845,6.596,6.172,6.606,6.504,6.766,6.596,6.141,6.245,4.858
TMIN,MAMJJASO,7.508,7.693,7.829,7.316,7.327,6.755,7.122,7.647,7.878,8.059,7.965,7.797,7.262,7.704,8.159,7.406,8.195,8.200,8.461,8.014,8.118,8.162,8.210,8.476,8.656,8.804,8.328,8.071,8.517,7.783
TMIN,AMJJAS,8.616,8.798,8.817,8.303,8.416,7.618,8.473,8.600,8.648,8.584,8.785,9.093,8.456,8.627,9.146,8.288,9.156,9.132,9.488,8.919,8.900,9.277,9.685,9.684,9.297,9.968,9.326,9.375,9.535,8.963
TMIN,ONDJFM,1.797,1.402,2.876,2.592,2.018,1.528,2.043,2.995,3.709,3.937,2.731,3.079,2.652,2.247,3.481,2.716,2.857,4.258,3.189,3.491,2.532,3.933,3.185,2.988,3.774,3.013,4.468,3.362,2.592,2.103
TMIN,NDJF,0.524,0.537,1.727,1.806,0.991,0.032,1.166,2.390,3.016,2.665,0.894,1.902,2.272,1.221,3.310,1.349,1.149,3.662,2.267,2.417,1.723,2.343,2.568,2.560,2.887,1.666,3.595,2.521,1.603,0.622
TAVG,year,8.714,9.303,9.511,9.235,8.372,8.275,8.609,9.367,9.895,10.007,9.183,9.319,8.920,9.527,9.854,8.827,10.081,9.787,9.994,9.738,9.413,10.053,10.133,10.053,10.074,10.412,10.272,9.713,9.869,8.617
TAVG,MAMJJASO,11.287,11.757,11.753,11.555,11.029,10.622,10.956,11.386,12.139,12.235,11.840,11.626,11.040,11.535,12.464,11.383,12.362,11.834,12.400,11.916,11.964,12.068,12.652,12.287,12.564,12.896,12.367,11.884,12.555,11.968
TAVG,AMJJAS,12.638,13.106,13.015,12.933,12.225,11.621,12.506,12.554,13.201,13.104,12.915,13.154,12.389,12.666,13.748,12.626,13.505,12.948,13.635,13.021,13.029,13.339,14.204,13.677,13.511,14.393,13.472,13.324,13.729,13.328
TAVG,ONDJFM,4.697,4.542,5.684,5.414,5.007,4.459,5.067,5.781,6.791,6.904,5.589,5.979,5.589,5.034,6.460,5.405,5.840,7.158,6.143,6.502,5.415,6.974,6.251,6.105,6.609,5.891,7.546,6.658,5.662,5.160
TAVG,NDJF,3.435,3.491,4.452,4.520,3.762,2.709,4.053,4.958,5.956,5.440,3.635,4.781,4.976,3.850,6.028,3.893,3.920,6.317,5.070,5.246,4.423,5.328,5.167,5.394,5.581,4.522,6.437,5.735,4.364,3.412
