Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,10.538,11.070,11.838,10.951,9.207,10.460,9.092,11.081,12.537,12.187,11.583,11.860,10.519,11.056,11.563,10.466,11.248,10.793,12.333,12.552,11.641,12.081,11.213,11.195,11.305,12.167,12.102,12.241,11.144,10.639
TMAX,MAMJJASO,15.753,15.935,16.952,16.244,15.466,16.004,14.379,16.422,17.167,16.489,16.200,16.498,15.447,16.479,17.075,16.224,16.180,15.972,17.854,17.087,17.212,17.854,16.322,16.407,16.358,17.550,17.527,16.753,16.291,17.283
TMAX,AMJJAS,18.622,18.586,20.068,19.164,18.228,18.747,17.195,19.661,19.917,18.685,18.894,19.815,18.401,19.792,19.791,19.264,19.350,18.866,21.027,19.584,20.240,21.678,19.516,19.222,19.657,20.973,19.907,19.399,19.792,20.806
TMAX,ONDJFM,0.265,2.491,4.165,2.877,0.345,1.961,0.795,3.081,4.638,5.329,3.882,5.141,3.106,1.371,3.811,0.853,3.873,3.335,2.176,4.053,4.807,4.251,0.783,2.849,2.759,2.128,5.828,4.430,3.711,0.988
TMAX,NDJF,-1.014,-0.689,2.564,0.719,-3.359,-1.535,-1.738,1.068,2.339,3.016,1.611,3.131,1.983,-1.300,1.897,-2.743,1.513,1.769,-1.114,2.090,2.611,1.292,-1.811,0.927,1.296,-0.609,2.790,2.580,1.508,-1.758
TMIN,year,3.314,3.279,4.294,3.616,1.703,2.839,1.226,3.661,5.069,4.916,4.329,4.314,3.077,3.245,3.809,2.081,3.500,3.489,4.190,4.949,3.924,3.721,3.584,3.651,3.072,3.731,4.179,4.881,3.658,3.067
TMIN,MAMJJASO,7.271,6.879,8.111,7.528,7.409,7.245,5.652,7.829,8.304,7.611,7.621,7.404,6.601,7.332,8.089,6.432,6.985,7.377,8.115,7.726,8.274,7.708,7.169,7.474,6.278,7.220,8.051,7.581,7.069,8.200
TMIN,AMJJAS,9.559,8.735,10.266,9.610,9.176,9.160,8.369,10.384,9.902,9.087,9.464,9.667,8.708,9.570,9.740,8.720,9.229,9.867,10.167,9.339,10.575,10.191,9.673,9.412,9.181,9.659,9.669,9.069,9.314,11.187
TMIN,ONDJFM,-5.610,-3.269,-1.005,-2.489,-5.232,-3.704,-5.680,-2.056,-0.966,0.026,-0.976,-0.005,-1.958,-3.981,-1.097,-5.862,-1.793,-1.917,-3.555,-0.769,-0.328,-1.605,-5.014,-2.081,-2.743,-3.915,-0.108,0.234,-0.969,-4.131
TMIN,NDJF,-5.935,-6.064,-2.094,-4.083,-9.204,-7.031,-7.558,-3.415,-2.846,-1.715,-2.665,-1.349,-2.498,-6.390,-2.610,-8.717,-3.665,-2.627,-6.223,-2.262,-1.427,-3.989,-7.080,-3.363,-3.310,-5.192,-2.357,-0.789,-2.732,-6.088
TAVG,year,6.800,7.092,7.965,7.160,5.347,6.555,5.023,7.218,8.676,8.420,7.828,8.003,6.694,7.047,7.536,6.165,7.306,7.000,8.206,8.614,7.662,7.886,7.312,7.344,7.302,8.121,8.227,8.657,7.500,6.867
TAVG,MAMJJASO,11.269,11.236,12.332,11.712,11.210,11.440,9.755,11.897,12.536,11.870,11.691,11.806,10.848,11.739,12.337,11.115,11.448,11.456,12.867,12.183,12.528,12.692,11.583,11.768,11.439,12.567,12.844,12.271,11.752,12.715
TAVG,AMJJAS,13.815,13.484,14.951,14.183,13.444,13.783,12.526,14.783,14.731,13.729,13.986,14.627,13.383,14.552,14.521,13.770,14.165,14.136,15.522,14.243,15.146,15.905,14.432,14.151,14.567,15.511,14.874,14.389,14.639,15.966
TAVG,ONDJFM,-2.597,-0.387,1.580,0.203,-2.458,-0.855,-2.418,0.414,1.738,2.601,1.400,2.490,0.558,-1.354,1.215,-2.428,1.002,0.677,-0.775,1.651,2.200,1.316,-2.123,0.411,0.086,-0.806,2.944,2.421,1.465,-1.493
TAVG,NDJF,-3.337,-3.253,0.302,-1.635,-6.238,-4.152,-4.532,-1.199,-0.218,0.640,-0.464,0.943,-0.204,-3.832,-0.391,-5.558,-0.981,-0.403,-3.664,0.014,0.605,-1.237,-4.333,-1.125,-0.912,-2.764,0.372,1.001,-0.465,-3.817
RH,year,81.675,80.390,80.439,80.855,81.634,81.306,80.832,80.934,81.791,81.585,82.750,80.151,79.726,79.930,80.262,79.015,79.167,80.689,78.579,80.227,81.051,77.455,80.661,81.296,80.350,78.886,81.121,80.320,81.291,83.012
RH,MAMJJASO,77.853,76.160,77.050,77.722,78.971,78.082,76.964,77.718,78.213,77.253,79.507,75.499,76.320,75.736,76.492,74.536,74.717,76.896,73.424,75.642,77.400,72.004,75.842,76.650,76.049,73.445,76.669,75.651,76.536,79.031
RH,AMJJAS,76.551,74.245,75.005,76.173,76.944,76.623,76.717,75.404,76.016,76.190,78.026,73.116,74.115,73.805,74.439,72.819,72.195,76.494,71.031,74.156,76.205,68.880,74.702,73.667,74.507,70.068,74.410,72.359,73.445,77.220
