Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.681,13.746,14.208,12.588,11.622,12.634,11.490,13.243,14.625,14.482,13.079,14.067,12.862,14.029,13.360,11.593,13.001,13.316,14.213,14.960,13.359,14.493,13.903,13.487,13.812,14.204,14.694,14.702,13.898,12.750
TMAX,MAMJJASO,18.063,18.967,19.330,17.409,17.413,17.981,16.573,17.989,19.212,18.806,18.074,19.057,17.775,18.882,18.709,17.043,17.815,18.129,19.482,19.557,18.546,19.738,19.090,18.582,18.995,19.525,19.786,19.002,19.086,18.606
TMAX,AMJJAS,20.330,21.325,22.042,19.720,20.072,20.448,19.460,20.899,21.251,20.432,20.370,22.185,20.542,21.668,21.015,19.983,20.462,20.940,22.114,21.831,20.787,22.658,22.413,20.894,21.832,22.605,22.173,21.428,22.452,21.396
TMAX,ONDJFM,3.683,4.819,7.106,5.264,3.391,4.226,3.643,6.053,7.387,8.588,6.231,6.211,5.212,5.682,6.574,2.671,5.670,6.481,5.224,6.149,7.669,7.256,4.275,5.468,5.981,4.409,9.367,6.757,6.128,4.753
TMAX,NDJF,0.621,1.468,4.723,2.944,-0.373,1.110,1.390,4.306,4.635,5.846,3.011,3.809,3.595,2.840,4.899,-0.770,2.614,5.025,2.100,3.860,5.209,3.956,1.351,3.550,3.751,1.452,6.666,4.683,3.622,2.056
TMIN,year,4.427,4.505,5.188,4.610,3.481,3.831,3.106,4.880,5.601,5.512,4.380,4.949,4.228,5.148,4.498,3.225,4.480,4.929,5.332,5.842,4.942,5.305,4.331,4.762,4.403,4.792,5.689,5.798,4.861,3.928
TMIN,MAMJJASO,8.338,7.962,8.749,7.924,8.165,7.757,6.908,7.884,8.534,8.032,7.856,8.008,7.598,8.278,8.325,7.289,7.711,8.379,8.779,8.663,8.782,9.061,7.856,8.164,7.539,8.454,8.827,8.450,8.289,8.350
TMIN,AMJJAS,9.869,9.589,10.401,9.620,9.940,9.665,9.348,10.073,9.817,9.338,9.503,10.109,9.566,10.180,9.968,9.441,9.650,10.444,10.576,10.002,10.426,11.119,10.301,9.676,9.748,10.734,10.599,10.038,10.184,10.825
TMIN,ONDJFM,-2.528,-1.565,0.855,-0.989,-2.899,-2.092,-3.459,0.645,0.607,1.645,-0.266,-0.144,-1.004,-0.326,0.137,-3.892,-0.942,0.307,-0.946,0.313,1.033,0.300,-2.749,-0.820,-0.277,-2.550,2.274,0.666,0.128,-1.696
TMIN,NDJF,-4.678,-4.095,-0.649,-2.539,-6.409,-4.530,-4.947,-0.016,-0.713,-0.238,-2.191,-1.461,-1.884,-2.286,-0.736,-6.543,-3.013,-0.320,-3.223,-1.272,-0.442,-2.038,-4.995,-2.080,-1.347,-4.337,1.053,-0.500,-1.649,-3.636
TAVG,year,8.438,8.983,9.625,8.422,7.389,8.093,7.150,8.965,10.047,9.898,8.627,9.469,8.511,9.580,8.879,7.194,8.530,8.904,9.584,10.196,8.952,9.682,8.907,8.942,8.883,9.296,9.982,10.053,9.181,8.160
TAVG,MAMJJASO,12.979,13.308,13.915,12.453,12.542,12.670,11.512,12.803,13.789,13.305,12.813,13.486,12.610,13.593,13.435,11.939,12.528,13.023,13.913,13.884,13.429,14.164,13.260,13.144,13.014,13.793,14.071,13.543,13.461,13.246
TAVG,AMJJAS,14.914,15.400,16.123,14.504,14.786,14.925,14.201,15.398,15.528,14.868,14.860,16.208,15.034,16.036,15.524,14.539,14.904,15.504,16.218,15.780,15.454,16.721,16.234,15.133,15.643,16.568,16.229,15.670,16.130,15.939
TAVG,ONDJFM,0.506,1.485,3.868,2.033,0.091,0.953,-0.022,3.217,3.835,4.990,2.829,2.899,2.020,2.591,3.230,-0.768,2.048,3.129,1.896,3.029,4.028,3.517,0.503,2.096,2.595,0.625,5.503,3.429,2.860,1.312
TAVG,NDJF,-1.959,-1.322,2.016,0.196,-3.449,-1.707,-1.808,2.101,1.921,2.752,0.406,1.178,0.859,0.276,2.080,-3.723,-0.396,2.150,-0.711,1.192,2.169,0.841,-1.990,0.588,1.046,-1.622,3.674,1.897,0.826,-0.920
RH,year,81.034,78.709,78.872,80.953,81.761,79.900,81.111,80.347,79.881,79.980,81.920,79.287,80.674,80.267,81.199,82.608,82.051,82.143,81.666,80.553,83.015,80.104,79.663,80.546,79.595,79.556,80.336,80.403,81.685,82.449
RH,MAMJJASO,78.065,74.823,75.228,78.290,79.684,76.729,78.019,76.843,76.283,76.455,79.288,74.798,77.694,76.757,78.119,79.969,78.746,79.234,78.062,76.537,80.447,76.635,75.516,76.682,75.355,75.324,76.381,76.848,77.940,79.389
RH,AMJJAS,76.798,73.438,73.452,77.708,77.861,75.713,77.508,75.328,74.979,76.032,78.100,72.099,75.926,74.927,76.369,78.448,77.369,78.040,76.322,74.488,78.905,74.823,73.104,74.621,73.298,72.527,74.467,74.555,74.956,78.640
RH,ONDJFM,83.335,84.568,84.789,83.801,84.897,85.049,84.121,86.306,83.787,83.820,85.645,86.130,86.024,85.567,85.583,86.659,86.539,86.666,86.924,87.041,86.889,85.618,85.901,86.644,86.144,86.676,85.377,86.652,88.113,87.120
RH,NDJF,85.665,87.220,86.510,86.167,85.687,86.463,86.265,88.652,86.947,86.188,87.683,88.344,87.461,87.147,87.298,88.012,88.166,88.576,88.935,88.328,89.079,87.424,87.468,88.196,88.111,88.488,87.992,88.021,89.370,88.501
RHmin,year,63.300,59.802,60.622,63.483,63.644,61.294,62.696,62.827,61.378,61.657,63.048,61.022,62.722,62.161,62.550,63.815,63.192,63.404,62.617,61.445,64.161,60.711,59.765,61.918,60.099,59.947,61.533,61.586,62.443,62.942
RHmin,MAMJJASO,58.164,53.927,55.215,58.673,60.187,56.493,57.884,56.981,55.884,55.736,58.297,54.321,57.759,56.675,57.692,59.646,57.863,58.952,56.764,55.462,59.948,55.836,54.102,56.021,53.324,54.230,55.224,56.267,56.716,58.227
RHmin,AMJJAS,56.238,52.261,52.429,57.593,57.407,55.215,57.103,55.072,54.064,55.328,56.754,51.289,55.556,54.441,55.951,57.637,56.192,57.188,54.581,52.985,58.351,53.490,51.544,53.617,51.511,51.545,53.269,53.890,52.360,57.755
RHmin,ONDJFM,68.326,68.690,69.534,68.420,68.701,69.302,66.714,72.403,67.478,67.590,69.482,70.174,70.308,70.619,69.369,69.487,68.974,70.349,70.572,71.420,69.432,68.106,67.757,69.920,69.849,68.509,67.681,70.432,71.775,70.102
RHmin,NDJF,72.273,72.662,72.897,72.087,69.814,71.923,70.022,76.850,73.005,71.066,74.076,74.482,73.256,73.846,72.842,72.150,72.410,73.833,73.840,74.236,73.347,71.573,70.336,72.676,74.027,72.577,72.711,73.597,74.569,72.796
PREC,year,776.571,465.916,602.723,596.040,642.931,628.894,687.242,627.128,542.184,626.110,590.775,597.955,671.072,709.976,685.534,669.409,736.686,792.239,706.923,691.501,785.122,690.884,534.472,681.335,624.093,620.580,754.817,679.407,736.321,892.891
PREC,MAMJJASO,578.062,329.710,434.731,491.366,495.002,467.769,501.217,437.724,419.010,478.434,446.340,432.421,482.787,519.447,535.742,574.127,603.837,624.368,520.604,502.026,644.061,528.961,408.830,495.243,426.070,480.919,538.757,523.304,575.312,678.588
PREC,AMJJAS,432.532,289.293,338.355,437.952,441.254,402.625,441.521,378.564,342.854,421.421,388.872,308.043,416.222,371.100,467.417,504.847,500.583,473.080,432.978,408.471,565.449,380.084,325.548,401.538,378.870,406.044,464.968,403.531,420.276,628.057
PREC,ONDJFM,125.269,290.034,258.122,186.813,164.532,210.225,230.985,272.674,189.607,216.808,187.749,265.266,288.617,291.388,311.506,147.160,175.549,301.507,300.236,323.967,217.110,260.567,228.880,276.141,266.409,211.387,305.337,254.595,262.560,286.391
PREC,NDJF,65.944,188.994,176.197,127.881,99.048,161.788,163.091,195.572,150.951,140.206,134.737,164.990,190.105,183.157,197.088,105.645,98.020,173.167,170.937,187.597,154.343,193.335,100.364,170.360,180.936,160.314,225.784,161.393,139.338,159.499
SRAD,year,3746.769,4204.475,3938.653,3636.858,3678.244,3962.619,3699.335,3913.407,3960.106,4025.447,3918.186,4118.474,3935.300,4058.387,4015.274,3815.607,4023.902,3891.690,4064.978,4084.030,3816.062,4050.685,4295.139,4001.220,4203.342,4234.554,4134.072,4088.393,4182.102,3961.799
SRAD,MAMJJASO,3428.916,3844.131,3602.264,3285.280,3335.072,3579.824,3372.898,3587.189,3603.062,3674.875,3567.999,3781.948,3590.810,3705.968,3654.118,3442.578,3670.125,3534.370,3726.457,3729.183,3461.924,3683.472,3920.994,3676.339,3864.181,3867.377,3811.258,3725.414,3860.136,3636.006
SRAD,AMJJAS,2992.520,3293.393,3186.075,2798.479,2938.170,3074.241,2854.845,3107.433,3117.495,3125.676,3086.328,3321.110,3116.446,3229.312,3165.821,2958.042,3162.995,3045.334,3229.590,3259.403,2998.899,3208.189,3401.520,3202.158,3303.664,3379.801,3290.420,3244.153,3470.097,3080.239
SRAD,ONDJFM,450.046,861.132,761.787,836.211,763.948,835.578,877.428,772.719,883.561,875.095,831.190,837.378,807.400,797.689,842.433,885.829,881.548,854.604,816.076,786.021,842.583,874.403,872.035,788.911,853.238,882.151,880.849,823.760,756.696,810.304
SRAD,NDJF,195.805,339.426,324.229,354.955,358.914,364.426,366.029,300.607,350.360,373.220,341.896,332.308,348.242,328.191,364.489,375.723,373.992,345.336,339.199,345.668,363.302,361.489,370.170,341.882,334.098,355.128,339.203,348.901,329.762,339.834
WIND,year,2.899,2.613,2.993,2.745,2.659,2.764,2.708,2.844,2.688,2.825,2.614,2.739,2.779,2.632,2.561,2.412,2.557,2.733,2.506,2.428,2.355,2.409,2.286,2.459,2.374,2.313,2.602,2.603,2.402,2.445
WIND,MAMJJASO,2.625,2.495,2.693,2.546,2.514,2.538,2.613,2.548,2.496,2.620,2.443,2.594,2.490,2.462,2.386,2.359,2.501,2.635,2.280,2.297,2.222,2.259,2.237,2.366,2.213,2.224,2.388,2.415,2.362,2.377
WIND,AMJJAS,2.456,2.376,2.447,2.462,2.504,2.415,2.561,2.429,2.336,2.367,2.381,2.453,2.422,2.241,2.295,2.300,2.377,2.405,2.156,2.093,2.160,2.063,2.214,2.281,2.117,2.175,2.383,2.259,2.260,2.260
WIND,ONDJFM,3.371,3.121,3.324,3.177,2.871,3.022,2.882,3.067,3.292,3.296,2.853,3.030,3.106,3.025,3.159,2.419,2.684,2.836,2.916,3.017,2.429,2.847,2.336,2.583,2.712,2.317,2.945,2.850,2.584,2.571
WIND,NDJF,3.436,3.121,3.479,3.324,2.818,3.184,3.028,3.121,3.470,3.243,2.891,3.081,3.272,3.007,3.248,2.457,2.712,2.788,2.853,3.008,2.379,2.979,2.236,2.590,2.786,2.342,3.128,2.921,2.547,2.538
VPD,year,0.283,0.337,0.350,0.272,0.265,0.304,0.258,0.299,0.328,0.313,0.268,0.359,0.297,0.329,0.301,0.257,0.274,0.282,0.306,0.332,0.267,0.341,0.343,0.303,0.331,0.359,0.331,0.330,0.301,0.284
VPD,MAMJJASO,0.382,0.457,0.476,0.361,0.357,0.412,0.349,0.403,0.439,0.412,0.358,0.495,0.399,0.448,0.408,0.348,0.370,0.378,0.418,0.449,0.360,0.463,0.473,0.414,0.454,0.496,0.450,0.442,0.413,0.390
VPD,AMJJAS,0.439,0.531,0.562,0.413,0.423,0.477,0.403,0.474,0.504,0.454,0.414,0.605,0.474,0.536,0.484,0.417,0.436,0.447,0.492,0.528,0.424,0.553,0.576,0.486,0.542,0.604,0.530,0.529,0.507,0.455
VPD,ONDJFM,0.128,0.128,0.141,0.131,0.116,0.118,0.118,0.121,0.155,0.172,0.126,0.123,0.112,0.122,0.124,0.092,0.118,0.118,0.114,0.112,0.128,0.138,0.107,0.109,0.117,0.104,0.156,0.119,0.104,0.107
VPD,NDJF,0.080,0.077,0.104,0.090,0.076,0.079,0.084,0.086,0.098,0.120,0.080,0.083,0.089,0.082,0.099,0.059,0.085,0.090,0.070,0.085,0.085,0.094,0.073,0.081,0.083,0.067,0.103,0.092,0.076,0.074
FWI_FD,year,1.339,2.591,2.318,1.468,1.233,1.612,1.106,1.864,2.035,1.671,1.251,2.635,1.578,1.883,1.584,1.063,1.266,1.123,1.573,2.078,0.932,1.883,1.987,1.269,2.092,2.235,1.538,1.751,1.582,1.106
FWI_FD,MAMJJASO,1.926,3.601,3.268,1.882,1.704,2.260,1.577,2.692,2.888,2.302,1.762,3.859,2.255,2.715,2.287,1.489,1.789,1.592,2.265,2.984,1.305,2.716,2.862,1.820,2.937,3.234,2.229,2.458,2.289,1.592
FWI_FD,AMJJAS,2.340,4.027,4.089,2.179,1.951,2.612,1.782,3.009,3.416,2.353,1.940,4.812,2.768,3.456,2.769,1.815,2.174,2.008,2.823,3.287,1.564,3.487,3.633,2.223,3.342,3.888,2.735,3.147,3.001,1.850
FWI_FD,ONDJFM,0.268,0.469,1.014,0.644,0.623,0.595,0.504,0.436,1.005,0.875,0.615,0.470,0.433,0.332,0.359,0.370,0.449,0.230,0.276,0.232,0.884,0.380,0.302,0.222,0.330,0.791,0.713,0.268,0.268,0.231
FWI_FD,NDJF,0.152,0.160,0.535,0.421,0.564,0.282,0.271,0.186,0.296,0.412,0.196,0.165,0.155,0.163,0.203,0.156,0.232,0.191,0.127,0.158,0.256,0.185,0.164,0.176,0.167,0.357,0.210,0.203,0.227,0.137
FWI_3+,year,5.510,23.528,20.368,6.519,4.042,11.179,3.069,13.030,15.771,6.164,2.212,31.640,15.968,20.652,11.396,4.009,4.557,3.885,9.263,20.287,2.781,15.045,16.090,4.151,12.209,25.840,7.397,15.104,11.657,5.663
FWI_3+,MAMJJASO,5.502,23.121,20.355,6.339,3.925,11.171,3.069,13.030,15.761,6.099,2.210,31.640,15.966,20.637,11.396,4.005,4.535,3.885,9.263,20.284,2.781,15.043,16.090,4.151,11.999,25.840,7.395,15.103,11.657,5.663
FWI_3+,AMJJAS,5.491,19.991,20.297,6.255,3.739,11.085,2.950,12.630,15.631,5.957,2.118,31.263,15.885,20.574,11.383,4.000,4.529,3.881,9.260,19.756,2.780,15.043,16.089,4.140,11.750,25.488,7.395,15.102,11.656,5.663
FWI_3+,ONDJFM,0.008,0.016,3.542,0.063,0.262,0.313,0.083,0.119,0.494,0.206,0.053,0.088,0.379,0.081,0.080,0.011,0.014,0.023,0.004,0.003,0.530,0.001,0.002,0.002,0.009,0.459,0.353,0.001,0.001,0.001
FWI_3+,NDJF,0.000,0.007,0.407,0.014,0.177,0.117,0.008,0.000,0.010,0.064,0.001,0.001,0.002,0.001,0.014,0.000,0.009,0.017,0.000,0.001,0.002,0.000,0.002,0.000,0.000,0.210,0.001,0.001,0.000,0.000
FWI_4+,year,0.077,0.490,0.438,0.053,0.018,0.442,0.060,0.094,0.156,0.024,0.002,2.419,0.194,0.669,0.019,0.020,0.012,0.006,0.026,0.715,0.001,0.022,0.152,0.008,0.010,0.917,0.012,0.726,0.636,0.009
FWI_4+,MAMJJASO,0.077,0.463,0.438,0.050,0.016,0.442,0.060,0.094,0.156,0.023,0.002,2.419,0.194,0.669,0.019,0.020,0.010,0.006,0.026,0.715,0.001,0.022,0.152,0.008,0.010,0.917,0.012,0.726,0.636,0.009
FWI_4+,AMJJAS,0.077,0.218,0.438,0.047,0.015,0.437,0.052,0.090,0.152,0.021,0.002,2.413,0.181,0.667,0.019,0.020,0.010,0.006,0.026,0.712,0.001,0.022,0.152,0.008,0.009,0.917,0.012,0.726,0.636,0.009
FWI_4+,ONDJFM,0.000,0.000,0.272,0.001,0.006,0.004,0.004,0.008,0.007,0.002,0.002,0.000,0.006,0.013,0.002,0.000,0.001,0.001,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_4+,NDJF,0.000,0.000,0.027,0.001,0.003,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
