Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,16.691,17.599,17.535,16.592,16.669,16.765,16.523,17.351,18.660,18.309,17.162,17.389,16.995,18.154,17.959,16.850,18.513,17.587,17.936,18.045,17.689,18.099,19.106,17.725,17.887,18.515,17.916,17.584,18.355,16.952
TMAX,MAMJJASO,20.230,21.042,21.143,19.732,20.789,20.512,20.473,20.574,22.222,22.059,21.122,20.724,20.379,21.495,21.487,20.549,22.244,21.055,21.901,21.369,21.609,21.236,23.542,21.503,22.280,22.585,21.320,20.809,22.385,21.278
TMAX,AMJJAS,21.767,23.273,23.078,21.499,22.652,22.108,22.539,22.325,23.673,23.571,22.958,23.036,22.375,23.057,23.002,22.357,23.790,22.920,23.765,23.316,22.794,22.709,26.008,23.375,23.971,24.550,23.239,22.771,24.394,23.336
TMAX,ONDJFM,10.738,11.858,11.642,11.511,11.042,10.841,10.943,12.079,13.123,14.101,11.673,11.375,11.978,11.862,13.085,12.239,12.310,13.329,11.682,12.152,12.877,12.998,12.793,12.007,11.703,11.472,13.877,12.493,11.417,11.755
TMAX,NDJF,8.400,10.542,10.001,9.887,9.393,8.166,8.855,10.661,10.851,12.126,8.814,9.564,10.907,10.074,11.839,9.806,9.824,11.596,9.695,10.090,11.269,10.187,10.309,10.838,9.258,8.710,12.152,11.219,9.177,9.568
TMIN,year,8.061,8.588,8.268,7.545,7.095,7.636,7.924,8.546,8.413,8.560,7.856,8.389,8.038,9.326,8.634,7.686,8.670,8.289,8.912,9.021,8.640,8.972,8.895,8.473,8.355,9.131,8.705,8.430,8.555,7.731
TMIN,MAMJJASO,10.816,10.766,10.925,9.490,9.987,10.214,10.694,10.866,10.911,10.881,10.671,10.819,10.441,11.426,10.993,9.897,11.011,10.972,11.690,11.217,11.488,10.867,11.754,11.003,11.377,12.040,11.022,10.689,11.198,10.585
TMIN,AMJJAS,11.765,12.291,12.501,10.753,11.467,11.340,12.113,12.052,11.992,11.982,11.821,12.316,11.949,12.643,12.141,11.191,12.266,12.233,13.150,12.602,12.142,12.005,13.609,12.277,12.543,13.285,12.602,12.059,12.780,12.057
TMIN,ONDJFM,3.229,4.531,4.594,3.673,3.532,3.115,3.709,5.227,4.825,5.255,4.371,3.701,4.534,4.951,5.627,4.665,4.518,5.095,4.414,4.494,6.014,5.010,5.003,4.385,4.354,4.168,6.082,4.467,3.783,4.274
TMIN,NDJF,1.167,3.638,3.507,2.851,2.234,1.687,2.252,4.082,3.176,4.239,2.269,2.253,3.966,3.628,5.231,3.264,3.100,4.068,2.908,3.231,4.777,3.053,3.821,3.797,2.770,2.068,4.937,3.422,2.509,3.122
TAVG,year,12.204,12.927,12.717,11.932,11.723,12.059,12.059,12.760,13.343,13.266,12.301,12.649,12.236,13.464,13.022,12.019,13.259,12.611,13.115,13.206,12.848,13.208,13.725,12.800,12.812,13.489,12.919,12.645,13.139,12.066
TAVG,MAMJJASO,15.353,15.741,15.861,14.479,15.223,15.211,15.405,15.527,16.429,16.325,15.697,15.542,15.126,16.168,15.955,14.971,16.300,15.731,16.451,15.960,16.214,15.720,17.383,15.959,16.530,16.994,15.754,15.387,16.464,15.634
TAVG,AMJJAS,16.613,17.642,17.644,16.028,16.926,16.594,17.146,17.010,17.742,17.680,17.227,17.459,16.887,17.598,17.336,16.569,17.749,17.308,18.140,17.646,17.195,17.046,19.601,17.570,18.014,18.641,17.525,17.083,18.294,17.453
