Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.710,14.169,14.387,14.386,13.226,12.955,13.733,13.975,14.759,14.686,14.134,13.990,13.768,13.976,15.104,13.882,14.881,14.505,14.598,14.364,14.398,14.474,14.918,14.574,14.655,14.960,15.045,14.220,14.190,13.494
TMAX,MAMJJASO,15.849,16.463,16.548,16.792,15.512,15.033,15.885,15.912,17.070,16.989,16.575,16.022,15.639,15.782,17.769,16.272,17.157,16.465,16.850,16.692,16.760,16.408,17.325,16.657,16.976,17.383,17.086,16.279,16.701,16.629
TMAX,AMJJAS,17.193,17.823,17.907,18.354,16.601,15.896,17.391,17.048,18.384,18.182,17.870,17.490,16.993,16.706,19.260,17.657,18.277,17.484,18.047,17.979,17.978,17.514,18.626,18.070,18.036,18.848,18.175,17.640,17.720,17.948
TMAX,ONDJFM,10.304,10.051,10.381,10.577,10.045,9.667,10.436,10.442,11.463,11.166,10.424,10.780,10.592,10.213,11.273,10.523,10.768,11.733,11.287,11.141,10.065,11.793,11.097,11.129,11.109,10.826,11.651,11.751,10.456,9.955
TMAX,NDJF,9.439,9.328,9.302,9.929,8.840,8.222,9.486,9.653,10.781,9.888,8.938,9.951,10.150,9.305,10.619,9.326,9.219,10.737,10.303,9.968,9.061,10.566,9.828,10.264,10.261,9.764,10.564,10.865,9.295,8.289
TMIN,year,6.841,6.786,7.277,6.483,6.248,5.885,6.577,7.016,7.215,7.256,7.088,6.924,6.807,7.078,7.453,6.703,7.853,7.740,7.755,7.216,7.047,7.507,7.508,7.516,7.830,7.779,7.795,7.138,7.214,6.259
TMIN,MAMJJASO,8.482,8.461,8.738,8.181,8.253,7.490,8.082,8.525,8.733,8.996,8.959,8.421,8.074,8.347,9.251,8.391,9.477,9.183,9.475,8.777,8.824,8.676,9.171,8.955,9.535,9.516,9.179,8.705,9.213,8.842
TMIN,AMJJAS,9.601,9.513,9.579,9.243,9.163,8.267,9.385,9.308,9.467,9.495,9.842,9.463,9.245,9.017,10.125,9.109,10.286,9.897,10.464,9.632,9.578,9.608,10.417,10.174,10.233,10.492,10.015,9.902,9.991,10.056
TMIN,ONDJFM,4.193,3.629,4.264,4.402,3.315,3.270,3.820,4.302,5.102,5.214,4.127,4.989,4.399,3.998,5.105,4.608,4.717,5.951,5.144,5.025,3.903,5.619,4.839,4.500,5.406,4.880,5.276,5.416,4.236,3.214
TMIN,NDJF,3.565,3.359,3.290,3.973,2.428,2.073,3.129,3.856,4.701,3.960,2.559,4.300,4.188,3.493,4.863,3.498,3.473,5.147,4.508,4.155,3.190,4.651,4.443,4.075,5.068,3.967,4.528,4.866,3.500,1.804
TAVG,year,10.270,10.488,10.845,10.440,9.757,9.428,10.154,10.494,11.000,10.961,10.612,10.439,10.276,10.543,11.270,10.289,11.373,11.115,11.172,10.785,10.712,10.989,11.240,11.074,11.281,11.367,11.407,10.664,10.686,9.856
TAVG,MAMJJASO,12.154,12.477,12.661,12.500,11.895,11.266,11.983,12.218,12.920,12.982,12.771,12.202,11.835,12.084,13.511,12.338,13.325,12.812,13.152,12.722,12.769,12.517,13.264,12.816,13.276,13.444,13.119,12.476,12.943,12.721
TAVG,AMJJAS,13.387,13.674,13.769,13.814,12.887,12.079,13.382,13.178,13.950,13.835,13.867,13.458,13.095,12.890,14.699,13.391,14.297,13.682,14.253,13.795,13.757,13.535,14.548,14.123,14.165,14.664,14.087,13.760,13.845,13.982
TAVG,ONDJFM,7.252,6.852,7.326,7.495,6.687,6.502,7.147,7.369,8.277,8.179,7.265,7.867,7.485,7.117,8.177,7.549,7.727,8.840,8.212,8.065,6.995,8.709,7.999,7.855,8.290,7.898,8.459,8.562,7.322,6.593
TAVG,NDJF,6.515,6.350,6.299,6.950,5.639,5.182,6.320,6.751,7.736,6.916,5.747,7.104,7.163,6.420,7.727,6.391,6.325,7.949,7.410,7.061,6.143,7.635,7.185,7.227,7.714,6.927,7.547,7.844,6.382,5.053
