Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,5.602,6.656,6.776,6.809,5.519,6.073,5.666,6.837,7.686,7.850,7.287,7.321,6.509,6.781,6.807,6.590,7.484,6.531,7.298,7.721,6.919,7.652,7.947,7.734,7.864,8.396,7.800,7.781,7.485,6.092
TMAX,MAMJJASO,9.580,10.108,10.200,10.232,9.934,10.046,9.336,10.445,10.749,11.124,10.586,10.244,9.726,10.470,10.393,10.524,11.043,9.875,10.949,10.867,10.564,11.912,11.488,11.320,11.157,11.703,11.578,10.963,11.336,10.941
TMAX,AMJJAS,12.083,12.208,12.413,12.581,11.830,11.961,11.265,13.102,12.830,13.087,12.670,12.846,11.900,12.930,12.364,12.600,13.617,12.127,13.222,12.742,12.847,14.963,13.912,13.591,13.139,14.667,13.289,13.386,13.984,13.244
TMAX,ONDJFM,-1.608,-0.288,1.477,0.324,0.188,-0.295,-0.292,0.954,2.151,2.290,1.780,2.803,1.341,-0.280,1.676,0.597,1.212,1.173,0.593,2.007,1.625,1.962,0.339,1.648,2.162,1.891,2.716,2.469,1.546,-0.095
TMAX,NDJF,-2.001,-2.318,0.351,-0.987,-1.564,-3.122,-1.916,-0.474,0.965,1.019,0.168,1.919,0.889,-1.963,0.831,-1.437,-0.568,0.237,-0.891,0.831,0.242,0.283,-1.297,0.465,1.190,0.752,1.154,1.378,0.106,-1.858
TMIN,year,-1.178,0.242,0.377,0.619,-1.074,-0.449,-0.682,0.316,1.355,1.623,0.908,0.783,-0.018,0.156,0.251,-0.217,0.800,0.412,0.909,1.633,0.391,0.953,1.057,1.152,1.254,1.658,1.123,0.971,0.845,-1.010
TMIN,MAMJJASO,2.636,3.371,3.681,3.518,3.232,3.331,2.789,3.422,3.827,4.200,3.755,3.159,2.643,3.407,3.465,3.233,3.657,3.343,4.115,4.214,3.556,4.630,4.160,4.353,3.878,4.139,4.370,3.473,4.061,3.488
TMIN,AMJJAS,4.777,4.779,5.471,5.555,4.732,4.644,4.392,5.659,5.279,5.649,5.301,5.209,4.441,5.312,4.855,4.802,5.604,5.326,5.805,5.627,5.630,7.101,6.116,6.110,5.719,6.740,5.751,5.347,6.184,5.366
TMIN,ONDJFM,-8.528,-6.007,-4.116,-5.456,-5.292,-6.371,-6.208,-4.228,-3.266,-2.710,-3.627,-2.416,-4.389,-6.064,-3.503,-5.404,-4.494,-4.105,-4.670,-3.513,-3.717,-3.592,-5.471,-4.139,-3.583,-3.992,-2.756,-3.092,-4.074,-6.012
TMIN,NDJF,-8.865,-8.436,-5.527,-6.788,-7.188,-9.601,-7.929,-5.556,-4.504,-3.896,-5.257,-3.369,-4.578,-7.876,-4.410,-7.397,-6.423,-4.809,-6.221,-4.693,-4.676,-5.246,-7.275,-5.239,-4.327,-4.511,-4.156,-3.851,-5.589,-7.601
TAVG,year,2.066,3.327,3.428,3.542,2.062,2.626,2.323,3.431,4.348,4.554,3.889,3.903,3.066,3.310,3.325,3.022,4.020,3.303,3.930,4.464,3.473,4.187,4.331,4.290,4.398,4.831,4.274,4.206,3.959,2.365
TAVG,MAMJJASO,5.839,6.501,6.684,6.585,6.292,6.377,5.787,6.676,7.008,7.365,6.830,6.438,5.885,6.657,6.587,6.568,7.119,6.308,7.242,7.194,6.748,8.022,7.548,7.555,7.190,7.615,7.665,6.921,7.379,6.894
TAVG,AMJJAS,8.108,8.210,8.629,8.722,7.971,7.928,7.488,9.056,8.711,9.032,8.613,8.717,7.801,8.765,8.182,8.326,9.325,8.364,9.172,8.764,8.846,10.737,9.706,9.531,9.028,10.355,9.185,9.014,9.720,8.916
TAVG,ONDJFM,-5.054,-3.111,-1.291,-2.542,-2.557,-3.317,-3.269,-1.612,-0.543,-0.226,-0.976,0.157,-1.475,-3.143,-0.910,-2.332,-1.616,-1.434,-2.013,-0.751,-1.073,-0.736,-2.566,-1.255,-0.605,-1.079,-0.065,-0.325,-1.291,-3.049
