Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,6.911,7.947,8.221,8.057,6.654,7.330,6.819,8.149,9.055,9.183,8.527,8.676,7.794,8.062,8.096,7.701,8.839,7.827,8.614,9.060,8.117,8.888,9.196,8.985,9.219,9.682,9.090,9.152,8.694,7.168
TMAX,MAMJJASO,11.210,11.852,11.912,11.815,11.422,11.555,10.771,11.966,12.342,12.724,12.130,11.896,11.334,12.110,12.058,12.027,12.774,11.378,12.499,12.397,12.074,13.521,13.060,12.865,12.741,13.278,13.183,12.649,12.892,12.458
TMAX,AMJJAS,13.841,14.125,14.217,14.242,13.386,13.605,12.886,14.772,14.500,14.772,14.345,14.630,13.595,14.679,14.125,14.231,15.427,13.688,14.925,14.358,14.435,16.696,15.604,15.248,14.881,16.347,15.034,15.172,15.679,14.864
TMAX,ONDJFM,-0.578,0.342,2.357,1.277,0.967,0.443,0.568,1.868,3.153,3.411,2.509,3.680,2.318,0.438,2.571,1.180,2.081,2.203,1.478,3.033,2.471,2.894,0.974,2.506,3.096,2.668,3.790,3.302,2.352,0.553
TMAX,NDJF,-1.156,-2.017,1.070,-0.268,-1.041,-2.647,-1.186,0.394,1.900,1.908,0.688,2.668,1.659,-1.540,1.549,-1.226,0.009,1.062,-0.125,1.696,0.946,0.970,-0.917,1.113,1.995,1.379,2.081,2.029,0.641,-1.501
TMIN,year,-0.466,0.896,1.233,1.360,-0.483,0.219,-0.057,1.162,2.117,2.371,1.600,1.569,0.712,0.807,0.979,0.296,1.554,1.239,1.631,2.453,1.001,1.561,1.685,1.774,1.992,2.378,1.827,1.778,1.517,-0.441
TMIN,MAMJJASO,3.512,4.281,4.595,4.358,4.002,4.084,3.570,4.274,4.611,4.993,4.593,4.071,3.472,4.198,4.399,3.940,4.549,4.193,4.915,5.041,4.315,5.383,4.900,5.097,4.633,4.990,5.173,4.388,4.852,4.289
TMIN,AMJJAS,5.665,5.668,6.350,6.389,5.509,5.404,5.264,6.525,6.020,6.416,6.094,6.066,5.250,6.133,5.771,5.568,6.538,6.174,6.633,6.432,6.385,7.861,6.926,6.855,6.559,7.609,6.633,6.257,7.000,6.229
TMIN,ONDJFM,-7.860,-5.673,-3.471,-4.767,-4.676,-5.982,-5.739,-3.326,-2.520,-1.901,-3.128,-1.775,-3.659,-5.599,-2.928,-5.110,-3.983,-3.310,-4.008,-2.898,-3.056,-3.068,-5.051,-3.652,-3.000,-3.496,-1.972,-2.538,-3.545,-5.550
TMIN,NDJF,-8.363,-8.391,-5.052,-6.184,-6.727,-9.407,-7.459,-4.617,-3.807,-3.177,-4.943,-2.873,-3.968,-7.587,-3.929,-7.326,-6.089,-4.009,-5.631,-4.142,-4.068,-4.868,-7.015,-4.751,-3.793,-4.000,-3.466,-3.384,-5.222,-7.227
TAVG,year,3.070,4.298,4.570,4.544,2.913,3.581,3.196,4.510,5.416,5.595,4.845,4.964,4.060,4.266,4.318,3.817,5.058,4.332,4.934,5.536,4.406,5.094,5.243,5.211,5.431,5.833,5.260,5.294,4.886,3.158
TAVG,MAMJJASO,7.089,7.835,7.998,7.812,7.413,7.506,6.875,7.864,8.201,8.573,8.015,7.723,7.090,7.876,7.885,7.654,8.418,7.448,8.408,8.368,7.917,9.183,8.668,8.691,8.357,8.840,8.864,8.226,8.541,8.025
TAVG,AMJJAS,9.443,9.636,9.985,9.997,9.135,9.138,8.719,10.339,9.941,10.276,9.854,10.060,9.057,10.063,9.531,9.512,10.708,9.542,10.442,9.978,10.060,11.970,10.942,10.735,10.342,11.657,10.513,10.373,10.980,10.148
TAVG,ONDJFM,-4.236,-2.655,-0.558,-1.739,-1.870,-2.790,-2.620,-0.723,0.321,0.727,-0.388,0.887,-0.668,-2.573,-0.208,-1.931,-0.955,-0.579,-1.276,0.044,-0.308,-0.006,-2.070,-0.628,0.106,-0.483,0.835,0.350,-0.644,-2.540
TAVG,NDJF,-4.719,-5.101,-1.916,-3.161,-3.823,-5.928,-4.307,-2.065,-0.869,-0.592,-2.106,-0.089,-1.081,-4.493,-1.149,-4.181,-2.953,-1.431,-2.794,-1.158,-1.544,-1.766,-3.908,-1.762,-0.741,-1.294,-0.667,-0.617,-2.260,-4.314
RH,year,77.046,76.797,77.041,77.616,77.570,76.598,77.053,77.109,76.490,76.675,77.388,76.905,77.264,77.231,77.734,77.840,77.149,79.606,79.552,80.240,79.318,78.765,77.865,77.160,76.926,77.068,76.929,76.593,76.865,76.894
RH,MAMJJASO,76.394,74.292,75.818,75.782,76.154,75.466,75.637,74.851,74.593,73.780,75.873,74.606,75.356,74.260,75.742,75.433,74.270,78.399,77.907,78.622,78.199,76.733,75.891,74.945,75.085,74.693,74.577,74.282,74.631,75.737
RH,AMJJAS,74.923,72.023,74.704,74.959,75.077,73.568,74.739,73.257,72.334,72.295,73.395,72.706,74.273,72.415,74.067,74.124,72.960,77.670,76.091,77.936,76.882,75.947,74.449,73.373,73.767,73.224,73.246,72.422,72.889,74.053
RH,ONDJFM,76.163,80.511,80.538,79.358,80.756,79.721,78.568,81.772,80.429,80.608,81.051,81.175,80.104,81.817,81.865,80.846,81.249,82.097,83.067,81.568,82.612,82.235,81.357,80.887,79.888,80.420,81.427,80.715,80.892,80.451
RH,NDJF,76.111,79.912,80.662,80.591,81.062,79.258,78.663,82.864,80.286,81.546,80.640,80.938,81.409,82.547,82.843,81.970,82.443,83.250,82.925,82.447,83.118,82.640,81.998,81.997,80.103,81.915,81.976,81.409,81.317,80.414
RHmin,year,60.672,61.723,61.791,62.856,61.530,60.929,61.740,61.975,61.643,61.918,62.013,61.649,61.616,61.486,61.822,61.500,61.624,64.358,63.748,64.952,63.287,62.708,61.359,61.469,61.268,61.399,61.128,60.871,61.129,60.015
RHmin,MAMJJASO,59.702,58.904,60.391,59.932,60.014,59.410,60.024,58.868,58.701,57.862,59.645,58.558,58.573,57.983,59.339,58.241,57.544,62.067,61.372,62.035,61.146,59.467,58.588,58.699,57.876,57.751,57.922,57.384,57.748,58.216
RHmin,AMJJAS,57.776,55.631,58.652,58.724,58.466,56.554,58.477,56.726,55.633,55.717,56.504,55.995,56.935,55.420,56.710,56.199,55.535,60.984,58.755,60.386,59.490,57.760,56.734,56.499,56.516,56.044,56.336,54.916,55.430,56.116
RHmin,ONDJFM,59.515,65.950,66.501,65.100,67.049,64.413,63.812,69.106,66.860,67.728,67.168,67.689,65.931,67.048,68.295,65.856,66.698,68.630,69.232,67.133,69.126,68.196,66.663,66.044,65.896,65.812,67.424,66.715,66.451,65.693
RHmin,NDJF,59.609,64.765,66.140,66.375,67.261,63.498,63.876,70.385,66.881,69.042,66.985,67.484,67.912,67.668,69.251,67.074,67.676,70.741,69.311,68.208,70.516,68.961,67.168,67.864,66.880,68.729,68.391,68.361,66.967,66.551
PREC,year,994.802,1124.990,1248.690,1012.373,1111.518,1060.094,1088.176,1218.502,1208.377,1262.844,1027.744,1160.383,1024.905,1068.926,1121.637,889.573,1114.355,1142.685,1209.766,1358.440,1117.108,1000.322,1077.482,1161.159,1139.633,1182.047,1201.512,1179.349,1109.450,895.926
PREC,MAMJJASO,657.074,752.977,843.333,689.680,814.207,711.015,759.422,804.082,716.733,758.727,650.020,682.638,620.380,703.741,745.126,604.596,743.547,755.038,777.472,832.625,750.290,648.046,711.540,735.021,698.671,671.111,766.196,708.618,734.350,720.542
PREC,AMJJAS,474.248,554.394,556.834,465.942,602.641,499.238,519.583,624.197,511.650,492.490,484.146,513.223,424.815,469.609,493.602,444.979,510.515,540.807,557.638,558.953,550.224,475.999,547.476,569.361,549.273,487.346,593.406,452.587,583.218,502.320
PREC,ONDJFM,242.463,511.403,618.315,600.855,557.001,484.663,582.990,657.746,702.308,757.589,532.581,638.421,645.266,556.555,681.391,406.573,654.621,586.325,591.393,684.224,679.013,675.139,440.678,508.599,627.449,557.644,772.207,689.915,592.936,445.808
PREC,NDJF,167.193,297.791,439.687,354.498,299.255,275.876,381.815,408.213,501.540,503.354,330.429,454.345,500.363,310.328,471.851,235.036,402.538,385.039,354.649,467.874,455.400,444.339,264.136,373.666,472.278,412.344,548.545,495.701,364.802,281.564
SRAD,year,2764.299,2978.733,2616.419,2714.155,2819.738,2747.402,2708.313,2884.329,2961.980,2889.546,2916.294,2942.752,2959.359,2992.192,2934.035,2923.059,3091.847,2716.882,2892.829,2777.984,2879.412,2996.237,3034.562,2972.810,2964.131,3038.996,2979.122,3135.961,2997.349,2878.146
SRAD,MAMJJASO,2626.234,2852.281,2488.804,2603.103,2697.017,2615.408,2577.175,2770.826,2831.125,2771.174,2780.212,2814.049,2832.083,2861.285,2799.653,2800.206,2972.602,2592.724,2761.511,2659.724,2739.427,2867.648,2895.661,2833.002,2826.010,2901.768,2847.292,3003.209,2872.699,2751.974
SRAD,AMJJAS,2357.150,2597.547,2233.673,2310.146,2421.133,2358.578,2316.674,2506.080,2554.653,2486.217,2518.575,2538.484,2519.268,2567.422,2521.350,2480.946,2652.014,2298.845,2501.418,2382.854,2429.722,2560.149,2572.674,2527.256,2493.331,2593.537,2513.289,2688.536,2562.423,2465.463
SRAD,ONDJFM,268.849,403.132,376.346,408.341,372.943,399.903,414.546,352.582,402.003,414.422,395.107,395.114,449.322,419.626,412.875,457.769,430.053,415.984,392.288,424.291,416.023,438.344,447.301,450.993,466.087,470.406,425.157,466.792,429.396,426.127
SRAD,NDJF,91.026,134.953,125.174,116.623,122.044,129.175,131.199,103.820,136.686,122.853,134.805,128.128,132.271,127.357,126.003,132.909,125.542,113.793,134.591,126.898,120.538,140.027,137.900,129.183,143.879,136.105,124.061,139.122,133.426,120.480
WIND,year,2.166,2.433,2.467,2.309,2.194,2.393,2.355,2.310,2.447,2.558,2.380,2.396,2.433,2.314,2.343,2.119,2.389,2.254,2.273,2.349,2.183,2.203,2.227,2.293,2.419,2.347,2.459,2.384,2.328,2.277
WIND,MAMJJASO,2.109,2.524,2.412,2.265,2.283,2.439,2.431,2.263,2.302,2.554,2.399,2.332,2.305,2.399,2.371,2.190,2.420,2.234,2.231,2.318,2.129,2.227,2.258,2.348,2.408,2.241,2.525,2.291,2.355,2.390
WIND,AMJJAS,2.125,2.525,2.320,2.241,2.222,2.398,2.343,2.307,2.332,2.409,2.493,2.360,2.286,2.348,2.256,2.203,2.361,2.227,2.250,2.244,2.197,2.211,2.293,2.382,2.506,2.309,2.556,2.192,2.366,2.377
WIND,ONDJFM,2.272,2.250,2.450,2.551,2.213,2.202,2.422,2.423,2.584,2.696,2.221,2.497,2.606,2.273,2.518,2.075,2.373,2.254,2.176,2.513,2.101,2.345,2.115,2.093,2.379,2.269,2.471,2.510,2.392,2.148
WIND,NDJF,2.366,2.179,2.518,2.477,2.126,2.035,2.455,2.295,2.784,2.623,2.188,2.597,2.763,2.145,2.470,1.969,2.265,2.245,2.153,2.633,2.061,2.405,2.037,2.078,2.558,2.307,2.572,2.518,2.297,2.155
VPD,year,0.221,0.263,0.255,0.240,0.220,0.242,0.223,0.253,0.270,0.270,0.248,0.267,0.234,0.259,0.244,0.235,0.268,0.208,0.231,0.216,0.217,0.249,0.256,0.259,0.259,0.280,0.265,0.275,0.265,0.235
VPD,MAMJJASO,0.280,0.344,0.322,0.306,0.289,0.312,0.285,0.327,0.339,0.349,0.313,0.339,0.295,0.344,0.316,0.308,0.351,0.260,0.295,0.272,0.274,0.328,0.329,0.335,0.328,0.361,0.344,0.352,0.345,0.310
VPD,AMJJAS,0.331,0.410,0.377,0.357,0.332,0.367,0.328,0.391,0.402,0.403,0.374,0.406,0.343,0.410,0.369,0.361,0.415,0.302,0.352,0.311,0.326,0.390,0.388,0.394,0.382,0.438,0.397,0.420,0.413,0.367
VPD,ONDJFM,0.121,0.109,0.125,0.123,0.111,0.113,0.117,0.115,0.134,0.139,0.124,0.131,0.129,0.102,0.119,0.114,0.120,0.114,0.103,0.124,0.108,0.117,0.111,0.122,0.131,0.125,0.131,0.129,0.123,0.106
VPD,NDJF,0.118,0.094,0.114,0.103,0.093,0.088,0.102,0.096,0.124,0.119,0.110,0.126,0.115,0.084,0.104,0.087,0.095,0.099,0.093,0.108,0.096,0.101,0.092,0.103,0.121,0.107,0.111,0.116,0.106,0.090
FWI_FD,year,0.980,1.389,1.253,0.987,0.678,1.106,0.800,1.021,1.303,1.361,1.415,1.687,0.985,1.522,1.102,1.116,1.517,0.625,0.861,0.711,0.707,1.080,0.955,1.044,0.991,1.298,1.098,1.191,1.054,0.847
FWI_FD,MAMJJASO,1.377,2.022,1.777,1.366,0.951,1.580,1.109,1.464,1.831,1.979,2.016,2.432,1.381,2.231,1.577,1.609,2.182,0.871,1.237,0.957,0.975,1.562,1.346,1.509,1.411,1.866,1.583,1.708,1.471,1.193
FWI_FD,AMJJAS,1.801,2.595,2.282,1.756,1.159,1.987,1.335,1.899,2.341,2.491,2.621,3.136,1.740,2.858,2.029,2.047,2.783,1.098,1.604,1.140,1.254,2.012,1.663,1.928,1.786,2.443,1.954,2.239,1.876,1.495
FWI_FD,ONDJFM,0.190,0.155,0.181,0.238,0.172,0.228,0.232,0.224,0.162,0.280,0.240,0.188,0.265,0.143,0.212,0.219,0.203,0.167,0.121,0.155,0.272,0.130,0.242,0.180,0.160,0.194,0.169,0.203,0.181,0.187
FWI_FD,NDJF,0.227,0.137,0.111,0.200,0.180,0.137,0.178,0.126,0.170,0.159,0.187,0.189,0.137,0.125,0.105,0.146,0.110,0.143,0.102,0.116,0.218,0.117,0.168,0.108,0.122,0.138,0.107,0.144,0.172,0.164
FWI_3+,year,8.693,22.564,20.662,9.742,6.567,15.318,8.462,14.856,20.187,21.395,20.856,29.727,9.942,24.231,16.115,13.752,24.669,5.653,7.095,4.781,5.325,11.470,7.472,13.425,10.974,19.843,12.083,15.972,12.650,7.029
FWI_3+,MAMJJASO,8.386,22.425,20.564,9.341,6.483,15.232,8.186,14.740,20.043,21.304,20.484,29.503,9.892,24.209,15.992,13.614,24.456,5.567,7.077,4.585,5.254,11.449,7.243,13.348,10.897,19.773,12.034,15.880,12.320,6.907
