Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,23.026,22.085,22.131,21.497,22.436,21.803,22.664,21.965,23.226,22.899,22.511,22.434,21.154,22.497,23.665,22.191,23.330,23.126,22.496,22.672,22.659,22.643,23.110,23.002,23.424,23.433,22.817,22.503,23.735,23.105
TMAX,MAMJJASO,25.752,25.465,25.208,24.675,25.964,25.216,26.119,25.067,26.689,26.606,26.275,25.755,24.042,25.717,27.213,25.708,26.839,26.322,25.837,25.994,26.218,25.780,27.011,26.584,27.599,27.451,26.131,25.612,27.689,27.202
TMAX,AMJJAS,27.349,27.286,26.193,26.468,27.540,26.837,28.423,26.287,28.029,28.590,28.783,27.722,25.905,26.950,28.533,27.390,27.446,27.541,27.746,27.379,28.122,27.301,29.186,28.813,29.634,29.683,27.709,27.274,28.860,29.706
TMAX,ONDJFM,16.820,18.606,16.770,17.180,16.672,17.177,17.511,16.850,18.075,18.414,16.048,17.076,16.938,16.691,18.331,17.672,18.983,18.783,17.837,17.731,17.294,17.652,17.434,16.966,17.124,16.738,17.685,18.479,17.663,17.441
TMAX,NDJF,15.835,17.310,14.736,15.722,15.034,14.877,15.480,15.513,16.112,16.169,14.429,15.330,15.873,14.965,16.642,15.504,16.055,16.422,16.202,15.862,15.643,15.681,15.406,15.716,15.123,14.658,15.946,16.944,15.085,15.262
TMIN,year,11.188,10.928,11.022,10.401,10.730,10.388,11.608,10.934,11.914,11.477,10.909,10.687,10.380,10.985,11.934,11.204,12.157,11.291,10.795,10.950,11.181,11.271,11.637,11.042,10.803,11.767,10.635,10.675,11.341,11.437
TMIN,MAMJJASO,13.492,12.949,13.082,12.320,12.825,12.628,13.873,12.890,13.907,13.922,13.418,12.928,12.495,13.064,13.836,13.262,14.208,13.583,13.528,13.084,13.702,13.143,14.127,13.456,13.895,14.590,12.990,12.817,13.606,13.858
TMIN,AMJJAS,14.441,14.294,14.013,13.621,14.051,13.577,15.214,13.956,14.862,15.061,14.755,14.233,13.704,13.659,14.835,14.455,14.954,14.791,14.624,14.301,14.254,13.843,15.315,14.735,15.061,15.565,14.257,14.075,14.390,15.288
TMIN,ONDJFM,5.696,8.423,7.113,7.637,7.538,7.352,7.471,8.100,7.745,9.424,7.234,6.639,7.386,7.438,8.451,9.031,8.416,9.488,6.544,7.112,8.700,7.517,8.497,7.905,6.218,7.171,8.394,7.453,6.767,8.332
TMIN,NDJF,4.021,7.770,5.756,6.992,6.922,6.283,5.825,7.557,6.335,8.466,5.567,5.410,6.539,6.236,7.334,8.063,7.253,8.365,5.060,5.448,7.678,5.632,6.999,7.119,4.229,5.163,7.155,6.444,5.252,7.026
TAVG,year,17.001,16.419,16.504,15.901,16.511,16.057,17.062,16.378,17.512,17.145,16.663,16.472,15.675,16.633,17.715,16.635,17.665,17.135,16.606,16.725,16.839,16.866,17.294,16.992,17.070,17.546,16.632,16.481,17.437,17.194
TAVG,MAMJJASO,19.484,19.094,19.056,18.431,19.303,18.865,19.933,18.874,20.236,20.218,19.775,19.237,18.155,19.283,20.435,19.407,20.450,19.866,19.669,19.452,19.889,19.354,20.483,19.942,20.658,20.936,19.430,19.104,20.561,20.457
TAVG,AMJJAS,20.758,20.663,19.978,19.966,20.668,20.128,21.739,20.025,21.392,21.780,21.682,20.849,19.679,20.194,21.592,20.837,21.133,21.089,21.169,20.755,21.123,20.465,22.163,21.661,22.261,22.539,20.829,20.553,21.546,22.412
TAVG,ONDJFM,11.174,13.440,11.901,12.416,12.076,12.257,12.457,12.411,12.859,13.862,11.623,11.830,12.122,11.968,13.280,13.323,13.587,14.078,12.119,12.356,12.904,12.510,12.889,12.391,11.756,11.932,13.004,12.887,12.109,12.789
TAVG,NDJF,9.869,12.480,10.209,11.361,10.961,10.563,10.567,11.499,11.220,12.262,9.985,10.343,11.173,10.506,11.884,11.733,11.575,12.324,10.577,10.562,11.563,10.598,11.146,11.359,9.813,9.932,11.510,11.635,10.074,11.008
RH,year,69.124,70.877,71.273,68.671,66.832,68.126,68.394,68.417,67.474,66.858,67.303,66.246,70.620,69.708,66.612,69.431,70.435,69.440,69.718,70.738,70.560,71.131,69.499,68.681,65.008,69.552,68.499,69.889,66.418,68.445
RH,MAMJJASO,66.417,64.479,67.083,63.282,60.610,61.658,62.653,62.999,61.654,60.009,61.137,60.455,65.310,63.567,59.889,63.690,63.979,64.714,65.697,65.297,66.153,65.214,63.065,62.384,59.419,63.504,62.720,64.567,59.133,62.058
RH,AMJJAS,63.803,62.450,66.346,61.118,59.459,57.862,58.540,61.378,59.557,57.496,56.666,57.901,62.623,59.748,57.519,60.820,63.281,63.512,62.697,63.962,61.219,61.810,58.744,58.455,56.058,58.419,61.104,62.408,56.928,58.540
RH,ONDJFM,72.013,78.032,76.322,76.407,77.656,75.345,77.103,77.499,74.867,75.997,78.445,74.268,75.837,80.818,77.685,77.734,76.173,77.882,74.992,76.975,81.456,77.748,80.881,80.699,74.455,78.632,79.956,75.359,75.571,78.878
RH,NDJF,71.093,81.198,79.889,79.817,81.956,80.401,79.210,80.138,78.061,81.815,80.513,77.295,78.694,83.634,80.966,81.454,82.118,82.148,76.821,79.675,83.388,78.929,83.201,83.742,76.226,80.263,83.745,78.701,80.434,82.059
RHmin,year,49.687,51.933,52.290,50.701,48.586,49.925,50.686,50.514,49.768,49.083,49.234,48.016,52.391,50.737,48.589,51.575,52.029,50.270,50.620,51.405,51.695,52.302,51.296,49.810,46.416,51.058,48.866,50.391,47.714,50.148
RHmin,MAMJJASO,47.494,45.534,48.039,45.271,42.444,43.998,45.320,45.204,43.710,42.792,43.484,42.788,47.775,45.092,41.725,45.468,45.503,46.106,47.543,46.292,47.659,46.554,45.130,44.009,41.562,45.546,43.751,45.673,40.673,43.650
RHmin,AMJJAS,45.023,43.702,47.536,43.219,41.346,40.703,41.321,44.139,41.990,40.020,38.983,40.280,45.158,41.715,39.824,43.026,45.134,45.531,44.462,45.458,42.401,43.241,41.001,40.061,38.292,40.415,42.452,43.858,38.837,39.985
RHmin,ONDJFM,51.581,57.958,57.451,58.052,59.602,56.768,57.340,59.956,55.386,58.738,60.518,54.807,57.271,61.424,58.267,60.653,56.504,59.889,53.867,56.354,63.315,57.613,62.297,61.913,54.714,59.570,61.047,54.576,55.293,60.414
RHmin,NDJF,49.734,61.268,60.947,61.609,64.254,62.066,59.102,63.125,58.386,64.950,61.610,57.518,59.579,64.140,61.274,65.120,63.192,64.583,55.171,58.005,65.545,58.229,64.771,64.675,55.727,60.489,64.311,57.650,59.933,63.721
PREC,year,670.216,565.465,738.698,772.376,818.957,631.026,860.992,711.619,954.808,584.950,575.078,537.727,731.410,645.771,768.629,985.661,974.206,545.803,679.546,927.493,892.296,882.861,842.008,516.088,472.673,936.235,495.992,628.884,790.992,970.211
PREC,MAMJJASO,341.001,231.675,305.863,414.844,223.235,251.211,425.252,408.622,331.881,339.868,280.817,320.461,556.945,261.911,183.176,317.922,375.271,342.674,501.694,404.149,528.580,401.329,405.317,350.262,299.296,536.095,267.166,357.751,220.183,391.175
PREC,AMJJAS,200.477,173.233,257.776,202.442,177.194,182.730,200.671,296.442,188.134,106.723,84.037,200.914,304.364,181.377,109.959,189.748,246.518,282.850,238.461,323.190,132.873,204.183,195.237,109.934,82.189,188.635,222.566,284.030,123.180,138.506
PREC,ONDJFM,122.378,503.297,311.613,605.949,741.981,546.646,442.946,606.303,340.844,768.896,648.021,284.671,310.596,573.906,418.362,919.004,488.192,741.178,262.813,343.399,1136.504,401.508,757.144,508.117,315.131,540.764,676.233,289.429,394.226,861.287
PREC,NDJF,40.429,423.033,267.316,448.432,606.835,511.268,363.656,415.725,196.497,624.238,323.881,180.523,195.252,346.281,322.408,789.105,440.268,573.702,165.339,133.807,821.093,165.446,593.470,303.228,79.559,253.652,424.491,240.781,337.514,670.202
SRAD,year,5906.363,5934.623,5678.663,5709.410,5928.731,6056.633,5795.601,5862.898,5923.434,6090.915,6043.750,5821.952,5663.626,5965.382,6032.342,5908.850,5742.851,5926.521,5941.866,5892.333,5900.558,5754.622,5843.027,6036.694,6188.734,6137.591,6232.909,6065.412,6211.672,6043.480
SRAD,MAMJJASO,4851.784,4974.308,4744.801,4783.705,5040.840,5109.131,4871.629,4870.637,5039.675,5086.169,5066.233,4807.599,4655.098,4985.831,5103.014,5011.443,4853.923,4890.713,4869.626,4934.084,4896.180,4832.820,4914.613,5026.138,5100.578,5094.040,5192.578,5045.595,5262.159,5151.936
SRAD,AMJJAS,4068.865,4074.287,3850.243,3986.206,4128.075,4242.032,4107.299,3960.942,4150.555,4250.734,4287.137,4011.708,3872.374,4104.813,4177.342,4144.529,3890.031,3978.113,4055.962,4022.271,4195.175,4031.326,4134.090,4228.697,4290.462,4350.767,4234.592,4148.430,4302.476,4301.197
