Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.324,14.965,15.434,14.003,13.521,14.630,13.762,14.608,15.239,15.419,14.356,15.693,15.043,16.100,14.888,13.828,14.627,15.085,15.301,16.509,15.076,15.911,15.884,14.748,14.889,15.642,16.461,16.343,15.968,14.762
TMAX,MAMJJASO,19.675,20.199,20.653,18.590,19.012,20.213,18.727,19.439,20.090,20.040,19.450,20.828,20.138,20.980,19.943,18.803,19.242,19.833,20.790,21.401,20.460,20.834,21.183,19.771,20.127,20.880,21.595,20.607,21.289,19.733
TMAX,AMJJAS,21.681,22.542,23.251,20.660,21.307,22.687,21.647,22.126,21.966,21.578,21.662,23.840,22.751,23.704,22.141,21.379,21.688,22.502,23.323,23.753,22.378,23.447,24.451,22.012,22.628,23.470,24.140,22.927,24.568,22.271
TMAX,ONDJFM,5.993,6.367,8.355,6.823,5.878,6.731,5.524,7.783,7.698,9.423,7.722,7.322,6.813,8.585,7.753,5.995,7.547,8.665,6.684,6.961,9.977,8.254,6.853,7.090,7.299,6.686,10.745,7.960,8.235,7.543
TMAX,NDJF,2.589,2.926,5.742,4.282,2.337,3.723,3.139,5.817,4.291,6.269,4.388,4.865,4.665,5.664,5.948,2.705,4.681,7.248,3.309,4.302,7.222,4.392,4.175,5.159,4.608,3.613,8.032,5.587,5.793,4.996
TMIN,year,5.045,5.204,5.408,4.951,4.232,4.506,4.409,5.207,5.650,5.388,4.901,5.549,4.970,6.292,5.521,4.832,5.038,5.655,6.061,6.374,5.732,6.148,5.203,5.493,5.077,5.614,6.349,6.626,6.143,5.775
TMIN,MAMJJASO,9.158,8.978,9.234,8.189,8.450,8.415,8.128,8.494,9.162,8.295,8.819,8.963,8.597,9.548,9.084,8.636,8.060,9.533,9.887,9.569,9.979,9.747,8.937,9.065,8.883,9.286,9.566,9.638,9.712,9.589
TMIN,AMJJAS,10.529,10.692,11.149,9.774,10.269,10.490,10.418,10.561,10.851,9.773,10.454,11.009,10.278,11.513,10.807,10.717,10.292,11.602,11.816,11.058,11.357,11.869,11.337,10.719,11.168,11.414,11.374,11.399,11.638,12.096
TMIN,ONDJFM,-2.139,-1.168,1.305,-1.085,-1.607,-0.946,-2.616,1.238,-0.159,0.514,-0.028,-0.370,-0.858,1.366,0.632,-1.509,-0.308,0.538,-0.277,-0.099,2.287,0.007,-1.127,-0.337,-0.307,-1.390,2.636,0.486,1.060,0.316
TMIN,NDJF,-4.915,-3.816,-0.408,-2.871,-4.665,-2.822,-3.971,0.183,-2.139,-1.418,-2.276,-1.933,-2.493,-0.695,-0.545,-3.558,-2.160,0.169,-2.940,-2.093,0.448,-2.759,-3.074,-1.664,-1.923,-3.550,1.507,-1.041,-0.699,-1.309
