Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.457,14.141,14.491,13.014,13.502,13.608,13.452,14.213,15.161,14.968,14.088,14.557,14.062,15.225,14.104,13.276,14.994,14.437,14.245,15.011,14.309,14.873,15.748,14.277,14.157,15.044,15.068,14.467,14.782,13.391
TMAX,MAMJJASO,17.818,17.909,18.643,16.518,18.138,17.951,17.439,18.037,18.744,18.947,18.391,18.349,17.841,19.065,18.031,17.159,18.892,18.395,18.735,18.953,18.579,18.476,20.600,18.359,18.979,19.282,19.029,18.032,19.354,17.887
TMAX,AMJJAS,19.693,20.398,20.729,18.422,20.362,19.777,19.837,20.372,20.062,20.429,20.373,20.961,20.246,20.725,19.665,19.270,20.626,20.597,20.766,21.180,19.748,20.134,23.393,20.360,20.772,21.408,21.271,20.183,22.026,20.161
TMAX,ONDJFM,5.931,7.408,8.066,7.158,7.150,6.922,7.105,8.351,9.618,10.606,7.996,7.808,8.198,8.368,8.814,8.068,8.803,9.226,7.313,7.968,9.050,9.461,8.543,7.885,7.762,7.156,10.736,8.464,7.106,7.441
TMAX,NDJF,3.045,5.818,6.145,5.279,5.235,4.002,5.228,6.989,7.071,8.486,4.844,5.819,7.195,6.022,7.583,5.324,6.445,7.556,4.927,5.549,7.114,6.228,5.680,6.735,4.985,4.374,8.894,7.008,4.751,5.292
TMIN,year,5.066,5.846,5.715,4.678,4.647,5.125,5.352,5.926,6.051,5.954,5.435,6.197,5.771,6.945,5.763,5.213,6.103,5.737,6.030,6.415,5.995,6.508,6.292,5.960,5.614,6.418,6.279,6.140,6.231,5.408
TMIN,MAMJJASO,8.545,8.581,8.827,7.060,8.012,8.339,8.254,8.759,8.709,8.867,8.662,9.123,8.609,9.632,8.709,7.957,8.823,8.845,9.466,9.260,9.272,9.051,9.805,8.998,9.268,9.646,9.084,8.927,9.562,8.806
TMIN,AMJJAS,9.933,10.376,10.470,8.563,9.596,9.806,9.989,10.275,9.997,10.043,10.035,10.935,10.434,11.061,10.115,9.603,10.232,10.482,11.175,10.791,10.168,10.518,12.055,10.436,10.885,11.387,10.826,10.609,11.555,10.624
TMIN,ONDJFM,-1.034,0.586,1.311,0.159,0.347,0.017,0.233,1.997,2.181,2.103,1.172,0.764,1.427,1.837,1.855,1.234,1.696,1.748,0.612,1.058,2.430,1.807,1.427,0.831,0.964,0.245,3.003,1.300,0.691,0.781
TMIN,NDJF,-3.462,-0.658,-0.071,-1.013,-1.153,-1.911,-1.030,0.800,0.414,0.715,-1.250,-0.781,0.626,0.110,1.263,-0.499,0.130,0.629,-1.280,-0.680,0.822,-0.430,-0.199,0.065,-1.070,-1.664,1.779,0.130,-1.020,-0.637
TAVG,year,8.899,9.600,9.708,8.507,8.715,8.987,9.014,9.689,10.095,9.962,9.371,10.018,9.524,10.707,9.572,8.916,10.147,9.731,9.798,10.369,9.764,10.305,10.628,9.755,9.522,10.357,10.306,9.971,10.206,9.123
TAVG,MAMJJASO,12.808,12.839,13.328,11.420,12.649,12.729,12.420,13.004,13.252,13.405,13.123,13.387,12.825,13.945,12.966,12.204,13.431,13.292,13.722,13.751,13.502,13.375,14.797,13.313,13.727,14.101,13.682,13.169,14.139,13.017
TAVG,AMJJAS,14.455,15.009,15.248,13.152,14.569,14.423,14.478,14.915,14.641,14.785,14.824,15.610,14.957,15.549,14.524,14.117,15.056,15.229,15.634,15.673,14.587,14.995,17.394,15.067,15.505,16.049,15.725,15.107,16.489,15.105
TAVG,ONDJFM,2.060,3.616,4.300,3.282,3.444,3.132,3.276,4.799,5.385,5.685,4.179,3.872,4.428,4.727,4.973,4.259,4.860,5.040,3.645,4.145,5.391,5.129,4.586,3.939,3.960,3.326,6.415,4.469,3.602,3.816
TAVG,NDJF,-0.548,2.212,2.724,1.820,1.776,0.821,1.758,3.508,3.270,3.966,1.467,2.129,3.523,2.746,4.122,2.121,2.963,3.656,1.564,2.138,3.666,2.486,2.464,3.006,1.603,1.057,4.909,3.148,1.617,2.104
RH,year,74.035,73.017,70.780,71.006,69.958,73.830,75.032,74.705,69.891,71.217,72.705,73.524,73.024,74.313,74.579,74.360,72.164,70.754,74.725,73.098,73.877,73.662,68.300,72.597,72.452,72.489,72.984,73.467,72.007,72.874
RH,MAMJJASO,72.480,70.423,68.678,68.237,66.749,72.119,72.591,73.375,69.167,69.587,70.927,72.038,71.799,72.150,72.567,72.114,69.904,69.710,73.306,71.184,72.827,71.382,65.070,70.674,70.426,71.068,71.017,72.376,69.058,70.246
RH,AMJJAS,71.090,68.790,67.511,67.490,65.238,71.589,71.506,71.802,69.573,69.127,68.909,70.035,71.164,72.202,72.476,71.590,69.415,68.813,72.965,69.667,71.435,71.848,63.712,69.137,69.776,69.711,70.051,71.337,67.928,69.912
RH,ONDJFM,74.594,77.589,75.845,74.465,74.954,74.988,77.222,77.894,74.148,69.072,77.440,75.462,75.297,77.002,76.835,76.315,75.824,73.332,75.982,76.038,77.614,73.021,75.075,74.947,75.843,76.898,74.711,73.926,77.862,74.936
RH,NDJF,74.784,78.664,76.531,76.357,76.440,76.712,78.934,77.852,75.139,69.965,78.005,75.294,75.595,78.261,78.869,78.379,77.232,74.757,76.582,77.135,76.329,74.863,78.783,75.576,76.268,77.534,75.512,73.976,78.955,77.629
RHmin,year,56.813,56.238,53.790,54.822,53.219,56.493,58.111,57.540,52.241,53.603,55.439,56.684,56.297,57.364,57.390,57.870,54.680,54.109,57.806,56.079,56.868,56.829,51.200,56.136,55.594,55.369,55.551,56.684,55.463,57.108
RHmin,MAMJJASO,54.606,52.836,50.961,51.137,48.991,53.628,54.597,55.147,50.783,50.996,52.735,54.605,54.195,54.028,54.431,54.394,51.245,52.398,55.155,53.182,54.727,53.642,47.137,53.337,52.515,53.107,52.525,54.916,51.506,53.440
RHmin,AMJJAS,53.016,50.831,49.846,50.378,47.166,53.114,52.981,52.731,51.395,50.469,50.579,52.051,52.967,54.155,54.372,53.607,50.740,51.061,54.715,51.297,53.601,54.046,45.876,51.494,52.199,51.853,51.462,53.702,49.862,52.866
RHmin,ONDJFM,58.780,61.429,60.315,58.611,59.758,59.466,60.998,62.767,57.675,51.623,61.397,59.266,60.019,61.714,60.809,60.608,60.023,57.243,60.803,60.336,62.029,56.363,59.514,59.086,60.248,60.806,57.640,57.937,62.830,60.119
RHmin,NDJF,59.470,62.762,61.848,61.361,61.534,62.691,63.499,62.839,59.549,53.225,63.130,59.759,60.316,63.718,63.605,64.225,62.522,59.154,62.064,62.451,61.628,59.388,64.584,60.101,61.708,62.869,59.179,58.379,64.785,63.565
PREC,year,1622.435,1337.028,1291.811,1252.510,1155.830,1433.580,1457.752,1490.700,1048.828,1351.764,1157.177,1346.213,1352.334,1370.673,1502.567,1225.684,1219.979,1216.206,1735.179,1376.548,1553.516,1621.791,963.209,1196.382,1083.862,1319.976,1369.981,1368.752,1177.487,1224.081
PREC,MAMJJASO,1100.748,940.502,895.365,841.373,810.289,969.079,1110.796,1062.052,798.192,847.924,792.998,928.748,1047.152,954.334,954.424,846.346,851.046,953.654,1124.955,966.527,1203.403,1032.668,678.251,847.204,808.167,1044.926,966.533,1041.111,746.590,881.100
PREC,AMJJAS,716.880,677.018,758.692,690.070,712.942,770.841,912.803,645.357,632.578,661.873,624.621,629.649,831.710,797.069,768.873,670.838,715.853,718.258,942.476,718.114,866.676,812.578,468.006,624.077,682.719,798.279,858.763,773.434,549.918,727.998
PREC,ONDJFM,367.698,819.909,655.564,586.443,503.830,530.640,586.097,755.840,535.288,547.748,570.422,587.444,596.498,689.505,786.777,351.327,609.149,515.416,727.018,651.922,833.611,471.476,744.989,617.525,473.431,482.176,523.502,478.174,622.573,537.395
PREC,NDJF,198.543,486.975,430.782,462.782,328.712,428.725,383.027,402.893,286.701,422.067,332.772,377.186,393.937,434.211,548.071,284.313,424.258,365.003,476.640,455.446,424.938,314.425,568.189,374.926,267.581,229.325,370.104,330.506,347.798,391.626
SRAD,year,4519.760,4733.724,4701.843,4642.854,4878.969,4654.305,4411.702,4474.489,4781.556,4758.655,4733.268,4533.273,4501.896,4499.086,4600.409,4558.138,4807.539,4693.478,4493.060,4649.107,4605.174,4540.710,5135.051,4628.810,4732.518,4720.189,4785.610,4530.083,4767.793,4526.121
SRAD,MAMJJASO,3916.702,4164.830,4111.072,4097.115,4325.437,4091.573,3904.658,3927.968,4172.543,4179.057,4149.727,3960.756,3939.530,3980.775,4041.628,4032.739,4255.246,4045.445,3949.604,4087.528,4024.767,4026.329,4518.780,4072.270,4131.582,4116.124,4213.903,3913.094,4226.942,3989.415
SRAD,AMJJAS,3359.117,3566.513,3456.857,3431.943,3665.773,3432.166,3341.305,3410.181,3472.618,3529.112,3571.315,3449.311,3354.786,3346.511,3365.428,3406.678,3581.457,3456.890,3319.571,3523.710,3440.283,3364.494,3801.654,3462.551,3461.779,3491.835,3530.825,3327.324,3601.679,3367.154
