Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.914,15.726,16.170,14.343,14.159,15.000,14.010,15.381,16.142,16.252,15.012,16.437,15.502,16.761,15.391,13.640,15.396,15.676,16.044,16.820,15.225,16.243,16.648,15.576,15.572,16.203,16.809,16.500,16.070,14.689
TMAX,MAMJJASO,20.103,20.917,21.281,18.732,19.467,20.180,18.807,19.962,20.760,20.729,19.902,21.382,20.313,21.390,20.391,18.612,20.088,20.315,21.250,21.536,20.186,20.957,22.040,20.505,20.786,21.334,21.640,20.682,21.312,19.936
TMAX,AMJJAS,22.221,23.340,24.007,20.753,22.029,22.640,21.682,22.843,22.544,22.439,22.085,24.581,23.136,24.137,22.738,21.252,22.606,22.988,23.818,24.087,22.141,23.698,25.435,22.954,23.297,24.142,24.323,23.230,24.587,22.539
TMAX,ONDJFM,6.797,7.072,8.870,7.606,6.485,6.955,6.470,8.319,9.085,10.392,8.397,8.295,7.649,8.795,8.804,5.825,7.909,9.079,7.650,8.211,9.329,9.274,7.522,7.694,8.042,6.856,11.316,8.557,7.938,7.528
TMAX,NDJF,3.438,3.960,6.567,5.186,3.340,4.138,4.290,6.674,6.170,7.528,5.299,6.041,5.808,6.251,7.395,2.720,4.953,7.518,4.747,5.885,6.956,6.062,4.817,6.079,5.476,3.926,8.973,6.624,5.493,5.094
TMIN,year,6.424,6.627,6.828,6.273,5.675,6.137,5.862,6.968,7.196,7.005,6.175,7.320,6.464,7.596,6.924,5.677,6.395,7.051,7.273,7.830,6.969,7.539,6.757,6.719,6.566,7.119,7.617,7.656,7.414,6.377
TMIN,MAMJJASO,10.119,10.102,10.346,9.109,9.623,9.745,9.251,9.889,10.306,9.766,9.644,10.368,9.748,10.506,10.300,9.346,9.373,10.454,10.715,10.932,10.691,10.861,10.273,9.919,9.897,10.629,10.459,10.312,10.899,10.130
TMIN,AMJJAS,11.471,11.780,12.181,10.691,11.382,11.554,11.525,11.685,11.851,11.132,11.257,12.463,11.659,12.428,11.976,11.204,11.287,12.332,12.546,12.357,11.994,12.930,12.612,11.602,11.994,12.755,12.335,12.170,12.798,12.341
TMIN,ONDJFM,0.049,0.726,2.538,0.811,0.429,0.594,-0.252,2.782,2.565,2.608,1.751,1.747,1.081,2.543,2.301,0.043,1.404,2.104,1.681,1.999,3.167,2.220,0.905,1.262,1.487,0.412,4.115,2.320,2.242,1.429
TMIN,NDJF,-2.452,-1.484,1.034,-0.720,-2.056,-1.356,-1.417,1.922,0.884,0.831,-0.292,0.586,-0.095,0.821,1.759,-2.083,-0.706,1.402,-0.413,0.372,1.336,-0.088,-0.864,0.259,0.219,-1.459,3.233,1.257,0.642,-0.118
TAVG,year,10.512,10.971,11.365,10.090,9.695,10.340,9.778,11.020,11.447,11.378,10.365,11.717,10.755,11.989,10.988,9.442,10.663,11.196,11.494,12.148,10.908,11.678,11.529,10.971,10.872,11.426,12.046,11.890,11.574,10.378
TAVG,MAMJJASO,14.886,15.273,15.658,13.653,14.266,14.699,13.802,14.743,15.285,14.975,14.498,15.711,14.758,15.754,15.136,13.726,14.429,15.203,15.763,16.009,15.202,15.643,15.981,14.985,15.098,15.693,15.845,15.284,15.859,14.795
TAVG,AMJJAS,16.626,17.418,17.986,15.528,16.461,16.890,16.393,17.108,17.016,16.606,16.475,18.447,17.176,18.174,17.236,16.032,16.719,17.506,18.022,18.040,16.891,18.095,18.936,17.096,17.475,18.234,18.189,17.566,18.474,17.271
TAVG,ONDJFM,3.324,3.724,5.505,4.006,3.256,3.544,2.902,5.420,5.641,6.142,4.818,4.746,4.123,5.444,5.303,2.714,4.435,5.361,4.479,4.971,6.039,5.512,4.003,4.292,4.523,3.405,7.502,5.213,4.939,4.340
TAVG,NDJF,0.426,1.193,3.684,2.143,0.522,1.267,1.323,4.217,3.441,3.889,2.384,3.172,2.708,3.369,4.468,0.212,2.027,4.306,2.085,3.104,4.015,2.882,1.869,3.048,2.676,1.131,6.037,3.820,3.033,2.470
RH,year,75.937,74.469,73.391,76.321,76.222,74.900,77.178,75.303,75.625,72.854,74.546,71.811,73.059,73.518,76.054,77.111,74.927,74.421,74.757,74.520,78.112,75.727,70.508,74.966,74.760,74.781,73.593,74.949,76.294,76.724
RH,MAMJJASO,72.097,69.807,68.488,72.377,72.875,70.753,73.192,70.339,71.263,67.290,70.562,65.665,68.199,68.372,71.609,73.614,69.950,70.349,69.694,69.141,74.334,71.181,63.707,70.037,69.336,69.401,67.622,70.637,71.171,72.053
RH,AMJJAS,69.684,67.345,65.755,71.300,70.474,68.805,71.966,67.189,69.455,65.596,68.180,61.862,64.861,65.255,69.083,71.190,67.837,68.062,66.912,64.792,71.249,68.887,59.857,66.974,67.150,66.056,63.967,67.612,67.265,70.768
RH,ONDJFM,80.599,81.603,82.644,79.741,82.242,81.952,81.492,83.566,82.519,79.544,81.372,81.114,80.967,82.033,82.025,83.859,82.525,79.943,83.243,83.388,84.909,82.243,82.267,82.252,82.765,84.086,82.039,82.852,85.428,83.196
RH,NDJF,82.452,83.915,84.313,82.952,83.154,83.707,84.659,85.805,85.675,82.199,83.409,84.250,83.150,83.788,84.151,85.579,84.459,83.118,85.140,84.677,86.157,84.327,85.183,84.143,85.512,86.362,85.450,84.555,86.784,85.822
RHmin,year,59.303,57.011,56.119,60.076,59.099,57.652,60.580,59.150,58.043,55.764,57.174,55.525,56.016,56.412,59.637,60.881,57.565,57.909,58.155,57.677,61.384,58.793,53.504,58.043,57.602,57.342,56.930,57.980,59.706,60.306
RHmin,MAMJJASO,53.897,50.768,50.116,54.336,54.388,52.095,54.971,52.622,52.385,48.798,51.856,47.937,49.999,49.912,53.545,56.108,50.791,53.015,51.377,51.045,56.501,53.051,45.810,51.457,50.339,50.633,49.240,52.258,52.805,54.137
RHmin,AMJJAS,51.066,48.362,47.189,53.366,51.456,49.951,53.413,48.841,51.106,47.492,49.627,44.012,46.533,46.970,51.155,53.526,48.854,50.315,48.595,46.409,53.533,50.539,41.966,48.259,48.657,47.702,45.750,49.517,48.004,53.093
RHmin,ONDJFM,65.183,66.497,67.332,64.008,67.458,66.670,65.606,70.009,67.225,61.998,65.709,65.566,65.327,66.919,66.348,69.373,66.970,64.091,68.671,68.340,69.558,65.945,66.856,66.830,66.999,68.228,65.599,67.802,71.046,68.647
RHmin,NDJF,67.995,70.283,70.398,68.336,69.478,69.772,70.216,73.484,72.157,65.856,69.533,70.449,68.539,69.902,70.157,73.004,70.348,68.422,71.873,70.994,71.809,69.277,70.951,69.507,71.667,72.414,71.265,71.130,74.203,72.707
PREC,year,825.394,520.037,581.146,612.471,672.216,717.442,730.836,678.548,550.929,562.724,574.763,587.117,652.366,648.131,786.230,679.976,714.607,701.108,608.611,666.219,775.261,846.333,482.129,641.931,693.426,684.965,710.670,594.463,711.797,845.971
PREC,MAMJJASO,615.884,385.114,416.632,466.370,493.727,520.847,532.445,457.742,437.569,385.186,403.251,433.509,448.389,483.530,597.206,573.434,561.099,604.753,416.383,498.928,597.139,623.916,354.303,437.055,473.795,538.425,493.324,455.414,539.694,650.359
