Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.765,16.802,17.562,15.564,16.251,16.309,16.182,17.111,17.520,17.555,16.373,17.929,17.208,18.270,16.864,15.546,17.164,17.557,17.355,18.935,17.846,18.133,18.720,16.935,16.728,17.821,18.700,18.096,18.172,16.694
TMAX,MAMJJASO,21.666,21.448,22.615,20.018,21.407,21.461,20.909,21.610,21.690,21.904,21.223,22.509,22.033,22.763,21.370,20.226,21.669,22.085,22.396,23.562,22.909,22.505,24.190,21.532,21.729,22.669,23.272,22.365,23.349,21.598
TMAX,AMJJAS,23.516,24.126,24.947,22.139,24.097,24.165,24.043,24.101,23.127,23.459,23.516,25.441,24.606,25.032,23.501,22.886,23.994,24.544,24.630,26.024,24.691,24.470,27.380,23.905,24.093,25.182,26.038,24.643,26.164,24.397
TMAX,ONDJFM,8.388,9.338,10.550,8.747,8.303,8.427,8.428,10.295,11.050,12.450,9.774,9.842,10.048,10.764,10.400,8.477,10.213,11.162,9.573,10.302,12.016,11.471,10.369,9.668,9.997,8.700,13.205,10.564,10.208,9.680
TMAX,NDJF,5.184,6.743,8.299,6.165,5.553,5.889,6.388,8.514,8.185,9.646,6.476,7.907,8.245,7.601,9.155,5.598,7.587,9.762,6.528,7.427,9.706,7.805,7.421,8.135,7.281,5.994,11.177,8.804,7.266,7.178
TMIN,year,6.737,7.497,7.095,6.721,6.430,6.693,6.952,7.420,7.589,7.461,6.998,8.130,7.675,8.876,7.730,7.124,7.575,7.763,8.147,8.690,7.995,8.846,7.904,7.563,7.289,7.864,8.295,8.574,8.318,7.698
TMIN,MAMJJASO,10.935,11.076,10.974,9.794,10.373,10.540,10.548,10.827,10.925,10.645,10.889,11.445,11.295,12.071,11.065,10.545,10.574,11.441,12.311,12.025,11.826,12.020,11.797,11.025,11.160,11.409,11.518,11.702,11.961,11.313
TMIN,AMJJAS,12.308,12.980,13.070,11.315,12.272,12.686,12.861,12.681,12.755,12.132,12.647,13.545,13.166,14.078,12.869,12.565,12.535,13.624,14.207,13.662,12.971,13.891,14.266,12.667,13.236,13.358,13.436,13.691,14.186,13.518
TMIN,ONDJFM,-0.982,1.144,2.561,0.842,1.032,1.113,0.124,3.118,2.195,2.473,1.958,1.798,2.175,3.411,2.823,1.569,2.701,2.774,1.634,1.748,4.954,2.526,2.302,1.905,1.947,1.390,4.516,2.482,2.624,2.333
TMIN,NDJF,-3.769,-1.235,0.835,-0.805,-1.472,-0.505,-1.075,1.850,-0.107,0.964,-0.528,0.367,0.867,1.162,2.070,-0.148,1.085,2.092,-0.869,-0.508,3.198,-0.158,0.515,0.869,-0.059,-0.639,3.178,1.146,0.957,0.818
TAVG,year,11.431,11.802,11.975,10.849,10.996,11.150,11.253,11.896,12.059,12.117,11.322,12.664,12.058,13.170,11.869,10.999,11.981,12.278,12.372,13.463,12.588,13.082,12.878,11.871,11.611,12.515,13.101,12.925,12.892,11.911
TAVG,MAMJJASO,15.986,15.922,16.442,14.592,15.540,15.646,15.425,15.865,15.850,15.921,15.712,16.641,16.276,17.012,15.750,15.030,15.709,16.441,16.952,17.469,17.033,16.829,17.553,15.894,16.054,16.709,17.015,16.622,17.267,16.151
TAVG,AMJJAS,17.633,18.227,18.741,16.462,17.888,18.113,18.174,18.083,17.576,17.534,17.809,19.189,18.545,19.231,17.765,17.398,17.908,18.812,19.057,19.575,18.548,18.780,20.444,17.913,18.312,18.968,19.422,18.808,19.824,18.711
TAVG,ONDJFM,3.361,4.844,6.203,4.434,4.335,4.390,3.840,6.340,6.066,6.814,5.437,5.350,5.667,6.713,6.141,4.636,6.036,6.495,5.200,5.576,8.168,6.481,5.931,5.371,5.524,4.699,8.419,6.049,6.011,5.665
TAVG,NDJF,0.395,2.343,4.278,2.395,1.759,2.387,2.262,4.818,3.493,4.718,2.605,3.723,4.115,4.097,5.190,2.446,3.975,5.468,2.454,3.061,6.167,3.391,3.650,4.104,3.173,2.333,6.796,4.546,3.768,3.753
RH,year,73.839,76.110,72.141,76.023,73.989,74.258,74.806,73.434,74.030,72.715,74.516,71.290,71.305,72.797,73.599,73.943,70.849,70.834,72.714,69.818,69.165,71.166,65.103,72.384,71.066,69.870,69.949,73.374,72.026,74.899
RH,MAMJJASO,72.303,72.927,69.133,71.550,69.782,70.590,70.708,70.170,71.569,69.034,71.622,66.492,66.799,68.124,69.847,68.931,64.934,67.573,69.439,64.571,64.884,66.716,58.503,69.484,67.606,65.088,65.186,69.511,66.619,69.562
RH,AMJJAS,70.374,70.911,67.189,70.141,66.964,67.997,68.097,67.924,71.623,67.643,69.056,62.554,64.479,66.179,68.292,66.648,63.168,66.700,68.061,61.119,60.571,65.868,55.247,66.355,65.522,62.355,61.930,67.074,64.920,66.780
RH,ONDJFM,75.147,78.418,81.083,78.603,82.331,81.928,78.727,81.601,78.076,74.017,81.457,78.180,77.573,80.987,79.495,80.980,78.912,75.099,77.489,76.954,81.424,74.181,76.638,77.731,75.599,79.747,76.832,78.361,79.279,81.884
RH,NDJF,74.331,79.545,81.802,81.372,82.555,84.644,81.166,83.680,78.271,77.272,82.105,79.412,79.007,83.782,81.528,84.190,82.210,78.686,78.974,79.490,82.220,76.740,80.819,79.228,75.334,81.909,78.998,78.843,82.528,85.839
RHmin,year,54.261,57.306,52.418,58.231,54.968,55.488,56.490,54.570,54.114,53.613,55.748,53.291,53.550,54.692,55.615,57.504,53.120,52.514,54.737,51.524,51.586,53.887,47.319,54.474,53.254,51.964,51.264,54.979,53.862,57.451
RHmin,MAMJJASO,52.622,53.546,48.959,52.735,50.409,51.110,51.981,50.959,51.586,49.560,52.570,48.297,48.774,49.480,51.038,51.873,46.359,49.318,51.257,46.230,46.990,48.849,40.817,50.891,49.471,46.836,46.265,50.429,47.663,51.616
RHmin,AMJJAS,50.769,51.043,47.738,51.179,47.320,48.658,49.119,48.827,52.606,48.812,50.272,44.498,46.379,48.184,49.818,49.556,44.911,48.684,50.108,42.884,43.312,48.337,38.033,47.620,47.917,44.477,43.128,48.611,45.985,49.144
