Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,18.394,19.353,19.277,18.109,18.479,18.557,18.322,19.091,20.474,20.097,18.928,19.137,18.780,20.010,19.624,18.537,20.438,19.432,19.636,19.880,19.480,19.885,21.064,19.496,19.604,20.448,19.773,19.386,20.289,18.694
TMAX,MAMJJASO,22.327,23.081,23.271,21.569,22.973,22.714,22.586,22.704,24.293,24.166,23.244,22.778,22.495,23.708,23.500,22.517,24.495,23.204,24.082,23.605,23.791,23.332,26.010,23.650,24.445,24.852,23.598,22.942,24.748,23.358
TMAX,AMJJAS,24.081,25.622,25.437,23.560,25.119,24.556,24.945,24.719,25.915,25.891,25.348,25.396,24.754,25.441,25.221,24.574,26.194,25.338,26.187,25.833,25.107,25.002,28.794,25.750,26.400,27.056,25.816,25.170,27.075,25.659
TMAX,ONDJFM,11.504,12.952,12.756,12.543,12.132,11.959,12.129,13.233,14.447,15.432,12.852,12.512,13.119,13.080,14.225,13.457,13.744,14.623,12.740,13.278,14.067,14.211,14.015,13.120,12.807,12.557,15.222,13.693,12.578,12.854
TMAX,NDJF,8.977,11.567,11.023,10.819,10.457,9.078,9.937,11.751,11.987,13.427,9.820,10.656,12.042,11.056,12.890,10.893,11.191,12.764,10.617,11.013,12.277,11.173,11.295,11.869,10.132,9.710,13.357,12.348,10.201,10.497
TMIN,year,9.240,9.883,9.440,8.634,8.347,8.938,9.210,9.777,9.672,9.843,9.123,9.688,9.331,10.651,9.828,8.990,10.009,9.539,10.109,10.260,9.905,10.230,10.230,9.700,9.533,10.412,9.923,9.688,9.901,9.021
TMIN,MAMJJASO,12.295,12.269,12.374,10.814,11.477,11.805,12.210,12.376,12.370,12.450,12.207,12.389,11.997,13.044,12.437,11.399,12.583,12.441,13.241,12.751,13.027,12.386,13.437,12.514,12.895,13.559,12.536,12.205,12.842,12.077
TMIN,AMJJAS,13.408,13.976,14.125,12.250,13.108,13.115,13.781,13.755,13.657,13.664,13.544,14.063,13.693,14.394,13.735,12.890,13.995,13.939,14.882,14.318,13.810,13.688,15.524,13.929,14.288,14.971,14.295,13.755,14.651,13.749
TMIN,ONDJFM,3.600,5.374,5.335,4.425,4.321,3.961,4.542,6.074,5.636,6.096,5.263,4.505,5.333,5.839,6.406,5.600,5.503,5.920,5.125,5.224,6.872,5.783,5.788,5.157,5.039,4.899,6.939,5.250,4.622,5.063
TMIN,NDJF,1.440,4.381,4.162,3.533,3.001,2.385,3.011,4.852,3.853,5.051,2.998,2.989,4.652,4.386,5.874,4.127,4.100,4.836,3.510,3.809,5.506,3.655,4.514,4.460,3.273,2.737,5.658,4.133,3.232,3.841
