Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,10.179,11.087,11.249,11.099,9.319,10.517,9.574,11.117,12.151,12.076,11.215,11.518,10.767,11.259,10.937,10.656,11.717,10.498,11.519,12.112,11.176,12.067,12.009,11.679,12.123,12.601,12.041,11.954,11.540,10.196
TMAX,MAMJJASO,14.938,15.369,15.501,15.383,14.697,15.131,14.014,15.548,16.081,16.142,15.203,15.223,14.758,15.815,15.438,15.253,16.074,14.499,16.029,15.953,15.497,17.143,16.503,16.021,16.253,16.804,16.627,15.841,16.129,15.780
TMAX,AMJJAS,17.950,17.942,18.209,18.200,16.975,17.475,16.306,18.669,18.657,18.437,17.712,18.312,17.322,18.755,17.719,17.727,19.046,16.945,18.808,18.247,18.208,20.749,19.326,18.740,18.854,20.244,18.871,18.581,19.374,18.622
TMAX,ONDJFM,1.494,2.624,4.744,3.535,2.571,2.684,2.794,4.070,5.188,5.399,4.596,5.736,4.287,2.774,4.833,3.379,4.501,4.171,3.427,5.141,4.899,5.067,3.104,4.451,4.827,4.569,5.854,5.428,4.304,2.791
TMAX,NDJF,0.923,0.121,3.422,1.815,0.232,-0.561,0.695,2.432,3.620,3.574,2.632,4.494,3.474,0.773,3.521,0.748,2.409,2.858,1.417,3.527,3.392,3.023,1.036,2.893,3.531,3.075,3.896,4.082,2.493,0.895
TMIN,year,1.727,2.876,3.170,3.349,1.160,2.376,1.808,3.117,4.043,4.253,3.545,3.671,2.957,2.745,3.033,2.434,3.450,3.212,3.463,4.433,3.226,3.534,3.425,3.464,3.719,4.066,3.818,3.857,3.479,1.944
TMIN,MAMJJASO,5.601,6.284,6.737,6.442,5.992,6.167,5.642,6.412,6.755,7.003,6.586,6.193,5.724,6.116,6.599,6.043,6.459,6.226,6.856,7.016,6.503,7.145,6.928,6.834,6.424,6.808,7.171,6.379,6.687,6.520
TMIN,AMJJAS,7.926,7.781,8.685,8.577,7.647,7.660,7.435,8.704,8.385,8.638,8.259,8.346,7.602,8.215,8.043,7.768,8.489,8.252,8.688,8.584,8.712,9.701,9.002,8.746,8.659,9.433,8.846,8.234,8.972,8.755
TMIN,ONDJFM,-6.180,-3.793,-1.568,-3.101,-3.472,-4.167,-4.060,-1.262,-1.134,-0.574,-1.389,-0.007,-1.810,-3.462,-0.945,-3.294,-1.883,-1.657,-2.291,-1.257,-0.711,-1.282,-3.215,-2.109,-1.742,-2.030,-0.355,-0.367,-1.755,-3.320
TMIN,NDJF,-6.117,-6.568,-2.925,-4.431,-5.998,-7.338,-5.858,-2.591,-2.505,-1.820,-3.039,-1.104,-2.095,-5.048,-2.018,-5.500,-3.837,-2.288,-4.039,-2.408,-1.495,-2.847,-5.211,-3.163,-2.415,-2.527,-1.858,-0.990,-3.291,-4.560
