Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.399,14.447,14.463,13.552,13.210,13.895,13.354,14.628,15.685,15.202,14.054,14.689,14.277,15.345,15.192,13.368,15.064,14.420,15.481,15.043,14.727,15.254,15.841,14.791,15.290,15.796,15.695,15.019,15.510,14.058
TMAX,MAMJJASO,17.182,18.175,18.068,16.535,17.414,17.634,17.346,17.662,19.318,18.750,18.012,18.109,17.956,18.607,19.021,17.387,18.884,17.881,19.406,18.350,18.494,18.575,19.960,18.602,19.479,19.811,19.149,18.318,19.654,18.777
TMAX,AMJJAS,18.820,20.231,20.035,18.139,19.313,19.138,19.267,19.436,20.712,20.024,19.374,20.424,19.931,20.364,20.689,19.223,20.599,19.809,21.311,20.234,19.914,20.288,22.275,20.392,20.982,21.872,20.985,20.349,21.767,20.707
TMAX,ONDJFM,7.351,7.833,8.681,8.458,7.849,7.662,8.099,9.328,10.516,10.965,9.151,8.815,9.091,8.611,10.447,8.284,8.640,10.062,8.787,9.402,9.550,10.407,9.628,9.133,9.024,8.803,11.812,9.855,8.567,8.793
TMAX,NDJF,5.019,6.093,6.939,6.821,5.917,5.106,6.077,7.705,8.419,8.823,6.087,6.831,7.759,6.754,9.331,5.725,5.771,8.438,6.878,7.576,8.016,7.696,7.331,7.875,6.743,6.095,9.913,8.549,6.304,6.469
TMIN,year,6.235,6.658,6.646,6.302,5.529,5.955,6.114,7.432,7.158,6.924,6.050,7.098,6.518,7.533,7.191,5.601,6.843,7.010,7.693,7.884,7.296,7.736,6.854,6.938,7.324,7.803,7.758,7.303,7.067,6.088
TMIN,MAMJJASO,9.059,9.176,9.270,8.231,8.696,8.476,8.873,9.376,9.642,8.999,8.855,9.428,9.039,9.558,9.831,8.176,9.296,9.618,10.270,10.040,10.066,9.799,9.469,9.514,10.031,10.509,9.867,9.555,9.742,9.161
TMIN,AMJJAS,10.164,10.534,10.764,9.436,10.153,9.545,10.463,10.570,10.433,9.815,9.767,11.117,10.625,10.994,11.105,9.567,10.531,10.998,11.742,11.266,10.833,11.146,11.296,10.909,11.103,11.996,11.368,10.973,11.268,10.534
TMIN,ONDJFM,1.599,1.785,3.176,2.129,1.745,1.505,2.175,3.890,4.309,4.098,2.843,2.711,2.795,2.853,4.104,1.958,2.570,3.597,3.050,3.600,4.322,4.189,3.183,2.769,2.990,2.744,5.530,3.633,2.331,2.827
TMIN,NDJF,-0.319,0.551,2.018,1.205,0.032,-0.034,0.960,2.948,3.070,2.604,0.699,1.282,2.468,1.442,4.017,0.273,0.647,2.763,1.751,2.459,3.230,2.274,1.941,2.453,1.486,1.089,4.573,2.820,0.946,1.513
