Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.104,14.194,14.163,13.198,12.779,13.455,12.910,14.173,15.300,14.809,13.777,14.397,13.972,15.095,14.877,13.040,14.805,14.047,14.965,14.728,14.374,14.963,15.619,14.386,14.949,15.433,15.285,14.518,15.007,13.580
TMAX,MAMJJASO,16.996,17.985,17.865,16.269,17.061,17.309,16.964,17.340,18.937,18.443,17.797,17.840,17.735,18.448,18.798,17.134,18.680,17.583,19.041,18.104,18.225,18.357,19.870,18.302,19.306,19.506,18.849,17.872,19.207,18.397
TMAX,AMJJAS,18.683,20.084,19.900,17.894,18.990,18.825,18.934,19.193,20.332,19.735,19.234,20.200,19.769,20.238,20.507,18.989,20.427,19.544,20.989,20.053,19.647,20.106,22.238,20.128,20.812,21.593,20.728,19.983,21.383,20.386
TMAX,ONDJFM,6.878,7.479,8.244,7.985,7.384,7.047,7.516,8.730,9.999,10.559,8.690,8.447,8.645,8.211,9.966,7.941,8.244,9.669,8.190,8.750,9.204,9.893,9.259,8.659,8.494,8.351,11.276,9.262,7.931,8.142
TMAX,NDJF,4.454,5.706,6.458,6.298,5.464,4.375,5.418,7.111,7.784,8.440,5.572,6.490,7.286,6.341,8.786,5.312,5.341,8.021,6.212,6.838,7.644,7.095,6.872,7.366,6.103,5.536,9.335,7.931,5.670,5.807
TMIN,year,5.845,6.277,6.244,5.863,4.924,5.347,5.491,6.860,6.610,6.424,5.571,6.630,6.044,7.110,6.737,5.164,6.415,6.532,7.133,7.450,6.815,7.337,6.424,6.406,6.829,7.256,7.098,6.621,6.464,5.530
TMIN,MAMJJASO,8.754,8.813,8.902,7.795,8.123,7.939,8.273,8.860,9.088,8.506,8.397,8.949,8.614,9.123,9.391,7.749,8.876,9.188,9.825,9.624,9.647,9.396,9.092,9.049,9.620,10.001,9.238,8.908,9.159,8.603
TMIN,AMJJAS,9.875,10.185,10.405,8.997,9.595,9.011,9.850,10.077,9.907,9.331,9.321,10.649,10.210,10.576,10.646,9.173,10.146,10.617,11.338,10.903,10.371,10.767,10.946,10.457,10.705,11.492,10.783,10.340,10.729,10.023
TMIN,ONDJFM,1.038,1.367,2.774,1.637,1.289,0.753,1.491,3.298,3.678,3.562,2.333,2.206,2.293,2.383,3.603,1.573,2.095,3.063,2.429,2.917,3.936,3.587,2.747,2.240,2.390,2.182,4.897,2.843,1.647,2.190
TMIN,NDJF,-1.015,0.127,1.589,0.716,-0.438,-0.860,0.274,2.314,2.386,2.127,0.165,0.796,1.959,0.955,3.531,-0.132,0.199,2.266,1.062,1.745,2.850,1.600,1.481,1.917,0.800,0.507,3.917,2.037,0.213,0.951
TAVG,year,9.473,10.216,10.199,9.517,8.843,9.398,9.184,10.494,10.936,10.617,9.652,10.483,9.961,11.064,10.766,9.074,10.552,10.242,11.011,11.038,10.550,11.139,10.997,10.569,10.919,11.310,11.265,10.560,10.736,9.590
TAVG,MAMJJASO,12.870,13.379,13.387,12.023,12.578,12.616,12.596,13.076,14.010,13.489,13.071,13.371,13.124,13.740,14.041,12.410,13.709,13.345,14.391,13.809,13.888,13.857,14.460,13.838,14.434,14.706,14.134,13.410,14.174,13.488
TAVG,AMJJAS,14.274,15.123,15.164,13.450,14.297,13.928,14.377,14.607,15.136,14.578,14.267,15.415,14.949,15.379,15.541,14.074,15.233,15.038,16.138,15.421,14.983,15.421,16.612,15.454,15.747,16.510,15.912,15.239,16.105,15.241
TAVG,ONDJFM,3.962,4.408,5.502,4.774,4.318,3.884,4.487,5.987,6.794,7.011,5.475,5.291,5.410,5.260,6.727,4.712,5.114,6.295,5.272,5.788,6.512,6.701,5.955,5.527,5.593,5.306,7.985,6.032,4.719,5.145
