Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,11.423,12.098,12.400,11.070,11.398,11.598,11.363,12.195,13.022,12.830,11.937,12.463,12.002,13.152,12.056,11.251,12.805,12.344,12.155,12.960,12.252,12.810,13.619,12.211,12.124,12.988,12.951,12.391,12.711,11.345
TMAX,MAMJJASO,15.659,15.744,16.434,14.464,15.938,15.787,15.261,15.899,16.561,16.724,16.115,16.156,15.687,16.827,15.904,15.061,16.597,16.240,16.502,16.762,16.413,16.309,18.322,16.183,16.803,17.090,16.801,15.882,17.136,15.737
TMAX,AMJJAS,17.433,18.083,18.433,16.250,18.031,17.521,17.489,18.096,17.815,18.136,18.015,18.664,18.001,18.420,17.438,17.061,18.274,18.337,18.431,18.889,17.510,17.907,21.029,18.058,18.483,19.071,18.963,17.930,19.684,17.889
TMAX,ONDJFM,3.763,5.638,6.279,5.381,5.316,5.122,5.286,6.600,7.614,8.568,6.107,5.856,6.364,6.474,7.016,6.214,6.758,7.325,5.467,6.069,7.280,7.483,6.705,6.079,5.985,5.302,8.907,6.537,5.241,5.679
TMAX,NDJF,1.040,4.011,4.419,3.492,3.336,2.278,3.352,5.217,5.078,6.442,3.008,3.860,5.348,4.230,5.773,3.460,4.402,5.689,3.072,3.678,5.416,4.269,3.921,4.956,3.226,2.487,7.112,5.065,2.873,3.545
TMIN,year,3.256,4.068,3.919,2.929,2.782,3.329,3.522,4.185,4.252,4.182,3.596,4.413,4.023,5.226,3.979,3.423,4.283,3.950,4.252,4.703,4.245,4.776,4.465,4.133,3.776,4.613,4.506,4.319,4.404,3.567
TMIN,MAMJJASO,6.718,6.740,6.999,5.259,6.170,6.524,6.389,6.957,6.883,7.047,6.777,7.303,6.830,7.828,6.899,6.155,6.948,7.056,7.663,7.475,7.488,7.227,7.945,7.118,7.418,7.803,7.271,7.079,7.692,6.964
TMIN,AMJJAS,8.051,8.469,8.617,6.735,7.729,7.975,8.080,8.439,8.137,8.196,8.099,9.073,8.634,9.217,8.279,7.785,8.319,8.652,9.344,8.970,8.344,8.665,10.167,8.516,8.995,9.508,9.011,8.733,9.660,8.753
TMIN,ONDJFM,-3.118,-1.124,-0.340,-1.566,-1.447,-1.780,-1.551,0.371,0.482,0.362,-0.545,-0.992,-0.242,0.198,0.208,-0.528,-0.069,0.051,-1.129,-0.644,0.866,0.070,-0.221,-0.900,-0.786,-1.561,1.331,-0.467,-1.119,-0.959
TMIN,NDJF,-5.476,-2.377,-1.711,-2.720,-3.001,-3.694,-2.833,-0.797,-1.278,-1.019,-2.955,-2.552,-1.018,-1.518,-0.342,-2.258,-1.653,-1.040,-3.066,-2.372,-0.709,-2.162,-1.790,-1.644,-2.829,-3.513,0.173,-1.637,-2.848,-2.358
TAVG,year,7.058,7.770,7.846,6.742,6.803,7.154,7.124,7.890,8.236,8.119,7.465,8.162,7.707,8.896,7.737,7.081,8.241,7.880,7.926,8.568,7.942,8.503,8.720,7.889,7.657,8.489,8.458,8.108,8.317,7.239
TAVG,MAMJJASO,10.898,10.901,11.379,9.577,10.700,10.811,10.463,11.096,11.339,11.480,11.127,11.445,10.927,11.989,11.065,10.327,11.431,11.389,11.758,11.830,11.598,11.460,12.792,11.353,11.785,12.132,11.739,11.229,12.145,11.077
TAVG,AMJJAS,12.456,12.962,13.225,11.235,12.543,12.442,12.417,12.923,12.657,12.789,12.747,13.577,12.988,13.511,12.549,12.170,12.987,13.236,13.585,13.665,12.616,13.012,15.299,13.017,13.469,13.979,13.724,13.090,14.406,13.079
TAVG,ONDJFM,0.047,1.965,2.688,1.610,1.704,1.412,1.546,3.205,3.686,3.955,2.484,2.132,2.801,3.084,3.371,2.535,3.080,3.367,1.948,2.448,3.829,3.405,2.953,2.274,2.287,1.572,4.804,2.748,1.843,2.147
TAVG,NDJF,-2.463,0.545,1.142,0.152,-0.022,-0.864,-0.007,1.939,1.578,2.233,-0.206,0.376,1.909,1.142,2.549,0.389,1.158,2.021,-0.169,0.454,2.156,0.767,0.872,1.365,-0.078,-0.738,3.362,1.432,-0.164,0.447
RH,year,75.556,74.768,72.627,72.753,71.828,75.265,76.475,76.153,71.758,72.834,74.183,74.978,74.568,75.848,75.970,75.760,73.875,72.396,76.169,74.623,75.394,75.197,70.183,74.233,74.013,74.078,74.529,74.918,73.567,74.381
RH,MAMJJASO,74.350,72.639,70.924,70.475,69.137,73.912,74.386,75.142,71.190,71.449,72.691,73.658,73.616,74.074,74.395,73.880,71.959,71.510,75.071,73.053,74.711,73.147,67.331,72.628,72.376,73.019,72.930,74.062,71.034,72.153
RH,AMJJAS,73.545,71.638,70.325,70.376,68.360,73.876,73.850,74.086,72.094,71.458,71.214,72.223,73.505,74.676,74.715,73.883,71.980,71.196,75.224,72.117,73.891,74.091,66.592,71.649,72.267,72.293,72.504,73.563,70.544,72.453
