Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,11.495,11.914,12.747,11.536,10.203,11.170,9.932,11.735,13.068,12.897,12.276,12.656,11.394,12.148,12.170,10.997,11.813,11.544,12.973,13.144,12.303,13.200,12.079,11.874,12.264,12.856,13.034,13.086,12.139,11.716
TMAX,MAMJJASO,16.453,16.590,17.624,16.365,15.960,16.256,14.745,16.632,17.388,16.911,16.805,17.175,16.007,17.118,17.413,16.402,16.563,16.347,18.254,17.523,17.416,18.681,16.972,16.723,17.028,17.980,18.141,17.456,17.067,17.783
TMAX,AMJJAS,19.108,19.198,20.649,19.059,18.704,18.914,17.531,19.802,19.964,18.938,19.489,20.426,18.841,20.374,20.076,19.418,19.628,19.226,21.285,19.924,20.268,22.239,20.156,19.303,20.266,21.334,20.528,20.057,20.507,21.100
TMAX,ONDJFM,1.804,3.787,5.338,3.985,1.812,3.213,2.191,4.214,5.731,6.570,4.944,5.739,4.162,3.264,4.829,1.918,4.541,4.434,3.493,4.823,5.782,5.619,2.416,3.935,4.226,3.280,7.012,5.449,4.726,2.760
TMAX,NDJF,0.238,0.946,3.766,2.017,-1.452,0.189,0.086,2.558,3.722,4.388,2.786,3.844,3.125,0.965,3.211,-1.193,2.156,3.053,0.513,2.936,3.714,2.933,-0.096,2.216,2.844,0.847,4.328,3.640,2.661,0.324
TMIN,year,4.095,4.193,4.886,4.338,2.691,3.568,2.154,4.268,5.583,5.509,4.738,4.962,3.893,4.366,4.506,2.822,4.251,4.463,4.878,5.480,4.756,4.795,4.432,4.450,4.200,4.635,5.226,5.632,4.578,3.705
TMIN,MAMJJASO,7.660,7.371,8.260,7.672,7.616,7.418,6.021,7.778,8.455,7.820,7.809,7.728,6.998,7.846,8.277,6.632,7.271,7.754,8.165,7.810,8.439,8.339,7.598,7.803,7.107,7.863,8.699,8.162,7.691,8.164
TMIN,AMJJAS,9.641,9.141,10.288,9.667,9.416,9.340,8.617,10.289,9.953,9.188,9.631,9.881,9.035,10.009,9.908,8.991,9.316,9.994,10.019,9.270,10.527,10.567,9.923,9.469,9.704,10.206,10.333,9.744,9.799,11.013
TMIN,ONDJFM,-3.986,-1.617,0.155,-1.344,-3.615,-2.453,-4.097,-0.825,0.266,1.204,0.044,0.452,-0.773,-1.774,-0.066,-4.355,-0.812,-0.093,-1.718,0.434,0.978,-0.111,-2.984,-0.737,-0.875,-2.407,1.304,1.118,0.095,-2.439
TMIN,NDJF,-4.668,-3.859,-0.744,-2.551,-6.828,-5.112,-5.483,-1.641,-1.071,-0.293,-1.400,-0.588,-1.126,-3.555,-1.253,-6.491,-2.315,-0.549,-3.831,-0.828,0.289,-2.053,-4.823,-1.827,-1.405,-3.556,-0.448,0.186,-1.367,-4.031
TAVG,year,7.646,7.913,8.697,7.779,6.288,7.245,5.929,7.827,9.177,9.031,8.323,8.693,7.509,8.099,8.141,6.861,7.920,7.823,8.902,9.205,8.373,8.922,8.125,8.043,8.157,8.726,9.034,9.300,8.313,7.679
TAVG,MAMJJASO,11.792,11.742,12.737,11.793,11.498,11.612,10.155,11.967,12.702,12.152,12.047,12.257,11.305,12.257,12.599,11.432,11.785,11.851,13.176,12.519,12.711,13.393,12.097,12.079,11.963,12.879,13.250,12.722,12.261,12.876
TAVG,AMJJAS,14.082,13.956,15.270,14.113,13.763,13.934,12.864,14.799,14.754,13.889,14.324,14.989,13.763,14.995,14.809,14.130,14.367,14.443,15.728,14.518,15.191,16.360,14.885,14.239,14.907,15.750,15.283,14.863,15.068,15.962
TAVG,ONDJFM,-1.070,1.040,2.680,1.303,-0.943,0.357,-1.006,1.605,2.859,3.771,2.356,2.987,1.646,0.659,2.175,-1.257,1.759,1.997,0.692,2.538,3.241,2.618,-0.366,1.534,1.583,0.385,4.113,3.219,2.382,0.180
TAVG,NDJF,-2.106,-1.360,1.526,-0.223,-4.086,-2.344,-2.647,0.441,1.302,2.001,0.668,1.637,1.041,-1.307,0.876,-3.819,-0.099,1.116,-1.765,1.089,1.928,0.428,-2.431,0.208,0.676,-1.338,2.010,1.914,0.709,-1.754
RH,year,79.707,77.593,77.136,78.396,79.290,78.870,79.157,78.890,79.108,78.372,78.916,76.941,76.192,76.311,77.869,76.009,76.866,78.841,76.866,77.514,79.162,74.801,77.524,79.472,78.532,77.252,78.870,78.647,80.289,81.287
RH,MAMJJASO,77.639,75.114,75.675,77.575,78.795,77.395,77.556,78.088,77.494,75.967,77.528,74.113,75.094,73.733,76.428,73.688,75.018,77.313,73.547,74.365,78.271,71.656,74.473,77.025,75.984,73.952,76.225,76.254,77.478,79.502
RH,AMJJAS,76.431,73.509,73.707,76.599,76.905,76.097,77.756,76.264,75.523,75.257,76.077,71.513,73.200,71.432,74.773,72.229,72.898,76.654,71.200,72.964,77.303,68.548,72.914,74.505,74.162,70.742,74.336,73.188,74.458,78.236
RH,ONDJFM,78.689,82.865,81.889,78.812,81.324,81.874,81.043,82.154,81.057,81.669,82.075,82.037,81.824,79.911,80.965,78.756,80.659,81.932,82.408,81.998,80.850,81.795,80.322,84.134,83.790,82.960,83.189,84.405,86.022,85.061
RH,NDJF,79.845,84.011,81.565,78.743,79.924,81.636,81.733,82.101,81.108,83.053,82.272,82.485,81.576,79.494,81.354,79.577,80.909,82.276,83.471,82.484,82.675,82.275,81.201,83.865,84.020,83.716,84.138,83.871,86.083,84.659
RHmin,year,63.506,61.356,60.896,62.774,62.545,62.500,62.020,62.468,62.959,62.648,62.462,61.466,60.600,60.406,61.429,59.730,61.348,63.353,61.076,62.017,62.770,58.710,61.768,63.537,61.869,60.965,62.651,63.295,64.475,63.995
RHmin,MAMJJASO,59.076,56.585,57.051,59.303,60.651,59.068,58.861,59.412,59.045,57.602,58.638,56.045,57.109,55.823,57.881,55.323,56.882,59.506,55.150,55.730,59.583,53.134,56.234,58.823,56.399,55.082,57.514,58.051,58.747,59.616
RHmin,AMJJAS,57.118,54.161,54.145,57.477,57.634,57.108,59.022,57.126,55.881,56.297,56.246,52.651,54.722,52.592,55.341,53.430,53.864,58.245,51.922,53.568,57.794,49.100,53.881,55.602,54.434,51.408,54.906,54.319,54.381,58.289
RHmin,ONDJFM,65.252,69.451,69.207,66.346,67.780,68.113,65.942,69.445,67.356,68.450,69.599,68.911,69.513,67.585,68.229,64.055,67.658,70.292,69.077,70.849,69.181,67.614,67.211,72.047,70.751,69.053,69.613,73.185,73.930,71.924
RHmin,NDJF,68.295,71.950,70.577,68.009,66.918,68.953,68.188,71.330,69.102,71.046,71.665,71.356,71.162,68.524,69.747,66.569,69.835,72.654,71.707,73.061,73.643,69.740,69.350,73.497,73.000,72.661,72.433,74.923,75.605,73.730
PREC,year,801.002,575.161,756.098,659.009,762.605,759.178,731.289,676.846,749.754,851.572,613.814,584.792,685.102,730.759,720.600,550.892,699.330,886.077,652.734,690.394,778.607,642.248,643.929,740.600,683.606,605.131,790.631,679.133,671.253,499.447
PREC,MAMJJASO,561.194,396.213,519.786,501.409,575.967,533.209,528.660,489.551,567.525,613.316,408.932,401.529,473.259,494.412,541.983,369.428,523.981,662.844,409.900,471.980,583.085,433.931,479.971,548.539,517.538,458.936,549.963,487.757,477.319,367.297
PREC,AMJJAS,397.316,342.205,365.224,428.781,488.324,460.393,484.245,409.562,423.169,484.399,355.597,283.889,382.291,341.959,428.992,303.144,383.328,520.835,305.228,385.402,471.608,264.884,394.134,396.551,435.402,366.564,453.148,349.003,341.540,315.828
PREC,ONDJFM,144.700,356.534,355.687,279.021,231.345,301.484,259.882,275.277,274.564,369.642,301.219,290.868,320.971,343.770,386.533,189.848,244.176,401.117,340.757,357.882,264.214,377.828,245.417,337.881,322.883,189.001,349.378,318.587,297.436,271.483
