Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.514,13.066,13.842,11.966,12.245,12.704,12.287,13.049,13.669,13.641,12.448,13.908,13.087,14.401,12.749,11.666,13.243,13.346,13.183,14.353,13.266,14.013,14.283,12.876,12.563,13.626,14.151,13.863,13.500,12.292
TMAX,MAMJJASO,17.295,17.372,18.448,15.853,17.079,17.516,16.536,17.248,17.372,17.809,16.877,18.134,17.381,18.530,17.141,15.857,17.168,17.499,17.900,18.673,18.052,18.017,19.199,17.198,17.493,18.117,18.498,17.708,18.230,16.974
TMAX,AMJJAS,19.091,19.713,20.694,17.675,19.429,19.782,19.244,19.664,18.619,19.199,18.801,21.095,19.813,20.711,18.952,18.217,19.387,19.878,20.018,20.981,19.412,20.050,22.238,19.235,19.572,20.292,21.071,19.849,21.146,19.441
TMAX,ONDJFM,4.459,5.699,7.131,5.854,5.563,5.227,5.351,6.714,8.034,8.935,6.605,6.314,6.351,7.205,7.045,5.302,6.895,7.494,5.981,6.282,7.989,7.799,6.653,6.028,6.198,5.171,9.451,6.656,6.099,5.855
TMAX,NDJF,1.399,3.225,5.007,3.594,3.007,2.521,3.488,5.218,5.253,6.380,3.332,4.451,5.077,4.439,5.883,2.337,4.679,6.256,3.268,3.760,5.561,4.370,4.037,4.702,3.516,2.295,7.375,5.014,3.646,3.631
TMIN,year,3.787,4.332,4.338,3.498,3.364,3.624,3.792,4.390,4.605,4.232,3.765,4.934,4.309,5.496,4.341,3.560,4.477,4.666,4.826,5.368,4.618,5.426,4.674,4.449,4.101,4.781,5.199,5.225,5.056,4.240
TMIN,MAMJJASO,7.595,7.670,7.864,6.335,7.043,7.315,7.030,7.526,7.726,7.306,7.403,8.027,7.559,8.412,7.673,6.897,7.280,8.017,8.519,8.549,8.315,8.380,8.300,7.704,7.776,8.279,8.214,8.101,8.625,7.881
TMIN,AMJJAS,9.031,9.484,9.693,7.942,8.818,9.142,9.248,9.189,9.168,8.562,8.940,10.095,9.416,10.242,9.353,8.776,9.002,9.933,10.284,10.082,9.374,10.246,10.718,9.321,9.716,10.266,10.086,9.929,10.726,10.034
TMIN,ONDJFM,-3.158,-1.674,-0.042,-1.878,-1.673,-1.880,-2.360,0.069,0.322,-0.135,-1.005,-0.873,-0.800,0.163,-0.128,-1.706,-0.218,-0.050,-0.835,-0.776,1.116,-0.078,-0.650,-1.134,-0.882,-1.822,1.604,-0.358,-0.407,-0.888
TMIN,NDJF,-5.690,-3.585,-1.581,-3.397,-3.741,-3.763,-3.412,-1.149,-1.695,-1.978,-3.525,-2.215,-1.836,-1.875,-0.644,-3.641,-2.019,-0.742,-2.984,-2.729,-0.784,-2.508,-2.321,-1.909,-2.684,-3.771,0.376,-1.581,-2.101,-2.385
TAVG,year,8.121,8.656,9.056,7.697,7.775,8.137,8.013,8.702,9.099,8.907,8.076,9.389,8.656,9.923,8.524,7.582,8.828,8.981,8.987,9.843,8.926,9.702,9.447,8.638,8.319,9.201,9.662,9.548,9.287,8.274
TAVG,MAMJJASO,12.419,12.480,13.131,11.061,12.030,12.389,11.758,12.374,12.519,12.528,12.113,13.045,12.424,13.447,12.384,11.346,12.190,12.740,13.195,13.596,13.171,13.187,13.725,12.430,12.622,13.208,13.347,12.922,13.444,12.445
TAVG,AMJJAS,14.034,14.567,15.173,12.784,14.099,14.446,14.230,14.420,13.874,13.857,13.848,15.565,14.572,15.458,14.139,13.475,14.169,14.896,15.150,15.524,14.386,15.153,16.469,14.268,14.643,15.301,15.578,14.920,15.961,14.770
TAVG,ONDJFM,0.610,1.972,3.496,1.935,1.910,1.642,1.451,3.358,4.139,4.344,2.766,2.688,2.733,3.650,3.426,1.756,3.297,3.684,2.537,2.724,4.526,3.822,2.957,2.402,2.622,1.653,5.494,3.128,2.840,2.463
TAVG,NDJF,-2.195,-0.219,1.671,0.044,-0.398,-0.644,0.009,1.996,1.747,2.146,-0.128,1.091,1.584,1.250,2.598,-0.680,1.297,2.724,0.112,0.497,2.360,0.904,0.824,1.358,0.390,-0.751,3.842,1.691,0.771,0.606
RH,year,68.229,69.849,65.643,69.701,68.485,68.062,69.883,68.871,67.670,65.671,68.402,65.583,68.766,69.221,71.757,72.496,70.149,69.455,71.788,71.200,72.373,72.676,68.336,72.092,72.266,71.218,71.122,73.124,73.790,74.288
RH,MAMJJASO,66.411,67.051,63.323,66.835,65.541,65.402,66.979,66.371,66.641,62.596,66.845,62.218,66.128,66.303,68.786,70.284,66.928,68.316,70.052,68.005,69.596,70.069,64.390,70.384,69.397,68.781,68.284,71.330,70.835,71.372
RH,AMJJAS,65.508,66.078,62.376,66.735,63.791,64.029,65.750,64.455,67.668,62.374,65.759,58.911,64.673,65.175,68.164,69.014,65.607,67.571,69.675,65.775,67.511,69.683,62.798,68.963,68.863,67.754,66.325,70.203,69.325,70.681
RH,ONDJFM,68.159,72.195,72.807,70.255,73.014,74.343,71.076,74.203,71.110,64.946,71.824,70.632,71.804,74.845,74.073,76.849,74.366,71.627,74.139,74.863,78.477,74.013,75.951,75.021,74.947,76.839,73.145,76.180,78.595,77.647
RH,NDJF,69.505,73.934,74.144,72.670,73.422,76.581,73.414,75.032,72.637,67.031,72.866,72.046,72.068,76.558,75.714,79.236,75.042,73.440,75.055,76.177,79.209,75.712,79.486,76.069,75.372,79.077,74.626,76.365,80.219,79.989
RHmin,year,53.106,54.336,50.098,54.742,53.115,52.598,54.797,53.921,52.142,50.488,53.252,51.127,53.642,53.912,56.554,57.497,54.668,54.154,56.509,55.263,56.658,57.088,52.161,56.616,56.799,55.276,55.365,57.226,58.123,59.122
RHmin,MAMJJASO,50.730,51.083,47.275,51.254,49.581,49.372,51.294,50.781,51.003,46.936,51.301,47.326,50.472,50.164,52.970,54.820,50.648,52.443,53.924,51.455,53.259,53.740,47.696,54.001,52.965,52.304,51.510,54.589,54.377,55.616
RHmin,AMJJAS,49.760,49.788,46.305,51.244,47.471,47.959,49.914,48.436,52.266,46.722,50.070,43.819,48.705,49.111,52.650,53.458,49.075,51.395,53.381,48.794,51.535,53.459,45.964,52.454,52.707,51.614,49.182,53.614,52.202,54.946
RHmin,ONDJFM,53.843,57.380,58.481,55.182,58.506,59.755,56.061,60.582,56.434,49.418,56.992,56.727,57.685,60.407,59.500,61.928,59.904,57.170,60.091,60.146,63.565,58.339,60.993,60.142,60.178,61.880,57.668,61.493,64.375,63.060
RHmin,NDJF,55.243,59.418,60.364,57.982,59.253,62.589,59.091,61.495,58.595,51.582,58.618,58.486,58.073,62.677,61.752,65.477,60.871,59.446,61.536,61.940,64.891,60.927,65.158,61.729,61.797,65.092,59.990,62.221,66.846,66.010
PREC,year,1110.190,1012.226,971.344,962.560,1156.878,1037.333,1196.930,1167.061,1086.309,1092.848,1086.571,1046.908,1110.408,1025.758,1159.645,1203.097,1139.513,1154.310,1192.491,1211.391,1091.922,1308.568,907.845,1087.799,1224.099,1111.609,1241.123,1109.254,1260.000,1117.014
PREC,MAMJJASO,807.112,741.572,689.183,747.125,874.091,713.571,854.945,838.246,905.446,817.587,794.324,766.135,878.406,774.337,862.830,1010.018,911.905,976.536,867.449,910.518,822.583,1005.208,717.506,822.599,915.495,894.152,920.605,865.450,1000.451,909.248
PREC,AMJJAS,646.892,605.731,581.712,651.111,765.100,583.630,713.548,639.465,811.612,657.456,708.170,516.322,676.495,629.935,723.881,814.732,725.163,741.151,766.237,628.633,699.759,773.905,536.453,671.783,820.012,735.368,761.965,693.256,803.002,803.672
PREC,ONDJFM,194.591,454.507,427.512,372.495,313.114,443.911,472.739,499.172,388.574,321.749,349.210,470.652,497.630,448.874,493.056,271.224,449.956,399.079,482.100,497.394,501.462,387.764,449.707,490.870,385.734,398.416,411.690,402.631,502.380,333.559
PREC,NDJF,136.169,294.818,309.758,260.808,180.251,351.137,322.831,305.917,278.022,216.508,201.155,311.942,301.936,237.502,302.244,208.409,188.834,215.452,303.792,287.413,285.258,242.553,306.521,267.397,253.415,262.402,256.787,234.422,311.500,203.456
SRAD,year,4114.998,4414.830,4340.550,4070.999,4238.327,4197.090,4006.026,4277.740,4158.150,4388.014,4173.992,4424.818,4342.932,4416.811,4194.444,4227.373,4527.916,4367.021,4251.055,4495.031,4336.247,4393.399,4831.325,4342.319,4461.524,4578.330,4616.073,4356.724,4381.976,4155.924
SRAD,MAMJJASO,3554.255,3860.000,3768.190,3540.915,3714.618,3641.583,3512.569,3729.691,3548.682,3806.754,3582.098,3874.447,3795.275,3865.343,3676.675,3647.597,3959.593,3739.065,3705.131,3920.163,3762.948,3858.487,4212.436,3796.651,3882.981,3955.968,4053.103,3769.745,3854.289,3625.682
SRAD,AMJJAS,2988.408,3259.271,3173.635,2908.399,3153.791,3057.667,2936.628,3184.582,2893.936,3166.913,3021.283,3357.412,3222.326,3258.075,3039.882,3063.442,3374.764,3150.248,3087.147,3371.586,3162.258,3212.511,3543.316,3160.774,3192.099,3292.910,3433.266,3176.734,3299.455,3015.726
SRAD,ONDJFM,652.097,1179.386,1097.237,1189.538,1089.957,1095.550,1166.837,1039.921,1176.217,1320.901,1148.567,1137.936,1100.635,1103.409,1131.182,1209.288,1130.704,1252.956,1129.760,1154.941,1081.510,1286.275,1231.185,1199.622,1223.076,1253.962,1269.390,1162.052,1096.552,1151.095
SRAD,NDJF,333.454,565.170,535.617,551.012,544.941,516.233,536.910,513.246,571.750,648.220,583.769,556.770,555.429,540.674,529.641,547.874,580.521,613.977,562.091,569.452,553.182,583.168,574.637,562.006,574.015,597.435,595.792,590.369,526.350,535.268
WIND,year,1.986,1.764,1.930,1.880,1.893,1.847,1.857,1.865,1.730,1.829,1.888,1.974,1.912,1.884,1.956,1.893,1.929,1.959,1.886,1.925,1.954,1.976,1.876,1.881,1.868,1.840,1.886,1.750,1.724,1.782
