Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.961,15.151,15.248,13.687,13.526,14.084,13.231,14.799,15.763,15.552,14.590,15.458,14.402,15.740,14.898,13.128,15.123,14.786,15.638,15.848,14.948,15.404,16.154,14.984,15.313,15.962,15.851,15.544,15.445,13.898
TMAX,MAMJJASO,18.618,19.655,19.689,17.494,18.305,18.477,17.559,18.627,19.902,19.557,19.031,19.665,18.672,19.734,19.464,17.719,19.533,18.843,20.178,19.774,19.314,19.506,20.991,19.349,19.969,20.525,19.996,19.377,20.107,19.056
TMAX,AMJJAS,20.654,22.024,22.142,19.320,20.603,20.561,19.990,21.097,21.540,21.072,20.954,22.573,21.083,22.029,21.459,20.003,21.812,21.126,22.546,21.996,21.065,21.827,24.030,21.467,21.998,23.103,22.256,21.794,23.024,21.380
TMAX,ONDJFM,6.333,7.055,8.780,7.664,6.860,6.831,6.936,8.453,9.565,10.456,8.571,8.396,8.025,8.055,9.242,6.505,7.971,9.215,7.870,8.704,9.304,9.665,8.047,8.232,8.260,7.607,11.412,8.886,7.745,7.468
TMAX,NDJF,3.508,4.610,6.917,5.638,4.217,4.202,4.993,6.947,7.170,8.053,5.425,6.359,6.571,5.804,8.062,3.407,5.137,7.556,5.582,6.686,7.532,6.709,5.492,6.921,5.839,4.903,9.318,7.383,5.439,5.204
TMIN,year,6.198,6.597,6.773,6.144,5.408,5.812,5.675,7.043,7.001,7.023,6.009,7.003,6.269,7.462,6.675,5.259,6.482,6.971,7.275,7.681,6.922,7.307,6.502,6.608,6.492,7.076,7.162,6.884,6.493,5.399
TMIN,MAMJJASO,9.572,9.573,9.841,8.620,8.953,8.920,8.663,9.434,9.668,9.403,8.934,9.591,9.082,9.926,9.757,8.402,9.229,9.846,10.178,10.212,9.986,10.013,9.541,9.326,9.332,10.015,9.503,9.240,9.434,8.818
TMIN,AMJJAS,10.893,11.117,11.462,10.078,10.579,10.417,10.675,10.970,10.847,10.573,10.336,11.561,10.885,11.679,11.221,10.065,10.812,11.427,11.873,11.515,11.107,11.846,11.794,10.854,10.877,11.793,11.226,10.848,11.225,10.575
TMIN,ONDJFM,0.497,0.869,3.049,1.382,0.820,0.673,0.566,3.197,3.440,3.353,2.187,2.169,1.840,2.414,2.850,0.557,1.847,2.776,2.236,2.890,3.397,3.098,1.495,1.859,2.075,1.244,4.548,2.618,1.685,1.349
TMIN,NDJF,-1.668,-0.880,1.760,0.237,-1.378,-1.141,-0.512,2.495,2.069,1.848,0.320,1.135,1.249,0.893,2.700,-1.580,0.014,2.021,0.583,1.658,2.096,1.233,0.043,1.448,0.795,-0.275,3.663,1.921,0.207,0.069
TAVG,year,9.943,10.689,10.870,9.718,9.271,9.792,9.275,10.766,11.184,11.103,10.194,11.106,10.168,11.458,10.651,9.029,10.611,10.705,11.291,11.571,10.814,11.219,11.220,10.715,10.849,11.483,11.490,11.191,10.980,9.714
TAVG,MAMJJASO,13.881,14.399,14.580,12.814,13.340,13.474,12.849,13.839,14.585,14.259,13.861,14.486,13.656,14.649,14.419,12.848,14.115,14.139,14.957,14.752,14.488,14.582,15.156,14.215,14.548,15.217,14.717,14.275,14.763,13.947
TAVG,AMJJAS,15.560,16.407,16.642,14.499,15.335,15.306,15.066,15.856,16.068,15.676,15.604,16.987,15.806,16.751,16.219,14.892,16.117,16.065,17.051,16.543,15.984,16.676,17.879,16.066,16.395,17.426,16.750,16.319,17.119,16.039
