Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.966,13.656,13.771,13.725,12.533,12.493,12.755,13.413,14.395,14.367,13.389,13.469,12.981,13.632,14.439,13.096,14.421,13.760,14.242,13.847,13.735,14.081,14.736,14.184,14.157,14.656,14.361,13.755,13.971,13.118
TMAX,MAMJJASO,15.697,16.391,16.314,16.470,15.305,15.039,15.380,15.689,17.092,17.052,16.268,15.991,15.337,15.945,17.497,16.030,17.121,15.999,16.958,16.388,16.435,16.491,17.613,16.650,16.921,17.563,16.801,16.157,16.965,16.689
TMAX,AMJJAS,17.290,18.035,17.908,18.239,16.647,16.178,17.095,17.070,18.503,18.327,17.663,17.835,16.859,17.295,19.080,17.589,18.524,17.333,18.436,17.806,17.744,17.932,19.339,18.265,18.203,19.387,18.044,17.762,18.309,18.262
TMAX,ONDJFM,8.308,8.462,9.305,9.096,8.895,8.246,8.983,9.220,10.494,10.480,9.208,9.545,9.254,8.627,10.241,8.974,9.555,10.665,9.844,10.122,9.043,10.807,9.942,9.921,10.080,9.457,11.019,10.411,9.256,8.992
TMAX,NDJF,7.240,7.366,8.189,8.220,7.560,6.472,7.953,8.231,9.546,8.940,7.292,8.479,8.565,7.506,9.548,7.418,7.567,9.644,8.759,8.807,7.936,9.256,8.562,9.062,9.096,8.094,9.733,9.424,7.790,7.145
TMIN,year,5.760,6.179,6.480,6.041,5.561,5.388,5.754,6.393,6.549,6.729,6.173,6.304,5.998,6.585,6.567,5.859,6.850,6.833,6.923,6.694,6.398,7.009,6.679,7.069,6.965,7.269,7.011,6.630,6.755,5.508
TMIN,MAMJJASO,7.899,8.122,8.243,7.744,7.784,7.208,7.595,8.060,8.295,8.423,8.343,8.197,7.668,8.114,8.603,7.821,8.574,8.597,8.865,8.414,8.560,8.553,8.625,8.890,9.033,9.264,8.719,8.496,8.918,8.220
TMIN,AMJJAS,9.051,9.240,9.283,8.739,8.858,8.076,8.911,9.037,9.111,9.038,9.236,9.539,8.878,9.093,9.600,8.711,9.601,9.591,9.946,9.384,9.353,9.711,10.120,10.125,9.732,10.432,9.763,9.827,9.976,9.404
TMIN,ONDJFM,2.259,2.112,3.443,3.204,2.770,2.332,2.768,3.511,4.117,4.306,3.339,3.571,3.172,2.852,3.985,3.348,3.402,4.591,3.674,3.940,3.179,4.367,3.717,3.502,4.223,3.625,4.819,3.847,3.168,2.849
TMIN,NDJF,1.300,1.379,2.457,2.516,1.875,1.026,1.980,2.978,3.480,3.172,1.742,2.539,2.872,1.990,3.832,2.115,1.898,4.060,2.855,3.004,2.461,2.908,3.189,3.150,3.439,2.368,4.003,3.090,2.316,1.546
