Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,17.199,17.261,18.095,16.524,16.148,17.097,16.505,17.218,17.593,18.109,16.557,18.274,17.322,18.631,17.355,16.101,17.019,17.405,17.454,19.295,17.650,18.586,18.290,17.183,17.019,17.830,19.172,18.958,18.711,17.043
TMAX,MAMJJASO,22.731,22.758,23.641,21.576,21.781,22.930,21.748,22.261,22.601,23.075,21.794,23.667,22.863,23.807,22.576,21.246,21.873,22.360,23.134,24.456,23.214,23.792,24.302,22.368,22.384,23.243,24.547,23.609,24.403,22.115
TMAX,AMJJAS,24.753,25.350,26.226,23.769,24.452,25.839,24.849,25.046,24.498,24.901,24.249,26.793,25.682,26.628,24.858,24.060,24.458,25.020,25.648,26.992,25.108,26.381,27.890,24.797,24.951,25.801,27.462,25.949,27.663,24.807
TMAX,ONDJFM,8.167,8.635,10.680,8.889,7.620,8.803,7.679,10.094,9.659,11.781,9.536,9.322,8.740,10.547,9.979,7.707,9.614,10.930,8.608,9.285,12.366,10.426,8.561,9.174,9.274,8.759,12.890,9.933,10.430,9.786
TMAX,NDJF,4.761,5.061,7.972,5.999,3.986,6.167,5.075,7.906,6.201,8.597,6.232,6.821,6.430,7.315,8.109,4.373,6.702,9.442,4.982,6.362,9.487,6.462,5.408,7.092,6.393,5.646,10.260,7.389,7.488,6.989
TMIN,year,7.902,8.048,8.080,7.614,6.911,7.316,7.376,7.913,8.546,8.063,7.661,8.603,7.931,9.261,8.154,7.606,7.716,8.233,8.699,9.027,8.468,8.582,7.312,7.754,7.311,7.968,8.562,8.554,8.436,8.058
TMIN,MAMJJASO,11.980,12.019,12.001,10.974,11.087,11.225,11.090,11.417,12.127,11.198,11.750,12.211,11.911,12.843,11.744,11.478,10.834,12.175,12.786,12.510,12.746,12.134,11.532,11.323,11.242,11.721,11.881,11.815,12.051,11.827
TMIN,AMJJAS,13.489,13.903,14.191,12.651,13.220,13.604,13.585,13.598,13.979,12.885,13.601,14.464,13.848,15.133,13.797,13.713,13.208,14.410,14.888,14.376,14.174,14.411,14.183,13.104,13.629,13.966,13.837,13.712,14.056,14.365
TMIN,ONDJFM,0.385,1.574,3.598,1.464,0.555,1.820,0.068,3.619,2.247,2.931,2.314,2.089,1.868,3.624,2.854,0.767,2.495,2.785,1.899,2.328,4.452,2.320,0.594,1.723,1.685,1.145,4.187,2.349,2.872,2.694
TMIN,NDJF,-2.174,-0.900,1.873,-0.240,-2.386,0.461,-1.130,2.476,0.196,1.121,0.196,0.512,0.173,1.455,1.797,-1.114,0.848,2.436,-0.788,0.382,2.619,-0.315,-1.420,0.409,-0.021,-0.800,3.005,0.640,1.214,0.976
TAVG,year,12.356,12.463,12.915,11.891,11.362,12.115,11.817,12.354,12.811,12.868,11.876,13.258,12.352,13.685,12.582,11.767,12.273,12.650,12.877,13.978,12.809,13.309,12.560,12.173,11.865,12.597,13.637,13.440,13.341,12.248
TAVG,MAMJJASO,17.163,17.227,17.676,16.111,16.249,17.033,16.290,16.658,17.135,16.965,16.539,17.786,17.103,18.075,16.963,16.277,16.258,17.131,17.733,18.363,17.719,17.698,17.719,16.544,16.513,17.167,17.997,17.397,17.978,16.615
TAVG,AMJJAS,19.008,19.546,20.152,18.110,18.705,19.756,19.146,19.248,19.062,18.811,18.778,20.564,19.557,20.697,19.238,18.868,18.827,19.643,20.089,20.683,19.478,20.158,20.914,18.687,19.049,19.637,20.495,19.597,20.678,19.277
TAVG,ONDJFM,4.064,4.801,6.861,4.878,3.898,5.094,3.661,6.569,5.640,6.991,5.611,5.388,4.954,6.752,6.099,4.105,5.865,6.614,5.036,5.527,8.025,6.020,4.335,5.067,5.129,4.601,8.159,5.826,6.277,5.987
TAVG,NDJF,1.130,1.858,4.693,2.613,0.708,3.122,1.825,4.954,2.946,4.480,2.982,3.461,2.987,4.144,4.707,1.627,3.656,5.769,1.923,3.168,5.735,2.791,1.809,3.364,2.867,2.153,6.329,3.764,4.067,3.810
RH,year,69.006,71.280,68.242,72.457,72.234,68.981,69.529,70.004,70.864,67.196,70.570,64.011,66.312,69.671,69.585,71.453,68.167,68.573,71.209,64.412,69.091,70.492,68.585,72.980,72.759,72.719,66.336,69.566,69.715,76.157
RH,MAMJJASO,65.793,67.097,63.756,67.310,68.757,63.803,65.196,65.252,66.859,61.325,67.537,58.034,60.862,64.952,65.439,67.151,62.036,64.993,66.396,57.804,65.377,65.974,61.548,69.717,68.915,68.636,60.575,66.457,63.284,72.917
RH,AMJJAS,63.678,64.691,62.181,66.120,66.306,61.024,64.179,63.354,66.157,60.082,65.747,54.578,57.205,63.018,63.249,65.468,61.527,65.090,65.774,54.848,62.330,65.059,58.337,67.294,68.087,67.524,57.566,65.062,60.329,73.573
RH,ONDJFM,70.529,76.625,76.584,75.952,79.214,79.082,74.259,77.291,75.983,71.958,76.712,72.926,74.433,76.776,75.825,77.894,75.908,70.302,76.791,75.556,75.299,74.454,78.299,79.020,77.738,78.823,75.623,73.273,78.597,78.110
RH,NDJF,71.208,79.169,78.539,80.058,79.631,81.240,77.545,81.847,79.865,75.319,79.187,75.808,75.984,79.773,77.484,80.996,80.256,75.682,80.447,78.551,78.489,77.597,82.246,80.577,79.990,81.153,79.383,75.609,81.179,82.800
RHmin,year,52.334,54.417,50.942,55.881,55.053,52.384,53.397,53.194,54.132,50.392,53.947,48.669,50.335,52.896,53.317,55.966,52.375,52.416,55.137,48.139,52.691,52.684,49.891,55.061,54.262,54.188,49.177,50.940,52.101,57.967
RHmin,MAMJJASO,48.108,49.262,45.706,49.492,50.487,46.064,48.021,47.646,49.209,43.591,50.291,42.011,44.298,47.250,47.765,50.843,45.055,48.563,49.024,41.357,48.306,47.135,42.773,50.395,49.511,48.792,42.344,46.888,44.460,53.489
RHmin,AMJJAS,46.237,46.923,44.548,48.306,48.096,43.618,46.868,46.023,48.983,42.898,48.489,38.883,40.831,45.646,46.447,49.232,44.949,48.466,48.375,38.968,45.925,46.345,39.777,47.936,49.187,48.020,39.306,45.924,41.066,54.249
