Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.458,15.623,15.595,14.531,13.674,14.472,13.829,15.184,16.212,15.977,14.885,15.681,14.680,15.954,15.908,13.943,15.639,15.224,16.300,15.904,15.605,16.016,16.553,15.804,16.174,16.701,16.356,15.834,16.084,14.529
TMAX,MAMJJASO,18.421,19.472,19.211,17.577,17.787,18.143,17.571,18.117,19.761,19.383,18.798,19.227,18.332,19.282,19.967,18.089,19.548,18.609,20.116,19.225,19.283,19.546,20.613,19.576,20.062,20.672,19.845,19.244,20.238,19.264
TMAX,AMJJAS,20.280,21.533,21.250,19.187,19.672,19.802,19.529,20.040,21.285,20.706,20.220,21.738,20.265,21.290,21.805,20.039,21.446,20.567,22.175,21.152,20.955,21.555,23.080,21.471,21.627,22.978,21.729,21.439,22.556,21.249
TMAX,ONDJFM,8.050,8.516,9.966,9.422,8.596,8.074,8.711,10.010,10.922,11.608,9.967,9.632,9.604,9.088,10.827,8.204,9.216,10.654,9.470,10.374,9.966,11.346,9.904,9.932,10.003,9.762,12.445,10.397,9.096,9.106
TMAX,NDJF,5.842,6.692,8.236,7.808,6.573,5.697,6.970,8.582,9.186,9.588,7.056,7.772,8.353,7.211,9.897,5.452,6.493,9.068,7.722,8.828,8.575,8.885,7.737,8.793,7.964,7.395,10.634,9.166,7.018,6.787
TMIN,year,6.733,7.203,7.287,6.825,5.950,6.070,6.302,7.754,7.435,7.422,6.434,7.613,6.726,7.657,7.191,5.536,7.054,7.499,7.749,8.113,7.539,7.717,6.685,7.306,7.451,8.113,7.957,7.463,7.189,5.937
TMIN,MAMJJASO,9.578,9.690,9.752,8.684,9.031,8.402,8.804,9.598,9.680,9.202,8.956,9.783,9.006,9.719,9.784,8.106,9.417,9.918,10.129,10.106,10.169,9.857,8.969,9.654,9.707,10.502,9.979,9.561,9.616,9.006
TMIN,AMJJAS,10.709,10.940,11.221,9.810,10.383,9.461,10.366,10.866,10.440,10.002,9.910,11.497,10.527,11.183,11.097,9.457,10.738,11.230,11.472,11.250,11.025,11.485,10.856,11.000,10.673,11.920,11.458,11.057,11.147,10.223
TMIN,ONDJFM,2.372,2.030,4.187,2.810,2.390,1.983,2.344,4.492,4.757,4.883,3.322,3.544,3.307,3.244,4.283,1.587,2.786,4.153,3.501,4.211,4.309,4.732,2.682,3.208,3.619,3.443,5.994,3.949,2.804,2.835
TMIN,NDJF,0.624,0.713,3.038,1.981,0.568,0.500,1.407,3.824,3.729,3.571,1.455,2.423,3.141,1.919,4.227,-0.156,1.086,3.503,2.239,3.193,3.388,3.092,1.662,3.187,2.358,2.070,5.182,3.382,1.643,1.557
TAVG,year,10.650,11.453,11.524,10.711,9.888,10.386,10.170,11.516,11.909,11.841,10.777,11.717,10.768,11.913,11.641,9.850,11.429,11.428,12.115,12.082,11.653,11.922,11.737,11.634,11.895,12.519,12.245,11.755,11.785,10.444
TAVG,MAMJJASO,14.017,14.621,14.554,13.201,13.456,13.391,13.273,13.883,14.858,14.477,14.028,14.598,13.740,14.591,14.958,13.225,14.558,14.326,15.187,14.718,14.779,14.734,14.946,14.673,14.962,15.723,14.999,14.504,15.067,14.315
TAVG,AMJJAS,15.537,16.318,16.319,14.591,15.126,14.810,15.078,15.486,16.053,15.609,15.289,16.729,15.530,16.362,16.565,14.955,16.201,15.933,16.927,16.254,16.089,16.556,17.204,16.326,16.288,17.607,16.707,16.360,16.993,15.973
TAVG,ONDJFM,5.233,5.301,7.144,6.137,5.521,5.079,5.604,7.291,7.903,8.204,6.683,6.626,6.465,6.193,7.612,4.939,6.054,7.473,6.587,7.384,7.193,8.097,6.357,6.589,6.893,6.590,9.302,7.260,6.057,6.146
TAVG,NDJF,3.308,3.782,5.749,4.946,3.602,3.243,4.280,6.299,6.534,6.543,4.333,5.169,5.771,4.626,7.198,2.737,3.891,6.368,5.082,6.155,6.058,6.130,4.801,6.038,5.278,4.810,7.992,6.367,4.452,4.414
RH,year,81.274,78.945,78.782,80.474,81.415,78.798,80.932,80.528,78.249,78.790,79.906,80.428,82.469,81.452,81.087,79.801,80.669,83.689,80.912,82.043,81.847,81.060,77.603,80.448,80.519,79.150,81.451,80.465,79.794,80.124
RH,MAMJJASO,78.204,75.767,76.004,77.902,79.424,76.197,78.058,77.651,74.167,75.052,76.672,76.642,79.582,78.365,78.222,77.006,77.632,81.870,77.464,79.884,78.328,78.364,73.810,76.546,77.275,75.361,78.507,77.312,75.895,75.829
