Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.601,14.732,15.187,13.502,12.626,13.628,12.506,14.167,15.427,15.210,14.010,15.060,13.724,15.013,14.317,12.627,13.899,14.135,15.164,15.776,14.286,15.442,14.911,14.451,14.852,15.307,15.529,15.568,14.843,13.800
TMAX,MAMJJASO,18.647,19.687,20.094,18.013,17.993,18.611,17.263,18.711,19.812,19.347,18.721,19.860,18.334,19.659,19.458,17.687,18.466,18.729,20.202,20.154,19.220,20.530,19.867,19.277,19.804,20.429,20.393,19.724,19.765,19.332
TMAX,AMJJAS,20.881,22.073,22.820,20.215,20.564,21.016,19.982,21.540,21.871,20.996,21.052,23.059,21.006,22.499,21.757,20.480,21.145,21.507,22.871,22.359,21.422,23.532,23.230,21.557,22.594,23.472,22.849,22.161,23.114,22.118
TMAX,ONDJFM,4.813,6.112,8.247,6.574,4.943,5.657,5.175,7.241,8.363,9.471,7.423,7.310,6.461,6.901,7.621,4.239,6.877,7.514,6.387,7.280,8.827,8.289,5.580,6.654,7.296,5.839,10.278,7.772,7.385,6.056
TMAX,NDJF,2.274,3.093,6.092,4.452,1.517,2.879,3.093,5.609,5.842,6.943,4.519,5.158,5.065,4.344,6.132,1.041,4.126,6.225,3.567,5.210,6.542,5.204,2.969,4.998,5.243,3.104,7.805,5.893,5.120,3.648
TMIN,year,5.612,5.680,6.295,5.748,4.745,5.072,4.401,5.997,6.673,6.531,5.554,6.104,5.371,6.298,5.688,4.542,5.640,6.025,6.480,6.897,6.142,6.470,5.568,5.931,5.597,6.039,6.788,6.876,6.036,5.238
TMIN,MAMJJASO,9.223,8.862,9.612,8.807,9.045,8.649,7.908,8.828,9.407,8.870,8.755,8.956,8.482,9.216,9.267,8.257,8.636,9.264,9.709,9.526,9.748,10.008,8.819,9.081,8.505,9.480,9.748,9.367,9.230,9.363
TMIN,AMJJAS,10.745,10.485,11.264,10.457,10.797,10.513,10.217,10.984,10.687,10.180,10.406,11.048,10.377,11.134,10.898,10.332,10.568,11.296,11.508,10.857,11.384,12.085,11.224,10.563,10.654,11.724,11.536,10.956,11.130,11.813
TMIN,ONDJFM,-1.097,0.011,2.123,0.463,-1.201,-0.447,-1.727,1.933,1.858,2.872,1.161,1.209,0.482,1.072,1.447,-2.141,0.573,1.582,0.474,1.641,2.364,1.633,-1.104,0.625,1.196,-0.947,3.428,1.922,1.545,-0.153
TMIN,NDJF,-2.831,-2.204,0.847,-0.867,-4.330,-2.563,-3.018,1.382,0.741,1.188,-0.481,0.107,-0.211,-0.633,0.742,-4.494,-1.216,1.097,-1.538,0.269,1.081,-0.477,-3.052,-0.413,0.289,-2.493,2.362,0.937,0.011,-1.875
TAVG,year,9.475,10.056,10.653,9.435,8.514,9.198,8.282,9.973,10.980,10.755,9.667,10.534,9.485,10.641,9.941,8.356,9.553,9.857,10.631,11.114,10.009,10.739,10.025,9.994,9.997,10.475,10.949,11.017,10.226,9.339
TAVG,MAMJJASO,13.712,14.117,14.726,13.192,13.274,13.428,12.344,13.632,14.530,13.982,13.584,14.362,13.311,14.461,14.284,12.733,13.318,13.763,14.742,14.600,14.249,15.042,14.130,13.940,13.902,14.772,14.843,14.356,14.264,14.127
TAVG,AMJJAS,15.634,16.226,16.955,15.168,15.469,15.638,14.893,16.186,16.279,15.565,15.658,17.125,15.657,16.957,16.375,15.225,15.707,16.214,17.071,16.462,16.254,17.656,17.104,15.902,16.482,17.521,17.045,16.493,16.933,16.818
TAVG,ONDJFM,1.746,2.898,5.037,3.379,1.686,2.473,1.566,4.420,4.930,6.028,4.108,4.093,3.349,3.858,4.371,0.864,3.396,4.271,3.178,4.232,5.259,4.688,1.964,3.389,3.975,2.129,6.520,4.549,4.171,2.716
TAVG,NDJF,-0.256,0.408,3.415,1.749,-1.502,0.141,-0.040,3.424,3.230,3.994,1.982,2.602,2.393,1.812,3.395,-1.820,1.239,3.448,0.851,2.613,3.585,2.226,-0.229,2.121,2.596,0.116,4.876,3.206,2.382,0.733
RH,year,77.689,74.756,74.583,77.333,78.339,76.253,77.646,76.652,76.052,76.189,78.337,75.269,77.240,76.663,77.715,79.626,79.005,78.976,78.223,77.086,79.871,76.200,75.961,76.787,75.632,75.701,76.874,76.691,78.509,79.198
RH,MAMJJASO,75.281,71.197,71.263,75.232,76.906,73.532,75.029,73.528,72.781,72.971,76.102,70.815,74.890,73.408,74.991,77.534,75.958,76.476,74.833,73.228,77.806,73.109,72.038,73.111,71.577,71.700,73.322,73.435,75.150,76.574
RH,AMJJAS,73.981,69.540,69.128,74.585,74.864,72.449,74.581,72.025,71.304,72.538,74.719,67.634,73.012,71.276,72.912,75.863,74.358,75.050,72.761,71.116,76.126,70.931,69.182,70.742,69.279,68.646,71.118,70.832,71.875,75.872
RH,ONDJFM,80.010,80.697,80.829,79.417,80.807,81.361,79.850,82.624,79.503,79.658,81.824,82.427,82.141,81.984,81.965,83.308,83.193,83.600,83.663,83.510,83.370,81.942,82.120,83.083,82.317,82.864,81.481,83.110,84.696,83.709
RH,NDJF,80.996,82.730,81.865,81.106,80.885,81.974,81.421,84.647,82.347,81.437,83.449,84.167,82.910,82.947,83.057,83.981,84.187,84.944,85.107,84.235,85.337,83.036,82.896,83.977,83.695,84.293,83.539,83.864,85.400,84.354
RHmin,year,61.190,57.312,57.722,61.126,61.564,59.010,60.608,60.357,59.046,59.296,60.866,58.464,60.544,59.855,60.485,62.113,61.489,61.581,60.508,59.280,62.347,58.341,57.574,59.542,57.588,57.551,59.404,59.275,60.508,61.114
RHmin,MAMJJASO,56.702,51.832,52.743,57.020,58.767,54.703,56.329,55.037,53.958,53.793,56.598,52.002,56.281,54.780,56.016,58.476,56.487,57.527,55.007,53.570,58.650,53.766,52.136,53.975,51.140,52.121,53.633,54.286,55.243,56.896
RHmin,AMJJAS,54.885,50.007,49.823,56.069,55.987,53.446,55.678,53.282,52.059,53.412,54.915,48.628,54.059,52.394,54.098,56.502,54.660,55.651,52.632,51.160,57.039,51.192,49.218,51.413,49.174,49.318,51.433,51.725,50.775,56.501
RHmin,ONDJFM,65.968,66.104,66.504,65.096,65.737,66.754,63.762,69.506,64.562,64.824,66.876,67.620,67.581,67.931,66.916,67.242,67.011,68.377,68.471,68.931,67.049,65.775,65.441,67.589,67.109,66.038,65.035,68.054,69.371,67.864
RHmin,NDJF,68.650,69.552,69.231,68.198,66.360,68.676,66.571,73.556,69.677,67.789,70.943,71.396,69.887,70.525,69.762,69.430,69.891,71.357,71.242,71.227,70.735,68.704,67.408,69.731,70.710,69.759,69.404,70.648,71.683,69.834
PREC,year,732.651,442.110,575.028,549.938,610.436,586.160,644.433,593.305,507.783,583.292,551.359,576.040,623.546,687.172,644.789,618.890,697.473,735.939,676.752,663.444,738.087,654.410,505.627,638.723,589.035,592.828,706.452,644.371,702.297,849.941
PREC,MAMJJASO,533.559,303.995,402.821,444.679,461.595,426.745,455.807,402.937,384.014,433.105,405.545,409.321,434.047,497.006,497.836,521.316,561.537,571.645,489.537,469.913,599.242,489.732,377.201,448.511,385.909,449.824,491.124,485.797,535.896,631.496
PREC,AMJJAS,391.082,266.259,307.228,393.271,405.946,363.764,395.302,342.125,311.798,377.430,350.518,284.436,365.670,345.696,427.399,455.345,464.653,425.362,404.497,374.437,519.902,346.801,297.171,355.935,337.865,376.848,416.683,366.846,382.059,580.847
PREC,ONDJFM,129.809,283.964,265.124,184.522,165.201,210.112,228.614,278.319,189.277,212.350,190.736,264.189,290.318,296.454,312.808,147.224,171.522,299.128,293.158,322.442,223.308,260.251,223.177,279.919,266.657,219.709,305.720,255.806,265.842,288.349
PREC,NDJF,67.281,188.935,181.195,129.116,100.409,161.814,162.577,198.508,150.710,140.299,138.672,165.049,191.613,183.918,196.433,105.876,97.448,175.440,169.915,187.301,158.568,192.928,102.324,175.466,182.035,169.198,226.868,161.382,141.785,165.253
SRAD,year,3725.399,4182.683,3939.489,3626.845,3668.936,3949.603,3689.827,3904.825,3943.856,4010.044,3916.494,4108.799,3913.387,4050.280,4006.768,3806.615,4013.029,3885.836,4059.329,4077.201,3806.199,4050.794,4280.857,3994.687,4198.813,4232.987,4117.513,4079.962,4171.407,3959.086
SRAD,MAMJJASO,3414.706,3831.541,3609.438,3281.547,3332.210,3573.436,3370.593,3584.204,3593.965,3666.051,3572.920,3778.630,3575.271,3703.644,3652.407,3439.414,3665.415,3535.150,3727.218,3729.115,3458.200,3689.791,3914.978,3676.866,3866.779,3872.731,3800.617,3723.884,3854.988,3637.610
SRAD,AMJJAS,2986.560,3292.245,3201.011,2805.664,2944.516,3076.700,2862.166,3111.786,3118.502,3125.454,3099.415,3327.742,3111.504,3236.831,3174.184,2964.907,3171.104,3056.648,3239.460,3265.487,3003.557,3224.171,3408.475,3212.498,3316.881,3392.939,3292.918,3252.823,3473.011,3090.260
SRAD,ONDJFM,433.641,839.356,747.724,819.446,748.361,818.944,861.040,759.008,868.441,857.339,816.629,823.547,789.063,782.591,825.657,869.078,863.668,836.809,800.401,771.263,829.192,859.144,852.492,771.461,835.262,866.144,863.964,805.561,742.265,796.337
SRAD,NDJF,189.226,330.365,317.573,348.420,351.739,358.302,359.359,294.678,344.148,365.819,334.966,326.420,340.888,323.076,358.151,368.967,368.141,339.140,332.638,338.778,356.718,355.388,362.806,335.441,326.764,347.218,334.195,341.398,323.441,336.029
WIND,year,2.730,2.459,2.826,2.592,2.511,2.621,2.561,2.688,2.547,2.667,2.476,2.593,2.649,2.528,2.449,2.292,2.428,2.580,2.356,2.273,2.209,2.276,2.168,2.328,2.255,2.189,2.447,2.439,2.263,2.298
WIND,MAMJJASO,2.458,2.340,2.522,2.392,2.368,2.398,2.460,2.395,2.353,2.470,2.307,2.446,2.365,2.358,2.279,2.242,2.375,2.485,2.141,2.141,2.080,2.132,2.113,2.230,2.096,2.099,2.243,2.255,2.219,2.228
WIND,AMJJAS,2.317,2.241,2.308,2.329,2.369,2.294,2.428,2.297,2.215,2.243,2.259,2.322,2.316,2.156,2.202,2.190,2.269,2.288,2.038,1.965,2.033,1.963,2.099,2.160,2.014,2.068,2.250,2.124,2.134,2.129
WIND,ONDJFM,3.203,2.937,3.132,2.996,2.704,2.860,2.720,2.893,3.115,3.117,2.690,2.869,2.950,2.878,3.026,2.303,2.543,2.666,2.739,2.813,2.267,2.669,2.211,2.448,2.571,2.195,2.762,2.666,2.427,2.414
WIND,NDJF,3.296,2.966,3.307,3.165,2.681,3.031,2.882,2.970,3.317,3.083,2.748,2.939,3.130,2.876,3.127,2.350,2.577,2.634,2.706,2.831,2.232,2.810,2.135,2.470,2.660,2.238,2.952,2.751,2.413,2.402
VPD,year,0.347,0.428,0.449,0.343,0.329,0.375,0.322,0.377,0.413,0.389,0.343,0.468,0.360,0.425,0.383,0.313,0.341,0.346,0.388,0.404,0.334,0.433,0.432,0.386,0.424,0.458,0.408,0.417,0.373,0.356
VPD,MAMJJASO,0.458,0.571,0.599,0.445,0.433,0.497,0.427,0.497,0.543,0.504,0.450,0.637,0.471,0.570,0.511,0.415,0.454,0.456,0.521,0.538,0.442,0.580,0.586,0.519,0.572,0.625,0.544,0.549,0.501,0.481
VPD,AMJJAS,0.527,0.667,0.710,0.506,0.511,0.573,0.487,0.580,0.625,0.558,0.522,0.783,0.556,0.686,0.608,0.494,0.537,0.539,0.618,0.625,0.518,0.697,0.718,0.609,0.680,0.758,0.645,0.657,0.615,0.562
VPD,ONDJFM,0.156,0.169,0.191,0.181,0.159,0.159,0.164,0.167,0.205,0.221,0.171,0.165,0.154,0.163,0.164,0.126,0.155,0.152,0.148,0.152,0.176,0.180,0.143,0.146,0.163,0.146,0.207,0.157,0.144,0.141
VPD,NDJF,0.119,0.116,0.154,0.137,0.114,0.121,0.125,0.127,0.143,0.168,0.120,0.123,0.134,0.122,0.141,0.089,0.120,0.126,0.104,0.124,0.124,0.134,0.110,0.121,0.126,0.102,0.153,0.133,0.114,0.109
FWI_FD,year,1.630,3.621,3.325,2.038,1.700,2.119,1.492,2.453,2.796,2.216,1.877,3.706,1.956,2.585,2.222,1.378,1.729,1.530,2.318,2.609,1.216,2.546,2.713,1.909,3.007,2.998,1.939,2.370,2.006,1.438
FWI_FD,MAMJJASO,2.331,4.972,4.634,2.547,2.312,2.923,2.109,3.508,3.940,3.030,2.635,5.416,2.754,3.711,3.204,1.922,2.444,2.174,3.329,3.725,1.688,3.669,3.897,2.733,4.183,4.327,2.792,3.315,2.892,2.061
FWI_FD,AMJJAS,2.789,5.510,5.722,2.915,2.584,3.314,2.327,3.750,4.659,3.128,2.898,6.722,3.311,4.707,3.854,2.300,3.006,2.745,4.170,3.965,1.997,4.731,4.978,3.311,4.657,5.121,3.429,4.208,3.764,2.343
FWI_FD,ONDJFM,0.289,0.628,1.577,1.082,0.955,0.902,0.809,0.679,1.471,1.160,0.898,0.750,0.681,0.514,0.511,0.558,0.599,0.308,0.354,0.369,1.270,0.519,0.386,0.313,0.532,1.291,0.998,0.391,0.433,0.304
FWI_FD,NDJF,0.208,0.221,0.886,0.733,0.883,0.470,0.452,0.297,0.481,0.597,0.301,0.269,0.264,0.255,0.304,0.218,0.318,0.248,0.181,0.241,0.361,0.278,0.227,0.263,0.265,0.578,0.317,0.279,0.343,0.192
FWI_3+,year,5.922,45.178,41.464,15.275,8.582,16.929,5.084,20.066,29.014,13.161,11.953,50.357,18.897,31.895,24.383,6.268,13.705,8.277,25.800,27.115,4.366,33.172,30.769,14.774,33.624,36.399,12.170,24.918,18.255,10.379
FWI_3+,MAMJJASO,5.892,43.452,41.361,14.416,8.172,16.869,5.084,20.056,28.996,12.988,11.927,50.356,18.884,31.847,24.383,6.261,13.683,8.277,25.798,27.078,4.364,33.169,30.769,14.774,32.557,36.398,12.169,24.909,18.255,10.375
FWI_3+,AMJJAS,5.787,37.855,40.723,14.143,7.257,16.321,4.432,17.300,28.242,12.466,10.772,48.824,18.686,31.575,24.282,6.249,13.662,8.235,25.646,22.472,4.359,33.155,30.769,14.489,29.260,34.528,12.165,24.907,18.228,10.365
FWI_3+,ONDJFM,0.002,0.138,7.326,0.769,1.097,1.327,0.604,0.658,2.820,0.944,0.464,1.181,1.544,0.203,0.320,0.098,0.022,0.039,0.042,0.154,4.643,0.009,0.015,0.000,0.284,4.364,1.872,0.004,0.011,0.028
FWI_3+,NDJF,0.001,0.031,1.727,0.138,0.823,0.411,0.059,0.006,0.020,0.174,0.002,0.026,0.013,0.004,0.045,0.000,0.009,0.020,0.000,0.002,0.037,0.002,0.003,0.000,0.000,1.067,0.003,0.000,0.008,0.000
FWI_4+,year,0.043,6.018,5.112,0.722,0.193,0.343,0.056,0.130,2.466,0.796,0.177,10.981,0.205,7.231,2.269,0.094,0.468,0.109,1.993,0.688,0.004,0.567,1.988,0.662,1.002,7.544,0.060,2.137,0.230,0.555
FWI_4+,MAMJJASO,0.043,5.908,5.111,0.715,0.178,0.342,0.056,0.129,2.466,0.791,0.177,10.981,0.205,7.229,2.269,0.094,0.468,0.109,1.993,0.688,0.004,0.567,1.988,0.662,0.995,7.544,0.060,2.137,0.230,0.555
