Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.665,14.147,14.376,14.403,13.188,12.900,13.716,13.970,14.777,14.713,14.125,13.955,13.734,13.967,15.132,13.864,14.910,14.523,14.615,14.365,14.424,14.494,14.936,14.581,14.669,15.007,15.105,14.226,14.168,13.440
TMAX,MAMJJASO,15.936,16.587,16.650,16.959,15.618,15.086,16.000,16.024,17.234,17.170,16.701,16.110,15.729,15.880,17.959,16.397,17.320,16.616,17.015,16.845,16.937,16.562,17.483,16.790,17.119,17.579,17.280,16.429,16.830,16.771
TMAX,AMJJAS,17.366,18.013,18.071,18.596,16.763,15.989,17.591,17.221,18.611,18.436,18.073,17.667,17.170,16.853,19.505,17.843,18.500,17.697,18.278,18.208,18.211,17.742,18.857,18.282,18.230,19.109,18.426,17.875,17.895,18.160
TMAX,ONDJFM,9.680,9.773,10.160,10.375,9.825,9.442,10.229,10.222,11.297,10.971,10.202,10.565,10.351,9.960,11.109,10.336,10.542,11.577,11.103,10.941,9.822,11.638,10.898,10.935,10.920,10.644,11.501,11.606,10.224,9.716
TMAX,NDJF,8.836,8.997,9.010,9.667,8.526,7.919,9.204,9.384,10.559,9.602,8.625,9.681,9.877,9.000,10.397,9.036,8.888,10.507,10.045,9.681,8.738,10.312,9.554,10.007,10.029,9.495,10.327,10.638,8.992,7.936
TMIN,year,7.102,7.050,7.568,6.764,6.550,6.177,6.859,7.298,7.504,7.531,7.371,7.169,7.041,7.359,7.744,6.996,8.147,8.009,8.034,7.485,7.349,7.776,7.776,7.797,8.099,8.076,8.074,7.405,7.488,6.541
TMIN,MAMJJASO,8.825,8.819,9.119,8.551,8.656,7.855,8.447,8.900,9.126,9.374,9.320,8.747,8.396,8.715,9.645,8.769,9.861,9.559,9.861,9.144,9.217,9.048,9.529,9.325,9.900,9.922,9.558,9.073,9.581,9.197
TMIN,AMJJAS,10.023,9.914,10.019,9.655,9.604,8.675,9.806,9.732,9.896,9.921,10.263,9.858,9.638,9.437,10.540,9.520,10.720,10.330,10.902,10.060,9.990,10.043,10.829,10.603,10.632,10.934,10.434,10.326,10.401,10.445
TMIN,ONDJFM,4.020,3.734,4.396,4.558,3.470,3.457,3.976,4.421,5.227,5.347,4.291,5.102,4.488,4.093,5.249,4.802,4.857,6.079,5.260,5.147,4.056,5.760,4.965,4.630,5.520,5.038,5.413,5.555,4.348,3.410
TMIN,NDJF,3.421,3.440,3.391,4.077,2.535,2.212,3.238,3.958,4.760,4.041,2.677,4.376,4.249,3.582,4.953,3.624,3.561,5.220,4.566,4.226,3.297,4.712,4.532,4.168,5.152,4.053,4.594,4.933,3.578,1.948
TAVG,year,10.346,10.575,10.956,10.547,9.852,9.509,10.255,10.603,11.119,11.080,10.720,10.516,10.346,10.651,11.403,10.391,11.512,11.234,11.298,10.890,10.842,11.106,11.358,11.193,11.401,11.516,11.551,10.770,10.785,9.932
TAVG,MAMJJASO,12.336,12.685,12.867,12.725,12.113,11.432,12.188,12.430,13.162,13.233,12.984,12.382,12.008,12.286,13.778,12.550,13.575,13.050,13.410,12.950,13.019,12.749,13.496,13.039,13.507,13.721,13.379,12.704,13.165,12.936
TAVG,AMJJAS,13.652,13.936,14.031,14.095,13.151,12.286,13.660,13.443,14.238,14.141,14.146,13.717,13.350,13.140,15.003,13.643,14.602,13.977,14.572,14.089,14.042,13.836,14.850,14.418,14.435,14.991,14.396,14.062,14.111,14.252
TAVG,ONDJFM,6.811,6.728,7.253,7.444,6.616,6.451,7.088,7.292,8.228,8.124,7.205,7.793,7.375,7.009,8.143,7.528,7.657,8.810,8.152,7.998,6.920,8.675,7.937,7.790,8.238,7.866,8.426,8.532,7.232,6.532
TAVG,NDJF,6.103,6.190,6.172,6.847,5.497,5.070,6.200,6.644,7.629,6.783,5.613,6.985,7.025,6.286,7.640,6.284,6.175,7.852,7.284,6.926,6.005,7.508,7.078,7.116,7.629,6.815,7.437,7.740,6.242,4.907
RH,year,84.725,84.134,84.118,83.188,84.473,83.363,83.836,84.192,82.485,82.795,83.562,83.465,83.732,84.101,83.583,82.396,83.485,84.057,83.377,84.312,84.227,84.687,83.337,83.362,83.935,83.276,84.300,84.968,85.563,83.584
RH,MAMJJASO,83.694,82.635,83.172,80.983,83.552,82.890,82.597,82.906,80.702,81.252,82.337,81.993,82.788,82.396,81.478,80.916,82.171,82.952,81.671,82.751,82.522,83.405,81.658,81.462,82.399,81.691,83.056,83.412,83.900,81.547
RH,AMJJAS,83.130,82.000,82.391,79.762,82.949,82.343,81.819,81.874,79.209,80.298,81.185,81.199,82.538,81.693,80.259,79.583,81.421,82.489,81.259,81.884,81.570,82.707,81.217,80.693,81.565,80.339,82.355,82.908,83.006,80.890
RH,ONDJFM,86.007,86.076,86.044,85.935,86.598,84.966,85.530,86.062,85.952,85.602,86.218,85.451,85.311,85.400,87.350,85.802,84.955,86.050,85.425,86.209,86.874,86.292,86.163,85.843,86.343,86.075,86.676,86.216,87.560,88.659
