Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,12.444,12.861,13.635,12.750,11.200,12.336,11.030,12.957,14.276,13.886,13.348,13.682,12.337,12.906,13.425,12.327,13.108,12.618,14.179,14.223,13.469,13.958,13.048,12.974,13.160,13.957,13.892,13.963,12.975,12.603
TMAX,MAMJJASO,17.199,17.319,18.335,17.563,16.889,17.384,15.813,17.864,18.521,17.805,17.602,17.971,16.793,17.874,18.474,17.566,17.626,17.324,19.301,18.393,18.556,19.248,17.742,17.737,17.808,18.967,18.904,18.104,17.673,18.678
TMAX,AMJJAS,19.919,19.830,21.303,20.327,19.497,19.987,18.461,20.968,21.139,19.859,20.154,21.157,19.557,21.026,21.072,20.439,20.662,20.061,22.353,20.747,21.431,22.904,20.776,20.390,20.944,22.246,21.178,20.618,20.998,22.041
TMAX,ONDJFM,2.413,5.005,6.427,5.264,3.040,4.516,3.431,5.461,6.955,7.588,6.215,7.338,5.495,3.947,6.141,3.501,6.245,5.715,4.707,6.362,7.048,6.648,3.460,5.235,5.156,4.624,7.974,6.700,6.047,3.588
TMAX,NDJF,1.508,2.200,5.045,3.404,-0.222,1.415,1.264,3.728,4.944,5.549,4.216,5.558,4.581,1.625,4.505,0.334,4.199,4.399,1.800,4.658,5.099,4.035,1.246,3.572,3.914,2.217,5.190,5.103,4.120,1.202
TMIN,year,5.480,5.387,6.350,5.702,4.030,5.021,3.552,5.827,7.072,6.910,6.366,6.372,5.230,5.396,5.957,4.288,5.623,5.607,6.270,6.879,6.067,5.893,5.685,5.736,5.189,5.764,6.212,6.841,5.757,5.290
TMIN,MAMJJASO,8.901,8.517,9.679,9.084,9.018,8.839,7.365,9.452,9.860,9.217,9.255,9.054,8.246,8.958,9.652,8.041,8.616,8.949,9.708,9.288,9.835,9.317,8.801,9.073,7.947,8.822,9.617,9.163,8.691,9.792
TMIN,AMJJAS,11.032,10.250,11.680,11.069,10.661,10.608,9.893,11.840,11.335,10.573,10.967,11.141,10.173,11.044,11.197,10.205,10.721,11.273,11.630,10.797,12.004,11.611,11.122,10.865,10.660,11.124,11.117,10.573,10.776,12.575
TMIN,ONDJFM,-2.982,-0.363,1.571,0.207,-2.141,-0.750,-2.576,0.678,1.791,2.632,1.634,2.499,0.782,-1.017,1.545,-2.747,0.930,0.793,-0.623,1.810,2.151,1.198,-1.879,0.621,-0.040,-1.071,2.355,2.702,1.614,-1.189
TMIN,NDJF,-2.951,-2.667,0.743,-0.985,-5.508,-3.555,-3.998,-0.345,0.281,1.234,0.260,1.432,0.462,-2.989,0.370,-5.016,-0.504,0.370,-2.815,0.641,1.347,-0.726,-3.485,-0.391,-0.327,-1.988,0.428,1.960,0.218,-2.759
TAVG,year,8.801,8.994,9.853,9.070,7.459,8.540,7.109,9.206,10.510,10.230,9.688,9.901,8.632,9.003,9.500,8.155,9.263,8.933,10.132,10.370,9.610,9.872,9.245,9.233,9.240,9.982,10.104,10.451,9.421,8.932
TAVG,MAMJJASO,12.785,12.707,13.779,13.121,12.694,12.894,11.296,13.409,13.960,13.297,13.174,13.330,12.297,13.208,13.787,12.557,12.961,12.881,14.361,13.573,13.957,14.167,13.082,13.197,12.955,14.033,14.293,13.691,13.218,14.197
TAVG,AMJJAS,15.189,14.828,16.257,15.473,14.796,15.099,13.895,16.157,16.031,15.025,15.337,15.997,14.649,15.867,15.868,15.070,15.548,15.406,16.892,15.514,16.443,17.200,15.764,15.430,15.918,16.846,16.209,15.705,15.943,17.281
TAVG,ONDJFM,-0.293,2.264,3.945,2.690,0.376,1.837,0.385,2.920,4.224,4.991,3.816,4.792,3.073,1.363,3.659,0.379,3.498,3.177,1.911,4.042,4.508,3.858,0.731,2.905,2.578,1.796,5.200,4.740,3.864,1.224
TAVG,NDJF,-0.665,-0.177,2.908,1.204,-2.885,-1.009,-1.322,1.615,2.593,3.336,2.244,3.495,2.527,-0.720,2.360,-2.251,1.884,2.365,-0.551,2.693,3.190,1.699,-1.072,1.630,1.832,0.186,2.904,3.589,2.252,-0.729
RH,year,76.600,74.780,74.208,75.355,75.706,75.740,75.036,75.262,76.581,76.579,77.295,74.496,73.767,74.121,74.144,72.500,73.098,74.983,72.510,74.777,75.537,71.096,75.368,76.586,74.853,73.562,76.230,75.179,76.523,78.160
RH,MAMJJASO,74.405,72.262,72.795,74.370,75.612,74.582,73.106,74.239,74.789,73.943,76.044,71.483,72.711,71.713,72.443,70.141,70.444,73.053,69.070,71.813,73.774,67.440,72.048,73.349,72.076,69.724,73.225,72.061,73.247,75.623
RH,AMJJAS,73.643,70.722,71.091,73.322,74.005,73.655,73.870,72.465,72.912,73.534,74.941,69.397,71.100,70.296,70.728,68.735,68.092,73.364,67.016,70.940,73.021,64.496,71.369,70.692,71.108,66.596,71.147,68.888,70.332,74.239
RH,ONDJFM,75.731,80.689,78.660,75.802,77.332,78.375,76.630,78.635,78.325,79.223,79.912,80.178,79.045,76.461,77.959,74.713,77.538,78.843,77.472,77.537,77.738,79.827,76.238,82.163,80.430,78.868,80.684,82.453,82.300,82.731
RH,NDJF,78.077,81.920,78.595,75.920,75.774,78.264,77.966,78.757,78.893,81.099,80.666,80.929,79.100,76.354,79.225,75.902,78.088,80.169,79.364,78.432,80.324,80.762,78.205,82.488,81.955,80.613,81.666,82.466,83.080,82.637
RHmin,year,61.983,59.788,59.708,60.919,60.590,60.717,59.355,60.518,61.684,62.156,62.437,60.314,59.452,59.378,59.123,57.091,58.754,60.614,57.834,60.193,60.435,56.790,60.773,61.850,59.890,58.900,61.587,61.829,62.742,63.305
RHmin,MAMJJASO,57.652,55.467,56.203,57.647,59.455,57.701,56.024,57.598,57.686,57.105,58.889,55.160,56.145,55.132,55.551,52.767,54.031,56.644,52.424,54.623,56.729,50.945,55.218,56.664,54.418,52.804,56.505,56.272,56.995,58.678
RHmin,AMJJAS,56.196,53.086,53.462,55.627,56.550,55.746,56.639,55.245,54.520,55.919,56.790,52.168,53.790,52.639,52.742,50.730,51.029,56.425,49.364,52.798,55.022,46.971,53.729,53.345,53.512,49.282,53.681,52.263,52.824,57.012
RHmin,ONDJFM,63.872,67.885,67.409,64.494,65.120,66.179,63.202,67.109,65.988,67.414,68.712,68.467,67.640,64.973,66.732,61.323,65.375,67.457,65.193,66.966,66.736,67.158,64.406,70.806,68.485,66.252,68.248,72.880,71.738,71.030
RHmin,NDJF,67.795,70.078,68.563,65.960,63.570,66.739,65.747,68.703,67.760,70.327,70.935,70.879,69.184,65.697,68.911,63.956,67.364,70.530,68.077,68.984,71.144,69.477,67.305,72.638,71.748,70.774,70.580,74.737,73.612,72.645
PREC,year,855.704,583.121,733.643,652.352,741.525,783.079,707.437,728.166,710.804,874.321,713.691,679.197,774.723,724.105,749.529,622.909,800.724,896.103,700.334,707.530,859.147,622.213,672.750,738.988,665.563,574.470,797.071,756.347,630.814,447.588
PREC,MAMJJASO,608.417,426.377,489.769,493.510,574.296,563.315,504.060,538.299,534.093,609.643,495.835,436.718,553.737,517.980,553.544,401.544,590.810,682.970,427.647,515.422,615.573,382.534,502.025,553.815,508.692,412.158,552.287,547.080,449.733,315.632
PREC,AMJJAS,423.582,345.177,354.604,395.651,476.334,473.207,466.677,451.981,383.773,479.632,416.524,326.995,444.894,376.424,444.515,317.764,421.717,547.065,306.167,406.127,507.889,268.326,422.159,394.675,436.410,301.026,438.768,368.418,320.324,264.494
PREC,ONDJFM,153.298,368.940,336.545,306.166,240.398,303.638,269.125,253.025,296.035,405.893,312.593,353.346,355.882,308.928,384.085,196.858,323.523,437.410,360.455,364.471,284.887,407.816,225.079,323.331,306.129,201.771,365.695,367.612,333.085,255.396
PREC,NDJF,80.149,218.077,214.940,227.852,125.839,198.983,203.559,181.734,206.984,250.963,205.748,260.089,256.275,157.957,259.220,141.008,230.597,259.639,234.447,199.614,209.558,292.931,137.179,196.839,178.207,125.115,259.548,203.270,189.758,145.909
SRAD,year,3361.346,3670.979,3510.994,3424.954,3348.445,3598.880,3420.133,3583.824,3580.357,3542.576,3508.315,3584.157,3513.172,3688.975,3704.710,3686.659,3695.220,3396.369,3774.034,3647.393,3600.939,3957.525,3651.275,3555.138,3802.566,3893.619,3668.294,3593.360,3750.297,3672.582
SRAD,MAMJJASO,3165.871,3468.399,3288.592,3228.687,3125.270,3370.276,3197.419,3377.739,3375.659,3362.835,3317.475,3383.628,3296.320,3459.520,3482.370,3455.517,3495.944,3186.807,3580.220,3463.539,3374.950,3754.320,3457.721,3338.554,3580.448,3674.154,3444.947,3389.982,3555.344,3465.261
SRAD,AMJJAS,2803.121,3045.772,2960.381,2858.589,2812.817,2980.941,2752.182,3003.516,3055.286,2951.846,2961.128,3053.296,2943.239,3094.477,3137.133,3027.071,3112.706,2755.294,3191.313,3047.615,2982.390,3367.328,3036.969,2972.143,3122.371,3277.245,3049.523,3039.777,3218.575,3036.982
SRAD,ONDJFM,357.790,609.381,545.394,588.400,515.885,605.903,638.751,551.806,602.064,579.640,548.855,543.816,543.602,595.256,548.211,696.903,607.378,582.927,623.860,572.424,622.848,607.391,636.756,543.748,644.314,681.962,615.386,532.803,547.997,591.015
SRAD,NDJF,128.083,199.713,210.982,211.415,209.760,239.066,217.612,191.187,225.115,180.452,193.920,195.679,204.661,227.685,210.032,245.694,216.530,185.949,206.963,200.455,192.826,212.652,213.654,195.457,231.949,221.642,223.305,189.674,210.360,207.461
WIND,year,2.881,2.818,3.063,2.837,2.857,3.050,2.943,3.076,3.054,3.150,2.874,2.957,3.006,2.871,2.887,2.667,2.797,2.843,2.759,2.755,2.631,2.725,2.655,2.644,2.640,2.593,2.786,2.798,2.574,2.505
WIND,MAMJJASO,2.808,2.784,2.903,2.724,2.908,2.995,2.975,2.954,2.920,3.043,2.749,2.911,2.800,2.898,2.846,2.655,2.755,2.798,2.629,2.660,2.552,2.614,2.659,2.653,2.537,2.535,2.714,2.663,2.596,2.549
WIND,AMJJAS,2.701,2.752,2.749,2.637,2.874,2.895,2.913,2.904,2.796,2.780,2.762,2.842,2.743,2.744,2.736,2.675,2.685,2.683,2.564,2.471,2.527,2.484,2.644,2.601,2.523,2.481,2.745,2.508,2.572,2.463
WIND,ONDJFM,3.213,2.884,3.143,3.269,2.838,3.033,3.066,3.180,3.452,3.477,3.033,3.106,3.184,3.100,3.174,2.616,2.953,2.860,2.826,3.183,2.735,3.028,2.682,2.687,2.793,2.550,2.947,3.050,2.612,2.609
WIND,NDJF,3.183,2.755,3.321,3.325,2.637,2.988,3.068,3.182,3.505,3.342,3.014,3.164,3.317,2.955,3.147,2.600,2.975,2.903,2.711,3.187,2.704,3.093,2.604,2.652,2.840,2.545,3.020,3.142,2.530,2.508
VPD,year,0.333,0.371,0.401,0.343,0.318,0.342,0.310,0.366,0.368,0.341,0.334,0.420,0.360,0.394,0.396,0.393,0.415,0.348,0.450,0.381,0.370,0.487,0.372,0.348,0.378,0.439,0.378,0.389,0.356,0.360
VPD,MAMJJASO,0.438,0.484,0.517,0.442,0.417,0.446,0.405,0.474,0.470,0.435,0.425,0.554,0.456,0.523,0.519,0.522,0.548,0.452,0.601,0.493,0.485,0.659,0.496,0.463,0.493,0.593,0.505,0.508,0.475,0.493
VPD,AMJJAS,0.511,0.569,0.616,0.514,0.492,0.518,0.454,0.562,0.554,0.487,0.495,0.669,0.538,0.622,0.611,0.621,0.664,0.516,0.716,0.559,0.573,0.805,0.584,0.554,0.581,0.727,0.591,0.608,0.581,0.592
VPD,ONDJFM,0.145,0.149,0.179,0.186,0.150,0.157,0.158,0.173,0.194,0.195,0.167,0.180,0.165,0.165,0.182,0.171,0.180,0.162,0.173,0.191,0.196,0.173,0.162,0.137,0.152,0.162,0.184,0.151,0.152,0.119
