Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.601,16.114,16.590,15.353,15.048,16.344,15.490,15.683,16.256,17.061,15.259,16.313,15.872,17.568,15.921,15.094,15.182,15.943,16.717,17.887,16.656,17.181,16.568,16.290,15.715,16.467,17.790,17.486,17.627,16.731
TMAX,MAMJJASO,21.139,21.383,22.101,20.307,20.777,22.203,20.706,20.961,21.137,22.082,20.442,21.786,21.198,22.910,21.255,20.019,19.587,21.107,22.060,23.146,22.351,22.269,22.156,21.531,20.848,21.868,23.263,22.466,23.014,21.644
TMAX,AMJJAS,23.126,24.044,24.597,22.638,23.628,25.172,24.249,23.833,23.263,23.745,22.799,24.551,23.833,25.767,23.567,23.207,22.237,24.004,24.899,25.892,24.311,24.760,25.830,23.858,23.674,24.404,26.146,24.802,26.228,24.798
TMAX,ONDJFM,5.918,7.422,9.721,7.247,6.625,8.035,6.457,8.331,8.176,9.841,8.919,7.516,7.530,9.593,8.771,5.994,8.578,8.687,7.638,7.879,11.360,9.213,7.249,7.793,8.363,7.602,11.154,8.369,9.375,8.836
TMAX,NDJF,2.786,4.110,6.822,4.759,2.804,5.362,4.275,6.363,4.872,6.567,5.663,4.735,5.112,6.314,6.472,3.061,6.344,7.490,4.264,5.132,8.580,5.413,4.540,5.547,5.759,4.709,8.488,5.409,6.720,6.268
TMIN,year,6.124,6.071,6.073,5.874,4.996,5.890,5.631,6.223,6.715,6.404,6.069,6.094,5.745,7.500,6.306,6.094,5.934,6.371,7.090,6.689,6.880,7.382,6.372,6.712,6.391,6.646,7.607,7.441,7.399,7.343
TMIN,MAMJJASO,10.279,10.263,10.130,9.401,9.431,9.972,9.286,10.044,10.500,9.624,10.165,10.044,9.927,11.305,10.272,9.749,9.103,10.518,11.173,10.329,11.280,11.323,10.436,10.493,10.343,10.716,11.344,11.136,11.036,11.207
TMIN,AMJJAS,11.874,12.379,12.386,11.152,11.799,12.340,12.061,12.446,12.391,11.244,12.128,12.091,11.865,13.596,12.371,12.319,11.589,12.883,13.475,12.591,12.925,13.576,13.143,12.333,12.930,12.986,13.464,13.082,13.190,14.015
TMIN,ONDJFM,-1.674,-0.559,1.183,-0.696,-1.604,0.247,-1.916,1.310,0.044,1.062,0.786,-0.358,-0.570,1.528,0.803,-1.331,0.876,0.521,0.050,-0.174,2.167,0.657,-0.537,0.349,0.658,-0.314,2.442,0.929,1.425,1.386
TMIN,NDJF,-3.970,-3.152,-0.639,-2.305,-4.690,-1.199,-3.090,0.153,-1.938,-1.000,-1.153,-2.331,-2.527,-0.722,-0.765,-3.023,-0.474,0.029,-2.418,-2.211,0.608,-1.963,-2.533,-1.333,-0.803,-2.455,1.135,-1.177,-0.294,-0.233
TAVG,year,10.489,10.566,10.912,10.192,9.590,10.714,10.173,10.575,11.082,11.292,10.208,10.871,10.392,12.091,10.704,10.218,10.122,10.731,11.417,11.835,11.270,11.819,11.054,11.041,10.571,10.974,12.291,11.963,12.052,11.474
TAVG,MAMJJASO,15.270,15.287,15.631,14.400,14.632,15.647,14.575,15.117,15.386,15.415,14.805,15.585,15.147,16.641,15.303,14.542,13.896,15.394,16.123,16.315,16.298,16.314,15.906,15.513,15.096,15.664,16.882,16.294,16.532,15.807
TAVG,AMJJAS,17.145,17.746,18.073,16.512,17.328,18.383,17.819,17.848,17.457,17.174,17.046,18.060,17.515,19.305,17.614,17.532,16.552,18.098,18.763,18.981,18.193,18.739,19.192,17.703,17.869,18.154,19.468,18.549,19.288,18.853
TAVG,ONDJFM,1.714,2.974,4.950,2.850,2.016,3.667,1.821,4.369,3.667,4.970,4.278,3.167,3.047,5.038,4.312,1.836,4.222,4.049,3.361,3.342,6.024,4.406,2.871,3.565,3.982,3.057,6.216,4.143,4.798,4.618
TAVG,NDJF,-0.887,0.148,2.715,0.906,-1.319,1.743,0.244,2.867,1.166,2.389,1.801,0.913,0.916,2.375,2.497,-0.337,2.534,3.253,0.537,1.053,3.937,1.333,0.611,1.664,2.050,0.645,4.358,1.720,2.734,2.647
RH,year,74.864,76.215,72.211,76.385,74.162,72.991,73.869,75.237,72.606,71.340,77.674,68.552,69.245,71.119,74.660,74.271,73.656,71.954,72.873,66.348,70.557,70.785,70.087,72.874,75.452,73.619,70.041,73.061,74.270,77.055
RH,MAMJJASO,72.023,73.946,68.631,72.532,70.378,69.020,69.676,71.836,71.020,66.809,76.192,65.290,66.811,67.461,71.184,70.468,70.730,69.739,70.608,60.910,67.820,68.595,65.012,69.962,72.829,71.464,65.760,70.728,70.005,74.222
RH,AMJJAS,70.155,71.440,68.472,70.502,67.681,66.297,66.629,70.027,70.089,67.145,74.789,63.196,63.655,65.515,70.154,67.006,70.561,68.965,69.638,58.194,66.734,67.993,61.502,67.866,72.847,69.829,62.490,69.054,66.477,73.631
RH,ONDJFM,78.274,80.447,77.644,81.087,81.586,80.555,78.735,81.629,76.767,73.772,79.598,76.537,74.158,76.315,78.146,81.914,77.081,75.079,76.455,75.753,74.921,71.593,78.032,78.167,78.413,77.830,76.556,76.590,81.484,81.517
RH,NDJF,78.612,81.364,79.311,82.809,82.689,82.544,80.152,83.424,78.136,77.251,81.138,77.937,72.583,79.396,78.816,83.773,79.099,77.643,77.855,77.248,77.371,73.883,80.134,78.656,80.196,79.173,77.909,77.390,82.491,83.517
RHmin,year,55.698,55.083,52.083,56.731,53.991,53.060,54.478,56.059,53.762,51.542,57.713,50.184,50.513,52.202,55.295,56.096,54.956,53.267,53.652,47.080,51.751,52.179,51.238,53.899,55.998,53.504,51.506,53.219,54.214,56.873
RHmin,MAMJJASO,51.637,52.247,47.666,51.865,49.695,47.848,49.294,51.655,51.253,45.924,55.195,46.079,47.643,47.544,50.781,51.662,51.072,50.593,50.501,41.547,48.253,49.184,45.910,49.778,52.561,50.143,46.169,50.016,48.702,53.365
RHmin,AMJJAS,50.233,50.194,47.657,49.901,47.536,45.586,46.724,50.218,50.637,46.526,54.074,44.155,44.860,45.954,50.308,48.946,51.257,49.798,49.495,39.812,47.545,48.747,42.717,48.139,52.776,49.150,43.261,49.017,45.158,52.936
RHmin,ONDJFM,59.828,60.840,58.096,61.755,60.967,61.741,58.926,63.894,58.248,55.194,60.043,58.331,56.042,57.971,59.420,63.211,59.213,56.702,58.732,57.074,54.369,53.750,59.470,60.009,59.953,58.634,56.829,59.222,61.337,62.930
RHmin,NDJF,61.552,62.852,61.262,64.506,62.910,65.457,61.777,66.713,61.637,59.384,63.361,60.912,55.548,61.930,61.388,67.053,62.409,59.891,61.302,59.369,57.865,57.298,62.324,61.281,63.370,60.993,60.308,61.308,63.899,66.251
PREC,year,750.896,593.011,507.377,678.675,614.963,491.086,540.484,659.887,573.705,483.001,712.128,520.904,622.305,540.353,703.108,649.130,733.854,730.009,715.502,381.161,708.683,614.671,476.850,636.185,804.207,627.480,696.004,649.075,648.305,841.106
PREC,MAMJJASO,545.473,472.762,410.352,501.790,432.560,361.169,368.782,504.109,503.138,349.684,616.787,427.749,479.409,446.034,491.600,477.889,620.673,620.268,514.217,293.515,587.092,511.574,379.904,447.900,633.780,540.390,541.277,542.164,467.297,641.576
PREC,AMJJAS,423.006,404.999,369.522,424.127,413.497,308.062,293.091,396.746,446.394,284.393,532.242,334.111,391.290,346.261,445.347,421.045,529.493,505.454,442.972,242.517,512.755,441.575,263.960,385.705,580.324,451.403,407.750,435.441,326.482,550.120
PREC,ONDJFM,126.902,301.914,168.882,213.143,192.282,225.372,179.400,295.207,149.811,137.187,195.948,174.171,236.924,196.028,241.508,236.604,202.305,223.846,253.974,257.234,144.024,141.477,196.204,261.687,247.861,223.103,178.311,246.252,260.483,334.983
PREC,NDJF,70.637,194.420,117.639,142.683,159.932,191.489,102.763,189.251,96.072,92.147,122.987,91.807,95.026,146.902,127.393,206.070,140.002,127.733,151.063,161.602,85.992,98.669,130.423,135.461,181.025,139.261,109.439,107.673,153.235,201.214
SRAD,year,4860.905,5065.952,4987.963,4763.981,4934.219,5023.085,4906.455,4866.136,4985.702,5262.705,4653.398,5227.266,5124.289,4928.111,4867.746,4750.021,4860.258,4858.870,4875.421,5260.900,4900.846,4910.866,5212.237,4913.472,4845.458,4952.076,5085.332,4829.167,4935.324,4626.209
SRAD,MAMJJASO,4233.516,4362.637,4306.480,4181.419,4293.510,4400.369,4289.981,4239.514,4288.109,4577.957,4023.762,4484.003,4382.629,4270.959,4212.063,4121.733,4193.901,4149.359,4221.968,4567.397,4230.900,4233.961,4539.949,4263.853,4230.840,4272.136,4466.349,4164.543,4364.865,4035.941
SRAD,AMJJAS,3568.360,3681.367,3578.016,3542.724,3622.020,3717.731,3623.596,3575.240,3543.798,3765.086,3411.794,3801.886,3719.289,3572.672,3517.396,3502.565,3461.967,3474.817,3566.615,3822.827,3545.025,3556.828,3855.680,3582.839,3497.456,3592.936,3797.077,3461.153,3781.303,3374.227
SRAD,ONDJFM,723.961,1346.033,1375.613,1270.487,1315.404,1273.665,1346.622,1217.748,1438.082,1536.293,1286.758,1382.656,1418.008,1355.482,1345.981,1280.153,1382.837,1395.428,1310.644,1367.890,1355.665,1438.996,1344.595,1289.617,1348.365,1317.874,1393.774,1307.299,1239.722,1199.654
SRAD,NDJF,362.154,669.733,668.904,612.982,660.456,577.643,669.503,588.294,683.124,729.109,632.795,687.257,773.392,638.589,704.618,607.071,681.794,686.918,655.299,681.384,676.027,696.824,648.475,651.102,628.647,652.149,652.385,661.665,591.743,556.491
WIND,year,2.246,2.119,2.145,2.277,2.242,2.005,2.071,1.885,1.807,1.788,1.886,2.138,2.154,2.016,1.889,1.803,1.878,2.066,2.104,2.277,2.156,2.258,2.280,2.284,2.221,2.203,2.401,2.290,2.235,2.328
WIND,MAMJJASO,2.023,2.052,2.080,2.255,2.163,1.928,2.105,1.817,1.704,1.777,1.819,2.093,2.054,2.033,1.814,1.848,1.913,2.113,2.063,2.288,2.105,2.222,2.293,2.223,2.207,2.248,2.330,2.214,2.241,2.275
WIND,AMJJAS,1.940,1.914,1.962,2.260,2.208,1.970,2.169,1.781,1.668,1.689,1.811,1.907,2.007,1.945,1.847,1.890,1.890,2.001,2.019,2.255,2.078,2.071,2.255,2.207,2.174,2.217,2.364,2.158,2.175,2.229
WIND,ONDJFM,2.416,2.598,2.436,2.183,2.345,2.158,1.972,1.938,1.886,2.038,1.808,2.241,2.315,2.206,2.109,1.740,1.808,1.995,2.101,2.319,2.326,2.230,2.306,2.452,2.298,2.198,2.430,2.362,2.295,2.371
WIND,NDJF,2.480,2.631,2.352,2.235,2.377,2.327,2.057,1.877,2.013,2.017,1.868,2.188,2.245,2.154,2.064,1.854,1.765,1.895,2.018,2.241,2.299,2.242,2.262,2.426,2.314,2.112,2.478,2.351,2.297,2.348
VPD,year,0.460,0.434,0.518,0.436,0.484,0.523,0.518,0.482,0.488,0.552,0.388,0.603,0.583,0.609,0.481,0.498,0.450,0.522,0.515,0.724,0.570,0.565,0.627,0.500,0.431,0.491,0.648,0.549,0.543,0.455
VPD,MAMJJASO,0.615,0.577,0.694,0.590,0.660,0.714,0.710,0.653,0.630,0.740,0.512,0.806,0.775,0.819,0.645,0.671,0.589,0.687,0.681,0.986,0.759,0.734,0.865,0.665,0.571,0.651,0.876,0.722,0.739,0.601
VPD,AMJJAS,0.712,0.691,0.789,0.681,0.785,0.851,0.869,0.779,0.721,0.816,0.594,0.956,0.914,0.976,0.743,0.818,0.673,0.807,0.793,1.173,0.865,0.849,1.063,0.779,0.654,0.763,1.059,0.854,0.899,0.708
VPD,ONDJFM,0.180,0.189,0.230,0.184,0.178,0.200,0.187,0.182,0.228,0.287,0.216,0.215,0.238,0.269,0.220,0.166,0.229,0.252,0.221,0.230,0.293,0.309,0.201,0.202,0.210,0.203,0.263,0.231,0.193,0.196
VPD,NDJF,0.138,0.133,0.175,0.128,0.111,0.136,0.139,0.138,0.166,0.192,0.146,0.158,0.207,0.173,0.181,0.106,0.179,0.203,0.159,0.170,0.211,0.215,0.148,0.159,0.156,0.147,0.207,0.177,0.150,0.137
FWI_FD,year,2.404,2.741,4.072,2.547,3.513,4.486,4.045,2.850,2.914,4.335,1.758,4.664,3.854,4.496,2.592,3.027,1.992,2.744,2.738,7.401,3.621,3.930,5.302,3.146,2.243,3.091,4.721,3.714,4.254,2.315
FWI_FD,MAMJJASO,3.391,3.499,5.413,3.409,4.906,6.021,5.847,4.004,3.681,6.065,2.375,6.531,5.180,6.246,3.692,4.182,2.655,3.745,3.745,9.742,4.664,5.148,7.613,4.390,2.917,3.988,6.634,4.954,6.121,3.097
FWI_FD,AMJJAS,4.084,4.013,5.706,3.820,5.209,6.820,7.183,4.760,4.172,6.524,2.665,7.916,5.950,7.486,3.930,5.147,2.898,4.498,4.287,11.319,5.256,5.674,9.733,5.307,3.077,4.560,8.167,5.965,7.568,3.720
FWI_FD,ONDJFM,0.414,0.687,2.180,1.704,1.307,1.817,2.105,0.900,1.550,2.169,1.254,1.229,1.213,1.884,1.150,0.963,1.345,1.203,0.712,1.101,4.027,2.738,0.857,0.850,0.933,1.274,2.277,1.060,1.021,0.954
FWI_FD,NDJF,0.251,0.387,1.380,1.192,0.745,0.677,1.415,0.401,0.975,1.199,0.626,0.573,1.251,0.721,0.846,0.185,0.869,0.857,0.390,0.720,3.360,1.581,0.536,0.625,0.655,0.832,1.796,0.589,0.862,0.371
FWI_3+,year,14.686,13.731,35.160,14.377,34.540,51.207,46.656,25.433,20.724,47.645,4.465,51.279,37.621,53.127,17.769,27.592,8.506,25.294,23.651,90.474,29.824,38.368,69.380,25.393,9.124,21.261,50.427,36.657,53.411,16.602
FWI_3+,MAMJJASO,14.381,12.481,34.436,14.016,33.707,50.541,46.546,25.306,19.786,47.286,4.389,50.934,36.444,52.884,17.679,27.400,8.233,25.165,23.405,83.880,28.938,37.487,69.284,25.305,8.995,20.972,50.060,36.544,53.392,16.091
FWI_3+,AMJJAS,14.128,11.148,30.754,13.508,26.168,42.655,45.181,24.970,19.101,41.745,4.142,49.829,33.038,50.972,17.219,27.183,8.030,24.338,21.300,74.176,28.414,33.465,68.744,25.131,8.190,19.688,49.638,36.386,50.071,15.972
FWI_3+,ONDJFM,0.117,0.474,4.430,2.655,0.842,8.368,8.503,1.451,1.464,4.996,1.629,1.208,1.244,5.023,1.033,0.454,0.541,1.199,0.240,2.262,17.034,5.363,0.268,0.648,0.146,0.909,2.158,0.342,0.135,3.362
FWI_3+,NDJF,0.035,0.295,1.280,0.791,0.264,0.893,0.618,0.088,0.547,0.805,0.104,0.212,0.948,0.495,0.211,0.035,0.268,0.280,0.055,0.266,7.183,1.086,0.049,0.111,0.077,0.124,0.640,0.046,0.084,0.019
FWI_4+,year,0.680,0.280,3.589,1.095,3.239,5.018,9.622,3.582,1.088,5.603,0.201,12.276,4.910,9.246,0.840,3.241,0.257,3.296,0.412,29.459,3.913,3.158,17.863,2.552,0.066,0.585,13.056,7.196,2.025,0.325
FWI_4+,MAMJJASO,0.623,0.240,3.510,1.057,3.212,4.925,9.607,3.555,0.915,5.545,0.179,12.229,4.723,9.201,0.831,3.221,0.229,3.274,0.378,29.305,3.883,3.058,17.856,2.545,0.058,0.577,13.037,7.184,2.021,0.264
FWI_4+,AMJJAS,0.608,0.098,3.080,1.029,3.095,4.762,9.387,3.539,0.880,5.413,0.140,12.112,4.519,9.060,0.802,3.210,0.226,3.219,0.354,29.088,3.849,2.547,17.841,2.523,0.041,0.552,13.027,7.175,1.992,0.264
FWI_4+,ONDJFM,0.020,0.060,0.514,0.184,0.074,0.151,0.241,0.225,0.174,0.205,0.091,0.159,0.175,0.333,0.111,0.036,0.042,0.079,0.030,0.055,0.378,0.637,0.017,0.044,0.009,0.021,0.058,0.011,0.012,0.033
FWI_4+,NDJF,0.009,0.055,0.050,0.077,0.026,0.054,0.077,0.007,0.128,0.116,0.024,0.046,0.150,0.065,0.033,0.009,0.030,0.027,0.010,0.041,0.158,0.112,0.004,0.007,0.006,0.006,0.025,0.005,0.009,0.004
FWI_5+,year,0.049,0.063,0.276,0.089,0.369,0.214,0.963,0.296,0.112,0.188,0.030,1.941,0.443,0.609,0.026,0.475,0.030,0.104,0.029,5.224,0.213,0.313,1.141,0.069,0.007,0.015,1.973,0.461,0.016,0.023
FWI_5+,MAMJJASO,0.035,0.055,0.256,0.079,0.364,0.191,0.961,0.288,0.068,0.179,0.023,1.924,0.386,0.591,0.025,0.470,0.024,0.101,0.018,5.210,0.207,0.282,1.140,0.069,0.005,0.012,1.967,0.457,0.015,0.006
FWI_5+,AMJJAS,0.033,0.020,0.199,0.076,0.345,0.186,0.912,0.288,0.061,0.160,0.015,1.887,0.352,0.552,0.016,0.470,0.023,0.091,0.015,5.194,0.201,0.176,1.136,0.062,0.001,0.012,1.967,0.454,0.015,0.006
FWI_5+,ONDJFM,0.003,0.016,0.096,0.025,0.016,0.029,0.017,0.050,0.042,0.039,0.010,0.057,0.055,0.071,0.028,0.012,0.006,0.016,0.004,0.016,0.029,0.139,0.005,0.011,0.001,0.005,0.008,0.003,0.004,0.001
FWI_5+,NDJF,0.003,0.014,0.008,0.020,0.006,0.018,0.011,0.001,0.035,0.023,0.004,0.021,0.049,0.021,0.007,0.003,0.005,0.006,0.002,0.013,0.013,0.033,0.001,0.001,0.000,0.002,0.008,0.001,0.003,0.001
FWI_6,year,0.003,0.028,0.064,0.012,0.092,0.028,0.088,0.035,0.037,0.027,0.008,0.288,0.095,0.086,0.002,0.123,0.005,0.012,0.009,0.546,0.023,0.077,0.071,0.005,0.001,0.005,0.069,0.045,0.001,0.011
FWI_6,MAMJJASO,0.002,0.024,0.060,0.009,0.090,0.021,0.088,0.034,0.029,0.024,0.004,0.282,0.073,0.080,0.002,0.121,0.003,0.011,0.003,0.542,0.022,0.063,0.070,0.005,0.001,0.004,0.067,0.044,0.001,0.001
FWI_6,AMJJAS,0.001,0.007,0.047,0.007,0.086,0.020,0.082,0.034,0.026,0.021,0.004,0.264,0.066,0.071,0.001,0.121,0.003,0.009,0.003,0.533,0.021,0.025,0.070,0.003,0.000,0.004,0.067,0.044,0.001,0.001
