Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.435,15.257,15.612,14.127,13.727,14.916,14.018,14.736,15.350,15.456,14.550,15.937,15.310,16.342,15.119,14.134,14.779,15.222,15.610,16.784,15.310,16.183,16.193,15.002,15.232,16.079,16.699,16.572,16.296,15.130
TMAX,MAMJJASO,19.608,20.308,20.701,18.478,18.979,20.286,18.844,19.499,20.035,19.927,19.444,20.984,20.232,21.181,20.106,18.850,19.213,19.897,20.963,21.586,20.573,21.029,21.358,19.882,20.331,21.229,21.819,20.774,21.470,19.933
TMAX,AMJJAS,21.689,22.744,23.450,20.579,21.276,22.781,21.791,22.216,22.007,21.508,21.750,24.182,22.891,24.106,22.347,21.449,21.802,22.703,23.697,23.976,22.536,23.858,24.849,22.140,22.888,23.925,24.540,23.191,24.925,22.616
TMAX,ONDJFM,5.822,6.714,8.539,7.061,6.442,7.076,6.013,7.949,7.872,9.508,8.044,7.489,7.135,8.763,7.889,6.517,7.923,8.632,6.969,7.148,10.280,8.565,7.105,7.329,7.689,7.186,10.821,8.113,8.610,7.841
TMAX,NDJF,3.011,3.581,6.131,4.831,3.192,4.256,3.870,6.129,4.644,6.587,4.921,5.304,5.293,6.050,6.288,3.397,5.387,7.426,3.937,4.772,7.638,4.888,4.774,5.676,5.201,4.346,8.204,5.962,6.417,5.596
TMIN,year,5.295,5.468,5.649,5.094,4.444,4.692,4.612,5.379,5.878,5.583,5.248,5.743,5.175,6.510,5.755,5.067,5.282,5.980,6.383,6.568,6.100,6.529,5.533,5.816,5.434,5.945,6.699,7.031,6.507,6.239
TMIN,MAMJJASO,9.229,9.089,9.275,8.148,8.471,8.390,8.134,8.511,9.187,8.268,8.970,8.993,8.540,9.629,9.172,8.626,8.129,9.680,10.037,9.576,10.176,9.994,9.093,9.216,9.080,9.499,9.812,9.913,9.920,9.876
TMIN,AMJJAS,10.603,10.842,11.196,9.714,10.278,10.462,10.469,10.644,10.856,9.736,10.650,11.089,10.179,11.645,10.892,10.738,10.406,11.801,12.018,11.035,11.588,12.160,11.561,10.871,11.416,11.683,11.675,11.707,11.906,12.483
TMIN,ONDJFM,-1.966,-0.738,1.659,-0.721,-1.087,-0.616,-2.227,1.533,0.156,1.027,0.411,0.016,-0.450,1.793,0.966,-1.098,0.146,0.858,0.210,0.317,2.670,0.618,-0.663,0.093,0.160,-0.926,2.998,0.944,1.549,0.793
TMIN,NDJF,-4.369,-3.179,0.094,-2.256,-3.960,-2.356,-3.282,0.688,-1.624,-0.705,-1.613,-1.318,-1.813,-0.092,-0.017,-2.922,-1.473,0.720,-2.230,-1.441,0.959,-1.940,-2.401,-1.000,-1.245,-2.880,1.994,-0.361,-0.037,-0.618
