Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,9.022,10.023,10.204,9.952,8.071,9.277,8.469,10.009,11.206,11.063,10.266,10.521,9.735,10.130,9.935,9.591,10.724,9.456,10.472,11.123,10.087,10.898,11.015,10.639,11.135,11.491,11.034,10.954,10.410,8.977
TMAX,MAMJJASO,14.008,14.556,14.598,14.396,13.830,14.228,13.146,14.597,15.222,15.269,14.405,14.290,13.864,14.974,14.596,14.435,15.223,13.630,15.154,15.077,14.585,16.156,15.630,15.151,15.406,15.814,15.783,14.915,15.181,14.927
TMAX,AMJJAS,17.092,17.135,17.306,17.213,16.150,16.572,15.511,17.769,17.755,17.492,16.932,17.331,16.401,17.906,16.872,16.920,18.173,16.119,17.950,17.342,17.336,19.724,18.396,17.846,18.026,19.336,17.936,17.643,18.423,17.782
TMAX,ONDJFM,-0.240,1.281,3.503,2.182,1.014,1.226,1.165,2.769,4.189,4.390,3.349,4.757,3.200,1.389,3.683,2.034,3.363,2.993,2.098,4.017,3.631,3.974,1.808,3.251,3.671,3.288,4.740,4.381,3.048,1.342
TMAX,NDJF,-0.896,-1.517,2.058,0.280,-1.617,-2.353,-1.159,1.014,2.490,2.350,1.209,3.393,2.263,-0.912,2.246,-0.862,1.070,1.557,-0.083,2.246,1.997,1.710,-0.483,1.497,2.262,1.662,2.598,2.956,1.052,-0.849
TMIN,year,0.675,1.935,2.252,2.409,-0.003,1.307,0.776,2.225,3.289,3.473,2.748,2.872,2.080,1.765,2.167,1.448,2.596,2.323,2.598,3.635,2.294,2.576,2.561,2.570,2.852,3.144,2.991,3.078,2.583,0.853
TMIN,MAMJJASO,4.903,5.710,6.109,5.753,5.348,5.593,4.947,5.763,6.189,6.463,6.038,5.577,5.075,5.556,6.012,5.408,5.839,5.582,6.273,6.405,5.833,6.522,6.319,6.223,5.753,6.086,6.612,5.773,6.063,5.898
TMIN,AMJJAS,7.378,7.250,8.098,7.991,7.057,7.081,6.859,8.162,7.805,8.070,7.734,7.762,7.008,7.663,7.460,7.202,7.917,7.710,8.141,8.004,8.153,9.150,8.423,8.179,8.114,8.935,8.281,7.676,8.403,8.203
TMIN,ONDJFM,-8.190,-5.210,-2.847,-4.506,-5.006,-5.684,-5.754,-2.405,-2.137,-1.528,-2.562,-0.951,-2.948,-4.868,-2.038,-4.731,-3.075,-2.827,-3.557,-2.407,-1.885,-2.395,-4.604,-3.360,-2.969,-3.362,-1.448,-1.345,-2.961,-4.739
TMIN,NDJF,-8.175,-8.377,-4.419,-6.034,-7.931,-9.351,-7.830,-3.892,-3.722,-3.031,-4.509,-2.250,-3.356,-6.841,-3.339,-7.246,-5.310,-3.560,-5.584,-3.747,-2.786,-4.216,-6.922,-4.620,-3.738,-3.953,-3.121,-2.083,-4.748,-6.259
TAVG,year,4.855,5.986,6.222,6.178,4.000,5.251,4.559,6.118,7.241,7.235,6.460,6.689,5.843,5.941,5.986,5.464,6.673,5.804,6.506,7.309,6.142,6.725,6.736,6.543,6.939,7.288,6.958,7.020,6.441,4.848
TAVG,MAMJJASO,9.412,10.089,10.303,10.037,9.516,9.814,8.929,10.148,10.656,10.788,10.119,9.895,9.363,10.246,10.188,9.814,10.521,9.464,10.652,10.614,10.148,11.285,10.874,10.571,10.477,10.889,11.082,10.305,10.545,10.278
TAVG,AMJJAS,12.189,12.154,12.630,12.551,11.549,11.726,11.056,12.954,12.757,12.713,12.238,12.526,11.590,12.789,12.036,11.965,13.072,11.776,12.994,12.504,12.686,14.402,13.342,12.919,12.998,14.108,13.040,12.630,13.353,12.861
TAVG,ONDJFM,-4.131,-1.933,0.386,-1.092,-1.986,-2.213,-2.307,0.191,1.048,1.443,0.360,1.909,0.138,-1.750,0.821,-1.374,0.157,0.044,-0.729,0.812,0.856,0.796,-1.424,-0.090,0.326,-0.086,1.610,1.518,0.037,-1.715
TAVG,NDJF,-4.433,-4.848,-1.077,-2.792,-4.737,-5.758,-4.458,-1.412,-0.505,-0.274,-1.629,0.636,-0.496,-3.861,-0.478,-4.035,-2.046,-0.981,-2.783,-0.701,-0.410,-1.194,-3.666,-1.507,-0.694,-1.125,-0.193,0.506,-1.828,-3.498
RH,year,78.179,78.740,78.530,78.672,78.484,76.064,76.321,76.631,76.007,75.379,76.586,75.289,77.315,73.874,75.714,77.020,74.469,79.262,78.024,78.467,77.590,76.908,76.570,77.867,77.586,77.582,77.718,78.715,78.654,78.823
RH,MAMJJASO,76.186,76.179,76.769,76.050,76.574,74.097,74.426,74.519,73.418,71.788,74.781,72.405,74.867,69.850,72.591,73.864,69.860,76.874,75.143,75.180,75.322,73.430,73.281,74.964,73.981,74.348,73.921,75.273,74.936,75.919
