Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.369,15.871,16.651,14.753,14.982,15.565,15.033,15.899,16.394,16.508,15.203,16.795,15.928,17.305,15.568,14.443,16.015,16.194,16.004,17.275,16.099,16.913,17.187,15.732,15.472,16.503,17.071,16.755,16.436,15.138
TMAX,MAMJJASO,20.313,20.426,21.538,18.842,20.037,20.537,19.534,20.312,20.389,20.848,19.855,21.298,20.489,21.621,20.198,18.886,20.207,20.573,20.979,21.840,21.065,21.095,22.426,20.259,20.577,21.201,21.671,20.813,21.385,19.984
TMAX,AMJJAS,22.242,22.898,23.958,20.760,22.544,22.933,22.332,22.885,21.802,22.384,21.923,24.424,23.087,24.014,22.172,21.368,22.592,23.125,23.251,24.302,22.601,23.360,25.695,22.462,22.817,23.536,24.414,23.115,24.455,22.585
TMAX,ONDJFM,6.943,8.090,9.617,8.337,7.927,7.635,7.847,9.219,10.345,11.224,9.149,8.810,8.749,9.590,9.639,7.584,9.259,9.860,8.464,8.814,10.432,10.251,9.099,8.518,8.692,7.588,12.049,9.150,8.640,8.395
TMAX,NDJF,3.964,5.442,7.459,5.964,5.256,4.935,5.810,7.603,7.481,8.591,5.833,6.829,7.349,6.793,8.395,4.530,6.911,8.549,5.654,6.242,7.930,6.835,6.468,7.122,5.981,4.691,9.847,7.404,6.137,6.063
TMIN,year,6.560,7.079,7.019,6.235,6.087,6.382,6.523,7.113,7.232,6.911,6.469,7.663,6.989,8.201,7.095,6.339,7.107,7.399,7.560,8.088,7.345,8.140,7.447,7.186,6.908,7.573,7.890,7.955,7.859,7.048
TMIN,MAMJJASO,10.306,10.432,10.616,9.073,9.796,9.991,9.834,10.301,10.416,9.979,10.099,10.829,10.326,11.166,10.496,9.739,10.008,10.844,11.301,11.343,11.065,11.175,11.147,10.473,10.579,11.087,11.004,10.919,11.466,10.694
TMIN,AMJJAS,11.803,12.235,12.527,10.686,11.621,11.893,12.051,12.018,11.970,11.279,11.729,12.971,12.218,13.110,12.214,11.634,11.827,12.767,13.170,12.943,12.222,13.184,13.666,12.155,12.597,13.143,12.977,12.826,13.630,12.916
TMIN,ONDJFM,-0.372,1.031,2.618,0.831,0.994,0.803,0.379,2.681,2.792,2.309,1.707,1.753,1.761,2.675,2.518,0.999,2.281,2.425,1.840,1.872,3.608,2.510,1.932,1.502,1.806,0.863,4.107,2.224,2.278,1.814
TMIN,NDJF,-2.627,-0.875,1.078,-0.697,-1.034,-0.979,-0.712,1.460,0.810,0.494,-0.677,0.432,0.669,0.680,1.953,-0.962,0.471,1.661,-0.307,-0.017,1.722,0.118,0.354,0.703,0.068,-1.006,2.862,0.995,0.634,0.301
