Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,20.662,21.218,21.146,19.979,21.093,20.975,21.039,21.475,21.339,21.676,20.674,21.505,21.517,22.360,21.044,20.731,21.989,21.826,21.864,22.485,22.300,22.004,22.761,21.839,21.427,22.533,22.780,22.421,22.508,21.424
TMAX,MAMJJASO,24.957,25.205,25.352,23.474,25.451,25.258,25.110,25.575,24.972,25.692,24.864,25.325,25.622,26.408,24.860,24.462,25.876,25.934,26.236,26.530,26.670,25.710,27.474,25.778,25.910,26.672,26.822,26.347,26.894,25.625
TMAX,AMJJAS,26.781,27.793,27.562,25.482,27.843,27.345,27.732,27.670,26.683,27.402,26.923,27.628,28.050,28.364,26.747,26.871,27.792,28.318,28.444,28.893,28.213,27.471,30.327,27.833,28.174,28.945,29.277,28.402,29.438,28.027
TMAX,ONDJFM,12.452,14.491,14.844,14.111,14.215,14.553,14.372,15.479,15.986,16.081,14.925,14.525,15.194,15.714,15.611,14.867,15.959,15.870,14.840,15.471,16.510,16.376,15.652,15.122,15.591,14.599,17.543,15.925,15.665,15.325
TMAX,NDJF,10.293,12.547,13.063,12.263,12.390,12.353,12.588,13.766,13.378,14.175,12.176,12.672,13.717,13.182,14.242,12.733,14.184,14.209,12.611,13.171,14.509,13.426,13.457,13.616,13.202,12.497,15.821,14.143,13.344,13.367
TMIN,year,11.455,12.358,11.827,11.358,11.848,12.038,12.019,12.321,11.888,12.256,11.485,12.475,12.197,13.096,11.819,11.975,12.415,12.222,12.553,13.012,12.802,13.064,13.308,12.785,12.280,12.865,12.822,12.987,13.083,12.570
TMIN,MAMJJASO,14.983,15.325,15.131,13.961,15.013,15.362,14.977,15.607,14.811,15.408,14.838,15.459,15.377,16.055,14.632,14.670,15.097,15.472,16.116,16.140,16.098,15.850,16.809,15.759,15.781,16.004,15.831,15.957,16.317,15.634
TMIN,AMJJAS,16.358,17.308,16.977,15.435,16.793,17.065,16.925,17.307,16.491,16.699,16.288,17.186,17.224,17.839,16.394,16.460,16.751,17.486,18.004,17.899,17.180,17.519,19.096,17.201,17.640,17.711,17.649,17.653,18.429,17.527
TMIN,ONDJFM,4.375,6.768,7.328,6.562,7.050,7.225,6.527,8.000,7.409,7.381,7.448,6.600,7.327,8.091,7.663,7.374,7.916,7.728,6.597,7.277,9.125,7.795,8.023,7.783,7.810,7.225,9.054,7.581,7.864,7.777
TMIN,NDJF,2.531,5.290,5.890,5.252,5.584,5.753,5.442,6.700,5.206,6.267,5.042,5.030,6.092,6.413,6.811,6.174,6.874,6.787,4.789,5.522,7.515,5.558,6.860,6.648,5.988,5.571,7.753,6.224,6.351,6.583
TAVG,year,16.136,16.868,16.438,15.655,16.380,16.525,16.604,16.929,16.615,16.970,16.024,16.808,16.584,17.490,16.188,16.125,16.951,16.850,17.039,17.588,17.286,17.417,17.934,17.087,16.660,17.418,17.562,17.299,17.399,16.593
TAVG,MAMJJASO,20.060,20.356,20.184,18.692,20.161,20.330,20.134,20.644,19.913,20.605,19.823,20.273,20.262,20.993,19.514,19.346,20.292,20.593,21.056,21.243,21.104,20.676,21.984,20.504,20.604,21.036,21.109,20.736,21.189,20.196
TAVG,AMJJAS,21.663,22.642,22.222,20.408,22.272,22.240,22.407,22.560,21.633,22.121,21.578,22.290,22.401,22.876,21.371,21.446,22.121,22.819,23.146,23.347,22.463,22.412,24.542,22.234,22.653,23.025,23.257,22.618,23.543,22.353
TAVG,ONDJFM,8.459,10.717,11.079,10.337,10.587,10.824,10.480,11.740,11.695,11.631,11.175,10.355,10.999,11.640,11.358,10.893,11.583,11.517,10.463,11.080,12.621,11.775,11.755,11.369,11.535,10.738,13.041,11.385,11.398,11.141
