Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,20.349,20.028,19.944,20.040,20.635,20.297,19.996,20.386,20.409,21.110,19.387,20.119,20.718,21.447,20.127,19.611,19.961,20.625,21.079,21.026,21.155,20.606,20.551,20.557,19.762,19.957,20.865,20.946,20.596,21.048
TMAX,MAMJJASO,25.079,24.240,24.274,24.065,24.728,24.747,23.837,25.033,24.463,25.360,23.757,24.301,25.311,25.990,24.117,23.356,23.580,24.923,25.506,25.273,26.144,24.417,25.007,24.589,23.848,24.168,25.013,24.970,24.254,24.551
TMAX,AMJJAS,26.675,26.714,26.562,26.030,27.642,27.329,27.142,27.734,26.577,26.999,25.690,26.227,27.386,28.231,26.530,26.477,26.064,27.621,27.841,27.885,27.578,26.339,27.577,26.454,26.103,26.454,27.382,26.966,26.567,27.059
TMAX,ONDJFM,10.970,13.791,13.808,12.961,13.818,14.147,12.594,13.633,13.516,14.667,14.093,12.916,13.903,15.145,14.248,12.165,14.342,13.659,13.543,13.726,16.030,14.165,13.486,14.115,14.364,13.271,14.690,14.134,14.184,15.133
TMAX,NDJF,8.096,11.472,11.623,11.344,11.394,12.789,11.488,12.281,10.861,12.332,11.574,10.716,11.394,12.292,12.429,10.658,13.510,12.666,11.059,11.182,13.821,11.246,11.493,11.986,11.998,11.263,13.056,11.711,12.456,13.556
TMIN,year,9.815,9.795,9.559,10.018,10.062,9.930,9.970,9.940,9.690,10.148,9.518,9.529,9.740,10.950,10.021,10.153,9.728,10.148,10.396,9.617,10.313,10.282,10.392,10.241,10.279,10.274,10.753,10.868,10.958,11.298
TMIN,MAMJJASO,13.272,12.908,12.690,12.618,12.845,13.326,12.535,13.311,12.998,13.201,13.002,13.027,13.056,14.242,12.815,12.732,12.206,13.307,13.753,12.783,13.892,13.361,13.533,13.496,13.625,13.999,14.029,14.052,13.804,13.990
TMIN,AMJJAS,14.506,14.590,14.656,13.931,14.795,15.000,14.775,15.402,14.684,14.766,14.318,14.609,14.725,15.859,14.800,14.804,14.143,15.598,15.629,14.783,15.240,15.106,15.673,15.011,15.558,15.665,15.810,15.742,15.766,15.899
TMIN,ONDJFM,2.464,5.040,4.696,5.511,5.603,5.904,4.026,5.706,4.082,4.613,5.715,3.769,4.371,6.443,5.696,4.975,5.388,5.045,4.809,4.341,6.517,4.403,4.927,5.399,5.503,4.951,5.556,5.439,5.960,6.588
TMIN,NDJF,0.678,3.321,2.921,4.589,3.898,5.066,3.165,4.724,1.855,3.161,3.932,1.798,2.320,4.962,4.056,4.259,4.715,4.702,3.087,2.854,4.845,2.286,4.072,3.685,3.808,3.220,3.746,3.434,5.000,5.508
TAVG,year,15.060,14.815,14.635,14.975,15.366,15.157,14.859,15.151,14.954,15.516,14.348,14.796,15.140,16.179,15.079,14.893,14.829,15.742,16.032,15.608,16.105,15.691,15.780,15.664,15.249,15.263,16.100,16.071,15.917,16.388
TAVG,MAMJJASO,19.176,18.501,18.400,18.325,18.873,19.142,18.056,19.189,18.659,19.173,18.275,18.622,19.102,20.162,18.522,18.103,17.915,19.694,20.133,19.585,20.622,19.345,19.829,19.502,19.104,19.418,19.976,19.824,19.279,19.605
TAVG,AMJJAS,20.659,20.615,20.537,20.001,21.339,21.289,20.869,21.621,20.599,20.827,19.951,20.395,21.045,22.183,20.744,20.737,20.156,22.365,22.401,22.097,22.187,21.341,22.354,21.351,21.269,21.490,22.166,21.796,21.467,21.931
