Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,14.301,14.768,15.259,14.042,13.690,14.952,14.037,14.307,15.065,15.857,13.958,14.957,14.472,16.197,14.588,13.749,13.918,14.620,15.357,16.540,15.325,15.870,15.128,14.973,14.360,15.108,16.404,16.176,16.226,15.435
TMAX,MAMJJASO,19.975,20.089,20.875,19.091,19.570,20.904,19.256,19.674,20.071,20.947,19.245,20.496,19.902,21.559,20.006,18.741,18.388,19.865,20.754,21.773,21.134,20.983,20.737,20.282,19.563,20.537,21.915,21.172,21.608,20.351
TMAX,AMJJAS,21.894,22.684,23.251,21.441,22.418,23.792,22.804,22.514,22.094,22.470,21.537,23.168,22.526,24.234,22.252,21.983,21.008,22.751,23.480,24.432,22.980,23.297,24.318,22.519,22.368,23.010,24.622,23.381,24.720,23.398
TMAX,ONDJFM,4.382,5.987,8.502,5.796,5.106,6.659,4.955,7.004,6.847,8.709,7.647,6.144,6.092,8.302,7.536,4.403,7.283,7.423,6.238,6.534,10.251,7.912,5.860,6.497,7.002,6.229,10.025,7.063,8.058,7.599
TMAX,NDJF,0.849,2.535,5.411,3.201,1.116,3.840,2.747,4.961,3.319,5.147,4.239,3.225,3.550,4.834,5.095,1.398,4.953,6.209,2.650,3.636,7.338,3.896,3.015,4.105,4.300,3.211,7.214,3.908,5.281,4.951
TMIN,year,4.348,4.255,4.305,4.159,3.202,4.132,3.776,4.425,5.028,4.781,4.287,4.317,3.918,5.733,4.509,4.294,4.181,4.536,5.270,4.952,5.061,5.570,4.522,4.987,4.564,4.864,5.844,5.711,5.638,5.547
TMIN,MAMJJASO,8.659,8.560,8.535,7.821,7.856,8.386,7.497,8.359,8.969,8.127,8.515,8.402,8.273,9.598,8.602,8.028,7.407,8.803,9.439,8.675,9.604,9.574,8.672,8.875,8.595,9.012,9.643,9.483,9.332,9.439
TMIN,AMJJAS,10.229,10.685,10.777,9.651,10.284,10.750,10.383,10.765,10.821,9.735,10.458,10.468,10.288,11.817,10.686,10.702,9.940,11.233,11.706,10.985,11.198,11.763,11.402,10.685,11.231,11.282,11.692,11.386,11.470,12.198
TMIN,ONDJFM,-3.912,-2.564,-0.636,-2.686,-3.724,-1.623,-4.023,-0.465,-1.841,-0.748,-0.991,-2.334,-2.587,-0.319,-1.027,-3.429,-0.981,-1.314,-1.931,-2.146,0.473,-1.299,-2.531,-1.488,-1.218,-2.238,0.774,-0.904,-0.421,-0.369
TMIN,NDJF,-6.566,-5.279,-2.571,-4.420,-6.997,-3.180,-5.236,-1.670,-4.009,-3.024,-3.071,-4.409,-4.655,-2.693,-2.706,-5.174,-2.350,-1.781,-4.553,-4.301,-1.192,-4.073,-4.625,-3.293,-2.708,-4.498,-0.607,-3.176,-2.243,-2.031
