Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,13.406,13.879,14.055,14.095,12.899,12.591,13.423,13.682,14.478,14.434,13.835,13.665,13.449,13.667,14.830,13.550,14.627,14.243,14.329,14.070,14.125,14.212,14.662,14.274,14.358,14.697,14.824,13.943,13.894,13.173
TMAX,MAMJJASO,15.663,16.299,16.313,16.630,15.316,14.776,15.701,15.738,16.919,16.884,16.413,15.802,15.429,15.575,17.636,16.070,17.038,16.324,16.714,16.533,16.622,16.274,17.209,16.473,16.806,17.259,17.001,16.137,16.545,16.488
TMAX,AMJJAS,17.114,17.758,17.751,18.312,16.512,15.708,17.336,16.969,18.316,18.166,17.804,17.385,16.905,16.569,19.202,17.560,18.239,17.422,17.996,17.919,17.931,17.471,18.595,17.989,17.929,18.822,18.178,17.619,17.633,17.910
TMAX,ONDJFM,9.532,9.504,9.847,10.045,9.497,9.098,9.914,9.902,10.978,10.688,9.900,10.254,10.057,9.647,10.793,9.992,10.257,11.278,10.809,10.643,9.502,11.352,10.609,10.621,10.604,10.301,11.180,11.293,9.932,9.404
TMAX,NDJF,8.669,8.783,8.742,9.403,8.258,7.614,8.939,9.096,10.276,9.339,8.341,9.408,9.630,8.723,10.120,8.744,8.637,10.232,9.780,9.420,8.474,10.056,9.272,9.726,9.728,9.201,10.038,10.370,8.723,7.665
TMIN,year,6.595,6.560,7.092,6.239,6.029,5.620,6.327,6.774,7.017,7.029,6.876,6.643,6.507,6.852,7.268,6.481,7.687,7.520,7.554,6.999,6.848,7.264,7.321,7.309,7.628,7.616,7.569,6.871,6.962,6.009
TMIN,MAMJJASO,8.336,8.358,8.681,8.052,8.176,7.320,7.938,8.402,8.674,8.907,8.867,8.236,7.869,8.230,9.215,8.289,9.447,9.096,9.413,8.687,8.753,8.554,9.108,8.864,9.468,9.511,9.078,8.562,9.092,8.729
TMIN,AMJJAS,9.582,9.497,9.614,9.201,9.150,8.166,9.343,9.262,9.477,9.477,9.855,9.388,9.160,8.984,10.143,9.074,10.334,9.901,10.497,9.647,9.554,9.582,10.461,10.189,10.233,10.567,9.972,9.862,9.944,10.024
TMIN,ONDJFM,3.525,3.163,3.823,3.994,2.859,2.864,3.387,3.834,4.665,4.793,3.706,4.542,3.908,3.485,4.691,4.236,4.303,5.551,4.701,4.582,3.475,5.227,4.394,4.081,4.968,4.474,4.855,5.009,3.735,2.773
TMIN,NDJF,2.922,2.909,2.821,3.524,1.928,1.601,2.658,3.382,4.216,3.468,2.073,3.829,3.703,3.006,4.410,3.037,2.996,4.679,4.020,3.674,2.734,4.171,3.975,3.630,4.614,3.490,4.031,4.390,2.969,1.290
TAVG,year,9.980,10.213,10.569,10.152,9.465,9.084,9.853,10.207,10.743,10.707,10.344,10.122,9.948,10.261,11.035,9.997,11.155,10.865,10.930,10.515,10.459,10.725,11.012,10.811,11.027,11.143,11.170,10.370,10.393,9.546
TAVG,MAMJJASO,11.967,12.320,12.492,12.330,11.730,11.012,11.792,12.043,12.790,12.868,12.629,11.982,11.601,11.905,13.422,12.167,13.239,12.686,13.046,12.581,12.645,12.372,13.165,12.668,13.147,13.367,13.007,12.303,12.778,12.559
TAVG,AMJJAS,13.317,13.611,13.683,13.749,12.806,11.886,13.307,13.084,13.898,13.795,13.825,13.348,12.981,12.782,14.679,13.303,14.288,13.634,14.239,13.756,13.702,13.482,14.548,14.083,14.093,14.675,14.048,13.699,13.751,13.909
TAVG,ONDJFM,6.514,6.333,6.832,7.007,6.171,6.007,6.655,6.858,7.801,7.727,6.782,7.374,6.961,6.571,7.717,7.092,7.260,8.418,7.743,7.584,6.485,8.284,7.525,7.383,7.820,7.434,8.001,8.117,6.797,6.081
TAVG,NDJF,5.789,5.851,5.780,6.454,5.093,4.640,5.798,6.231,7.233,6.393,5.197,6.591,6.656,5.882,7.240,5.866,5.793,7.465,6.897,6.541,5.610,7.133,6.676,6.729,7.221,6.412,7.028,7.352,5.826,4.472
RH,year,84.831,84.291,84.260,83.340,84.568,83.495,83.942,84.325,82.598,82.863,83.638,83.567,83.840,84.182,83.740,82.448,83.507,84.084,83.463,84.397,84.341,84.808,83.460,83.445,84.042,83.402,84.391,85.064,85.698,83.771
