Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.264,15.681,16.466,14.603,14.773,15.356,14.809,15.719,16.341,16.414,15.045,16.563,15.828,17.109,15.431,14.331,15.879,16.121,15.883,17.117,15.970,16.782,16.912,15.550,15.336,16.238,16.978,16.648,16.208,14.978
TMAX,MAMJJASO,20.304,20.293,21.349,18.773,19.893,20.402,19.332,20.137,20.370,20.761,19.722,21.051,20.420,21.431,20.080,18.865,20.076,20.473,20.906,21.720,20.969,20.994,22.172,20.110,20.489,20.974,21.580,20.691,21.206,19.861
TMAX,AMJJAS,22.238,22.753,23.724,20.729,22.433,22.828,22.176,22.734,21.752,22.256,21.743,24.105,23.049,23.735,22.080,21.416,22.435,23.022,23.155,24.161,22.493,23.209,25.356,22.306,22.750,23.313,24.296,22.981,24.266,22.457
TMAX,ONDJFM,6.769,7.855,9.444,8.124,7.595,7.351,7.519,9.016,10.267,11.197,9.004,8.681,8.551,9.501,9.467,7.294,9.139,9.789,8.339,8.672,10.277,10.145,8.902,8.281,8.459,7.353,11.958,9.033,8.419,8.146
TMAX,NDJF,3.525,5.155,7.206,5.748,4.853,4.618,5.501,7.420,7.357,8.493,5.617,6.678,7.107,6.649,8.202,4.234,6.730,8.515,5.476,6.045,7.692,6.686,6.168,6.825,5.703,4.439,9.727,7.278,5.875,5.754
TMIN,year,5.938,6.402,6.389,5.569,5.400,5.703,5.790,6.474,6.678,6.344,5.815,7.029,6.371,7.609,6.468,5.659,6.492,6.803,6.950,7.486,6.741,7.557,6.770,6.548,6.230,6.868,7.344,7.377,7.215,6.396
TMIN,MAMJJASO,9.896,9.915,10.151,8.562,9.316,9.528,9.220,9.787,9.993,9.554,9.623,10.318,9.859,10.708,10.000,9.236,9.510,10.354,10.852,10.883,10.626,10.713,10.655,9.977,10.058,10.524,10.573,10.450,10.981,10.199
TMIN,AMJJAS,11.437,11.786,12.116,10.293,11.236,11.532,11.608,11.606,11.572,10.893,11.268,12.512,11.862,12.639,11.816,11.268,11.379,12.370,12.760,12.549,11.811,12.760,13.229,11.737,12.182,12.683,12.593,12.427,13.206,12.498
TMIN,ONDJFM,-1.415,0.100,1.777,-0.103,0.001,-0.193,-0.656,1.841,2.048,1.586,0.874,0.925,0.873,1.929,1.709,0.004,1.483,1.641,1.014,1.062,2.841,1.724,1.035,0.615,0.877,-0.095,3.420,1.436,1.435,0.929
TMIN,NDJF,-4.010,-1.901,0.122,-1.671,-2.161,-2.078,-1.715,0.596,-0.026,-0.351,-1.684,-0.460,-0.280,-0.202,1.110,-2.000,-0.426,0.879,-1.245,-0.931,0.832,-0.763,-0.675,-0.251,-0.919,-2.013,2.114,0.146,-0.306,-0.666
TAVG,year,10.559,10.994,11.397,10.044,10.040,10.493,10.253,11.081,11.474,11.357,10.386,11.776,11.058,12.352,10.922,9.944,11.157,11.433,11.395,12.294,11.335,12.160,11.815,11.022,10.751,11.536,12.158,12.022,11.717,10.675
TAVG,MAMJJASO,15.092,15.078,15.749,13.642,14.591,14.958,14.248,14.965,15.163,15.155,14.661,15.677,15.118,16.074,15.027,14.026,14.775,15.409,15.880,16.311,15.803,15.859,16.421,15.037,15.266,15.759,16.088,15.600,16.123,15.049
TAVG,AMJJAS,16.829,17.257,17.927,15.498,16.832,17.188,16.882,17.187,16.648,16.579,16.494,18.312,17.443,18.197,16.947,16.332,16.897,17.701,17.969,18.373,17.160,18.001,19.321,17.027,17.476,18.024,18.465,17.747,18.775,17.514
TAVG,ONDJFM,2.584,3.891,5.556,3.923,3.712,3.505,3.333,5.386,6.116,6.329,4.869,4.751,4.644,5.676,5.548,3.560,5.248,5.668,4.616,4.815,6.535,5.877,4.902,4.383,4.601,3.547,7.679,5.201,4.898,4.491
TAVG,NDJF,-0.392,1.519,3.603,1.935,1.236,1.179,1.798,3.958,3.615,3.992,1.868,3.048,3.338,3.165,4.625,1.022,3.072,4.647,2.036,2.494,4.223,2.889,2.667,3.217,2.318,1.117,5.910,3.664,2.741,2.487
RH,year,69.830,71.314,67.481,71.092,70.212,69.548,71.356,70.080,69.363,67.135,69.824,67.084,69.905,70.413,72.846,73.619,71.492,70.902,73.174,72.211,73.542,73.594,69.745,73.272,73.203,72.470,71.960,73.854,74.592,75.100
