Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.336,15.066,15.309,13.847,14.331,14.486,14.276,15.122,16.092,15.913,14.869,15.415,14.987,16.120,14.968,14.188,15.906,15.385,15.106,15.938,15.229,15.825,16.573,15.145,15.076,15.938,16.021,15.404,15.662,14.239
TMAX,MAMJJASO,18.852,18.916,19.585,17.481,19.126,18.949,18.399,19.061,19.778,19.949,19.293,19.314,18.885,20.019,19.040,18.218,19.909,19.403,19.754,20.035,19.632,19.499,21.585,19.344,20.043,20.252,20.123,19.067,20.384,18.849
TMAX,AMJJAS,20.867,21.543,21.770,19.488,21.455,20.861,20.900,21.510,21.199,21.529,21.377,22.071,21.453,21.755,20.754,20.482,21.764,21.771,21.909,22.407,20.885,21.303,24.523,21.456,21.953,22.515,22.522,21.338,23.202,21.225
TMAX,ONDJFM,6.153,8.003,8.731,7.773,7.717,7.475,7.775,9.037,10.342,11.296,8.710,8.434,8.827,8.954,9.533,8.734,9.475,9.891,7.973,8.605,9.695,10.146,9.209,8.481,8.365,7.760,11.519,9.131,7.729,8.018
TMAX,NDJF,3.337,6.408,6.837,5.891,5.747,4.531,5.821,7.691,7.791,9.227,5.496,6.459,7.884,6.626,8.286,5.937,7.127,8.303,5.601,6.173,7.751,6.891,6.335,7.368,5.563,5.024,9.663,7.702,5.344,5.803
TMIN,year,5.525,6.353,6.175,5.014,5.041,5.563,5.750,6.451,6.574,6.521,5.843,6.716,6.299,7.554,6.242,5.679,6.615,6.272,6.554,6.980,6.549,7.092,6.851,6.446,6.132,6.966,6.872,6.703,6.778,5.911
TMIN,MAMJJASO,9.239,9.232,9.510,7.535,8.611,8.968,8.823,9.478,9.398,9.577,9.276,9.845,9.335,10.412,9.382,8.619,9.499,9.539,10.236,10.036,10.039,9.780,10.650,9.676,10.036,10.383,9.892,9.683,10.346,9.509
TMIN,AMJJAS,10.777,11.192,11.327,9.203,10.376,10.607,10.749,11.176,10.827,10.843,10.767,11.850,11.369,11.948,10.962,10.470,11.049,11.376,12.139,11.748,11.046,11.416,13.147,11.276,11.841,12.306,11.860,11.571,12.570,11.516
TMIN,ONDJFM,-1.533,0.673,1.459,0.184,0.372,0.011,0.303,2.155,2.412,2.318,1.403,0.874,1.540,2.033,2.052,1.340,1.885,1.887,0.756,1.203,2.651,2.032,1.562,0.898,1.051,0.289,3.307,1.427,0.779,0.855
TMIN,NDJF,-3.974,-0.574,0.035,-0.958,-1.153,-1.951,-0.931,0.954,0.587,0.918,-1.163,-0.696,0.762,0.212,1.492,-0.426,0.280,0.796,-1.164,-0.564,0.970,-0.286,-0.098,0.156,-1.059,-1.590,2.009,0.274,-0.971,-0.596
TAVG,year,9.621,10.372,10.403,9.150,9.374,9.687,9.661,10.461,10.906,10.799,10.030,10.769,10.313,11.531,10.304,9.656,10.947,10.544,10.540,11.193,10.562,11.158,11.378,10.493,10.278,11.127,11.166,10.787,10.974,9.833
TAVG,MAMJJASO,13.761,13.730,14.211,12.212,13.516,13.610,13.232,13.932,14.202,14.346,13.968,14.297,13.777,14.880,13.867,13.131,14.371,14.220,14.681,14.759,14.484,14.333,15.791,14.215,14.715,15.014,14.721,14.123,15.116,13.905
TAVG,AMJJAS,15.544,16.052,16.259,14.088,15.590,15.433,15.449,15.999,15.693,15.804,15.765,16.678,16.091,16.547,15.550,15.225,16.109,16.331,16.736,16.836,15.650,16.091,18.565,16.102,16.637,17.114,16.948,16.216,17.653,16.134
TAVG,ONDJFM,1.958,3.993,4.760,3.622,3.765,3.420,3.652,5.276,5.957,6.250,4.699,4.297,4.871,5.206,5.514,4.680,5.386,5.526,4.093,4.599,5.917,5.666,5.052,4.326,4.337,3.660,7.083,4.941,3.989,4.179
TAVG,NDJF,-0.694,2.574,3.153,2.164,2.046,1.046,2.116,4.000,3.781,4.541,1.841,2.526,4.001,3.153,4.682,2.486,3.442,4.193,1.976,2.550,4.140,2.939,2.867,3.420,1.894,1.398,5.532,3.642,1.945,2.402
RH,year,74.581,73.636,71.405,71.636,70.695,74.330,75.598,75.229,70.374,71.804,73.314,74.116,73.552,74.879,75.118,74.939,72.809,71.350,75.156,73.694,74.411,74.192,69.165,73.239,73.008,72.967,73.598,74.055,72.638,73.516
RH,MAMJJASO,73.907,71.977,70.346,69.872,68.516,73.580,74.043,74.793,70.771,71.196,72.476,73.560,73.256,73.610,73.969,73.550,71.454,71.278,74.674,72.710,74.238,72.824,66.940,72.237,71.933,72.576,72.530,73.848,70.643,71.697
RH,AMJJAS,72.787,70.561,69.491,69.441,67.332,73.279,73.219,73.518,71.409,70.845,70.767,71.861,72.885,73.834,74.124,73.277,71.221,70.568,74.581,71.480,73.125,73.433,65.936,70.991,71.565,71.413,71.848,73.062,69.831,71.721
RH,ONDJFM,74.266,77.102,75.184,73.761,74.264,74.414,76.476,77.267,73.384,68.272,76.909,74.784,74.610,76.443,76.276,75.788,75.280,72.831,75.261,75.384,76.995,72.395,74.674,74.346,75.120,76.233,74.116,73.263,77.250,74.359
RH,NDJF,73.934,77.528,75.070,74.902,75.058,75.332,77.506,76.581,73.592,68.093,76.812,73.910,74.204,76.978,77.644,77.177,76.058,73.465,75.144,75.783,75.133,73.272,77.829,74.297,74.812,76.219,74.115,72.603,77.704,76.527
RHmin,year,56.661,56.169,53.800,54.603,53.105,56.210,57.881,57.458,52.236,53.665,55.427,56.748,56.230,57.531,57.316,57.695,54.785,54.079,57.710,56.169,56.849,56.929,51.513,56.145,55.422,55.289,55.666,56.713,55.519,57.056
RHmin,MAMJJASO,55.431,53.624,51.978,51.801,49.880,54.336,55.198,55.915,51.724,51.979,53.713,55.567,55.013,55.079,55.140,55.086,52.183,53.301,56.037,54.106,55.580,54.552,48.505,54.246,53.422,54.038,53.470,55.775,52.549,54.301
RHmin,AMJJAS,54.042,51.849,51.179,51.390,48.470,54.121,53.979,53.888,52.515,51.477,51.750,53.285,54.043,55.268,55.407,54.572,51.850,52.142,55.868,52.458,54.638,55.038,47.581,52.720,53.401,52.956,52.719,54.892,51.281,54.119
RHmin,ONDJFM,57.258,60.217,59.088,57.087,58.285,57.978,59.325,61.506,56.593,50.645,60.243,58.015,58.851,60.859,59.738,59.286,59.048,56.227,59.445,59.162,61.138,55.410,58.485,57.841,58.843,59.276,56.840,56.756,61.434,58.851
RHmin,NDJF,57.150,61.005,59.793,59.229,59.491,60.369,61.459,61.085,57.687,51.349,61.096,57.802,58.512,61.939,62.113,62.295,60.825,57.424,59.948,60.601,60.102,57.493,62.868,58.315,59.483,60.652,57.649,56.655,62.731,61.827
PREC,year,1710.114,1412.845,1336.801,1324.769,1191.014,1475.327,1524.123,1556.774,1098.064,1409.848,1200.431,1421.736,1421.716,1425.072,1597.939,1292.218,1278.959,1281.201,1823.646,1455.943,1625.912,1718.691,1024.040,1262.778,1131.526,1359.549,1453.780,1430.159,1239.475,1281.291
PREC,MAMJJASO,1157.828,992.959,919.495,886.102,825.886,993.417,1140.126,1105.859,839.700,872.188,818.108,976.197,1098.220,1004.659,1007.990,889.437,890.624,990.562,1170.033,1018.794,1252.395,1114.035,716.600,892.979,842.182,1094.701,1003.384,1085.032,781.827,919.562
PREC,AMJJAS,766.953,726.595,786.071,733.203,734.738,804.118,945.392,684.303,675.549,674.383,643.256,665.213,877.836,856.762,823.887,710.898,755.905,752.949,985.013,766.456,910.063,864.305,499.577,668.703,718.571,830.803,901.595,818.435,583.454,772.124
PREC,ONDJFM,373.493,851.967,683.612,613.467,522.369,550.589,601.514,782.114,549.019,576.692,606.899,611.611,626.366,695.828,824.239,366.411,637.707,534.130,779.327,681.142,870.986,500.523,789.411,643.165,485.665,495.305,555.925,489.273,647.542,554.199
PREC,NDJF,208.372,514.490,456.543,490.714,347.998,454.674,409.717,425.521,300.016,444.815,357.105,394.892,418.804,447.343,580.505,300.907,452.185,384.321,524.669,482.508,455.119,314.583,609.459,397.605,278.614,238.831,391.597,348.711,368.675,412.482
SRAD,year,4691.495,4909.175,4879.011,4818.142,5055.344,4821.208,4578.569,4638.445,4958.547,4933.748,4910.846,4703.452,4674.900,4663.094,4776.088,4730.651,4988.933,4869.495,4664.499,4823.170,4773.730,4709.389,5334.867,4801.708,4911.411,4894.144,4968.737,4699.337,4945.336,4695.827
SRAD,MAMJJASO,4058.139,4315.882,4253.717,4245.436,4474.096,4235.659,4044.500,4064.080,4319.773,4327.400,4295.101,4100.935,4084.032,4120.343,4186.835,4178.849,4408.758,4194.581,4091.503,4232.891,4164.718,4171.346,4682.550,4217.874,4281.083,4265.168,4366.260,4049.878,4377.304,4138.403
SRAD,AMJJAS,3474.297,3698.059,3569.821,3547.348,3786.667,3549.057,3453.290,3522.961,3588.161,3659.019,3690.222,3563.883,3468.728,3455.688,3479.894,3521.528,3702.989,3578.789,3430.944,3640.659,3556.736,3480.960,3928.297,3578.255,3579.329,3616.911,3651.508,3437.581,3723.410,3477.078
SRAD,ONDJFM,699.008,1216.622,1229.673,1322.628,1217.477,1266.300,1247.493,1079.882,1272.186,1355.202,1229.976,1228.640,1186.136,1129.061,1248.456,1303.148,1232.723,1320.011,1227.181,1230.846,1085.701,1344.708,1352.546,1262.352,1255.106,1259.926,1331.237,1321.935,1203.897,1232.837
SRAD,NDJF,361.688,610.302,594.749,599.622,588.304,556.911,572.353,556.737,610.566,640.698,620.647,621.158,583.589,543.881,571.699,575.070,568.873,646.622,605.103,588.079,576.826,606.474,588.105,606.010,602.864,609.850,632.505,667.051,579.162,556.864
WIND,year,2.359,2.361,2.403,2.459,2.454,2.434,2.373,2.421,2.399,2.524,2.299,2.318,2.379,2.432,2.469,2.325,2.320,2.408,2.288,2.288,2.770,2.624,2.195,2.256,2.099,2.147,2.327,2.243,2.193,2.191
WIND,MAMJJASO,2.174,2.292,2.292,2.345,2.410,2.304,2.368,2.288,2.373,2.410,2.217,2.298,2.265,2.393,2.301,2.287,2.295,2.417,2.110,2.223,2.635,2.494,2.159,2.188,2.015,2.148,2.172,2.212,2.166,2.166
WIND,AMJJAS,2.030,2.169,2.256,2.320,2.423,2.297,2.261,2.155,2.334,2.355,2.238,2.179,2.232,2.305,2.252,2.315,2.250,2.322,2.072,2.162,2.615,2.364,2.124,2.195,2.088,2.083,2.155,2.080,2.086,2.091
WIND,ONDJFM,2.595,2.696,2.603,2.644,2.444,2.566,2.515,2.702,2.376,2.664,2.426,2.440,2.422,2.782,2.698,2.231,2.413,2.472,2.513,2.475,2.473,3.348,2.295,2.376,2.195,2.125,2.366,2.513,2.255,2.312
WIND,NDJF,2.662,2.572,2.743,2.773,2.396,2.740,2.448,2.694,2.327,2.766,2.446,2.454,2.416,2.789,2.695,2.391,2.444,2.429,2.507,2.543,2.447,3.548,2.306,2.406,2.290,2.104,2.475,2.442,2.196,2.286
VPD,year,0.394,0.423,0.485,0.429,0.468,0.411,0.388,0.398,0.479,0.471,0.438,0.438,0.421,0.441,0.402,0.385,0.438,0.477,0.404,0.448,0.425,0.428,0.595,0.441,0.453,0.475,0.446,0.427,0.473,0.429
VPD,MAMJJASO,0.500,0.533,0.619,0.537,0.609,0.522,0.495,0.494,0.579,0.583,0.558,0.550,0.521,0.557,0.507,0.486,0.545,0.589,0.511,0.563,0.536,0.534,0.783,0.557,0.585,0.599,0.560,0.524,0.613,0.557
VPD,AMJJAS,0.570,0.625,0.716,0.611,0.696,0.589,0.574,0.574,0.622,0.648,0.651,0.656,0.600,0.621,0.563,0.555,0.603,0.679,0.576,0.656,0.597,0.588,0.926,0.640,0.660,0.693,0.643,0.602,0.711,0.632
VPD,ONDJFM,0.209,0.212,0.234,0.235,0.242,0.239,0.221,0.226,0.281,0.352,0.227,0.232,0.239,0.235,0.238,0.235,0.255,0.285,0.231,0.235,0.233,0.294,0.256,0.245,0.235,0.220,0.294,0.259,0.209,0.246
VPD,NDJF,0.164,0.182,0.208,0.196,0.203,0.180,0.179,0.209,0.228,0.304,0.178,0.207,0.226,0.191,0.205,0.181,0.210,0.246,0.195,0.192,0.221,0.222,0.175,0.224,0.192,0.174,0.258,0.238,0.169,0.187
FWI_FD,year,1.130,1.322,2.110,1.791,2.244,1.543,1.065,1.026,2.057,1.891,1.944,1.577,1.232,1.247,1.370,1.312,1.585,1.862,0.964,1.184,1.247,1.364,2.618,1.390,1.462,1.580,1.509,1.247,1.815,1.408
FWI_FD,MAMJJASO,1.513,1.768,2.677,2.327,3.111,2.073,1.410,1.316,2.409,2.521,2.688,2.156,1.535,1.692,1.876,1.798,2.158,2.443,1.333,1.632,1.614,1.771,3.700,1.874,1.930,2.066,2.026,1.652,2.608,2.004
FWI_FD,AMJJAS,1.948,2.274,3.109,2.776,2.729,2.080,1.721,1.637,2.572,2.972,3.432,2.727,1.843,1.836,1.878,2.179,2.202,3.073,1.534,2.000,1.887,1.966,4.428,2.286,2.121,2.513,2.302,2.010,2.981,2.363
FWI_FD,ONDJFM,0.282,0.308,0.432,1.058,0.761,1.743,1.000,0.433,0.970,1.448,0.419,0.545,0.606,0.414,0.488,1.069,0.512,1.063,0.369,0.411,0.263,1.099,0.709,0.474,0.538,0.668,0.704,0.785,0.407,0.611
FWI_FD,NDJF,0.288,0.344,0.420,0.905,0.700,0.455,0.481,0.405,1.044,1.127,0.244,0.516,0.606,0.272,0.283,0.515,0.315,0.682,0.317,0.231,0.289,0.810,0.239,0.431,0.388,0.511,0.598,0.600,0.208,0.160
FWI_3+,year,3.747,8.246,19.851,15.464,20.347,11.021,6.419,3.175,14.566,17.832,19.885,13.719,5.429,6.677,8.027,7.709,7.750,19.402,2.545,5.472,6.616,6.774,27.645,7.288,8.228,13.462,11.160,7.377,12.746,10.450
FWI_3+,MAMJJASO,3.699,7.840,18.705,13.883,19.512,10.707,6.090,2.970,12.549,17.639,19.584,13.575,5.074,6.514,7.652,7.618,7.626,18.936,2.520,5.432,6.287,6.365,27.550,7.156,7.975,13.197,10.977,7.284,12.719,10.445
FWI_3+,AMJJAS,3.661,7.821,17.879,13.461,9.761,8.985,5.817,2.829,11.089,17.232,19.493,13.467,5.008,6.165,6.461,7.542,5.606,18.709,2.486,5.285,5.982,6.046,27.207,7.032,7.384,13.079,10.778,7.180,11.266,10.307
FWI_3+,ONDJFM,0.023,0.068,0.456,1.978,1.971,10.577,2.107,0.683,1.735,2.304,0.350,0.468,0.435,0.223,0.364,1.626,0.444,2.388,0.117,0.169,0.073,1.298,0.375,0.179,0.398,0.638,0.360,0.534,0.211,1.389
FWI_3+,NDJF,0.022,0.029,0.424,1.137,1.570,0.836,0.372,0.308,1.587,0.781,0.048,0.348,0.394,0.022,0.161,0.432,0.059,0.484,0.096,0.009,0.073,0.692,0.036,0.147,0.127,0.203,0.242,0.274,0.002,0.027
