Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,20.917,21.491,21.387,20.148,21.378,21.218,21.289,21.744,21.571,21.982,20.931,21.754,21.817,22.685,21.294,20.961,22.306,22.156,22.188,22.801,22.639,22.296,23.110,22.123,21.735,22.834,23.105,22.760,22.821,21.713
TMAX,MAMJJASO,25.430,25.709,25.807,23.826,25.956,25.724,25.574,26.067,25.390,26.195,25.325,25.772,26.152,26.987,25.305,24.881,26.415,26.466,26.794,27.084,27.244,26.223,28.092,26.297,26.440,27.226,27.386,26.907,27.451,26.112
TMAX,AMJJAS,27.384,28.486,28.152,25.972,28.518,27.954,28.374,28.301,27.215,28.008,27.520,28.202,28.745,29.079,27.317,27.457,28.457,29.009,29.155,29.596,28.896,28.100,31.128,28.490,28.870,29.653,29.991,29.103,30.157,28.680
TMAX,ONDJFM,12.224,14.368,14.710,13.971,14.076,14.437,14.233,15.379,15.943,16.037,14.892,14.435,15.088,15.665,15.509,14.762,15.920,15.818,14.776,15.429,16.439,16.389,15.571,14.991,15.495,14.519,17.491,15.851,15.621,15.218
TMAX,NDJF,9.970,12.355,12.848,12.076,12.205,12.162,12.397,13.592,13.212,14.054,12.039,12.524,13.545,13.008,14.082,12.553,14.067,14.092,12.481,13.036,14.329,13.297,13.273,13.419,12.988,12.376,15.634,13.988,13.207,13.188
TMIN,year,11.215,12.176,11.602,11.084,11.626,11.823,11.782,12.130,11.686,12.089,11.270,12.283,11.995,12.979,11.603,11.747,12.261,12.058,12.374,12.850,12.692,12.941,13.174,12.620,12.078,12.690,12.697,12.870,12.935,12.406
TMIN,MAMJJASO,14.987,15.349,15.115,13.862,15.006,15.369,14.917,15.609,14.788,15.424,14.847,15.462,15.381,16.142,14.578,14.609,15.108,15.493,16.169,16.186,16.192,15.920,16.927,15.784,15.807,16.043,15.876,16.027,16.385,15.663
TMIN,AMJJAS,16.445,17.486,17.072,15.446,16.906,17.182,17.037,17.432,16.561,16.793,16.366,17.289,17.361,18.028,16.464,16.523,16.866,17.648,18.182,18.056,17.326,17.682,19.362,17.329,17.810,17.874,17.789,17.834,18.627,17.678
TMIN,ONDJFM,3.611,6.222,6.784,6.001,6.479,6.700,5.913,7.521,6.940,6.924,6.978,6.070,6.779,7.674,7.164,6.860,7.481,7.259,6.050,6.773,8.772,7.374,7.509,7.289,7.260,6.707,8.693,7.130,7.381,7.293
TMIN,NDJF,1.509,4.673,5.235,4.626,4.903,5.127,4.811,6.166,4.597,5.744,4.391,4.401,5.460,5.877,6.273,5.609,6.376,6.280,4.128,4.913,7.029,4.991,6.249,6.072,5.328,4.971,7.307,5.683,5.774,6.024
