Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,13.094,13.523,14.186,13.386,11.940,13.092,11.695,13.571,14.795,14.428,13.895,14.218,12.938,13.542,13.974,13.026,13.666,13.227,14.699,14.816,14.041,14.492,13.636,13.567,13.770,14.618,14.442,14.514,13.574,13.278
TMAX,MAMJJASO,17.880,17.902,18.944,18.212,17.555,18.026,16.481,18.504,19.123,18.374,18.164,18.546,17.492,18.401,19.082,18.196,18.208,17.972,19.836,19.011,19.129,19.765,18.350,18.309,18.416,19.509,19.464,18.706,18.266,19.242
TMAX,AMJJAS,20.508,20.331,21.804,20.855,20.063,20.559,19.007,21.497,21.670,20.415,20.619,21.660,20.187,21.481,21.587,20.953,21.146,20.632,22.800,21.275,21.885,23.321,21.317,20.861,21.406,22.624,21.709,21.124,21.478,22.525
TMAX,ONDJFM,3.523,5.692,7.166,6.004,3.973,5.249,4.410,6.185,7.432,8.029,6.936,7.929,6.095,4.609,6.820,4.343,6.917,6.310,5.365,6.994,7.756,7.186,4.234,5.957,5.894,5.442,8.673,7.270,6.761,4.390
TMAX,NDJF,2.415,2.849,5.651,4.009,0.683,2.119,2.183,4.323,5.266,5.891,4.860,6.044,5.036,2.247,5.079,1.110,4.759,4.873,2.383,5.166,5.690,4.472,1.945,4.233,4.489,2.997,5.860,5.516,4.709,2.023
TMIN,year,6.097,5.985,6.840,6.304,4.916,5.770,4.382,6.317,7.352,7.184,6.779,6.705,5.693,5.971,6.417,5.131,6.119,6.110,6.765,7.279,6.570,6.362,6.221,6.266,5.810,6.408,6.729,7.132,6.267,6.017
TMIN,MAMJJASO,9.525,8.992,10.220,9.688,9.558,9.340,8.065,9.968,10.295,9.631,9.686,9.472,8.817,9.368,10.167,8.715,9.150,9.542,10.195,9.783,10.318,9.791,9.347,9.567,8.597,9.380,10.085,9.615,9.207,10.288
TMIN,AMJJAS,11.508,10.639,12.123,11.521,11.099,11.072,10.374,12.254,11.771,10.976,11.333,11.532,10.660,11.392,11.680,10.688,11.163,11.729,12.040,11.211,12.336,12.016,11.566,11.262,11.076,11.463,11.582,10.943,11.211,12.965
TMIN,ONDJFM,-1.936,0.459,2.146,0.931,-0.827,0.143,-1.221,1.234,1.903,2.768,2.171,2.797,1.192,-0.286,1.933,-1.542,1.537,1.308,0.044,2.217,2.693,1.618,-0.967,1.274,0.737,-0.094,2.948,2.889,2.153,-0.210
TMIN,NDJF,-2.147,-1.806,1.185,-0.421,-3.959,-2.523,-2.661,0.068,0.248,1.196,0.755,1.602,0.681,-2.188,0.655,-3.825,-0.021,0.634,-2.141,0.891,1.683,-0.451,-2.560,0.218,0.145,-1.050,1.021,1.898,0.613,-1.709
TAVG,year,9.442,9.636,10.388,9.701,8.280,9.307,7.849,9.781,10.938,10.667,10.193,10.362,9.181,9.625,10.023,8.920,9.798,9.499,10.656,10.897,10.161,10.378,9.829,9.809,9.858,10.645,10.648,10.899,9.989,9.646
TAVG,MAMJJASO,13.447,13.256,14.371,13.756,13.322,13.492,11.979,14.010,14.512,13.813,13.699,13.858,12.956,13.699,14.369,13.204,13.528,13.516,14.891,14.162,14.505,14.677,13.677,13.749,13.581,14.589,14.824,14.243,13.785,14.737
TAVG,AMJJAS,15.739,15.292,16.744,15.975,15.320,15.639,14.420,16.653,16.537,15.524,15.774,16.473,15.233,16.287,16.377,15.573,16.021,15.929,17.338,16.015,16.862,17.616,16.281,15.883,16.369,17.227,16.723,16.167,16.411,17.734
TAVG,ONDJFM,0.776,3.018,4.616,3.431,1.504,2.654,1.529,3.589,4.545,5.310,4.474,5.263,3.590,2.072,4.230,1.379,4.139,3.748,2.586,4.582,5.154,4.344,1.573,3.608,3.326,2.692,5.846,5.150,4.509,2.125
TAVG,NDJF,0.192,0.567,3.442,1.804,-1.669,-0.154,-0.212,2.154,2.745,3.509,2.836,3.839,2.875,-0.008,2.820,-1.287,2.404,2.750,0.078,3.089,3.685,2.049,-0.270,2.280,2.367,1.059,3.531,3.801,2.762,0.227
