Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,6.705,7.673,7.740,7.791,6.621,7.168,6.686,7.813,8.607,8.808,8.199,8.229,7.505,7.792,7.740,7.571,8.375,7.538,8.265,8.685,7.894,8.647,8.850,8.689,8.794,9.286,8.757,8.712,8.466,7.171
TMAX,MAMJJASO,10.745,11.222,11.293,11.343,11.037,11.120,10.465,11.523,11.833,12.211,11.676,11.344,10.874,11.529,11.462,11.584,12.043,10.983,12.027,12.004,11.637,12.961,12.552,12.412,12.236,12.730,12.684,12.075,12.418,11.996
TMAX,AMJJAS,13.263,13.340,13.518,13.719,12.946,13.020,12.422,14.178,13.935,14.174,13.755,13.975,13.089,14.029,13.433,13.680,14.623,13.218,14.305,13.893,13.914,15.981,14.977,14.697,14.208,15.630,14.403,14.521,15.086,14.305
TMAX,ONDJFM,-1.010,0.659,2.332,1.210,1.156,0.721,0.792,1.825,2.883,3.079,2.630,3.459,2.075,0.641,2.451,1.494,2.041,2.016,1.511,2.810,2.468,2.782,1.288,2.464,2.918,2.697,3.558,3.180,2.359,0.859
TMAX,NDJF,-1.510,-1.404,1.071,-0.176,-0.638,-2.123,-0.881,0.298,1.550,1.674,0.868,2.398,1.459,-1.043,1.457,-0.609,0.174,0.978,-0.101,1.492,0.963,0.980,-0.462,1.165,1.762,1.476,1.751,1.916,0.802,-0.919
TMIN,year,0.322,1.528,1.651,1.874,0.419,0.985,0.684,1.612,2.465,2.738,2.068,1.963,1.256,1.468,1.503,1.119,1.994,1.677,2.114,2.755,1.677,2.234,2.224,2.339,2.405,2.797,2.299,2.138,2.071,0.479
TMIN,MAMJJASO,4.011,4.622,4.933,4.814,4.515,4.567,4.114,4.735,5.032,5.378,4.981,4.456,3.961,4.623,4.720,4.494,4.888,4.614,5.323,5.444,4.830,5.812,5.377,5.550,5.105,5.389,5.555,4.741,5.272,4.703
TMIN,AMJJAS,6.104,6.049,6.719,6.823,6.025,5.919,5.702,6.921,6.518,6.867,6.542,6.501,5.751,6.563,6.128,6.074,6.834,6.558,7.026,6.880,6.850,8.227,7.343,7.314,6.919,7.833,6.994,6.607,7.390,6.591
TMIN,ONDJFM,-7.297,-4.516,-2.852,-4.053,-3.863,-4.774,-4.592,-2.988,-2.211,-1.714,-2.442,-1.489,-3.207,-4.599,-2.392,-3.973,-3.222,-2.918,-3.357,-2.395,-2.529,-2.430,-4.028,-2.959,-2.465,-2.776,-1.677,-2.074,-2.873,-4.543
TMIN,NDJF,-7.684,-6.804,-4.263,-5.384,-5.683,-7.739,-6.256,-4.360,-3.495,-2.942,-4.058,-2.537,-3.543,-6.258,-3.360,-5.893,-5.086,-3.700,-4.899,-3.618,-3.587,-4.061,-5.777,-4.086,-3.329,-3.385,-3.207,-2.944,-4.373,-5.999
TAVG,year,3.358,4.477,4.546,4.660,3.349,3.885,3.512,4.561,5.367,5.592,4.926,4.945,4.196,4.466,4.411,4.163,5.052,4.435,5.019,5.513,4.593,5.315,5.356,5.355,5.426,5.842,5.338,5.249,5.063,3.640
TAVG,MAMJJASO,7.111,7.698,7.865,7.794,7.485,7.540,7.014,7.871,8.164,8.507,7.996,7.644,7.119,7.799,7.754,7.715,8.228,7.500,8.399,8.391,7.917,9.144,8.683,8.709,8.339,8.753,8.815,8.115,8.532,8.033
TAVG,AMJJAS,9.367,9.417,9.816,9.939,9.172,9.097,8.722,10.226,9.895,10.185,9.780,9.937,9.057,9.947,9.354,9.491,10.437,9.526,10.336,9.981,9.992,11.819,10.848,10.697,10.168,11.392,10.374,10.222,10.886,10.065
