Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,9.418,10.356,10.507,10.304,8.548,9.735,8.816,10.357,11.446,11.338,10.497,10.808,10.023,10.482,10.217,9.899,10.975,9.805,10.779,11.390,10.416,11.226,11.247,10.916,11.379,11.779,11.284,11.221,10.729,9.387
TMAX,MAMJJASO,14.389,14.848,14.930,14.760,14.188,14.565,13.489,14.965,15.526,15.540,14.681,14.686,14.188,15.227,14.920,14.716,15.512,13.971,15.470,15.394,14.927,16.426,15.906,15.428,15.680,16.123,16.050,15.256,15.491,15.208
TMAX,AMJJAS,17.386,17.377,17.576,17.507,16.442,16.847,15.767,18.055,18.025,17.729,17.140,17.723,16.685,18.108,17.148,17.137,18.407,16.384,18.204,17.613,17.589,19.925,18.639,18.067,18.227,19.502,18.191,17.923,18.666,17.997
TMAX,ONDJFM,0.394,1.694,3.901,2.629,1.577,1.733,1.811,3.180,4.392,4.631,3.730,4.935,3.425,1.849,3.990,2.444,3.659,3.333,2.547,4.315,4.012,4.246,2.234,3.598,3.942,3.664,5.037,4.626,3.405,1.811
TMAX,NDJF,-0.462,-1.080,2.346,0.661,-1.040,-1.814,-0.539,1.322,2.588,2.561,1.507,3.447,2.382,-0.413,2.449,-0.479,1.288,1.817,0.312,2.459,2.264,1.948,-0.095,1.793,2.421,1.951,2.804,3.052,1.336,-0.365
TMIN,year,1.209,2.299,2.595,2.769,0.672,1.816,1.260,2.549,3.436,3.633,2.972,3.051,2.345,2.186,2.456,1.864,2.860,2.647,2.908,3.821,2.663,2.931,2.836,2.873,3.117,3.455,3.238,3.254,2.890,1.414
TMIN,MAMJJASO,5.414,6.046,6.499,6.213,5.776,5.924,5.414,6.205,6.521,6.755,6.376,5.964,5.468,5.883,6.382,5.806,6.231,6.005,6.645,6.776,6.299,6.876,6.675,6.588,6.187,6.576,6.934,6.162,6.443,6.292
TMIN,AMJJAS,7.788,7.599,8.486,8.387,7.490,7.477,7.264,8.573,8.196,8.432,8.096,8.195,7.397,8.029,7.880,7.579,8.333,8.084,8.529,8.376,8.544,9.480,8.828,8.547,8.479,9.252,8.663,8.058,8.783,8.587
TMIN,ONDJFM,-7.391,-4.724,-2.543,-4.048,-4.340,-5.074,-4.981,-2.262,-2.178,-1.584,-2.363,-1.078,-2.870,-4.381,-1.974,-4.248,-2.866,-2.646,-3.235,-2.259,-1.704,-2.263,-4.191,-3.107,-2.778,-3.035,-1.337,-1.412,-2.749,-4.270
TMIN,NDJF,-7.686,-7.760,-4.220,-5.679,-7.126,-8.495,-7.039,-3.908,-3.878,-3.169,-4.334,-2.520,-3.476,-6.244,-3.363,-6.756,-5.126,-3.578,-5.276,-3.735,-2.847,-4.158,-6.445,-4.448,-3.777,-3.839,-3.160,-2.394,-4.602,-5.789
