Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,17.631,17.308,17.996,17.246,17.564,17.782,17.294,17.699,18.337,18.875,16.685,18.333,18.225,19.311,17.687,17.056,17.071,17.806,18.610,19.227,18.650,18.591,18.291,18.621,17.699,18.455,19.812,19.448,19.171,18.830
TMAX,MAMJJASO,22.894,22.159,23.014,22.100,22.799,23.224,22.055,22.823,22.865,23.619,21.624,23.310,23.477,24.501,22.578,21.833,21.317,22.936,23.470,24.221,24.193,23.066,23.635,23.275,22.390,23.514,24.780,24.527,23.923,23.243
TMAX,AMJJAS,24.631,24.801,25.311,24.339,26.054,26.307,25.671,25.681,24.930,25.332,24.073,25.465,25.973,27.122,25.019,25.378,23.931,25.754,26.114,26.994,25.888,25.225,26.809,25.359,24.933,25.917,27.659,26.603,26.741,26.364
TMAX,ONDJFM,7.565,10.028,11.592,9.037,9.123,10.189,8.606,10.544,10.570,11.689,10.757,9.865,10.651,11.745,10.995,7.666,10.972,10.502,9.664,10.551,12.882,11.583,9.674,10.804,11.504,10.289,13.236,10.692,11.577,11.426
TMAX,NDJF,4.292,7.061,9.063,6.892,5.731,8.098,6.764,8.936,7.670,8.526,8.221,7.235,7.950,8.347,8.758,5.377,9.415,9.081,6.421,7.773,10.394,8.229,6.976,8.422,9.003,7.547,11.327,7.361,9.047,9.153
TMIN,year,7.625,7.598,7.499,7.750,7.207,7.407,7.243,7.610,7.635,7.967,7.360,7.567,7.244,8.944,7.700,7.741,7.088,8.140,8.929,8.355,8.384,8.602,7.416,7.806,7.800,7.983,8.834,8.596,8.642,8.779
TMIN,MAMJJASO,11.631,11.613,11.434,11.135,11.281,11.574,10.722,11.644,11.603,11.543,11.499,11.570,11.576,12.985,11.513,11.417,10.357,12.280,12.977,12.098,12.760,12.570,11.493,11.702,11.629,12.202,12.656,12.494,12.257,12.507
TMIN,AMJJAS,13.219,13.717,13.813,12.888,13.744,13.812,13.543,14.080,13.478,13.381,13.455,13.413,13.438,15.190,13.769,13.973,12.767,14.789,15.174,14.476,14.429,14.593,14.279,13.519,13.996,14.241,14.764,14.479,14.328,15.066
TMIN,ONDJFM,-0.349,1.429,2.260,1.330,0.849,2.045,-0.176,2.569,1.094,1.503,2.100,1.182,0.983,2.746,2.256,0.308,2.208,1.649,1.861,1.775,3.956,1.721,0.759,1.156,2.214,1.304,3.551,1.845,2.653,2.779
TMIN,NDJF,-2.495,-0.762,0.393,-0.021,-1.833,0.787,-1.565,1.410,-1.163,-0.722,0.313,-0.871,-1.421,0.417,0.356,-1.231,0.931,0.974,-0.562,-0.182,2.302,-1.030,-0.963,-0.738,0.446,-0.850,2.006,-0.727,1.064,1.012
TAVG,year,12.507,12.237,12.490,12.335,12.241,12.438,12.185,12.428,12.765,13.189,11.799,12.696,12.549,13.873,12.353,12.133,11.842,12.776,13.458,13.624,13.299,13.214,12.723,12.941,12.414,12.828,14.027,13.689,13.599,13.445
TAVG,MAMJJASO,17.168,16.703,16.967,16.516,16.941,17.303,16.381,17.059,17.092,17.440,16.402,17.236,17.415,18.548,16.757,16.426,15.677,17.476,17.960,18.077,18.342,17.484,17.460,17.208,16.685,17.507,18.523,18.199,17.820,17.544
TAVG,AMJJAS,18.923,19.128,19.345,18.591,19.898,20.048,19.697,19.792,19.130,19.313,18.728,19.305,19.689,21.053,19.175,19.553,18.273,20.224,20.418,20.773,20.117,19.631,20.478,19.198,19.186,19.800,21.106,20.338,20.322,20.413
TAVG,ONDJFM,3.410,5.479,6.621,4.875,4.701,5.842,3.913,6.196,5.503,6.201,6.006,5.147,5.439,6.864,6.186,3.615,6.073,5.752,5.396,5.814,7.994,6.189,4.908,5.809,6.438,5.326,7.882,5.798,6.708,6.713
TAVG,NDJF,0.751,2.945,4.431,3.165,1.707,4.209,2.310,4.804,2.960,3.492,3.869,2.868,2.898,4.025,4.139,1.710,4.661,4.709,2.594,3.463,5.918,3.137,2.733,3.686,4.333,2.930,6.137,2.886,4.720,4.725
