Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.610,13.283,13.641,12.165,12.579,12.702,12.505,13.421,14.346,14.225,13.179,13.709,13.229,14.423,13.334,12.361,14.156,13.626,13.362,14.202,13.512,14.107,14.844,13.435,13.269,14.144,14.266,13.663,13.930,12.478
TMAX,MAMJJASO,17.120,17.114,17.911,15.786,17.387,17.194,16.635,17.299,18.051,18.249,17.631,17.625,17.077,18.314,17.348,16.389,18.138,17.665,17.960,18.196,17.876,17.727,19.834,17.614,18.217,18.495,18.275,17.263,18.618,17.110
TMAX,AMJJAS,19.027,19.646,20.057,17.758,19.681,19.070,19.097,19.708,19.401,19.747,19.663,20.307,19.558,19.990,19.038,18.564,19.915,19.917,20.037,20.471,19.057,19.414,22.666,19.652,20.029,20.640,20.573,19.464,21.368,19.431
TMAX,ONDJFM,4.525,6.465,7.084,6.104,5.993,5.780,5.950,7.453,8.672,9.734,6.981,6.742,7.227,7.432,7.921,7.003,7.767,8.328,6.288,6.971,8.210,8.575,7.563,6.900,6.717,6.033,9.963,7.523,6.001,6.403
TMAX,NDJF,1.502,4.826,5.134,4.181,3.962,2.766,3.973,6.116,6.048,7.585,3.704,4.675,6.216,5.069,6.706,4.147,5.324,6.670,3.807,4.525,6.291,5.248,4.603,5.765,3.814,3.138,8.122,6.082,3.556,4.189
TMIN,year,4.094,4.843,4.734,3.655,3.575,4.086,4.292,5.004,5.108,5.058,4.423,5.228,4.833,6.058,4.818,4.192,5.118,4.789,5.087,5.525,5.114,5.610,5.258,4.938,4.574,5.391,5.353,5.137,5.226,4.375
TMIN,MAMJJASO,7.738,7.672,7.979,6.134,7.110,7.463,7.293,7.939,7.888,8.061,7.776,8.294,7.796,8.847,7.874,7.078,7.930,8.030,8.668,8.471,8.527,8.211,8.919,8.084,8.383,8.758,8.269,8.033,8.689,7.916
TMIN,AMJJAS,9.157,9.529,9.700,7.758,8.808,9.021,9.143,9.534,9.229,9.277,9.164,10.172,9.727,10.289,9.377,8.845,9.377,9.733,10.456,10.058,9.425,9.728,11.253,9.589,10.062,10.584,10.129,9.794,10.799,9.830
TMIN,ONDJFM,-2.752,-0.595,0.167,-1.100,-0.973,-1.306,-1.078,0.902,1.110,1.004,0.068,-0.419,0.247,0.835,0.708,-0.013,0.542,0.612,-0.554,-0.053,1.458,0.736,0.296,-0.416,-0.278,-1.033,1.896,0.086,-0.580,-0.459
TMIN,NDJF,-5.305,-1.865,-1.289,-2.234,-2.556,-3.284,-2.338,-0.314,-0.750,-0.435,-2.477,-2.038,-0.566,-1.003,0.148,-1.791,-1.115,-0.529,-2.554,-1.834,-0.249,-1.589,-1.373,-1.190,-2.410,-3.005,0.660,-1.109,-2.358,-1.894
TAVG,year,8.074,8.747,8.869,7.655,7.796,8.089,8.092,8.910,9.311,9.234,8.500,9.198,8.716,9.950,8.799,8.022,9.331,8.932,8.953,9.602,9.007,9.558,9.737,8.903,8.632,9.468,9.534,9.137,9.356,8.220
TAVG,MAMJJASO,12.142,12.053,12.606,10.668,11.893,11.979,11.603,12.296,12.586,12.748,12.385,12.685,12.110,13.247,12.283,11.448,12.697,12.599,12.998,13.052,12.855,12.660,14.041,12.558,12.979,13.326,12.987,12.399,13.405,12.239
TAVG,AMJJAS,13.815,14.283,14.587,12.495,13.908,13.737,13.759,14.286,14.004,14.141,14.111,14.970,14.326,14.846,13.908,13.453,14.351,14.582,14.963,15.014,13.936,14.302,16.682,14.360,14.785,15.319,15.109,14.391,15.846,14.394
TAVG,ONDJFM,0.632,2.626,3.329,2.204,2.299,1.983,2.132,3.881,4.496,4.806,3.222,2.847,3.449,3.871,4.064,3.191,3.875,4.118,2.639,3.182,4.579,4.260,3.642,2.904,2.910,2.208,5.584,3.480,2.504,2.773
TAVG,NDJF,-2.114,1.196,1.705,0.746,0.546,-0.400,0.586,2.605,2.283,3.033,0.381,1.033,2.536,1.811,3.254,0.976,1.878,2.726,0.450,1.138,2.810,1.510,1.436,1.978,0.432,-0.144,4.068,2.152,0.441,1.030
RH,year,75.795,74.990,72.847,73.010,72.051,75.510,76.700,76.369,72.076,73.082,74.364,75.180,74.839,76.079,76.270,76.023,74.224,72.645,76.429,74.841,75.609,75.459,70.407,74.407,74.271,74.285,74.833,75.152,73.802,74.652
RH,MAMJJASO,74.081,72.381,70.582,70.201,68.844,73.643,74.207,74.857,70.947,71.181,72.349,73.368,73.405,73.858,74.236,73.697,71.870,71.211,74.876,72.790,74.404,73.032,66.990,72.298,72.144,72.668,72.784,73.802,70.809,71.983
RH,AMJJAS,72.595,70.651,69.161,69.228,67.251,72.852,72.996,73.131,70.967,70.364,70.170,71.253,72.545,73.681,73.806,72.947,71.142,70.073,74.300,71.135,72.890,73.156,65.341,70.585,71.216,71.173,71.635,72.594,69.518,71.462
RH,ONDJFM,77.905,79.482,78.172,76.701,77.254,77.078,79.188,79.823,76.824,72.096,79.311,77.642,77.650,78.872,78.836,78.490,78.154,75.762,78.030,78.249,79.402,75.494,77.451,77.226,78.066,78.880,76.874,76.250,79.783,76.988
RH,NDJF,78.203,80.502,78.741,78.406,78.685,78.677,80.794,79.819,77.875,72.927,79.885,77.612,78.096,79.964,80.705,80.296,79.423,77.172,78.646,79.325,78.248,77.146,80.951,77.825,78.508,79.460,77.577,76.453,80.809,79.486
RHmin,year,58.088,57.610,55.247,56.192,54.664,57.651,59.366,58.729,53.845,54.915,56.724,57.941,57.651,58.726,58.522,59.120,56.185,55.435,59.108,57.409,58.183,58.162,52.703,57.345,56.826,56.639,56.880,57.701,56.724,58.404
