Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,17.324,17.306,18.224,16.596,16.188,17.162,16.508,17.317,17.739,18.292,16.612,18.360,17.408,18.736,17.456,16.127,17.100,17.538,17.540,19.417,17.805,18.707,18.324,17.257,17.068,17.853,19.318,19.063,18.822,17.112
TMAX,MAMJJASO,22.990,22.938,23.878,21.769,21.994,23.141,21.845,22.440,22.885,23.361,21.969,23.861,23.074,24.003,22.751,21.425,22.062,22.567,23.357,24.691,23.468,23.995,24.476,22.548,22.562,23.402,24.778,23.805,24.631,22.312
TMAX,AMJJAS,25.087,25.619,26.542,24.081,24.819,26.193,25.103,25.351,24.855,25.224,24.494,27.084,26.023,26.877,25.135,24.408,24.750,25.344,25.956,27.327,25.438,26.628,28.168,25.076,25.246,26.071,27.755,26.217,28.014,25.101
TMAX,ONDJFM,7.982,8.465,10.599,8.746,7.347,8.560,7.413,9.997,9.598,11.816,9.416,9.230,8.536,10.514,9.882,7.452,9.463,10.873,8.485,9.167,12.340,10.428,8.367,9.016,9.090,8.540,12.905,9.864,10.277,9.648
TMAX,NDJF,4.375,4.852,7.843,5.869,3.676,5.922,4.864,7.855,6.086,8.554,6.050,6.734,6.219,7.239,8.046,4.143,6.515,9.444,4.808,6.235,9.418,6.424,5.161,6.935,6.195,5.413,10.237,7.316,7.300,6.830
TMIN,year,7.750,7.856,7.945,7.464,6.713,7.148,7.168,7.773,8.431,7.946,7.457,8.446,7.773,9.129,8.001,7.430,7.530,8.072,8.550,8.924,8.331,8.449,7.101,7.599,7.097,7.784,8.448,8.407,8.299,7.884
TMIN,MAMJJASO,12.087,12.075,12.115,11.059,11.187,11.329,11.116,11.488,12.259,11.301,11.806,12.275,12.027,12.930,11.814,11.590,10.857,12.258,12.898,12.644,12.864,12.225,11.596,11.413,11.289,11.788,11.983,11.897,12.138,11.909
TMIN,AMJJAS,13.697,14.067,14.438,12.868,13.469,13.861,13.765,13.802,14.220,13.102,13.753,14.652,14.098,15.321,13.996,13.987,13.374,14.644,15.120,14.645,14.387,14.631,14.405,13.312,13.823,14.168,14.057,13.911,14.268,14.583
TMIN,ONDJFM,-0.502,1.002,3.147,0.907,-0.093,1.250,-0.574,3.186,1.766,2.451,1.786,1.572,1.299,3.162,2.364,0.137,1.939,2.276,1.342,1.801,4.025,1.797,-0.047,1.186,1.089,0.542,3.778,1.830,2.354,2.187
TMIN,NDJF,-3.252,-1.621,1.307,-0.906,-3.223,-0.214,-1.862,1.965,-0.415,0.499,-0.494,-0.103,-0.528,0.845,1.219,-1.868,0.173,1.892,-1.512,-0.279,2.066,-0.978,-2.210,-0.229,-0.748,-1.539,2.509,0.000,0.576,0.341
